書名,書籍網站,作者,出版社,ISBN,圖片網址
各行各業說中文教師手冊 1,https://www.kingstone.com.tw//basic/2018020561126?zone=book&lid=book_class3_kca&actid=book_class3_kca,The Mandarin Training Center,聯經      ,9789570852097,https://cdn.kingstone.com.tw/book/images/product/20180/2018020561126/2018020561126b.jpg
新版實用視聽華語2MP3（第三版）,https://www.kingstone.com.tw//basic/2018020540060?zone=book&lid=book_class3_kca&actid=book_class3_kca,國立臺灣師範大學,正中書局  ,9789860511970,https://cdn.kingstone.com.tw/book/images/product/20180/2018020540060/2018020540060b.jpg
越南人在家自學漢語 （附MP3光碟）,https://www.kingstone.com.tw//basic/2018020529744?zone=book&lid=book_class3_kca&actid=book_class3_kca,黎文光,統一      ,9789866371844,https://cdn.kingstone.com.tw/book/images/product/20180/2018020529744/2018020529744b.jpg
日常華語動詞_Chinese Verbs for Everyday Use （附MP3）,https://www.kingstone.com.tw//basic/2018020478806?zone=book&lid=book_class3_kca&actid=book_class3_kca,馮羿連,統一      ,9789866371790,https://cdn.kingstone.com.tw/book/images/product/20180/2018020478806/2018020478806b.jpg
當代中文課程教師手冊 3,https://www.kingstone.com.tw//basic/2018020477434?zone=book&lid=book_class3_kca&actid=book_class3_kca,鄧守信,聯經      ,9789570847369,https://cdn.kingstone.com.tw/book/images/product/20180/2018020477434/2018020477434b.jpg
IBMYP教與學剖析：談IBMYP中學項目教學面向,https://www.kingstone.com.tw//basic/2018020586310?zone=book&lid=book_class3_kca&actid=book_class3_kca,鄒蕙蘭（Lanny Tsou）,新學林    ,9789865261092,https://cdn.kingstone.com.tw/book/images/product/20180/2018020586310/2018020586310b.jpg
現代漢語語言學概要,https://www.kingstone.com.tw//basic/2018020583234?zone=book&lid=book_class3_kca&actid=book_class3_kca,舒兆民,新學林    ,9789865260248,https://cdn.kingstone.com.tw/book/images/product/20180/2018020583234/2018020583234b.jpg
台灣萬花筒.華語看世界,https://www.kingstone.com.tw//basic/2018020575321?zone=book&lid=book_class3_kca&actid=book_class3_kca,蕭惠貞,新學林    ,9789865407957,https://cdn.kingstone.com.tw/book/images/product/20180/2018020575321/2018020575321b.jpg
迷你廣播劇教師手冊,https://www.kingstone.com.tw//basic/2018020574409?zone=book&lid=book_class3_kca&actid=book_class3_kca,國立臺灣師範大學國語教學中心,正中書局  ,9789570919752,https://cdn.kingstone.com.tw/book/images/product/20180/2018020574409/2018020574409b.jpg
華語文教學的多元視野與跨界思考,https://www.kingstone.com.tw//basic/2018020573297?zone=book&lid=book_class3_kca&actid=book_class3_kca,國立臺灣大學華語教學碩士學位,聯經      ,9789570854749,https://cdn.kingstone.com.tw/book/images/product/20180/2018020573297/2018020573297b.jpg
各行各業說中文 2 教師手冊,https://www.kingstone.com.tw//basic/2018020571163?zone=book&lid=book_class3_kca&actid=book_class3_kca,國立臺灣師範大學國語教學中心,聯經      ,9789570853957,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571163/2018020571163b.jpg
華語文教學導論,https://www.kingstone.com.tw//basic/2018020569542?zone=book&lid=book_class3_kca&actid=book_class3_kca,賴明德,新學林    ,9789865407223,https://cdn.kingstone.com.tw/book/images/product/20180/2018020569542/2018020569542b.jpg
語法動起來（2版）,https://www.kingstone.com.tw//basic/2018052870654?zone=book&lid=book_class3_kca&actid=book_class3_kca,戴金惠、姚瑜雯、于麗萍,新學林    ,9789865407100,https://cdn.kingstone.com.tw/book/images/product/20180/2018052870654/2018052870654b.jpg
華語文教學研究論文集,https://www.kingstone.com.tw//basic/2018020566886?zone=book&lid=book_class3_kca&actid=book_class3_kca,鍾國榮,萬卷樓    ,9789864782727,https://cdn.kingstone.com.tw/book/images/product/20180/2018020566886/2018020566886b.jpg
華文閱讀教學策略研究,https://www.kingstone.com.tw//basic/2018020566916?zone=book&lid=book_class3_kca&actid=book_class3_kca,楊曉菁,萬卷樓    ,9789864782888,https://cdn.kingstone.com.tw/book/images/product/20180/2018020566916/2018020566916b.jpg
漢語語法學,https://www.kingstone.com.tw//basic/2018030955939?zone=book&lid=book_class3_kca&actid=book_class3_kca,劉靜宜,新學林    ,9789862959497,https://cdn.kingstone.com.tw/book/images/product/20180/2018030955939/2018030955939b.jpg
