書名,書籍網站,作者,出版社,ISBN,圖片網址
越南人學台語（附2CD）,https://www.kingstone.com.tw//basic/2018030735623?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,梁庭嘉,統一      ,9789866371424,https://cdn.kingstone.com.tw/book/images/product/20180/2018030735623/2018030735623b.jpg
越南人學中文（書附3CD）,https://www.kingstone.com.tw//basic/2018020357859?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,范水,統一      ,9789867438850,https://cdn.kingstone.com.tw/book/images/product/20180/2018020357859/2018020357859b.jpg
華語文閱讀測驗：高級篇,https://www.kingstone.com.tw//basic/2018020556009?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,楊琇惠,五南      ,9789571199047,https://cdn.kingstone.com.tw/book/images/product/20180/2018020556009/2018020556009b.jpg
泰國人輕鬆學中文：單字篇－中文．泰文．注音符號對照（附MP3+公民入籍口試題型&參考題庫）,https://www.kingstone.com.tw//basic/2018020482681?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,施明威,哈福企業  ,9789865616755,https://cdn.kingstone.com.tw/book/images/product/20180/2018020482681/2018020482681b.jpg
印尼人的實用中國話（附QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018070009555?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,陳玉順,智寬文化  ,9789869911139,https://cdn.kingstone.com.tw/book/images/product/20180/2018070009555/2018070009555b.jpg
日本人輕鬆學中文（附MP3光碟 + 掃描QR Code音檔）楽しく学ぼう台湾華語,https://www.kingstone.com.tw//basic/2018020574799?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,小原由里子，辻勝明，岡本愛,智寬文化  ,9789869911108,https://cdn.kingstone.com.tw/book/images/product/20180/2018020574799/2018020574799b.jpg
公室（簡體字版）,https://www.kingstone.com.tw//basic/2018020570241?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,箴,新學林    ,9789865407209,https://cdn.kingstone.com.tw/book/images/product/20180/2018020570241/2018020570241b.jpg
中文;文化,https://www.kingstone.com.tw//basic/2018030963392?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,秀芝（咪咪） 主編,新學林    ,9789862959244,https://cdn.kingstone.com.tw/book/images/product/20180/2018030963392/2018030963392b.jpg
實用生活華語不打烊（中級篇）（泰語版）（隨書附聽力QR CODE）,https://www.kingstone.com.tw//basic/2018020562598?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,楊琇惠,五南      ,9789571196909,https://cdn.kingstone.com.tw/book/images/product/20180/2018020562598/2018020562598b.jpg
德國人學中文（附MP3+MP4）,https://www.kingstone.com.tw//basic/2018020561836?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,智寬文化編輯團隊,智寬文化  ,9789869211178,https://cdn.kingstone.com.tw/book/images/product/20180/2018020561836/2018020561836b.jpg
說華語,https://www.kingstone.com.tw//basic/2018020557891?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,文藻外語大學華語中心,釀出版    ,9789864452965,https://cdn.kingstone.com.tw/book/images/product/20180/2018020557891/2018020557891b.jpg
精彩漢語：初級第二冊（法語版）,https://www.kingstone.com.tw//basic/2018020559055?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,林季苗 等著,五南      ,9789571198422,https://cdn.kingstone.com.tw/book/images/product/20180/2018020559055/2018020559055b.jpg
菲律賓人學中文（附3張CD）,https://www.kingstone.com.tw//basic/2018020557631?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,智寬文化編輯團隊,智寬文化  ,9789869211161,https://cdn.kingstone.com.tw/book/images/product/20180/2018020557631/2018020557631b.jpg
我要說正確的中國話_全新增訂版（附MP3音檔+MP4影片）,https://www.kingstone.com.tw//basic/2018020555507?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,呂石玫,統一      ,9789866371950,https://cdn.kingstone.com.tw/book/images/product/20180/2018020555507/2018020555507b.jpg
日常華語輕鬆學（單字及會話MP3+單字MP4）,https://www.kingstone.com.tw//basic/2018020551349?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,馮羿連 (Yilian Feng),統一      ,9789866371943,https://cdn.kingstone.com.tw/book/images/product/20180/2018020551349/2018020551349b.jpg
遊學華語,https://www.kingstone.com.tw//basic/2018020528822?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,文藻外語大學華語中心,釀出版    ,9789864451586,https://cdn.kingstone.com.tw/book/images/product/20180/2018020528822/2018020528822b.jpg
越南人的實用中國話（附MP3）,https://www.kingstone.com.tw//basic/2018020478226?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,范水,智寬文化  ,9789869211123,https://cdn.kingstone.com.tw/book/images/product/20180/2018020478226/2018020478226b.jpg
印尼人學華文不求人 （Praktis Berbicara Bahasa Mandarin）,https://www.kingstone.com.tw//basic/2018020468579?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,陳美萍Derni Tantela,煒晟國際  ,9789868877009,https://cdn.kingstone.com.tw/book/images/product/20180/2018020468579/2018020468579b.jpg
青春華語（二）,https://www.kingstone.com.tw//basic/2018020464021?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,Dr. Shih-chang Hsin(信世昌),五南      ,9789571184074,https://cdn.kingstone.com.tw/book/images/product/20180/2018020464021/2018020464021b.jpg
青春華語（一）,https://www.kingstone.com.tw//basic/2018020456118?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,信世昌,五南      ,9789571181134,https://cdn.kingstone.com.tw/book/images/product/20180/2018020456118/2018020456118b.jpg
華語教學語法 （修訂版）,https://www.kingstone.com.tw//basic/2018030851040?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,何淑貞  王錦慧,文鶴      ,9789861477091,https://cdn.kingstone.com.tw/book/images/product/20180/2018030851040/2018030851040b.jpg
印尼人輕鬆學中文．台語（附贈MP3）：全國外籍配偶生活適應班指定教材,https://www.kingstone.com.tw//basic/2018020439630?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,哈福編輯部,哈福企業  ,9789865972622,https://cdn.kingstone.com.tw/book/images/product/20180/2018020439630/2018020439630b.jpg
越南人輕鬆學中文．台語（附贈MP3）：全國外籍配偶生活適應班指定教材,https://www.kingstone.com.tw//basic/2018020439760?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,哈福編輯部,哈福企業  ,9789865972639,https://cdn.kingstone.com.tw/book/images/product/20180/2018020439760/2018020439760b.jpg
樂活妙中文：中文俗語HAPPY學/Chinese proverbs are so funny！,https://www.kingstone.com.tw//basic/2018020438978?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,夏凡妮,新學林    ,9789862953204,https://cdn.kingstone.com.tw/book/images/product/20180/2018020438978/2018020438978b.jpg
對外漢語教學法,https://www.kingstone.com.tw//basic/2018052659976?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,邢志群,文鶴      ,9789861475776,https://cdn.kingstone.com.tw/book/images/product/20180/2018052659976/2018052659976b.jpg
印尼人學台語（附2CD）,https://www.kingstone.com.tw//basic/2018030704490?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,梁庭嘉,智寬文化  ,9789868754409,https://cdn.kingstone.com.tw/book/images/product/20180/2018030704490/2018030704490b.jpg
日本人的實用中國話（附MP3）,https://www.kingstone.com.tw//basic/2018020389454?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,小原小百合,統一      ,9789866371196,https://cdn.kingstone.com.tw/book/images/product/20180/2018020389454/2018020389454b.jpg
300句說華語（隨書附贈聽力光碟）,https://www.kingstone.com.tw//basic/2018000015878?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,楊琇惠,五南      ,9789571160511,https://cdn.kingstone.com.tw/book/images/product/20180/2018000015878/2018000015878b.jpg
超好用中國語日常生活會話：觀光旅遊篇 （附MP3）,https://www.kingstone.com.tw//basic/2018020378175?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,林真真,統一      ,9789866371226,https://cdn.kingstone.com.tw/book/images/product/20180/2018020378175/2018020378175b.jpg
你愛我嗎？愛莉在台灣的故事（中英文讀本：初級2）,https://www.kingstone.com.tw//basic/2018020369470?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,麥荷,聯經      ,9789570834963,https://cdn.kingstone.com.tw/book/images/product/20180/2018020369470/2018020369470b.jpg
漢語大師（二）附CD（日文簡體字版）,https://www.kingstone.com.tw//basic/2018020366424?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,戚其璇,漢網      ,9789574163540,https://cdn.kingstone.com.tw/book/images/product/20180/2018020366424/2018020366424b.jpg
漢語直通車（附CD）（英文簡體字版）,https://www.kingstone.com.tw//basic/2018020365892?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,戚其璇,漢網      ,9789574161973,https://cdn.kingstone.com.tw/book/images/product/20180/2018020365892/2018020365892b.jpg
大陸常用辭語彙編,https://www.kingstone.com.tw//basic/2018020359563?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,大陸常用辭,秀威資訊  ,9789862211557,https://cdn.kingstone.com.tw/book/images/product/20180/2018020359563/2018020359563b.jpg
讀兒歌學中文3,https://www.kingstone.com.tw//basic/2018020359303?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,聯經編輯漢語學習小姐,聯經      ,9789570833812,https://cdn.kingstone.com.tw/book/images/product/20180/2018020359303/2018020359303b.jpg
讀兒歌學中文4,https://www.kingstone.com.tw//basic/2018020359433?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,聯經編輯漢語學習小姐,聯經      ,9789570833829,https://cdn.kingstone.com.tw/book/images/product/20180/2018020359433/2018020359433b.jpg
輕鬆學中國話（書附MP3）,https://www.kingstone.com.tw//basic/2018030606473?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,鄒息美,統一      ,9789867438836,https://cdn.kingstone.com.tw/book/images/product/20180/2018030606473/2018030606473b.jpg
華語（書附CD）,https://www.kingstone.com.tw//basic/2018020337325?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,Melinda Robe,統一      ,9789867438607,https://cdn.kingstone.com.tw/book/images/product/20180/2018020337325/2018020337325b.jpg
日中台英常用諺語會話,https://www.kingstone.com.tw//basic/2018010030120?zone=book&lid=book_class3_kcb&actid=book_class3_kcb,文榮,文榮      ,9789578754270,https://cdn.kingstone.com.tw/book/images/product/20180/2018010030120/2018010030120b.jpg
