書名,書籍網站,作者,出版社,ISBN,圖片網址
菲律賓人學中文（附QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018020584576?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,智寬文化編輯團隊,智寬文化  ,9789869911146,https://cdn.kingstone.com.tw/book/images/product/20180/2018020584576/2018020584576b.jpg
漢語大師1（日文版）繁體中文版（附CD）（八版）,https://www.kingstone.com.tw//basic/2018020581100?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,戚其璇,漢網      ,9789574382446,https://cdn.kingstone.com.tw/book/images/product/20180/2018020581100/2018020581100b.jpg
菲律賓人輕鬆學中文（附QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018020583944?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳承泰、陳文智,智寬文化  ,9789869911122,https://cdn.kingstone.com.tw/book/images/product/20180/2018020583944/2018020583944b.jpg
漢語大師2（日文版）繁體中文版（附CD）第6版,https://www.kingstone.com.tw//basic/2018030961558?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,戚其璇,漢網      ,9789574366415,https://cdn.kingstone.com.tw/book/images/product/20180/2018030961558/2018030961558b.jpg
當代中文課程課本2,https://www.kingstone.com.tw//basic/2018020457030?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570846508,https://cdn.kingstone.com.tw/book/images/product/20180/2018020457030/2018020457030b.jpg
韓國人學中文（附MP3）,https://www.kingstone.com.tw//basic/2018020415818?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,鄒錫美,統一      ,9789866371455,https://cdn.kingstone.com.tw/book/images/product/20180/2018020415818/2018020415818b.jpg
韓國人的中文分類小辭典（附MP3）,https://www.kingstone.com.tw//basic/2018020412152?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳慶德,統一      ,9789866371462,https://cdn.kingstone.com.tw/book/images/product/20180/2018020412152/2018020412152b.jpg
漢語大師3（日文版）繁體中文版（附CD）第5版,https://www.kingstone.com.tw//basic/2018030970673?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,戚其璇、呂石玫,漢網      ,9789574368150,https://cdn.kingstone.com.tw/book/images/product/20180/2018030970673/2018030970673b.jpg
縱橫天下事 1：華語新聞教材 課本（附作業本）,https://www.kingstone.com.tw//basic/2018020584286?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,杜昭玫,聯經      ,9789570857436,https://cdn.kingstone.com.tw/book/images/product/20180/2018020584286/2018020584286b.jpg
各行各業說中文課本1（附作業本）,https://www.kingstone.com.tw//basic/2018020560464?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570852103,https://cdn.kingstone.com.tw/book/images/product/20180/2018020560464/2018020560464b.jpg
當代中文課程課本5（附作業本）,https://www.kingstone.com.tw//basic/2018020550687?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570851328,https://cdn.kingstone.com.tw/book/images/product/20180/2018020550687/2018020550687b.jpg
當代中文課程課本4,https://www.kingstone.com.tw//basic/2018020528402?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570848335,https://cdn.kingstone.com.tw/book/images/product/20180/2018020528402/2018020528402b.jpg
看圖學中文語法：進階篇,https://www.kingstone.com.tw//basic/2018020527580?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,劉崇仁,聯經      ,9789570848038,https://cdn.kingstone.com.tw/book/images/product/20180/2018020527580/2018020527580b.jpg
當代中文課程作業本 3,https://www.kingstone.com.tw//basic/2018020477304?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,鄧守信,聯經      ,4711132387742,https://cdn.kingstone.com.tw/book/images/product/20180/2018020477304/2018020477304b.jpg
當代中文課程課本 3,https://www.kingstone.com.tw//basic/2018020477564?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,鄧守信,聯經      ,9789570847376,https://cdn.kingstone.com.tw/book/images/product/20180/2018020477564/2018020477564b.jpg
當代中文課程作業本2,https://www.kingstone.com.tw//basic/2018020456828?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,4711132387636,https://cdn.kingstone.com.tw/book/images/product/20180/2018020456828/2018020456828b.jpg
當代中文課程作業本 1,https://www.kingstone.com.tw//basic/2018020449097?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,4711132387612,https://cdn.kingstone.com.tw/book/images/product/20180/2018020449097/2018020449097b.jpg
當代中文課程課本1,https://www.kingstone.com.tw//basic/2018020449257?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570845693,https://cdn.kingstone.com.tw/book/images/product/20180/2018020449257/2018020449257b.jpg
縱橫天下事 2：華語新聞教材（附作業本）,https://www.kingstone.com.tw//basic/2018020585368?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中,聯經      ,9789570859621,https://cdn.kingstone.com.tw/book/images/product/20180/2018020585368/2018020585368b.jpg
給外國人的中文課：打電話、在餐廳、郵局銀行、在醫院、去逛街（套書）,https://www.kingstone.com.tw//basic/2018031012754?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,朱榮智、王慧娟、陳立芬、舒兆民,新學林    ,9789865260637,https://cdn.kingstone.com.tw/book/images/product/20180/2018031012754/2018031012754b.jpg
給外國人的中文課：租房子、搭捷運、休閒娛樂、去旅行（套書）,https://www.kingstone.com.tw//basic/2018031012884?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,朱榮智、王慧娟、陳立芬、舒兆民,新學林    ,9789865260644,https://cdn.kingstone.com.tw/book/images/product/20180/2018031012884/2018031012884b.jpg
華語寫作一學就上手【基礎級】,https://www.kingstone.com.tw//basic/2018020583494?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳嘉凌,五南      ,9789865224776,https://cdn.kingstone.com.tw/book/images/product/20180/2018020583494/2018020583494b.jpg
急救中文（初集）,https://www.kingstone.com.tw//basic/2010850002107?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳雲,花千樹    ,9789888042715,https://cdn.kingstone.com.tw/book/images/product/20108/2010850002107/2010850002107b.jpg
急救中文（二集）：寫好中文，我有一套,https://www.kingstone.com.tw//basic/2018020580998?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳雲,花千樹    ,9789888042968,https://cdn.kingstone.com.tw/book/images/product/20180/2018020580998/2018020580998b.jpg
這個時候你怎麼說？戀愛華語,https://www.kingstone.com.tw//basic/2018020580578?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,舒兆民、宋怡南、陳玉明,新學林    ,9789865532697,https://cdn.kingstone.com.tw/book/images/product/20180/2018020580578/2018020580578b.jpg
閱讀臺灣，學華語（隨書附華語正音名師親錄標準華語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018020577615?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,蔡喬育、戴宣毓、游東道,瑞蘭      ,9789579138932,https://cdn.kingstone.com.tw/book/images/product/20180/2018020577615/2018020577615b.jpg
商用華語：一本設身處地式的的商務華語教材,https://www.kingstone.com.tw//basic/2018020575901?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立清華大學華語中心編輯,五南      ,9789577631008,https://cdn.kingstone.com.tw/book/images/product/20180/2018020575901/2018020575901b.jpg
漢語語法教程,https://www.kingstone.com.tw//basic/2018020585498?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,林玉山,萬卷樓    ,9789864783885,https://cdn.kingstone.com.tw/book/images/product/20180/2018020585498/2018020585498b.jpg
迷你廣播劇 學生作業簿,https://www.kingstone.com.tw//basic/2018020574249?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,正中書局  ,4711605480567,https://cdn.kingstone.com.tw/book/images/product/20180/2018020574249/2018020574249b.jpg
迷你廣播劇（附MP3）,https://www.kingstone.com.tw//basic/2018020574539?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,正中書局  ,9789570919769,https://cdn.kingstone.com.tw/book/images/product/20180/2018020574539/2018020574539b.jpg
Chinesisch einmal ganz anders 精彩漢語初級漢語教材（德語版）,https://www.kingstone.com.tw//basic/2018020571873?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,信世昌主編,五南      ,9789577636003,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571873/2018020571873b.jpg
各行各業說中文課本2（附作業本）,https://www.kingstone.com.tw//basic/2018020570951?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570853940,https://cdn.kingstone.com.tw/book/images/product/20180/2018020570951/2018020570951b.jpg
專業實用餐飲華語：職場必備字彙句型與會話（16K+1MP3）,https://www.kingstone.com.tw//basic/2018020570531?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳怡君、Pei-Lin Lee等,寂天文化  ,9789863188339,https://cdn.kingstone.com.tw/book/images/product/20180/2018020570531/2018020570531b.jpg
時代華語 2 教師手冊Modern Chinese Teacher，s Manual I,https://www.kingstone.com.tw//basic/2018020570401?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,輔仁大學華語文中心,正中書局  ,9789570919714,https://cdn.kingstone.com.tw/book/images/product/20180/2018020570401/2018020570401b.jpg
活用中文：高級職業學校建教僑生專班華語教材（越南文版）,https://www.kingstone.com.tw//basic/2018020570111?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,劉秀芝 主編,新學林    ,9789865407216,https://cdn.kingstone.com.tw/book/images/product/20180/2018020570111/2018020570111b.jpg
唱歌學中文：翻轉教室與線上華語歌曲教學,https://www.kingstone.com.tw//basic/2018030963712?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,曾金金 編,新學林    ,9789862959374,https://cdn.kingstone.com.tw/book/images/product/20180/2018030963712/2018030963712b.jpg
閃亮亮唇蜜色的語言︰21篇具有故事情節的語言教材,https://www.kingstone.com.tw//basic/2018000032226?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,彭心怡,唐山出版社,9789863071723,https://cdn.kingstone.com.tw/book/images/product/20180/2018000032226/2018000032226b.jpg
漢語大師2（英文版）繁體中文版（附CD）四版,https://www.kingstone.com.tw//basic/2018030956301?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,戚其璇,漢網      ,9789574363810,https://cdn.kingstone.com.tw/book/images/product/20180/2018030956301/2018030956301b.jpg
時代華語 I 作業本Modern Chinese Workbook I,https://www.kingstone.com.tw//basic/2018020561546?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,顏雪芬、袁寧均、陳怡攸,正中書局  ,4711605480345,https://cdn.kingstone.com.tw/book/images/product/20180/2018020561546/2018020561546b.jpg
時代華語 IModern Chinese I時代華語 IModern Chinese I,https://www.kingstone.com.tw//basic/2018020561676?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,顏雪芬、袁寧均、陳怡攸,正中書局  ,9789570919677,https://cdn.kingstone.com.tw/book/images/product/20180/2018020561676/2018020561676b.jpg
時代華語 I 漢字習寫本Modern Chinese Character Workbook I,https://www.kingstone.com.tw//basic/2018020561706?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,顏雪芬、袁寧均、陳怡攸,正中書局  ,4711605480352,https://cdn.kingstone.com.tw/book/images/product/20180/2018020561706/2018020561706b.jpg
大家學華語（日語版）：會聽、會看、會寫、會說！日本人的華語入門，這本開始！（隨書附贈作者親錄,https://www.kingstone.com.tw//basic/2018020559895?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,樂大維,瑞蘭      ,9789578431850,https://cdn.kingstone.com.tw/book/images/product/20180/2018020559895/2018020559895b.jpg
當代中文課程課本6（附作業本）（A Course in Contemporary Chinese 6 （Textbook））,https://www.kingstone.com.tw//basic/2018020558393?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570852189,https://cdn.kingstone.com.tw/book/images/product/20180/2018020558393/2018020558393b.jpg
國際學生學分班適用實用華語?二十課,https://www.kingstone.com.tw//basic/2018030936297?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,李曉鳳,新學林    ,9789862958735,https://cdn.kingstone.com.tw/book/images/product/20180/2018030936297/2018030936297b.jpg
華語說詞解字,https://www.kingstone.com.tw//basic/2018020555637?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,何萬儀、劉莉美,淡江大學  ,9789869607155,https://cdn.kingstone.com.tw/book/images/product/20180/2018020555637/2018020555637b.jpg
實用華語單字書,https://www.kingstone.com.tw//basic/2018020554975?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571195704,https://cdn.kingstone.com.tw/book/images/product/20180/2018020554975/2018020554975b.jpg
華語教學新手指南（二）：海外教學與生活適應,https://www.kingstone.com.tw//basic/2018030927752?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,宋如瑜,新學林    ,9789862958506,https://cdn.kingstone.com.tw/book/images/product/20180/2018030927752/2018030927752b.jpg
多功能墊板超值包 ：漢語墊板超值組合包,https://www.kingstone.com.tw//basic/2018020550717?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,遠東圖書公司編審委員會,遠東圖書  ,4718159800841,https://cdn.kingstone.com.tw/book/images/product/20180/2018020550717/2018020550717b.jpg
華語文閱讀測驗：中級篇 （泰語版）,https://www.kingstone.com.tw//basic/2018020550137?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571196671,https://cdn.kingstone.com.tw/book/images/product/20180/2018020550137/2018020550137b.jpg
華語文閱讀測驗：初級篇 （泰語版）,https://www.kingstone.com.tw//basic/2018020550267?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571196695,https://cdn.kingstone.com.tw/book/images/product/20180/2018020550267/2018020550267b.jpg
CHINOIS SANS FRONTIERES Tome 1精彩漢語 （初級漢語教材第一冊）（法語版）,https://www.kingstone.com.tw//basic/2018020548226?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,信世昌 等,五南      ,9789571194530,https://cdn.kingstone.com.tw/book/images/product/20180/2018020548226/2018020548226b.jpg
華語文閱讀測驗－初級篇西班牙,https://www.kingstone.com.tw//basic/2018020543986?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571193779,https://cdn.kingstone.com.tw/book/images/product/20180/2018020543986/2018020543986b.jpg
華語文閱讀測驗－中級篇西班牙,https://www.kingstone.com.tw//basic/2018020544068?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571194660,https://cdn.kingstone.com.tw/book/images/product/20180/2018020544068/2018020544068b.jpg
神怪及傳奇,https://www.kingstone.com.tw//basic/2018020544228?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571192604,https://cdn.kingstone.com.tw/book/images/product/20180/2018020544228/2018020544228b.jpg
漢字300習字本（四）,https://www.kingstone.com.tw//basic/2018020536735?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571191423,https://cdn.kingstone.com.tw/book/images/product/20180/2018020536735/2018020536735b.jpg
漢字300（習字本3 ）,https://www.kingstone.com.tw//basic/2018020530573?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571188935,https://cdn.kingstone.com.tw/book/images/product/20180/2018020530573/2018020530573b.jpg
寓言 （越南語版）（隨書附贈聽力光碟一片）,https://www.kingstone.com.tw//basic/2018020529294?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571188775,https://cdn.kingstone.com.tw/book/images/product/20180/2018020529294/2018020529294b.jpg
寓言 （印尼語版）（隨書附贈聽力光碟一片）,https://www.kingstone.com.tw//basic/2018020529584?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571188805,https://cdn.kingstone.com.tw/book/images/product/20180/2018020529584/2018020529584b.jpg
當代中文課程作業本 4,https://www.kingstone.com.tw//basic/2018020528372?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,4711132387780,https://cdn.kingstone.com.tw/book/images/product/20180/2018020528372/2018020528372b.jpg
華語文閱讀測驗：中級篇,https://www.kingstone.com.tw//basic/2018020528082?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠,五南      ,9789571188836,https://cdn.kingstone.com.tw/book/images/product/20180/2018020528082/2018020528082b.jpg
精彩漢語（一）初級漢語教材,https://www.kingstone.com.tw//basic/2018020527740?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,信世昌,五南      ,9789571184333,https://cdn.kingstone.com.tw/book/images/product/20180/2018020527740/2018020527740b.jpg
國文語法教學的理論與實務,https://www.kingstone.com.tw//basic/2015240208404?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊如雪,萬卷樓    ,9789864780181,https://cdn.kingstone.com.tw/book/images/product/20152/2015240208404/2015240208404b.jpg
遠東商務漢語Ⅲ（繁體字版）,https://www.kingstone.com.tw//basic/2018020475980?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,葉德明(主編),遠東圖書  ,9789865878856,https://cdn.kingstone.com.tw/book/images/product/20180/2018020475980/2018020475980b.jpg
華語文閱讀測驗：初級篇,https://www.kingstone.com.tw//basic/2018020468739?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠 編著,五南      ,9789571185507,https://cdn.kingstone.com.tw/book/images/product/20180/2018020468739/2018020468739b.jpg
遠東商務漢語II（繁體版）,https://www.kingstone.com.tw//basic/2018030849009?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,葉德明（主編）朱國華、黃桂英,遠東圖書  ,9789865878344,https://cdn.kingstone.com.tw/book/images/product/20180/2018030849009/2018030849009b.jpg
愛美麗華語（初級）LOVEmily Mandarin Chinese（Easy Conversation）,https://www.kingstone.com.tw//basic/2018020460023?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,愛美麗,獵海人    ,9789574328482,https://cdn.kingstone.com.tw/book/images/product/20180/2018020460023/2018020460023b.jpg
當代中文課程漢字練習簿 2,https://www.kingstone.com.tw//basic/2018020456958?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,4711132387643,https://cdn.kingstone.com.tw/book/images/product/20180/2018020456958/2018020456958b.jpg
基本漢字300 （簡體版）300 Primary Chinese Characters （Simplified Character）,https://www.kingstone.com.tw//basic/2018020457160?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,遠東圖書公司編審委員會,遠東圖書  ,9789865878320,https://cdn.kingstone.com.tw/book/images/product/20180/2018020457160/2018020457160b.jpg
看圖學中文語法：基礎篇,https://www.kingstone.com.tw//basic/2018020453582?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570846218,https://cdn.kingstone.com.tw/book/images/product/20180/2018020453582/2018020453582b.jpg
說出好中文（附MP3+MP4）,https://www.kingstone.com.tw//basic/2018020451748?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,樂大維,智寬文化  ,9789869211109,https://cdn.kingstone.com.tw/book/images/product/20180/2018020451748/2018020451748b.jpg
華語文閱讀測驗－高級篇,https://www.kingstone.com.tw//basic/2018020450406?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,楊琇惠 編著,五南      ,9789571180892,https://cdn.kingstone.com.tw/book/images/product/20180/2018020450406/2018020450406b.jpg
當代中文課程漢字練習簿 1,https://www.kingstone.com.tw//basic/2018020449127?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,4711132387629,https://cdn.kingstone.com.tw/book/images/product/20180/2018020449127/2018020449127b.jpg
職場華語通：越南人學華語,https://www.kingstone.com.tw//basic/2018020439340?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,文藻外語應用華語文系,釀出版    ,9789865696207,https://cdn.kingstone.com.tw/book/images/product/20180/2018020439340/2018020439340b.jpg
中文量詞歷史辭典,https://www.kingstone.com.tw//basic/2018052655268?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳榮安,文鶴      ,9789861476155,https://cdn.kingstone.com.tw/book/images/product/20180/2018052655268/2018052655268b.jpg
華語教學新手指南—實境點評,https://www.kingstone.com.tw//basic/2018030780418?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,宋如瑜,新學林    ,9789862952252,https://cdn.kingstone.com.tw/book/images/product/20180/2018030780418/2018030780418b.jpg
AP中文5C教學—理論、策略與實務,https://www.kingstone.com.tw//basic/2018030780548?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,李秀芬,新學林    ,9789862952269,https://cdn.kingstone.com.tw/book/images/product/20180/2018030780548/2018030780548b.jpg
印尼人的實用中國話（附3CD）,https://www.kingstone.com.tw//basic/2018020426197?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,陳玉順,智寬文化  ,9789868754447,https://cdn.kingstone.com.tw/book/images/product/20180/2018020426197/2018020426197b.jpg
華語情境圖畫詞典,https://www.kingstone.com.tw//basic/2028020414209?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,國立臺灣師範大學國語教學中心,聯經      ,9789570840780,https://cdn.kingstone.com.tw/book/images/product/20280/2028020414209/2028020414209b.jpg
全新版華語 Easy Chinese第四冊（加註簡體字版）（附電子書）,https://www.kingstone.com.tw//basic/2018020416570?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,蘇月英總主編,正中書局  ,9789867397799,https://cdn.kingstone.com.tw/book/images/product/20180/2018020416570/2018020416570b.jpg
全新版華語 Easy Chinese第五冊（加註簡體字版）（附電子書）,https://www.kingstone.com.tw//basic/2018020416860?zone=book&lid=book_class3_kcc&actid=book_class3_kcc,蘇月英總主編,正中書局  ,9789867397805,https://cdn.kingstone.com.tw/book/images/product/20180/2018020416860/2018020416860b.jpg
