書名,書籍網站,作者,出版社,ISBN,圖片網址
華語文能力測驗關鍵詞彙：進階篇（The Ultimate Guide to Chinese Vocabulary & TOCFL）,https://www.kingstone.com.tw//basic/2018020543146?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,吳彰英、周美宏、孫淑儀等,聯經      ,9789570850338,https://cdn.kingstone.com.tw/book/images/product/20180/2018020543146/2018020543146b.jpg
臺語漢字與詞彙研究論文集,https://www.kingstone.com.tw//basic/2018031004551?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,姚榮松,萬卷樓    ,9789864780358,https://cdn.kingstone.com.tw/book/images/product/20180/2018031004551/2018031004551b.jpg
空服汉语（簡體字版）,https://www.kingstone.com.tw//basic/2018052844211?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,李育修,新學林    ,9789862959268,https://cdn.kingstone.com.tw/book/images/product/20180/2018052844211/2018052844211b.jpg
新聞華語,https://www.kingstone.com.tw//basic/2018020555057?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,楊琇惠,五南      ,9789571196640,https://cdn.kingstone.com.tw/book/images/product/20180/2018020555057/2018020555057b.jpg
1000強漢語詞彙手冊：漢語/英語/印地語,https://www.kingstone.com.tw//basic/2018052786252?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,Dr. Geeta Kochhar等,新學林    ,9789862957578,https://cdn.kingstone.com.tw/book/images/product/20180/2018052786252/2018052786252b.jpg
深入教學：新加坡華文特級教師的教學實踐與反思,https://www.kingstone.com.tw//basic/2015200171656?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳志銳主編,萬卷樓    ,9789577398864,https://cdn.kingstone.com.tw/book/images/product/20152/2015200171656/2015200171656b.jpg
華語文教學實證研究：新加坡中小學經驗（簡體）,https://www.kingstone.com.tw//basic/2018020474648?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,胡月寶,萬卷樓    ,9789577399182,https://cdn.kingstone.com.tw/book/images/product/20180/2018020474648/2018020474648b.jpg
中國經典歷史故事,https://www.kingstone.com.tw//basic/2018020439470?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,吳品嬅、林梅琪、馬偉怡、張美玲,正中書局  ,9789570919295,https://cdn.kingstone.com.tw/book/images/product/20180/2018020439470/2018020439470b.jpg
當代西藏漢語文學精選1983－2013,https://www.kingstone.com.tw//basic/2018390002229?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,鍾怡雯、陳大為主編,萬卷樓    ,9789577398659,https://cdn.kingstone.com.tw/book/images/product/20183/2018390002229/2018390002229b.jpg
現代文學及其教學,https://www.kingstone.com.tw//basic/2018500016740?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳志銳主編,萬卷樓    ,9789577397904,https://cdn.kingstone.com.tw/book/images/product/20185/2018500016740/2018500016740b.jpg
晏子：矮小的大人物（中英文讀本：初級1）,https://www.kingstone.com.tw//basic/2018020369340?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,冷步梅,聯經      ,9789570834956,https://cdn.kingstone.com.tw/book/images/product/20180/2018020369340/2018020369340b.jpg
中國笑話（中英文讀本：初級3）,https://www.kingstone.com.tw//basic/2018020369500?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,甯怡改寫,聯經      ,9789570834949,https://cdn.kingstone.com.tw/book/images/product/20180/2018020369500/2018020369500b.jpg
漢學研究與華語文教學,https://www.kingstone.com.tw//basic/2010300016982?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,戴維揚、余金龍,萬卷樓    ,9789577396624,https://cdn.kingstone.com.tw/book/images/product/20103/2010300016982/2010300016982b.jpg
風格的煉成：亞洲華文文學論集,https://www.kingstone.com.tw//basic/2018500017112?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為,萬卷樓    ,9789577396563,https://cdn.kingstone.com.tw/book/images/product/20185/2018500017112/2018500017112b.jpg
經典的誤讀與定位：華文文學專題研究,https://www.kingstone.com.tw//basic/2018500017082?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,鍾怡雯,萬卷樓    ,9789577396570,https://cdn.kingstone.com.tw/book/images/product/20185/2018500017082/2018500017082b.jpg
讀兒歌學中文1,https://www.kingstone.com.tw//basic/2018020359143?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,聯經編輯漢語學習小姐,聯經      ,9789570833799,https://cdn.kingstone.com.tw/book/images/product/20180/2018020359143/2018020359143b.jpg
讀兒歌學中文2,https://www.kingstone.com.tw//basic/2018020359273?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,聯經編輯漢語學習小姐,聯經      ,9789570833805,https://cdn.kingstone.com.tw/book/images/product/20180/2018020359273/2018020359273b.jpg
馬華散文史讀本1957～2007（Vol.3）,https://www.kingstone.com.tw//basic/2018680011528?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為　鍾怡雯編,萬卷樓    ,9789577396167,https://cdn.kingstone.com.tw/book/images/product/20186/2018680011528/2018680011528b.jpg
馬華散文史讀本1957～2007（Vol.2）,https://www.kingstone.com.tw//basic/2018680011498?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為　鍾怡雯編,萬卷樓    ,9789577396150,https://cdn.kingstone.com.tw/book/images/product/20186/2018680011498/2018680011498b.jpg
馬華散文史讀本1957～2007（Vol.1）,https://www.kingstone.com.tw//basic/2018680011368?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為　鍾怡雯編,萬卷樓    ,9789577396136,https://cdn.kingstone.com.tw/book/images/product/20186/2018680011368/2018680011368b.jpg
亞洲閱讀：都市文學與文化1950～2004,https://www.kingstone.com.tw//basic/2018120179399?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為,萬卷樓    ,9789577394965,https://cdn.kingstone.com.tw/book/images/product/20181/2018120179399/2018120179399b.jpg
赤道回聲,https://www.kingstone.com.tw//basic/2018680011658?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為等編,萬卷樓    ,9789577394637,https://cdn.kingstone.com.tw/book/images/product/20186/2018680011658/2018680011658b.jpg
亞洲中文現代詩的都市書寫,https://www.kingstone.com.tw//basic/2018210074764?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為,萬卷樓    ,9789577393173,https://cdn.kingstone.com.tw/book/images/product/20182/2018210074764/2018210074764b.jpg
亞細亞的象形詩維,https://www.kingstone.com.tw//basic/2018210074894?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳大為,萬卷樓    ,9789577393159,https://cdn.kingstone.com.tw/book/images/product/20182/2018210074894/2018210074894b.jpg
華語常用句型與結構330,https://www.kingstone.com.tw//basic/2018020411100?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,陳如,書林      ,9789574454761,https://cdn.kingstone.com.tw/book/images/product/20180/2018020411100/2018020411100b.jpg
西遊記：齊天大聖孫悟空前傳（中英文讀本：中級）,https://www.kingstone.com.tw//basic/2018020369630?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,劉靜宜,聯經      ,9789570834932,https://cdn.kingstone.com.tw/book/images/product/20180/2018020369630/2018020369630b.jpg
中文真好玩,https://www.kingstone.com.tw//basic/2018020314395?zone=book&lid=book_class3_kcz&actid=book_class3_kcz,張國瑋,萬人      ,9789574611942,https://cdn.kingstone.com.tw/book/images/product/20180/2018020314395/2018020314395b.jpg
