書名,書籍網站,作者,出版社,ISBN,圖片網址
日文圖解生活口語 口袋書,https://www.kingstone.com.tw//basic/2018030924836?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯部,希伯崙    ,9789864412143,https://cdn.kingstone.com.tw/book/images/product/20180/2018030924836/2018030924836b.jpg
日語必學50音+句型+會話 口袋書,https://www.kingstone.com.tw//basic/2018030833060?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯群,希伯崙    ,9789865776817,https://cdn.kingstone.com.tw/book/images/product/20180/2018030833060/2018030833060b.jpg
隨身攜帶版初學者開口說日語（附中日發音音檔QR Code）,https://www.kingstone.com.tw//basic/2018031017834?zone=book&lid=book_class3_kea&actid=book_class3_kea,中間多惠,笛藤出版圖,9789577108272,https://cdn.kingstone.com.tw/book/images/product/20180/2018031017834/2018031017834b.jpg
生活日語全集中圖解日語單字 （口袋書）,https://www.kingstone.com.tw//basic/2018031017254?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯群,希伯崙    ,9789864415885,https://cdn.kingstone.com.tw/book/images/product/20180/2018031017254/2018031017254b.jpg
3秒開口說旅遊日語口袋書（點讀版）,https://www.kingstone.com.tw//basic/2018030886851?zone=book&lid=book_class3_kea&actid=book_class3_kea,佐藤生(IKU老師),希伯崙    ,9789864411252,https://cdn.kingstone.com.tw/book/images/product/20180/2018030886851/2018030886851b.jpg
日本人最常說的日語1000句口袋書 （點讀版）,https://www.kingstone.com.tw//basic/2018030880699?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯部,希伯崙    ,9789864410941,https://cdn.kingstone.com.tw/book/images/product/20180/2018030880699/2018030880699b.jpg
圖解日語單字王口袋書 （點讀版）,https://www.kingstone.com.tw//basic/2018030866327?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯部,希伯崙    ,9789864410682,https://cdn.kingstone.com.tw/book/images/product/20180/2018030866327/2018030866327b.jpg
臨時一定要會的日語4000句 口袋書,https://www.kingstone.com.tw//basic/2018030864163?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯部,希伯崙    ,9789864410446,https://cdn.kingstone.com.tw/book/images/product/20180/2018030864163/2018030864163b.jpg
彩繪圖解日本語口袋書,https://www.kingstone.com.tw//basic/2018030834982?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯群,希伯崙    ,9789864410149,https://cdn.kingstone.com.tw/book/images/product/20180/2018030834982/2018030834982b.jpg
一生必學的萬用日語會話（口袋書）,https://www.kingstone.com.tw//basic/2018052522430?zone=book&lid=book_class3_kea&actid=book_class3_kea,清川久慈,我識      ,9789866163906,https://cdn.kingstone.com.tw/book/images/product/20180/2018052522430/2018052522430b.jpg
不小心就學會日語（附MP3）（50K）,https://www.kingstone.com.tw//basic/2018030655846?zone=book&lid=book_class3_kea&actid=book_class3_kea,雅典日研所,雅典      ,9789866282119,https://cdn.kingstone.com.tw/book/images/product/20180/2018030655846/2018030655846b.jpg
日文單字急救包（業務篇）（50K附MP3）,https://www.kingstone.com.tw//basic/2018030650636?zone=book&lid=book_class3_kea&actid=book_class3_kea,雅典日研所,雅典      ,9789866282096,https://cdn.kingstone.com.tw/book/images/product/20180/2018030650636/2018030650636b.jpg
生活日語萬用手冊（附MP3）（48K）,https://www.kingstone.com.tw//basic/2018030648145?zone=book&lid=book_class3_kea&actid=book_class3_kea,雅典日研所,雅典      ,9789866282041,https://cdn.kingstone.com.tw/book/images/product/20180/2018030648145/2018030648145b.jpg
日中英.旅遊隨身辞典（附CD 1片）,https://www.kingstone.com.tw//basic/2018030646981?zone=book&lid=book_class3_kea&actid=book_class3_kea,大新編輯部,大新書局  ,9789866438363,https://cdn.kingstone.com.tw/book/images/product/20180/2018030646981/2018030646981b.jpg
日語關鍵字一把抓（MP3）（50K）,https://www.kingstone.com.tw//basic/2018030642143?zone=book&lid=book_class3_kea&actid=book_class3_kea,雅典日研所,雅典      ,9789867041968,https://cdn.kingstone.com.tw/book/images/product/20180/2018030642143/2018030642143b.jpg
日語這樣說最正確（MP3）（50K）,https://www.kingstone.com.tw//basic/2018030639990?zone=book&lid=book_class3_kea&actid=book_class3_kea,雅典日研所,雅典      ,9789867041906,https://cdn.kingstone.com.tw/book/images/product/20180/2018030639990/2018030639990b.jpg
日語單字萬用表現辭典2000字（大50K）,https://www.kingstone.com.tw//basic/2018030633158?zone=book&lid=book_class3_kea&actid=book_class3_kea,西村惠子,山田社    ,9789862461068,https://cdn.kingstone.com.tw/book/images/product/20180/2018030633158/2018030633158b.jpg
生活日語萬用表現辭典3000句（大50K）,https://www.kingstone.com.tw//basic/2018030633318?zone=book&lid=book_class3_kea&actid=book_class3_kea,西村惠子,山田社    ,9789862460344,https://cdn.kingstone.com.tw/book/images/product/20180/2018030633318/2018030633318b.jpg
一本就夠用！新日檢N1單字王 (口袋書),https://www.kingstone.com.tw//basic/2018052565314?zone=book&lid=book_class3_kea&actid=book_class3_kea,LiveABC編輯群,希伯崙    ,9789865776398,https://cdn.kingstone.com.tw/book/images/product/20180/2018052565314/2018052565314b.jpg
日本人最常說的日語1000句(口袋書),https://www.kingstone.com.tw//basic/2018030726928?zone=book&lid=book_class3_kea&actid=book_class3_kea,希伯崙編輯部,希伯崙    ,9789866051241,https://cdn.kingstone.com.tw/book/images/product/20180/2018030726928/2018030726928b.jpg
完全圖解日語50音(口袋書),https://www.kingstone.com.tw//basic/2018030700782?zone=book&lid=book_class3_kea&actid=book_class3_kea,希伯崙編輯部,希伯崙    ,9789866051067,https://cdn.kingstone.com.tw/book/images/product/20180/2018030700782/2018030700782b.jpg
學來學去都學這些生活日語口袋書（書+1MP3）,https://www.kingstone.com.tw//basic/2018030671792?zone=book&lid=book_class3_kea&actid=book_class3_kea,伊藤幹彥,我識      ,9789866481819,https://cdn.kingstone.com.tw/book/images/product/20180/2018030671792/2018030671792b.jpg
NEW日文單字放口袋(1MP3)(附防水書套),https://www.kingstone.com.tw//basic/2018030655006?zone=book&lid=book_class3_kea&actid=book_class3_kea,郭欣怡,懶鬼子    ,9789866957963,https://cdn.kingstone.com.tw/book/images/product/20180/2018030655006/2018030655006b.jpg
彩繪日語50音 一學就會！(32K+1MP3,https://www.kingstone.com.tw//basic/2018030630812?zone=book&lid=book_class3_kea&actid=book_class3_kea,艾莉,寂天文化  ,9789861845685,https://cdn.kingstone.com.tw/book/images/product/20180/2018030630812/2018030630812b.jpg
日語會話萬用表現辭典3000句(50K),https://www.kingstone.com.tw//basic/2018030628581?zone=book&lid=book_class3_kea&actid=book_class3_kea,吉松由美,山田社    ,9789862460320,https://cdn.kingstone.com.tw/book/images/product/20180/2018030628581/2018030628581b.jpg
溜日本話中文就行啦(50K+1MP3),https://www.kingstone.com.tw//basic/2018030628451?zone=book&lid=book_class3_kea&actid=book_class3_kea,山田玲奈,山田社    ,9789862460474,https://cdn.kingstone.com.tw/book/images/product/20180/2018030628451/2018030628451b.jpg
史上最強日語會話(口袋書)(附1MP3),https://www.kingstone.com.tw//basic/2018030627089?zone=book&lid=book_class3_kea&actid=book_class3_kea,伊藤幹彥,我識      ,9789866481109,https://cdn.kingstone.com.tw/book/images/product/20180/2018030627089/2018030627089b.jpg
商用日文書信範例(50K軟皮精裝),https://www.kingstone.com.tw//basic/2014930040409?zone=book&lid=book_class3_kea&actid=book_class3_kea,橋本友紀,寂天文化  ,9789861845241,https://cdn.kingstone.com.tw/book/images/product/20149/2014930040409/2014930040409b.jpg
史上最強日語五十音(口袋書)(附1MP3),https://www.kingstone.com.tw//basic/2018030622459?zone=book&lid=book_class3_kea&actid=book_class3_kea,我識全球語文教學中心,我識      ,9789866481086,https://cdn.kingstone.com.tw/book/images/product/20180/2018030622459/2018030622459b.jpg
日語文法簡單到不行（32K+1CD）,https://www.kingstone.com.tw//basic/2018030617332?zone=book&lid=book_class3_kea&actid=book_class3_kea,吉松由美,山田社    ,9789866726354,https://cdn.kingstone.com.tw/book/images/product/20180/2018030617332/2018030617332b.jpg
日英中單字一本搞定 (50K+4MP3),https://www.kingstone.com.tw//basic/2018030613174?zone=book&lid=book_class3_kea&actid=book_class3_kea,葉平亭,寂天文化  ,9789861844749,https://cdn.kingstone.com.tw/book/images/product/20180/2018030613174/2018030613174b.jpg
日語50音簡單到不行(附光碟/CD)(32K),https://www.kingstone.com.tw//basic/2018030607685?zone=book&lid=book_class3_kea&actid=book_class3_kea,吉松由美,山田社    ,9789866623158,https://cdn.kingstone.com.tw/book/images/product/20180/2018030607685/2018030607685b.jpg
躺著學日語初級會話(口袋書)(附MP3+電子書),https://www.kingstone.com.tw//basic/2018030599201?zone=book&lid=book_class3_kea&actid=book_class3_kea,伊藤幹彥,我識      ,9789866774393,https://cdn.kingstone.com.tw/book/images/product/20180/2018030599201/2018030599201b.jpg
中文拼音輕鬆說日語遊玩日本（口袋書）,https://www.kingstone.com.tw//basic/2018030597757?zone=book&lid=book_class3_kea&actid=book_class3_kea,劉明芬,漢湘文化  ,9789866673757,https://cdn.kingstone.com.tw/book/images/product/20180/2018030597757/2018030597757b.jpg
日語會話簡單到不行（32K+MP3）,https://www.kingstone.com.tw//basic/2018030595333?zone=book&lid=book_class3_kea&actid=book_class3_kea,吉松由美,山田社    ,9789866812958,https://cdn.kingstone.com.tw/book/images/product/20180/2018030595333/2018030595333b.jpg
6天學會初級日文法,https://www.kingstone.com.tw//basic/2018030589974?zone=book&lid=book_class3_kea&actid=book_class3_kea,楊美玲,大原文化  ,9789867000453,https://cdn.kingstone.com.tw/book/images/product/20180/2018030589974/2018030589974b.jpg
超簡單手繪日語動詞(32K+1MP3),https://www.kingstone.com.tw//basic/2018030589394?zone=book&lid=book_class3_kea&actid=book_class3_kea,池畑裕介,寂天文化  ,9789861842998,https://cdn.kingstone.com.tw/book/images/product/20180/2018030589394/2018030589394b.jpg
速攻日文敬語：五大類型表現法(32K),https://www.kingstone.com.tw//basic/2018030574277?zone=book&lid=book_class3_kea&actid=book_class3_kea,鈴木昭夫,寂天文化  ,9789861842097,https://cdn.kingstone.com.tw/book/images/product/20180/2018030574277/2018030574277b.jpg
日語常用句型1000III（50K+2MP3）,https://www.kingstone.com.tw//basic/2018052064947?zone=book&lid=book_class3_kea&actid=book_class3_kea,佐藤佳彩,寂天文化  ,9789861841496,https://cdn.kingstone.com.tw/book/images/product/20180/2018052064947/2018052064947b.jpg
日語常用句型1000III  (50K),https://www.kingstone.com.tw//basic/2018052061861?zone=book&lid=book_class3_kea&actid=book_class3_kea,佐藤佳彩,寂天文化  ,9789861841489,https://cdn.kingstone.com.tw/book/images/product/20180/2018052061861/2018052061861b.jpg
日語常用句型1000 II(50k+MP3),https://www.kingstone.com.tw//basic/2018030565152?zone=book&lid=book_class3_kea&actid=book_class3_kea,池畑裕介,寂天文化  ,9789861841267,https://cdn.kingstone.com.tw/book/images/product/20180/2018030565152/2018030565152b.jpg
