書名,書籍網站,作者,出版社,ISBN,圖片網址
世界最強日語50音記憶口訣（附50音記憶口訣MP3+日籍老師錄製單字、例句MP3+50音隨身單字卡+50音,https://www.kingstone.com.tw//basic/2018030875022?zone=book&lid=book_class3_keb&actid=book_class3_keb,懶鬼子英日語編輯群,懶鬼子    ,9789864070534,https://cdn.kingstone.com.tw/book/images/product/20180/2018030875022/2018030875022b.jpg
日語50音完全自學手冊,https://www.kingstone.com.tw//basic/2018031006685?zone=book&lid=book_class3_keb&actid=book_class3_keb,王心怡,晨星      ,9789865529963,https://cdn.kingstone.com.tw/book/images/product/20180/2018031006685/2018031006685b.jpg
最新日本語習字本,https://www.kingstone.com.tw//basic/2018030901516?zone=book&lid=book_class3_keb&actid=book_class3_keb,世一編企部編輯群,世一文化  ,4719742140597,https://cdn.kingstone.com.tw/book/images/product/20180/2018030901516/2018030901516b.jpg
邊聽邊寫！簡單快速日文入門（隨書附作者親錄標準日語發音+解說音檔QR Code）,https://www.kingstone.com.tw//basic/2018031007187?zone=book&lid=book_class3_keb&actid=book_class3_keb,こんどうともこ,瑞蘭      ,9789865560133,https://cdn.kingstone.com.tw/book/images/product/20180/2018031007187/2018031007187b.jpg
用心智圖背日文單字：1分鐘看懂3000個日文單字（免費附贈「Youtor App」內含VRP虛擬點讀筆）,https://www.kingstone.com.tw//basic/2018031002397?zone=book&lid=book_class3_keb&actid=book_class3_keb,清水裕美子,懶鬼子    ,9789864071012,https://cdn.kingstone.com.tw/book/images/product/20180/2018031002397/2018031002397b.jpg
用零食學日語,https://www.kingstone.com.tw//basic/2018031001215?zone=book&lid=book_class3_keb&actid=book_class3_keb,金秀敏,EZ叢書館  ,9789862489314,https://cdn.kingstone.com.tw/book/images/product/20180/2018031001215/2018031001215b.jpg
王可樂的日文超圖解！抓出自學最容易搞混的100個核心觀念，將單字、助詞、文法分好類，超好背！,https://www.kingstone.com.tw//basic/2018030959487?zone=book&lid=book_class3_keb&actid=book_class3_keb,王可樂日語,布克文化  ,9789579699792,https://cdn.kingstone.com.tw/book/images/product/20180/2018030959487/2018030959487b.jpg
越寫越讀越上手！日語五十音習字帖（附CD‧中日漢字寫法比對表）,https://www.kingstone.com.tw//basic/2018030872526?zone=book&lid=book_class3_keb&actid=book_class3_keb,DT企劃,笛藤出版圖,9789577106773,https://cdn.kingstone.com.tw/book/images/product/20180/2018030872526/2018030872526b.jpg
主題式日語單字練寫,https://www.kingstone.com.tw//basic/2018030934453?zone=book&lid=book_class3_keb&actid=book_class3_keb,莊雅芸、唐莘怡,世一文化  ,4719742130215,https://cdn.kingstone.com.tw/book/images/product/20180/2018030934453/2018030934453b.jpg
日本語五十音掛表,https://www.kingstone.com.tw//basic/2018051991923?zone=book&lid=book_class3_keb&actid=book_class3_keb,華文網    ,  立即結帳 ,4715006427619,https://cdn.kingstone.com.tw/book/images/product/20180/2018051991923/2018051991923b.jpg
我的第一本日語單字：月記單字2000 挑戰記憶極限（附MP3）,https://www.kingstone.com.tw//basic/2018031016752?zone=book&lid=book_class3_keb&actid=book_class3_keb,朱讌欣．田中紀子,布可屋    ,9789865544324,https://cdn.kingstone.com.tw/book/images/product/20180/2018031016752/2018031016752b.jpg
好學五十音字帖（16K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018031006555?zone=book&lid=book_class3_keb&actid=book_class3_keb,葉平亭,寂天文化  ,9789863189916,https://cdn.kingstone.com.tw/book/images/product/20180/2018031006555/2018031006555b.jpg
日文派對：50音得用手寫這樣學,https://www.kingstone.com.tw//basic/2018031005923?zone=book&lid=book_class3_keb&actid=book_class3_keb,赤名莉香（あかなりか）,資料夾文化,9789865507626,https://cdn.kingstone.com.tw/book/images/product/20180/2018031005923/2018031005923b.jpg
別笑！用撲克牌學日語：日語生活單字學習卡（隨盒附贈日籍名師親錄標準日語朗讀MP3 QR Code）,https://www.kingstone.com.tw//basic/2018030928704?zone=book&lid=book_class3_keb&actid=book_class3_keb,元氣日語編輯小組,瑞蘭      ,4712477100584,https://cdn.kingstone.com.tw/book/images/product/20180/2018030928704/2018030928704b.jpg
我的第一本日語50音自學書,https://www.kingstone.com.tw//basic/2018030903060?zone=book&lid=book_class3_keb&actid=book_class3_keb,菜菜子,知識工場  ,9789862717851,https://cdn.kingstone.com.tw/book/images/product/20180/2018030903060/2018030903060b.jpg
新編日本語練習字帖,https://www.kingstone.com.tw//basic/2018030883195?zone=book&lid=book_class3_keb&actid=book_class3_keb,本局編印,文國書局  ,9789862471661,https://cdn.kingstone.com.tw/book/images/product/20180/2018030883195/2018030883195b.jpg
日語必學基本功 五十音+句型+會話（數位學習點讀版）,https://www.kingstone.com.tw//basic/2018030801175?zone=book&lid=book_class3_keb&actid=book_class3_keb,LiveABC編輯群,希伯崙    ,9789865776459,https://cdn.kingstone.com.tw/book/images/product/20180/2018030801175/2018030801175b.jpg
史上最強大好學初級日語（隨書附日籍名師親錄標準日語發音+朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018030994785?zone=book&lid=book_class3_keb&actid=book_class3_keb,陳怡如,瑞蘭      ,9789579138956,https://cdn.kingstone.com.tw/book/images/product/20180/2018030994785/2018030994785b.jpg
OSHARE手繪日語時尚單字：課本上學不到的時尚日語！,https://www.kingstone.com.tw//basic/2018030993153?zone=book&lid=book_class3_keb&actid=book_class3_keb,DT企劃,笛藤出版圖,9789577107923,https://cdn.kingstone.com.tw/book/images/product/20180/2018030993153/2018030993153b.jpg
學日語50音不用背：口訣+字源+諧音+自然律動50音，日語假名一次學到好【附50音拉頁、MP3光,https://www.kingstone.com.tw//basic/2018030978419?zone=book&lid=book_class3_keb&actid=book_class3_keb,木村學,國際學村  ,9789864541195,https://cdn.kingstone.com.tw/book/images/product/20180/2018030978419/2018030978419b.jpg
下流日語：從「近來可好？」到「你Ｘ卡好！」，色色的、髒髒的、不能說的，比日本人還懂的裏文化詞彙大全,https://www.kingstone.com.tw//basic/2018030973919?zone=book&lid=book_class3_keb&actid=book_class3_keb,馬特．法格,麥浩斯    ,9789864085569,https://cdn.kingstone.com.tw/images/restricted.jpg
50音帶著背！QR Code 版（隨書附日籍名師親錄標準日語發音音檔QR Code）,https://www.kingstone.com.tw//basic/2018030972967?zone=book&lid=book_class3_keb&actid=book_class3_keb,元氣日語編輯小組,瑞蘭      ,9789579138505,https://cdn.kingstone.com.tw/book/images/product/20180/2018030972967/2018030972967b.jpg
日本人的哈啦妙招！副詞輕鬆學：我的日語超厲害！〈上〉修訂版（附MP3）,https://www.kingstone.com.tw//basic/2018030971885?zone=book&lid=book_class3_keb&actid=book_class3_keb,山本峰規子,笛藤出版圖,9789577107718,https://cdn.kingstone.com.tw/book/images/product/20180/2018030971885/2018030971885b.jpg
日語字母書寫練習,https://www.kingstone.com.tw//basic/2018030971625?zone=book&lid=book_class3_keb&actid=book_class3_keb,巫沅達,文國書局  ,9789862471883,https://cdn.kingstone.com.tw/book/images/product/20180/2018030971625/2018030971625b.jpg
別笑！用撲克牌學日語：日語50音學習卡（隨盒附日籍名師親錄標準日語發音MP3 QR Code）,https://www.kingstone.com.tw//basic/2018030965426?zone=book&lid=book_class3_keb&actid=book_class3_keb,元氣日語編輯小組,瑞蘭      ,4712477100669,https://cdn.kingstone.com.tw/book/images/product/20180/2018030965426/2018030965426b.jpg
核心日本語：擬聲．擬態語 （掃描QRCode下載日籍教師示範）,https://www.kingstone.com.tw//basic/2018030956691?zone=book&lid=book_class3_keb&actid=book_class3_keb,尾崎達治,漢宇國際  ,9789862284438,https://cdn.kingstone.com.tw/book/images/product/20180/2018030956691/2018030956691b.jpg
出擊！日語單字自學大作戰 初階版（25Ｋ+MP3）,https://www.kingstone.com.tw//basic/2018030929466?zone=book&lid=book_class3_keb&actid=book_class3_keb,小池直子,山田社    ,9789862465103,https://cdn.kingstone.com.tw/book/images/product/20180/2018030929466/2018030929466b.jpg
日語平假名片假名練習字帖,https://www.kingstone.com.tw//basic/2018030916213?zone=book&lid=book_class3_keb&actid=book_class3_keb,陳重松,文國書局  ,9789862471791,https://cdn.kingstone.com.tw/book/images/product/20180/2018030916213/2018030916213b.jpg
超好學日語五十音【彩色增修二版】（32K +1MP3）,https://www.kingstone.com.tw//basic/2018030906566?zone=book&lid=book_class3_keb&actid=book_class3_keb,葉平亭,寂天文化  ,9789863186205,https://cdn.kingstone.com.tw/book/images/product/20180/2018030906566/2018030906566b.jpg
全彩、全圖解、全實景地表最狂日文單字王（附1MP3+防水書套）,https://www.kingstone.com.tw//basic/2018030895556?zone=book&lid=book_class3_keb&actid=book_class3_keb,不求人文化編輯群,不求人文化,9789869452946,https://cdn.kingstone.com.tw/book/images/product/20180/2018030895556/2018030895556b.jpg
日文50音，讀這本就夠了+學習光碟,https://www.kingstone.com.tw//basic/2018030895396?zone=book&lid=book_class3_keb&actid=book_class3_keb,潘東正,書泉      ,9789864510917,https://cdn.kingstone.com.tw/book/images/product/20180/2018030895396/2018030895396b.jpg
使用頻率最高的7000日語單字,https://www.kingstone.com.tw//basic/2018030846053?zone=book&lid=book_class3_keb&actid=book_class3_keb,張萌、魏娜、張永平,漢宇國際  ,9789862283653,https://cdn.kingstone.com.tw/book/images/product/20180/2018030846053/2018030846053b.jpg
我的第一本日語50音：最有趣、好學的日語發音入門書（附MP3光碟）,https://www.kingstone.com.tw//basic/2018030836986?zone=book&lid=book_class3_keb&actid=book_class3_keb,國際語言中心委員會,國際學村  ,9789864540075,https://cdn.kingstone.com.tw/book/images/product/20180/2018030836986/2018030836986b.jpg
日語50音練習字帖,https://www.kingstone.com.tw//basic/2018030835064?zone=book&lid=book_class3_keb&actid=book_class3_keb,巫沅達,文國書局  ,9789862471470,https://cdn.kingstone.com.tw/book/images/product/20180/2018030835064/2018030835064b.jpg
日語50音速成班（2015最新增訂版，附50音學習卡+50音圖+日文輸入法表+教師手冊+1mp3）,https://www.kingstone.com.tw//basic/2018030822101?zone=book&lid=book_class3_keb&actid=book_class3_keb,國際語文中心,EZ叢書館  ,9789862484524,https://cdn.kingstone.com.tw/book/images/product/20180/2018030822101/2018030822101b.jpg
專賣在日本的華人！日本語單語14000【日中版】：在日本的華人都用這一本，超詳細！超好用！,https://www.kingstone.com.tw//basic/2018030818036?zone=book&lid=book_class3_keb&actid=book_class3_keb,佐藤正透,語研學院  ,9789869119726,https://cdn.kingstone.com.tw/book/images/product/20180/2018030818036/2018030818036b.jpg
真好笑！我是日語學習書 （革新版）,https://www.kingstone.com.tw//basic/2018030816292?zone=book&lid=book_class3_keb&actid=book_class3_keb,徐勝徹、古賀聰,漢宇國際  ,9789862283561,https://cdn.kingstone.com.tw/book/images/product/20180/2018030816292/2018030816292b.jpg
別笑！我是日語學習書（革新版）,https://www.kingstone.com.tw//basic/2018030813116?zone=book&lid=book_class3_keb&actid=book_class3_keb,東洋文庫企劃組,漢宇國際  ,9789862282960,https://cdn.kingstone.com.tw/book/images/product/20180/2018030813116/2018030813116b.jpg
日文單字走著瞧（附1防水書套 + 1 MP3）,https://www.kingstone.com.tw//basic/2018030784256?zone=book&lid=book_class3_keb&actid=book_class3_keb,大前美智,不求人文化,9789868968257,https://cdn.kingstone.com.tw/book/images/product/20180/2018030784256/2018030784256b.jpg
日語習字帖：片假名篇,https://www.kingstone.com.tw//basic/2018030772895?zone=book&lid=book_class3_keb&actid=book_class3_keb,朱讌欣,哈福企業  ,9789868790278,https://cdn.kingstone.com.tw/book/images/product/20180/2018030772895/2018030772895b.jpg
跟著日本人這樣寫50音（附1MP3）,https://www.kingstone.com.tw//basic/2018030699932?zone=book&lid=book_class3_keb&actid=book_class3_keb,藤井智子,知識工場  ,9789862711019,https://cdn.kingstone.com.tw/book/images/product/20180/2018030699932/2018030699932b.jpg
日語習字帖,https://www.kingstone.com.tw//basic/2018030662417?zone=book&lid=book_class3_keb&actid=book_class3_keb,益群書店編,益群書店  ,9789575529635,https://cdn.kingstone.com.tw/book/images/product/20180/2018030662417/2018030662417b.jpg
日本語練習帳（語彙）,https://www.kingstone.com.tw//basic/2018030655976?zone=book&lid=book_class3_keb&actid=book_class3_keb,松本節子,大新書局  ,9789866438387,https://cdn.kingstone.com.tw/book/images/product/20180/2018030655976/2018030655976b.jpg
日本語假名練習帖,https://www.kingstone.com.tw//basic/2018030081713?zone=book&lid=book_class3_keb&actid=book_class3_keb,劉人瑞,益群書店  ,9789575521547,https://cdn.kingstone.com.tw/book/images/product/20180/2018030081713/2018030081713b.jpg
日語習字帖：平假名篇,https://www.kingstone.com.tw//basic/2018030772635?zone=book&lid=book_class3_keb&actid=book_class3_keb,朱讌欣,哈福企業  ,9789865972028,https://cdn.kingstone.com.tw/book/images/product/20180/2018030772635/2018030772635b.jpg
日語50音練習本：片假名(附1CD),https://www.kingstone.com.tw//basic/2018030540708?zone=book&lid=book_class3_keb&actid=book_class3_keb,石川律子,大吉出版  ,9789867029379,https://cdn.kingstone.com.tw/book/images/product/20180/2018030540708/2018030540708b.jpg
一字一次就學夠！日語一字多義快記詞典,https://www.kingstone.com.tw//basic/2018031020827?zone=book&lid=book_class3_keb&actid=book_class3_keb,劉艾茹,笛藤出版圖,9789577108289,https://cdn.kingstone.com.tw/book/images/product/20180/2018031020827/2018031020827b.jpg
新版常見中日時事對照用語,https://www.kingstone.com.tw//basic/2018031012464?zone=book&lid=book_class3_keb&actid=book_class3_keb,蘇定東,鴻儒堂    ,9789866230646,https://cdn.kingstone.com.tw/book/images/product/20180/2018031012464/2018031012464b.jpg
KAKU老師的快熟50音,https://www.kingstone.com.tw//basic/2018031008269?zone=book&lid=book_class3_keb&actid=book_class3_keb,郭欣怡（KAKU）,捷徑文化  ,9789865507619,https://cdn.kingstone.com.tw/book/images/product/20180/2018031008269/2018031008269b.jpg
日語發音（書+MP3）,https://www.kingstone.com.tw//basic/2018031004261?zone=book&lid=book_class3_keb&actid=book_class3_keb,平川美穗,豪風出版有,9789866134975,https://cdn.kingstone.com.tw/book/images/product/20180/2018031004261/2018031004261b.jpg
讚！日文初學20堂課：從五十音進擊日文１（16K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018031003929?zone=book&lid=book_class3_keb&actid=book_class3_keb,甘英熙、三浦昌代、佐伯勝弘,寂天文化  ,9789863189701,https://cdn.kingstone.com.tw/book/images/product/20180/2018031003929/2018031003929b.jpg
九宮格日語學習法：零散的日文單字，立刻變身有系統的視覺圖像記憶（附隨掃即聽QR Code 雲端音檔）,https://www.kingstone.com.tw//basic/2018031000713?zone=book&lid=book_class3_keb&actid=book_class3_keb,吳乃慧,晨星      ,9789865529697,https://cdn.kingstone.com.tw/book/images/product/20180/2018031000713/2018031000713b.jpg
善用零碎5分鐘輕鬆學生活日語3000單字（附QR Code行動學習音檔）,https://www.kingstone.com.tw//basic/2018031000263?zone=book&lid=book_class3_keb&actid=book_class3_keb,詹老師學習室,希望星球  ,9789866045677,https://cdn.kingstone.com.tw/book/images/product/20180/2018031000263/2018031000263b.jpg
日本人天天用的生活單字2000！動詞變化+情境會話+插圖，延伸3倍記憶！（25K+MP3）,https://www.kingstone.com.tw//basic/2018030997731?zone=book&lid=book_class3_keb&actid=book_class3_keb,西村惠子、山田玲奈,山田社    ,9789862465929,https://cdn.kingstone.com.tw/book/images/product/20180/2018030997731/2018030997731b.jpg
