書名,書籍網站,作者,出版社,ISBN,圖片網址
日本語GOGOGO 2,https://www.kingstone.com.tw//basic/2018030375447?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語,豪風出版有,9789579088114,https://cdn.kingstone.com.tw/book/images/product/20180/2018030375447/2018030375447b.jpg
日本語GOGOGO 2（書+3CD）,https://www.kingstone.com.tw//basic/2018030375287?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語言訓練測驗中心,豪風出版有,9789579088121,https://cdn.kingstone.com.tw/book/images/product/20180/2018030375287/2018030375287b.jpg
日本語GOGOGO 4,https://www.kingstone.com.tw//basic/2018030470548?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語,豪風出版有,9789579088602,https://cdn.kingstone.com.tw/book/images/product/20180/2018030470548/2018030470548b.jpg
日本語GOGOGO 3,https://www.kingstone.com.tw//basic/2018030421335?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語,豪風出版有,9789579088244,https://cdn.kingstone.com.tw/book/images/product/20180/2018030421335/2018030421335b.jpg
日本語GOGOGO 2練習帳（書+1CD）,https://www.kingstone.com.tw//basic/2018030375317?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語言訓練測驗中心,豪風出版有,9789579088138,https://cdn.kingstone.com.tw/book/images/product/20180/2018030375317/2018030375317b.jpg
大家學標準日本語：中級本（超值組合：課本+文法解說‧練習題本+東京標準音MP3）,https://www.kingstone.com.tw//basic/2018030749408?zone=book&lid=book_class3_keg&actid=book_class3_keg,出口仁,檸檬樹    ,9789866703621,https://cdn.kingstone.com.tw/book/images/product/20180/2018030749408/2018030749408b.jpg
日本語GOGOGO 3（書+3CD）,https://www.kingstone.com.tw//basic/2018030456696?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語言訓練測驗中心,豪風出版有,9789579088251,https://cdn.kingstone.com.tw/book/images/product/20180/2018030456696/2018030456696b.jpg
日文結構三部曲（新裝紀念版）,https://www.kingstone.com.tw//basic/2018031018626?zone=book&lid=book_class3_keg&actid=book_class3_keg,明智周,明智      ,9789868847965,https://cdn.kingstone.com.tw/book/images/product/20180/2018031018626/2018031018626b.jpg
來學日本語初級１（書+１CD）改訂版,https://www.kingstone.com.tw//basic/2018030969844?zone=book&lid=book_class3_keg&actid=book_class3_keg,日本語教育教材開發委員會,尚昂      ,9789869813815,https://cdn.kingstone.com.tw/book/images/product/20180/2018030969844/2018030969844b.jpg
（改訂版）大家的日本語 初級Ⅱ,https://www.kingstone.com.tw//basic/2028030847158?zone=book&lid=book_class3_keg&actid=book_class3_keg,株式会社スリーエーネットワーク,大新書局  ,9789863210887,https://cdn.kingstone.com.tw/book/images/product/20280/2028030847158/2028030847158b.jpg
大家學標準日本語：高級本（超值組合：課本+文法解說‧練習題本+東京標準音MP3）,https://www.kingstone.com.tw//basic/2018030753283?zone=book&lid=book_class3_keg&actid=book_class3_keg,出口仁,檸檬樹    ,9789866703638,https://cdn.kingstone.com.tw/book/images/product/20180/2018030753283/2018030753283b.jpg
日本語GOGOGO 4（書+3CD）,https://www.kingstone.com.tw//basic/2018030470678?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語言訓練測驗中心,豪風出版有,9789579088619,https://cdn.kingstone.com.tw/book/images/product/20180/2018030470678/2018030470678b.jpg
大家的日本語 初級Ⅰ 改訂版 聽解タスク,https://www.kingstone.com.tw//basic/2018030938291?zone=book&lid=book_class3_keg&actid=book_class3_keg,牧野昭子、田中、北川逸子,大新書局  ,9789863211693,https://cdn.kingstone.com.tw/book/images/product/20180/2018030938291/2018030938291b.jpg
大家的日本語進階I改訂版（A4）,https://www.kingstone.com.tw//basic/2018030864293?zone=book&lid=book_class3_keg&actid=book_class3_keg,株式会社スリーエーネットワーク,大新書局  ,9789863211044,https://cdn.kingstone.com.tw/book/images/product/20180/2018030864293/2018030864293b.jpg
日本語GOGOGO 4練習帳（書+1CD）,https://www.kingstone.com.tw//basic/2018030470708?zone=book&lid=book_class3_keg&actid=book_class3_keg,財團法人語言訓練測驗中心,豪風出版有,9789579088626,https://cdn.kingstone.com.tw/book/images/product/20180/2018030470708/2018030470708b.jpg
小朋友的第一本日文書：親子互動 遊戲學日文（附MP3）,https://www.kingstone.com.tw//basic/2018031008719?zone=book&lid=book_class3_keg&actid=book_class3_keg,朱讌欣,布可屋    ,9789865544201,https://cdn.kingstone.com.tw/book/images/product/20180/2018031008719/2018031008719b.jpg
主題別 上級學日本語 三訂版（書+CD）,https://www.kingstone.com.tw//basic/2018030966508?zone=book&lid=book_class3_keg&actid=book_class3_keg,松田浩志,尚昂      ,9789866020988,https://cdn.kingstone.com.tw/book/images/product/20180/2018030966508/2018030966508b.jpg
大學生日本語初級全新修訂版（隨書附贈日籍名師親錄標準日語發音+朗讀MP3）,https://www.kingstone.com.tw//basic/2018030923334?zone=book&lid=book_class3_keg&actid=book_class3_keg,余秋菊、陳宗元、張恆如等,瑞蘭      ,9789869658003,https://cdn.kingstone.com.tw/book/images/product/20180/2018030923334/2018030923334b.jpg
伸びる日本語会話延伸日語會話力,https://www.kingstone.com.tw//basic/2018030915681?zone=book&lid=book_class3_keg&actid=book_class3_keg,張汝秀、佐藤圭司、孫儷伶等,大新書局  ,9789863211471,https://cdn.kingstone.com.tw/book/images/product/20180/2018030915681/2018030915681b.jpg
最有趣的日語會話課本（1書1MP3）,https://www.kingstone.com.tw//basic/2018030899844?zone=book&lid=book_class3_keg&actid=book_class3_keg,李珠鉉,EZ叢書館  ,9789862486597,https://cdn.kingstone.com.tw/book/images/product/20180/2018030899844/2018030899844b.jpg
大家的日本語進階II改訂版（A4）,https://www.kingstone.com.tw//basic/2018030864323?zone=book&lid=book_class3_keg&actid=book_class3_keg,株式会社スリーエーネットワーク,大新書局  ,9789863211051,https://cdn.kingstone.com.tw/book/images/product/20180/2018030864323/2018030864323b.jpg
大家學標準日本語：高級本（教學DVD片長290分鐘）,https://www.kingstone.com.tw//basic/2018030753603?zone=book&lid=book_class3_keg&actid=book_class3_keg,出口仁,檸檬樹    ,4712893928045,https://cdn.kingstone.com.tw/book/images/product/20180/2018030753603/2018030753603b.jpg
大家學標準日本語：中級本教學DVD（片長280分鐘）,https://www.kingstone.com.tw//basic/2018030750527?zone=book&lid=book_class3_keg&actid=book_class3_keg,出口仁,檸檬樹    ,4712893928038,https://cdn.kingstone.com.tw/book/images/product/20180/2018030750527/2018030750527b.jpg
來學日本語聽解練習問題集：初級1 （附3CD）,https://www.kingstone.com.tw//basic/2018030568498?zone=book&lid=book_class3_keg&actid=book_class3_keg,日本語教育,尚昂      ,9789866946332,https://cdn.kingstone.com.tw/book/images/product/20180/2018030568498/2018030568498b.jpg
