書名,書籍網站,作者,出版社,ISBN,圖片網址
日本神話：Nippon所藏日語嚴選講座（1書1雲端MP3音檔）,https://www.kingstone.com.tw//basic/2018031011702?zone=book&lid=book_class3_keh&actid=book_class3_keh,王文萱、黃毓倫、游翔皓,EZ叢書館  ,9789862489734,https://cdn.kingstone.com.tw/book/images/product/20180/2018031011702/2018031011702b.jpg
日本語演化論：誰說笑門福必來？一本掀開154個詞語面紗的庶民生活史,https://www.kingstone.com.tw//basic/2017310223638?zone=book&lid=book_class3_keh&actid=book_class3_keh,古川愛哲,EZ叢書館  ,9789862489178,https://cdn.kingstone.com.tw/book/images/product/20173/2017310223638/2017310223638b.jpg
日語閱讀越聽越上手：日本經典童話故事【修訂版】（附情境配樂中日朗讀MP3 ）,https://www.kingstone.com.tw//basic/2018030923044?zone=book&lid=book_class3_keh&actid=book_class3_keh,何欣泰,笛藤出版圖,9789577107268,https://cdn.kingstone.com.tw/book/images/product/20180/2018030923044/2018030923044b.jpg
經典日劇100話：Nippon所藏日語嚴選講座（1書1MP3）,https://www.kingstone.com.tw//basic/2018030921460?zone=book&lid=book_class3_keh&actid=book_class3_keh,虞安壽美、游翔皓,EZ叢書館  ,9789862487280,https://cdn.kingstone.com.tw/book/images/product/20180/2018030921460/2018030921460b.jpg
日本年度新鮮事100選：Nippon所藏日語嚴選講座（1書1MP3）,https://www.kingstone.com.tw//basic/2018052598961?zone=book&lid=book_class3_keh&actid=book_class3_keh,EZ Japan編輯部,EZ叢書館  ,9789862484289,https://cdn.kingstone.com.tw/book/images/product/20180/2018052598961/2018052598961b.jpg
日語閱讀越聽越上手：日本經典怪談大本彩圖版（附MP3音檔連結）,https://www.kingstone.com.tw//basic/2018031013546?zone=book&lid=book_class3_keh&actid=book_class3_keh,北田夏己,笛藤出版圖,9789577108234,https://cdn.kingstone.com.tw/book/images/product/20180/2018031013546/2018031013546b.jpg
日本庶民美食：Nippon所藏日語嚴選講座（1書1雲端MP3音檔）,https://www.kingstone.com.tw//basic/2015380129195?zone=book&lid=book_class3_keh&actid=book_class3_keh,林潔珏、游翔皓,EZ叢書館  ,9789862489277,https://cdn.kingstone.com.tw/book/images/product/20153/2015380129195/2015380129195b.jpg
日本傳統趣味玩賞：Nippon所藏日語嚴選講座（附音檔QR Code下載連結）,https://www.kingstone.com.tw//basic/2018030971465?zone=book&lid=book_class3_keh&actid=book_class3_keh,科見日語EZ Japan編輯部,EZ叢書館  ,9789862488393,https://cdn.kingstone.com.tw/book/images/product/20180/2018030971465/2018030971465b.jpg
日本浪漫愛情100談：Nippon所藏日語嚴選講座（1書1MP3）,https://www.kingstone.com.tw//basic/2018030949860?zone=book&lid=book_class3_keh&actid=book_class3_keh,科見日語、EZ Japan編輯部,EZ叢書館  ,9789862487846,https://cdn.kingstone.com.tw/book/images/product/20180/2018030949860/2018030949860b.jpg
看繪本學日語,https://www.kingstone.com.tw//basic/2018030946074?zone=book&lid=book_class3_keh&actid=book_class3_keh,積木文化編輯部,積木文化  ,9789864591619,https://cdn.kingstone.com.tw/book/images/product/20180/2018030946074/2018030946074b.jpg
