書名,書籍網站,作者,出版社,ISBN,圖片網址
揮別形容詞：不詞窮寫出成熟文章,https://www.kingstone.com.tw//basic/2018031017704?zone=book&lid=book_class3_kez&actid=book_class3_kez,石黑圭,EZ叢書館  ,9789860795455,https://cdn.kingstone.com.tw/book/images/product/20180/2018031017704/2018031017704b.jpg
最美的日本文化名詞學習圖鑑：六大主題、千項名詞，從文化著手，升等素養，擺脫死背，立刻融入日本！（全彩插圖典藏決定版）,https://www.kingstone.com.tw//basic/2017310222266?zone=book&lid=book_class3_kez&actid=book_class3_kez,服部幸應,遠足文化  ,9789865080587,https://cdn.kingstone.com.tw/book/images/product/20173/2017310222266/2017310222266b.jpg
日本事情：網路遨遊體驗日本,https://www.kingstone.com.tw//basic/2018030776763?zone=book&lid=book_class3_kez&actid=book_class3_kez,佐藤和美,大新書局  ,9789863210269,https://cdn.kingstone.com.tw/book/images/product/20180/2018030776763/2018030776763b.jpg
妙子先生の日本語ミニ講座Ⅰ：擬聲擬態詞、敬語、稱呼、男性用語.女性用語、第一人稱與第二人稱、間投詞,https://www.kingstone.com.tw//basic/2018030986742?zone=book&lid=book_class3_kez&actid=book_class3_kez,吉田妙子,瑞蘭      ,9789579138819,https://cdn.kingstone.com.tw/book/images/product/20180/2018030986742/2018030986742b.jpg
朝日新聞校對王教你日文寫作術：構思、表達、下筆，履歷、自傳、企劃案都不怕！,https://www.kingstone.com.tw//basic/2018030925598?zone=book&lid=book_class3_kez&actid=book_class3_kez,前田安正,EZ叢書館  ,9789862487426,https://cdn.kingstone.com.tw/book/images/product/20180/2018030925598/2018030925598b.jpg
讀空氣、探表裏，笑談日本語：解讀曖昧日語隱藏真意及文化脈絡的超強辭典,https://www.kingstone.com.tw//basic/2011060000174?zone=book&lid=book_class3_kez&actid=book_class3_kez,KAGAMI & Co.,麥浩斯    ,9789864083169,https://cdn.kingstone.com.tw/book/images/product/20110/2011060000174/2011060000174b.jpg
日文段落論：提升閱讀寫作技巧,https://www.kingstone.com.tw//basic/2018031009341?zone=book&lid=book_class3_kez&actid=book_class3_kez,石黑圭,EZ叢書館  ,9789862489710,https://cdn.kingstone.com.tw/book/images/product/20180/2018031009341/2018031009341b.jpg
用日本人的思維學日語【修訂版】：搞懂50個學習日語最容易混淆的規則,https://www.kingstone.com.tw//basic/2018030994075?zone=book&lid=book_class3_kez&actid=book_class3_kez,佐佐木瑞枝,商周出版  ,9789864778836,https://cdn.kingstone.com.tw/book/images/product/20180/2018030994075/2018030994075b.jpg
妙子先生の日本語ミニ講座Ⅱ：は與が、情態、助詞、寒暄,https://www.kingstone.com.tw//basic/2018030986872?zone=book&lid=book_class3_kez&actid=book_class3_kez,吉田妙子,瑞蘭      ,9789579138826,https://cdn.kingstone.com.tw/book/images/product/20180/2018030986872/2018030986872b.jpg
妙子先生の日本語ミニ講座Ⅲ：台灣日語、和製英語,https://www.kingstone.com.tw//basic/2018030986902?zone=book&lid=book_class3_kez&actid=book_class3_kez,吉田妙子,瑞蘭      ,9789579138833,https://cdn.kingstone.com.tw/book/images/product/20180/2018030986902/2018030986902b.jpg
台湾から見た日本事情：言語‧文化編,https://www.kingstone.com.tw//basic/2018030938451?zone=book&lid=book_class3_kez&actid=book_class3_kez,北川修一、李偉煌、林淑丹等,大新書局  ,9789863211631,https://cdn.kingstone.com.tw/book/images/product/20180/2018030938451/2018030938451b.jpg
日語333超快速學習法3個訣竅，3個階段， 3天說一口流利日語,https://www.kingstone.com.tw//basic/2018030920838?zone=book&lid=book_class3_kez&actid=book_class3_kez,全球通 語研社,布可屋    ,9789869637626,https://cdn.kingstone.com.tw/book/images/product/20180/2018030920838/2018030920838b.jpg
現代日本文學掃描修訂版,https://www.kingstone.com.tw//basic/2018030919269?zone=book&lid=book_class3_kez&actid=book_class3_kez,林水福,鴻儒堂    ,9789866230349,https://cdn.kingstone.com.tw/book/images/product/20180/2018030919269/2018030919269b.jpg
一目瞭然對照表 日文的漢字 中文的漢字,https://www.kingstone.com.tw//basic/2018030919399?zone=book&lid=book_class3_kez&actid=book_class3_kez,伊奈垣圭映、陣和榮,鴻儒堂    ,9789866230356,https://cdn.kingstone.com.tw/book/images/product/20180/2018030919399/2018030919399b.jpg
傳說中的超強日語自學寶典：圖解單字、流行語與例句大全,https://www.kingstone.com.tw//basic/2014713543240?zone=book&lid=book_class3_kez&actid=book_class3_kez,金廷禧 / 桃坂ももさか,碁峰資訊  ,9789864766413,https://cdn.kingstone.com.tw/book/images/product/20147/2014713543240/2014713543240b.jpg
日語語言學概論,https://www.kingstone.com.tw//basic/2018030830274?zone=book&lid=book_class3_kez&actid=book_class3_kez,王敏東,五南      ,9789571180731,https://cdn.kingstone.com.tw/book/images/product/20180/2018030830274/2018030830274b.jpg
音速老師教你一口氣解決50項日文難題（附朗讀MP3）,https://www.kingstone.com.tw//basic/2018030794033?zone=book&lid=book_class3_kez&actid=book_class3_kez,朱育賢,時報文化  ,9789571359397,https://cdn.kingstone.com.tw/book/images/product/20180/2018030794033/2018030794033b.jpg
看電影學日文（囧男孩的異想世界）,https://www.kingstone.com.tw//basic/2018030779719?zone=book&lid=book_class3_kez&actid=book_class3_kez,蘇思云,得昇多媒體,9789868843387,https://cdn.kingstone.com.tw/book/images/product/20180/2018030779719/2018030779719b.jpg
3分鐘立即說日語（附1MP3）,https://www.kingstone.com.tw//basic/2018030775971?zone=book&lid=book_class3_kez&actid=book_class3_kez,朱讌欣,哈福企業  ,9789865972059,https://cdn.kingstone.com.tw/book/images/product/20180/2018030775971/2018030775971b.jpg
快樂聽學新聞日語（附mp3）,https://www.kingstone.com.tw//basic/2018030771713?zone=book&lid=book_class3_kez&actid=book_class3_kez,加藤香織,鴻儒堂    ,9789866230202,https://cdn.kingstone.com.tw/book/images/product/20180/2018030771713/2018030771713b.jpg
從街頭看板開始學日文,https://www.kingstone.com.tw//basic/2018030767358?zone=book&lid=book_class3_kez&actid=book_class3_kez,李宜蓉,知識工場  ,9789862713563,https://cdn.kingstone.com.tw/book/images/product/20180/2018030767358/2018030767358b.jpg
每天讀一點日文：名記者筆下的日本,https://www.kingstone.com.tw//basic/2018030755157?zone=book&lid=book_class3_kez&actid=book_class3_kez,秋山信,瑞蘭      ,9789866567292,https://cdn.kingstone.com.tw/book/images/product/20180/2018030755157/2018030755157b.jpg
撲克遊戲學日語,https://www.kingstone.com.tw//basic/2018030754525?zone=book&lid=book_class3_kez&actid=book_class3_kez,宮崎薰,大新書局  ,4717794090785,https://cdn.kingstone.com.tw/book/images/product/20180/2018030754525/2018030754525b.jpg
