書名,書籍網站,作者,出版社,ISBN,圖片網址
實用日華辭典：32K,https://www.kingstone.com.tw//basic/2018030863791?zone=book&lid=book_class3_kga&actid=book_class3_kga,辭典編輯委員會,世一文化  ,9789864290932,https://cdn.kingstone.com.tw/book/images/product/20180/2018030863791/2018030863791b.jpg
實用日華辭典：50K,https://www.kingstone.com.tw//basic/2018030870102?zone=book&lid=book_class3_kga&actid=book_class3_kga,辭典編輯委員會,世一文化  ,9789864291106,https://cdn.kingstone.com.tw/book/images/product/20180/2018030870102/2018030870102b.jpg
日中常用語詞典,https://www.kingstone.com.tw//basic/2018030745820?zone=book&lid=book_class3_kga&actid=book_class3_kga,日語編輯小組,五南      ,9789571168005,https://cdn.kingstone.com.tw/book/images/product/20180/2018030745820/2018030745820b.jpg
袖珍日漢詞典,https://www.kingstone.com.tw//basic/2018030712723?zone=book&lid=book_class3_kga&actid=book_class3_kga,陳岩,臺灣商務  ,9789570526271,https://cdn.kingstone.com.tw/book/images/product/20180/2018030712723/2018030712723b.jpg
中日常用語詞典,https://www.kingstone.com.tw//basic/2018030680237?zone=book&lid=book_class3_kga&actid=book_class3_kga,五南辭書編輯小組,五南      ,9789571161358,https://cdn.kingstone.com.tw/book/images/product/20180/2018030680237/2018030680237b.jpg
精選日漢學習辭典,https://www.kingstone.com.tw//basic/2018030615048?zone=book&lid=book_class3_kga&actid=book_class3_kga,顧明耀,大新書局  ,9789866882760,https://cdn.kingstone.com.tw/book/images/product/20180/2018030615048/2018030615048b.jpg
中日大辭典,https://www.kingstone.com.tw//basic/2018030596095?zone=book&lid=book_class3_kga&actid=book_class3_kga,于長敏主編,五南      ,9789571151595,https://cdn.kingstone.com.tw/book/images/product/20180/2018030596095/2018030596095b.jpg
日漢相對語辭典,https://www.kingstone.com.tw//basic/2018030571221?zone=book&lid=book_class3_kga&actid=book_class3_kga,劉樹仁主編,五南      ,9789571148182,https://cdn.kingstone.com.tw/book/images/product/20180/2018030571221/2018030571221b.jpg
新時代日漢辭典（修正版）,https://www.kingstone.com.tw//basic/2010530025419?zone=book&lid=book_class3_kga&actid=book_class3_kga,陳伯陶,大新書局  ,9789578279919,https://cdn.kingstone.com.tw/book/images/product/20105/2010530025419/2010530025419b.jpg
新編日漢辭典8000句,https://www.kingstone.com.tw//basic/2018030518783?zone=book&lid=book_class3_kga&actid=book_class3_kga,金剛,漢宇國際  ,9789867103307,https://cdn.kingstone.com.tw/book/images/product/20180/2018030518783/2018030518783b.jpg
簡明日華辭典,https://www.kingstone.com.tw//basic/2018030500030?zone=book&lid=book_class3_kga&actid=book_class3_kga,史東陽,五南      ,9789571139678,https://cdn.kingstone.com.tw/book/images/product/20180/2018030500030/2018030500030b.jpg
