書名,書籍網站,作者,出版社,ISBN,圖片網址
21世紀情境式日語圖解字典 （全新增訂版）,https://www.kingstone.com.tw//basic/2018031006715?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,LiveABC日文編輯部,希伯崙    ,9789864414789,https://cdn.kingstone.com.tw/book/images/product/20180/2018031006715/2018031006715b.jpg
日本常用國民漢字2000速查典（附光碟）,https://www.kingstone.com.tw//basic/2018030713485?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,三木勳,知識工場  ,9789862711729,https://cdn.kingstone.com.tw/book/images/product/20180/2018030713485/2018030713485b.jpg
日本人必說15000字！日文單字快記辭典,https://www.kingstone.com.tw//basic/2018030956141?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,胡傳乃編著,笛藤出版圖,9789577107558,https://cdn.kingstone.com.tw/book/images/product/20180/2018030956141/2018030956141b.jpg
平裝版日語漢字讀音字典（附中日發聲MP3）,https://www.kingstone.com.tw//basic/2018030923174?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,DT企劃 編著,笛藤出版圖,9789577107282,https://cdn.kingstone.com.tw/book/images/product/20180/2018030923174/2018030923174b.jpg
21世紀情境式日語圖解字典（全新擴編版）,https://www.kingstone.com.tw//basic/2018030739591?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,希伯崙編輯部,希伯崙    ,9789866051449,https://cdn.kingstone.com.tw/book/images/product/20180/2018030739591/2018030739591b.jpg
日語諺語．慣用句活用辭典,https://www.kingstone.com.tw//basic/2028030704673?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,徐雪蓉,五南      ,9789571163994,https://cdn.kingstone.com.tw/book/images/product/20280/2028030704673/2028030704673b.jpg
臨時需要的一句話－日語會話辭典4000句（附MP3）,https://www.kingstone.com.tw//basic/2018030668549?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,須永賢一,懶鬼子    ,9789866224096,https://cdn.kingstone.com.tw/book/images/product/20180/2018030668549/2018030668549b.jpg
新日華外來語辭典,https://www.kingstone.com.tw//basic/2018030650216?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,陳山龍,鴻儒堂    ,9789578357990,https://cdn.kingstone.com.tw/book/images/product/20180/2018030650216/2018030650216b.jpg
新日本外來語大辭典,https://www.kingstone.com.tw//basic/2018030653392?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,田世昌編,笛藤出版圖,9789577101815,https://cdn.kingstone.com.tw/book/images/product/20180/2018030653392/2018030653392b.jpg
日語活學活用寶典（精）,https://www.kingstone.com.tw//basic/2018030758813?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,邢正陽主編,五南      ,9789571145815,https://cdn.kingstone.com.tw/book/images/product/20180/2018030758813/2018030758813b.jpg
日語成語諺語小辭典（精）,https://www.kingstone.com.tw//basic/2018030758653?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,蘇訊江編著高曉華審校,五南      ,9789571133638,https://cdn.kingstone.com.tw/book/images/product/20180/2018030758653/2018030758653b.jpg
範例日文書信小辭典,https://www.kingstone.com.tw//basic/2018030328528?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,周啟明,大新書局  ,9789578279247,https://cdn.kingstone.com.tw/book/images/product/20180/2018030328528/2018030328528b.jpg
精選日中縮略語辭典,https://www.kingstone.com.tw//basic/2018030308964?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,劉曉民,大新書局  ,9789579672986,https://cdn.kingstone.com.tw/book/images/product/20180/2018030308964/2018030308964b.jpg
現代外來語日漢辭典（60K）,https://www.kingstone.com.tw//basic/2010540062299?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,秦延通,大新書局  ,9789579672382,https://cdn.kingstone.com.tw/book/images/product/20105/2010540062299/2010540062299b.jpg
日語成語慣用語詞典,https://www.kingstone.com.tw//basic/2010530015922?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,徐昌木編著,臺灣商務  ,9789570511123,https://cdn.kingstone.com.tw/book/images/product/20105/2010530015922/2010530015922b.jpg
最新日華外來語辭典,https://www.kingstone.com.tw//basic/2010530003691?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,史群,大新書局  ,9789579588324,https://cdn.kingstone.com.tw/book/images/product/20105/2010530003691/2010530003691b.jpg
最新日華外來語辭典,https://www.kingstone.com.tw//basic/2018039103874?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,史群,大新書局  ,,https://cdn.kingstone.com.tw/book/images/product/20180/2018039103874/2018039103874b.jpg
最新日華外來語辭典,https://www.kingstone.com.tw//basic/2018039180974?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,史群主編,大新書局  ,,https://cdn.kingstone.com.tw/book/images/product/20180/2018039180974/2018039180974b.jpg
實用句型片語日華辭典,https://www.kingstone.com.tw//basic/2010530006777?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,李梓政,大新書局  ,9789579588065,https://cdn.kingstone.com.tw/book/images/product/20105/2010530006777/2010530006777b.jpg
日本語10000字辭典（25K+2MP3）（精裝本）,https://www.kingstone.com.tw//basic/2018030710309?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,吉松由美,山田社    ,9789866692918,https://cdn.kingstone.com.tw/book/images/product/20180/2018030710309/2018030710309b.jpg
日語動詞活用字典,https://www.kingstone.com.tw//basic/2018030613044?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,莊雅惠,上澤社    ,9789866977596,https://cdn.kingstone.com.tw/book/images/product/20180/2018030613044/2018030613044b.jpg
日語敬語詞典,https://www.kingstone.com.tw//basic/2018030596125?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,學研辭典編,五南      ,9789571152219,https://cdn.kingstone.com.tw/book/images/product/20180/2018030596125/2018030596125b.jpg
尚昂最新日華外來語辭典,https://www.kingstone.com.tw//basic/2028030577826?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,陳炳崑,尚昂      ,9789866946400,https://cdn.kingstone.com.tw/book/images/product/20280/2028030577826/2028030577826b.jpg
情境式互動日語圖解字典(全新增訂版),https://www.kingstone.com.tw//basic/2018030555115?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,希伯崙編輯部,希伯崙    ,4711863218568,https://cdn.kingstone.com.tw/book/images/product/20180/2018030555115/2018030555115b.jpg
突破日語外來語,https://www.kingstone.com.tw//basic/2018030546410?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,潘東正,發達網    ,9789861212890,https://cdn.kingstone.com.tw/book/images/product/20180/2018030546410/2018030546410b.jpg
日語慣用句辭典(精),https://www.kingstone.com.tw//basic/2018030758523?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,井上宗雄,五南      ,9789571132174,https://cdn.kingstone.com.tw/book/images/product/20180/2018030758523/2018030758523b.jpg
日語應試辭典(精),https://www.kingstone.com.tw//basic/2018030758783?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,劉麗華主編,五南      ,9789571141978,https://cdn.kingstone.com.tw/book/images/product/20180/2018030758783/2018030758783b.jpg
新時代外來語辭典,https://www.kingstone.com.tw//basic/2010530025839?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,楊嵐,大新書局  ,9789867271259,https://cdn.kingstone.com.tw/book/images/product/20105/2010530025839/2010530025839b.jpg
日中英中日英辭典,https://www.kingstone.com.tw//basic/2018010029551?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,池田巧監修,五南      ,9789571140056,https://cdn.kingstone.com.tw/book/images/product/20180/2018010029551/2018010029551b.jpg
類義語例解辭,https://www.kingstone.com.tw//basic/2010530025709?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,小學館,大新書局  ,9789578653832,https://cdn.kingstone.com.tw/book/images/product/20105/2010530025709/2010530025709b.jpg
外來語趣輯－國語臺語英語《語文.社會.,https://www.kingstone.com.tw//basic/2018020296004?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,楊旭淵主編,捷太      ,9789578858411,https://cdn.kingstone.com.tw/book/images/product/20180/2018020296004/2018020296004b.jpg
日語外來語小辭典,https://www.kingstone.com.tw//basic/2018030458270?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,簡佩芝等編,五南      ,9789571133089,https://cdn.kingstone.com.tw/book/images/product/20180/2018030458270/2018030458270b.jpg
常用例解語小辭典,https://www.kingstone.com.tw//basic/2018030407223?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,蔡錦雀,尚昂      ,9789570409369,https://cdn.kingstone.com.tw/book/images/product/20180/2018030407223/2018030407223b.jpg
日本語生活辭典I,https://www.kingstone.com.tw//basic/2018030396763?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,黃淑芬等,紹華科技  ,9789573004721,https://cdn.kingstone.com.tw/book/images/product/20180/2018030396763/2018030396763b.jpg
日本語生活辭典II,https://www.kingstone.com.tw//basic/2018030396893?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,黃淑芬等,紹華科技  ,9789573004790,https://cdn.kingstone.com.tw/book/images/product/20180/2018030396893/2018030396893b.jpg
日語外來語速成講座,https://www.kingstone.com.tw//basic/2018030381936?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,板井浩志,愛迪生    ,9789572082614,https://cdn.kingstone.com.tw/book/images/product/20180/2018030381936/2018030381936b.jpg
日語外來語速成講座（含4卡）,https://www.kingstone.com.tw//basic/2018030382148?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,板井浩志,愛迪生    ,9789572082621,https://cdn.kingstone.com.tw/book/images/product/20180/2018030382148/2018030382148b.jpg
日語分類辭典（書＋卡）,https://www.kingstone.com.tw//basic/2018030368166?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,李人先,致良      ,9789577861351,https://cdn.kingstone.com.tw/book/images/product/20180/2018030368166/2018030368166b.jpg
日語分類辭典（平裝書）25K,https://www.kingstone.com.tw//basic/2018030368296?zone=book&lid=book_class3_kgc&actid=book_class3_kgc,李人先,致良      ,9789577861337,https://cdn.kingstone.com.tw/book/images/product/20180/2018030368296/2018030368296b.jpg
