書名,書籍網站,作者,出版社,ISBN,圖片網址
就是快！韓語單字開口就能說！,https://www.kingstone.com.tw//basic/2018030801595?zone=book&lid=book_class3_kha&actid=book_class3_kha,金敏珍,知識工場  ,9789862715246,https://cdn.kingstone.com.tw/book/images/product/20180/2018030801595/2018030801595b.jpg
連韓國人都驚呆的韓文單字心智地圖（附17張超好學全彩心智地圖拉頁+1CD+VRP虛擬點讀筆App）,https://www.kingstone.com.tw//basic/2018030998363?zone=book&lid=book_class3_kha&actid=book_class3_kha,李松熙,懶鬼子    ,9789864071548,https://cdn.kingstone.com.tw/book/images/product/20180/2018030998363/2018030998363b.jpg
全新！史上最強韓語單字：從初學入門到專業譯者都需要的10000個超詳細單字書,https://www.kingstone.com.tw//basic/2018030946364?zone=book&lid=book_class3_kha&actid=book_class3_kha,今井久美雄,國際學村  ,9789864540921,https://cdn.kingstone.com.tw/book/images/product/20180/2018030946364/2018030946364b.jpg
我的第一本韓語40音習字帖【QR碼行動學習版】：專為初學者設計！各種字母完整組合搭配的全方位練習,https://www.kingstone.com.tw//basic/2018030901646?zone=book&lid=book_class3_kha&actid=book_class3_kha,權容璿,國際學村  ,9789864540259,https://cdn.kingstone.com.tw/book/images/product/20180/2018030901646/2018030901646b.jpg
世界最強韓語40音記憶口訣（附40音記憶口訣MP3+韓國籍老師親錄單字、對話MP3+40音隨身單字卡+40音海報+40音發音與口形影片）,https://www.kingstone.com.tw//basic/2018030899394?zone=book&lid=book_class3_kha&actid=book_class3_kha,懶鬼子英日語編輯群,懶鬼子    ,9789864070800,https://cdn.kingstone.com.tw/book/images/product/20180/2018030899394/2018030899394b.jpg
韓語字母+拼音雙海報,https://www.kingstone.com.tw//basic/2018030837488?zone=book&lid=book_class3_kha&actid=book_class3_kha,繽紛外語編輯小組 編著,瑞蘭      ,4712477100409,https://cdn.kingstone.com.tw/book/images/product/20180/2018030837488/2018030837488b.jpg
韓語實用文法大全,https://www.kingstone.com.tw//basic/2018030835774?zone=book&lid=book_class3_kha&actid=book_class3_kha,韋旭升、許東振,EZ叢書館  ,9789862484838,https://cdn.kingstone.com.tw/book/images/product/20180/2018030835774/2018030835774b.jpg
用韓國小學課本學韓語40音（附贈1MP3+96張隨身字卡）,https://www.kingstone.com.tw//basic/2018030743246?zone=book&lid=book_class3_kha&actid=book_class3_kha,高俊江,我識      ,9789866163647,https://cdn.kingstone.com.tw/book/images/product/20180/2018030743246/2018030743246b.jpg
初級韓國語詞彙,https://www.kingstone.com.tw//basic/2018030955809?zone=book&lid=book_class3_kha&actid=book_class3_kha,李京保、劉素晶彙編,翰蘆圖書  ,9789869763400,https://cdn.kingstone.com.tw/book/images/product/20180/2018030955809/2018030955809b.jpg
Mind Map Korean 圖解萬用韓語單字句型自學書（附韓語朗讀MP3）,https://www.kingstone.com.tw//basic/2018030950019?zone=book&lid=book_class3_kha&actid=book_class3_kha,Naritha Sukpraman,漢宇國際  ,9789862284407,https://cdn.kingstone.com.tw/book/images/product/20180/2018030950019/2018030950019b.jpg
