書名,書籍網站,作者,出版社,ISBN,圖片網址
TOPIK I新韓檢完全解密：初級（贈「必考詞彙&語法複習手冊」+標準聽力試題MP3）,https://www.kingstone.com.tw//basic/2018030914189?zone=book&lid=book_class3_khd&actid=book_class3_khd,閔泰允,眾文      ,9789575325084,https://cdn.kingstone.com.tw/book/images/product/20180/2018030914189/2018030914189b.jpg
NEW TOPIK 新韓檢中高級必修文法150：韓國名校教師團聯合編著！唯一授權繁體中文版！,https://www.kingstone.com.tw//basic/2018030899004?zone=book&lid=book_class3_khd&actid=book_class3_khd,金周衍/文仙美/劉載善/李,國際學村  ,9789864540433,https://cdn.kingstone.com.tw/book/images/product/20180/2018030899004/2018030899004b.jpg
新韓檢中高級TOPIK 2字彙 60天搶分王！（隨書附贈MP3朗讀光碟）,https://www.kingstone.com.tw//basic/2018030867119?zone=book&lid=book_class3_khd&actid=book_class3_khd,裴英姬,EZ叢書館  ,9789862485750,https://cdn.kingstone.com.tw/book/images/product/20180/2018030867119/2018030867119b.jpg
新韓檢初級TOPIK I 4 週完全征服：聽力.閱讀高效拆解！（隨書附作者親錄聽力科目擬真音檔QR Code）,https://www.kingstone.com.tw//basic/2018031011252?zone=book&lid=book_class3_khd&actid=book_class3_khd,玄柄勳,瑞蘭      ,9789865560119,https://cdn.kingstone.com.tw/book/images/product/20180/2018031011252/2018031011252b.jpg
NEW TOPIK II新韓檢中高級寫作應考祕笈：史上最有效率的寫作S.O.P，完整應答模板，保證高分速成攻略，看到題目就會寫!,https://www.kingstone.com.tw//basic/2018031002007?zone=book&lid=book_class3_khd&actid=book_class3_khd,元銀榮，李侑美,國際學村  ,9789864541423,https://cdn.kingstone.com.tw/book/images/product/20180/2018031002007/2018031002007b.jpg
NEW TOPIK II 新韓檢中高級試題全面剖析：全國唯一3~6級分級解析，可針對想考級數精確準備各級韓檢的備考,https://www.kingstone.com.tw//basic/2018030993313?zone=book&lid=book_class3_khd&actid=book_class3_khd,李太煥,國際學村  ,9789864541348,https://cdn.kingstone.com.tw/book/images/product/20180/2018030993313/2018030993313b.jpg
HOT TOPIK新韓檢 TOPIK II中高級寫作速成攻略,https://www.kingstone.com.tw//basic/2018030965686?zone=book&lid=book_class3_khd&actid=book_class3_khd,玄賓、崔載贊,EZ叢書館  ,9789862488317,https://cdn.kingstone.com.tw/book/images/product/20180/2018030965686/2018030965686b.jpg
TOPIK I 新韓檢初級單字.文法，一本搞定！全新修訂版（隨書附韓籍名師親錄標準韓語發音+朗讀MP3、音,https://www.kingstone.com.tw//basic/2018030963002?zone=book&lid=book_class3_khd&actid=book_class3_khd,黃慈嫺,瑞蘭      ,9789579138154,https://cdn.kingstone.com.tw/book/images/product/20180/2018030963002/2018030963002b.jpg
50天搞定新韓檢中級單字暢銷修訂版（隨書附贈韓籍名師親錄標準韓語朗讀MP3）,https://www.kingstone.com.tw//basic/2018030914509?zone=book&lid=book_class3_khd&actid=book_class3_khd,金美貞、卞姬、玄素美,瑞蘭      ,9789869575058,https://cdn.kingstone.com.tw/book/images/product/20180/2018030914509/2018030914509b.jpg
新韓檢初級TOPIK 1字彙 30天搶分王！（隨書附贈MP3朗讀光碟）,https://www.kingstone.com.tw//basic/2018030860295?zone=book&lid=book_class3_khd&actid=book_class3_khd,裴英姬,EZ叢書館  ,9789862485613,https://cdn.kingstone.com.tw/book/images/product/20180/2018030860295/2018030860295b.jpg
新TOPIK I韓檢初級單字+應考攻略【新TOPIK韓檢單字躺著背+唸整句+新TOPIK I韓檢初級一次過關】,https://www.kingstone.com.tw//basic/2018030978969?zone=book&lid=book_class3_khd&actid=book_class3_khd,邱敏瑤,我識      ,9789869603997,https://cdn.kingstone.com.tw/book/images/product/20180/2018030978969/2018030978969b.jpg
零基礎！韓語.韓檢口袋三書(隨套書附贈3片韓籍名師親錄標準發音、朗讀MP3),https://www.kingstone.com.tw//basic/2018052696858?zone=book&lid=book_class3_khd&actid=book_class3_khd,繽紛外語編輯小組、陳慶德,瑞蘭      ,4712477100461,https://cdn.kingstone.com.tw/book/images/product/20180/2018052696858/2018052696858b.jpg
TOPIK韓檢【中級】必備單字+文法 （新版）,https://www.kingstone.com.tw//basic/2018031014628?zone=book&lid=book_class3_khd&actid=book_class3_khd,雅典韓研所(企編),雅典      ,9789860646306,https://cdn.kingstone.com.tw/book/images/product/20180/2018031014628/2018031014628b.jpg
TOPIK韓檢初級+中級套書組合,https://www.kingstone.com.tw//basic/2018031014758?zone=book&lid=book_class3_khd&actid=book_class3_khd,雅典韓研所(企編),雅典      ,9789860646382,https://cdn.kingstone.com.tw/book/images/product/20180/2018031014758/2018031014758b.jpg
