書名,書籍網站,作者,出版社,ISBN,圖片網址
全彩全圖解用美國小學課本學英文：獨家採用「用英文學英文」的全英文學習法（1書+1CD+虛擬點讀筆App）,https://www.kingstone.com.tw//basic/2018052839064?zone=book&lid=book_class3_kib&actid=book_class3_kib,賴淑玲,我識      ,9789869673372,https://cdn.kingstone.com.tw/book/images/product/20180/2018052839064/2018052839064b.jpg
用有聲書輕鬆聽出英語力：廖彩杏書單168本英語啟蒙經典（附168本播放清單）（新編）,https://www.kingstone.com.tw//basic/2018052824107?zone=book&lid=book_class3_kib&actid=book_class3_kib,廖彩杏,華品文創  ,9789869511292,https://cdn.kingstone.com.tw/book/images/product/20180/2018052824107/2018052824107b.jpg
全彩、全圖解給過了20歲才決定學好英文的人們【虛擬點讀筆版】（附1別冊+1單字電子書+ 1CD）,https://www.kingstone.com.tw//basic/2018052817666?zone=book&lid=book_class3_kib&actid=book_class3_kib,地表最強教學顧問團,我識      ,9789869539579,https://cdn.kingstone.com.tw/book/images/product/20180/2018052817666/2018052817666b.jpg
Crispy Fried ABC鹽酥英語：讓你的英語能力四分五裂,https://www.kingstone.com.tw//basic/2018052936909?zone=book&lid=book_class3_kib&actid=book_class3_kib,鵝肉麵,尖端      ,9789571093482,https://cdn.kingstone.com.tw/book/images/product/20180/2018052936909/2018052936909b.jpg
英語自學王：史上最強英語自學指南【增訂版】,https://www.kingstone.com.tw//basic/2018052983088?zone=book&lid=book_class3_kib&actid=book_class3_kib,鄭錫懋,晨星      ,9789865529758,https://cdn.kingstone.com.tw/book/images/product/20180/2018052983088/2018052983088b.jpg
不學文法英文也很棒,https://www.kingstone.com.tw//basic/2018052979753?zone=book&lid=book_class3_kib&actid=book_class3_kib,金賢,人類智庫  ,9789865500658,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979753/2018052979753b.jpg
一翻就懂，99%的人都能使用的英文自學寶典,https://www.kingstone.com.tw//basic/2018052974543?zone=book&lid=book_class3_kib&actid=book_class3_kib,蔡馨慧Nicole,時報文化  ,9789571387796,https://cdn.kingstone.com.tw/book/images/product/20180/2018052974543/2018052974543b.jpg
英語自學關鍵教練 希平方：神奇，絕對可以複製,https://www.kingstone.com.tw//basic/2018052979333?zone=book&lid=book_class3_kib&actid=book_class3_kib,曾知立,三采      ,9789576584824,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979333/2018052979333b.jpg
用美國小學課本學好英文閱讀（附MP3 CD）,https://www.kingstone.com.tw//basic/2018052882565?zone=book&lid=book_class3_kib&actid=book_class3_kib,黃玟君,人類智庫  ,4715443046138,https://cdn.kingstone.com.tw/book/images/product/20180/2018052882565/2018052882565b.jpg
用美國小學課本學好英文單字（附MP3 CD）,https://www.kingstone.com.tw//basic/2018052882695?zone=book&lid=book_class3_kib&actid=book_class3_kib,Matthew Chin編輯,人類智庫  ,4715443046145,https://cdn.kingstone.com.tw/book/images/product/20180/2018052882695/2018052882695b.jpg
