書名,書籍網站,作者,出版社,ISBN,圖片網址
聽懂CNN主播最常用的英語關鍵字 （口袋書）,https://www.kingstone.com.tw//basic/2018031019968?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864415960,https://cdn.kingstone.com.tw/book/images/product/20180/2018031019968/2018031019968b.jpg
英文袋著聊：口語慣用句5，000,https://www.kingstone.com.tw//basic/2018052721000?zone=book&lid=book_class3_kid&actid=book_class3_kid,張翔,知識工場  ,9789862717134,https://cdn.kingstone.com.tw/book/images/product/20180/2018052721000/2018052721000b.jpg
彩繪圖解英語通口袋書,https://www.kingstone.com.tw//basic/2018052688785?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864410187,https://cdn.kingstone.com.tw/book/images/product/20180/2018052688785/2018052688785b.jpg
一生必學的英文字首、字根、字尾（口袋書）,https://www.kingstone.com.tw//basic/2018052522560?zone=book&lid=book_class3_kid&actid=book_class3_kid,蔣志榆,我識      ,9789866163913,https://cdn.kingstone.com.tw/book/images/product/20180/2018052522560/2018052522560b.jpg
看MLB學英語口袋書,https://www.kingstone.com.tw//basic/2018052706366?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864410477,https://cdn.kingstone.com.tw/book/images/product/20180/2018052706366/2018052706366b.jpg
生活單字萬用手冊（附mp3）,https://www.kingstone.com.tw//basic/2018052927594?zone=book&lid=book_class3_kid&actid=book_class3_kid,張瑜凌,雅典      ,9789869943116,https://cdn.kingstone.com.tw/book/images/product/20180/2018052927594/2018052927594b.jpg
睡前5分鐘學英文（英語自修課+英語文法課）【網路獨家套書】,https://www.kingstone.com.tw//basic/2018052971047?zone=book&lid=book_class3_kid&actid=book_class3_kid,Ian Crews、懶鬼子英日語編輯群,懶鬼子    ,9789864071364,https://cdn.kingstone.com.tw/book/images/product/20180/2018052971047/2018052971047b.jpg
每天5分鐘學口語 口袋書,https://www.kingstone.com.tw//basic/2018052816294?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864412440,https://cdn.kingstone.com.tw/book/images/product/20180/2018052816294/2018052816294b.jpg
暢銷版 溜美國話中文就行啦（48K+1MP3）,https://www.kingstone.com.tw//basic/2018052787594?zone=book&lid=book_class3_kid&actid=book_class3_kid,里昂,山田社    ,9789862460788,https://cdn.kingstone.com.tw/book/images/product/20180/2018052787594/2018052787594b.jpg
關聯式片語學習術口袋書,https://www.kingstone.com.tw//basic/2018052778639?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864411863,https://cdn.kingstone.com.tw/book/images/product/20180/2018052778639/2018052778639b.jpg
英文圖解口語王口袋書,https://www.kingstone.com.tw//basic/2018052776055?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864411702,https://cdn.kingstone.com.tw/book/images/product/20180/2018052776055/2018052776055b.jpg
聯想式單字高頻排行榜 口袋書,https://www.kingstone.com.tw//basic/2018052760986?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864411405,https://cdn.kingstone.com.tw/book/images/product/20180/2018052760986/2018052760986b.jpg
生活單字萬用手冊「修訂版」（附mp3）,https://www.kingstone.com.tw//basic/2018052754497?zone=book&lid=book_class3_kid&actid=book_class3_kid,張瑜凌  編著,雅典      ,9789865753825,https://cdn.kingstone.com.tw/book/images/product/20180/2018052754497/2018052754497b.jpg
食衣住行英語通口袋書 （點讀版）,https://www.kingstone.com.tw//basic/2018052746164?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864410842,https://cdn.kingstone.com.tw/book/images/product/20180/2018052746164/2018052746164b.jpg
臨時一定要會的英語怎麼說口袋書（點讀版）,https://www.kingstone.com.tw//basic/2018052745112?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864411177,https://cdn.kingstone.com.tw/book/images/product/20180/2018052745112/2018052745112b.jpg
英語熱門關鍵字口袋書（點讀版）,https://www.kingstone.com.tw//basic/2018052735335?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864411030,https://cdn.kingstone.com.tw/book/images/product/20180/2018052735335/2018052735335b.jpg
英語發燒句口袋書（點讀版）,https://www.kingstone.com.tw//basic/2018052722182?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864410828,https://cdn.kingstone.com.tw/book/images/product/20180/2018052722182/2018052722182b.jpg
BIZ E：mail + 電話英語 口袋書,https://www.kingstone.com.tw//basic/2014930050156?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯部,希伯崙    ,9789864410576,https://cdn.kingstone.com.tw/book/images/product/20149/2014930050156/2014930050156b.jpg
格林、安徒生童話集口袋書,https://www.kingstone.com.tw//basic/2018052689997?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864410415,https://cdn.kingstone.com.tw/book/images/product/20180/2018052689997/2018052689997b.jpg
臨時一定要會的英語5000句口袋書,https://www.kingstone.com.tw//basic/2018052680949?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864410316,https://cdn.kingstone.com.tw/book/images/product/20180/2018052680949/2018052680949b.jpg
日常英語怎麼說？ 口袋書,https://www.kingstone.com.tw//basic/2018052648567?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789864410170,https://cdn.kingstone.com.tw/book/images/product/20180/2018052648567/2018052648567b.jpg
醬學就對了！圖解英語單字王 口袋書,https://www.kingstone.com.tw//basic/2018052636946?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789865776800,https://cdn.kingstone.com.tw/book/images/product/20180/2018052636946/2018052636946b.jpg
7000單，強咖這樣背Book3（1MP3）,https://www.kingstone.com.tw//basic/2018052625377?zone=book&lid=book_class3_kid&actid=book_class3_kid,李爵、古貿昌校閱,知英      ,9789867025647,https://cdn.kingstone.com.tw/book/images/product/20180/2018052625377/2018052625377b.jpg
7000單，強咖這樣背Book2（1MP3）,https://www.kingstone.com.tw//basic/2018052592419?zone=book&lid=book_class3_kid&actid=book_class3_kid,李爵、古貿昌 英文校閱,知英      ,9789865694050,https://cdn.kingstone.com.tw/book/images/product/20180/2018052592419/2018052592419b.jpg
圖解生活英語王 （口袋書）,https://www.kingstone.com.tw//basic/2018052587842?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789865776633,https://cdn.kingstone.com.tw/book/images/product/20180/2018052587842/2018052587842b.jpg
超實用2500短句王（口袋書）,https://www.kingstone.com.tw//basic/2018052564072?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789865776305,https://cdn.kingstone.com.tw/book/images/product/20180/2018052564072/2018052564072b.jpg
解構英文文法王（口袋書）,https://www.kingstone.com.tw//basic/2018052564102?zone=book&lid=book_class3_kid&actid=book_class3_kid,LiveABC編輯群,希伯崙    ,9789865776114,https://cdn.kingstone.com.tw/book/images/product/20180/2018052564102/2018052564102b.jpg
7000單字走著瞧（附1防水書套 + 1 DVD）,https://www.kingstone.com.tw//basic/2018052535553?zone=book&lid=book_class3_kid&actid=book_class3_kid,江葳,不求人文化,9789868968264,https://cdn.kingstone.com.tw/book/images/product/20180/2018052535553/2018052535553b.jpg
解構英文句型王（口袋書）,https://www.kingstone.com.tw//basic/2018052502036?zone=book&lid=book_class3_kid&actid=book_class3_kid,希伯崙,希伯崙    ,9789866051852,https://cdn.kingstone.com.tw/book/images/product/20180/2018052502036/2018052502036b.jpg
Maybe美比：你一定會愛死的菜英文（50K附MP3）,https://www.kingstone.com.tw//basic/2018052492818?zone=book&lid=book_class3_kid&actid=book_class3_kid,張瑜凌,雅典      ,9789866282720,https://cdn.kingstone.com.tw/book/images/product/20180/2018052492818/2018052492818b.jpg
1000基礎實用單字（50K附MP3）,https://www.kingstone.com.tw//basic/2018052447313?zone=book&lid=book_class3_kid&actid=book_class3_kid,張瑜凌,雅典      ,9789866282676,https://cdn.kingstone.com.tw/book/images/product/20180/2018052447313/2018052447313b.jpg
圖解速記英語1200字（口袋書）,https://www.kingstone.com.tw//basic/2018052412502?zone=book&lid=book_class3_kid&actid=book_class3_kid,希伯崙編輯部,希伯崙    ,9789866051135,https://cdn.kingstone.com.tw/book/images/product/20180/2018052412502/2018052412502b.jpg
學一次用一輩子：會話關鍵字（1口袋書+1 MP3）,https://www.kingstone.com.tw//basic/2018052372073?zone=book&lid=book_class3_kid&actid=book_class3_kid,EZ 叢書館編輯部,EZ叢書館  ,9789862482339,https://cdn.kingstone.com.tw/book/images/product/20180/2018052372073/2018052372073b.jpg
