書名,書籍網站,作者,出版社,ISBN,圖片網址
Shadowing跟讀法：英式英語發音聽力訓練（MP3免費下載）,https://www.kingstone.com.tw//basic/2018052989240?zone=book&lid=book_class3_kie&actid=book_class3_kie,Dr Fiona Hu,眾文      ,9789575325886,https://cdn.kingstone.com.tw/book/images/product/20180/2018052989240/2018052989240b.jpg
你一定要會的英語發音規則（MP3下載版）,https://www.kingstone.com.tw//basic/2018052922124?zone=book&lid=book_class3_kie&actid=book_class3_kie,LiveABC編輯群,希伯崙    ,9789864414086,https://cdn.kingstone.com.tw/book/images/product/20180/2018052922124/2018052922124b.jpg
超好學的英文發音課本：專門寫給「學了好久都學不好英文發音」的人們（免費附贈虛擬點讀筆APP + 1CD）,https://www.kingstone.com.tw//basic/2018052889229?zone=book&lid=book_class3_kie&actid=book_class3_kie,Josephine Lin林雨薇,懶鬼子    ,9789864071340,https://cdn.kingstone.com.tw/book/images/product/20180/2018052889229/2018052889229b.jpg
學英文音標不用背：第一本輕鬆連結自然發音與KK音標的發音書（附MP3＋體驗版DVD）,https://www.kingstone.com.tw//basic/2018052189732?zone=book&lid=book_class3_kie&actid=book_class3_kie,楊淑如,國際學村  ,9789866829338,https://cdn.kingstone.com.tw/book/images/product/20180/2018052189732/2018052189732b.jpg
超好學日語五十音【教科書字體三版】：３分鐘記憶口訣+旅遊單字小句（20K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018031019128?zone=book&lid=book_class3_kie&actid=book_class3_kie,葉平亭,寂天文化  ,9786263000216,https://cdn.kingstone.com.tw/book/images/product/20180/2018031019128/2018031019128b.jpg
一看就會圖解英語發音【全新增修版】,https://www.kingstone.com.tw//basic/2018052875734?zone=book&lid=book_class3_kie&actid=book_class3_kie,LiveABC編輯群,希伯崙    ,9789864413423,https://cdn.kingstone.com.tw/book/images/product/20180/2018052875734/2018052875734b.jpg
一生必學的英文自然發音（附1CD+全彩拉頁）,https://www.kingstone.com.tw//basic/2018052817796?zone=book&lid=book_class3_kie&actid=book_class3_kie,白如川,我識      ,9789869603935,https://cdn.kingstone.com.tw/book/images/product/20180/2018052817796/2018052817796b.jpg
一生必學的英文發音規則：2000單字一唸就會（增修版）（皮製書套+1MP3）,https://www.kingstone.com.tw//basic/2018052499862?zone=book&lid=book_class3_kie&actid=book_class3_kie,白如川,我識      ,9789866163890,https://cdn.kingstone.com.tw/book/images/product/20180/2018052499862/2018052499862b.jpg
英文單字3色記憶法：拆解英文字首、字根、字尾，沒學過的字也能立刻看懂！（附MP3 QR Code）,https://www.kingstone.com.tw//basic/2018052929468?zone=book&lid=book_class3_kie&actid=book_class3_kie,曾利娟,晨星      ,9789865529543,https://cdn.kingstone.com.tw/book/images/product/20180/2018052929468/2018052929468b.jpg
最新圖解 英語發音入門－6天學會KK音標．自然發音,https://www.kingstone.com.tw//basic/2018052892632?zone=book&lid=book_class3_kie&actid=book_class3_kie,Mary Chang,布可屋    ,9789579579865,https://cdn.kingstone.com.tw/book/images/product/20180/2018052892632/2018052892632b.jpg
