書名,書籍網站,作者,出版社,ISBN,圖片網址
超圖解英文同義字：會話、寫作，就用最精準的字！（MP3免費下載）,https://www.kingstone.com.tw//basic/2018052984030?zone=book&lid=book_class3_kig&actid=book_class3_kig,佐藤誠司,眾文      ,9789575325831,https://cdn.kingstone.com.tw/book/images/product/20180/2018052984030/2018052984030b.jpg
完全圖解1小時學會英文文法,https://www.kingstone.com.tw//basic/2018052624035?zone=book&lid=book_class3_kig&actid=book_class3_kig,波嘉妮．蒙席拉巴莎特,不求人文化,9789869142151,https://cdn.kingstone.com.tw/book/images/product/20180/2018052624035/2018052624035b.jpg
旋元佑文法解題,https://www.kingstone.com.tw//basic/2018052902430?zone=book&lid=book_class3_kig&actid=book_class3_kig,旋元佑,眾文      ,9789575325428,https://cdn.kingstone.com.tw/book/images/product/20180/2018052902430/2018052902430b.jpg
讓74億人都驚呆的英文文法心智地圖（附10張文法心智地圖拉頁）,https://www.kingstone.com.tw//basic/2018052900696?zone=book&lid=book_class3_kig&actid=book_class3_kig,吳宜錚,懶鬼子    ,9789864071449,https://cdn.kingstone.com.tw/book/images/product/20180/2018052900696/2018052900696b.jpg
10天救回高中英文：國中沒學好，從此跟不上？用你一定可以理解的順序編排，速學技巧，學校搶著用。,https://www.kingstone.com.tw//basic/2018052988038?zone=book&lid=book_class3_kig&actid=book_class3_kig,岡岡田順子,大是      ,9789860742404,https://cdn.kingstone.com.tw/book/images/product/20180/2018052988038/2018052988038b.jpg
7天救回國中英文：從20分快速進步到70分。用你一定可以理解的順序編排，重新打好說、讀、寫、考試基礎。,https://www.kingstone.com.tw//basic/2018052988328?zone=book&lid=book_class3_kig&actid=book_class3_kig,岡田順子,大是      ,9789860742398,https://cdn.kingstone.com.tw/book/images/product/20180/2018052988328/2018052988328b.jpg
寫給學了174次都學不會英文句型的人們（免費附贈1CD）,https://www.kingstone.com.tw//basic/2018052985532?zone=book&lid=book_class3_kig&actid=book_class3_kig,塔妮莎．秋恩朋,懶鬼子    ,9789864071647,https://cdn.kingstone.com.tw/book/images/product/20180/2018052985532/2018052985532b.jpg
心智圖簡單學文法：詞類句型x大量解題x詳細解析的致勝17堂課,https://www.kingstone.com.tw//basic/2018052976417?zone=book&lid=book_class3_kig&actid=book_class3_kig,蔡文宜,捷徑文化  ,9789865507596,https://cdn.kingstone.com.tw/book/images/product/20180/2018052976417/2018052976417b.jpg
最強圖解英文文法：800幅手繪概念圖，英文語感+文法一本通！,https://www.kingstone.com.tw//basic/2018052932741?zone=book&lid=book_class3_kig&actid=book_class3_kig,波瀨篤雄,遠流      ,9789573289135,https://cdn.kingstone.com.tw/book/images/product/20180/2018052932741/2018052932741b.jpg
學英文文法不用背!【QR碼行動學習版】：文法口訣+幽默故事+冷笑話，一句話速記讓你哈哈大笑把文法,https://www.kingstone.com.tw//basic/2018052894896?zone=book&lid=book_class3_kig&actid=book_class3_kig,Dorina(楊淑如),國際學村  ,9789864541188,https://cdn.kingstone.com.tw/book/images/product/20180/2018052894896/2018052894896b.jpg
