書名,書籍網站,作者,出版社,ISBN,圖片網址
最強英文閱讀技巧：6步驟看懂英文文章，8大英檢考試都適用,https://www.kingstone.com.tw//basic/2018052920670?zone=book&lid=book_class3_kij&actid=book_class3_kij,Eric Yang,我識      ,9789869803779,https://cdn.kingstone.com.tw/book/images/product/20180/2018052920670/2018052920670b.jpg
第一本親子英文共讀書：孩子，英文不可怕！,https://www.kingstone.com.tw//basic/2018052744900?zone=book&lid=book_class3_kij&actid=book_class3_kij,李存忠,捷徑文化  ,9789869392549,https://cdn.kingstone.com.tw/book/images/product/20180/2018052744900/2018052744900b.jpg
讀李家同學英文6：李花村（二版）,https://www.kingstone.com.tw//basic/2018052804413?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,聯經      ,9789570850949,https://cdn.kingstone.com.tw/book/images/product/20180/2018052804413/2018052804413b.jpg
少兒英語閱讀測驗（第一冊）,https://www.kingstone.com.tw//basic/2018052790747?zone=book&lid=book_class3_kij&actid=book_class3_kij,劉毅,學習出版有,4713269382683,https://cdn.kingstone.com.tw/book/images/product/20180/2018052790747/2018052790747b.jpg
Sight Words to Reading 2（附1CD）,https://www.kingstone.com.tw//basic/2018052769774?zone=book&lid=book_class3_kij&actid=book_class3_kij,楊耀琦,師德      ,9789866915802,https://cdn.kingstone.com.tw/book/images/product/20180/2018052769774/2018052769774b.jpg
學好英文沒有捷徑（二版）,https://www.kingstone.com.tw//basic/2018052756491?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,聯經      ,9789570849332,https://cdn.kingstone.com.tw/book/images/product/20180/2018052756491/2018052756491b.jpg
Wings of Knowledge： Western Literature for College Students,https://www.kingstone.com.tw//basic/2015214997150?zone=book&lid=book_class3_kij&actid=book_class3_kij,陳徵蔚- David Pendery,文鶴      ,9789861476919,https://cdn.kingstone.com.tw/book/images/product/20152/2015214997150/2015214997150b.jpg
積木閱讀法 奇蹟3步驟 翻轉英文閱讀力！,https://www.kingstone.com.tw//basic/2013120350304?zone=book&lid=book_class3_kij&actid=book_class3_kij,謝樹明,旗標      ,9789863122579,https://cdn.kingstone.com.tw/book/images/product/20131/2013120350304/2013120350304b.jpg
高效的英文閱讀力,https://www.kingstone.com.tw//basic/2018052515029?zone=book&lid=book_class3_kij&actid=book_class3_kij,彭登龍,五南      ,9789571171777,https://cdn.kingstone.com.tw/book/images/product/20180/2018052515029/2018052515029b.jpg
白安竹基礎英文閱讀（附全文朗讀+聽力練習MP3）,https://www.kingstone.com.tw//basic/2018052463559?zone=book&lid=book_class3_kij&actid=book_class3_kij,白安竹(Andrew E. Bennett),眾文      ,9789575324278,https://cdn.kingstone.com.tw/book/images/product/20180/2018052463559/2018052463559b.jpg
跟白安竹老師學英文閱讀（附MP3）,https://www.kingstone.com.tw//basic/2018052418214?zone=book&lid=book_class3_kij&actid=book_class3_kij,白安竹(Andrew E. Bennett),眾文      ,9789575324209,https://cdn.kingstone.com.tw/book/images/product/20180/2018052418214/2018052418214b.jpg
跟李伯伯學英文３：窮人的遺囑（附有聲書）,https://www.kingstone.com.tw//basic/2018052353461?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,九歌      ,9789574447749,https://cdn.kingstone.com.tw/book/images/product/20180/2018052353461/2018052353461b.jpg
改變一生的英文閱讀課,https://www.kingstone.com.tw//basic/2018052348214?zone=book&lid=book_class3_kij&actid=book_class3_kij,陳超明,貝塔      ,9789577297761,https://cdn.kingstone.com.tw/book/images/product/20180/2018052348214/2018052348214b.jpg
跟李伯伯學英文：Page 21（有聲書）,https://www.kingstone.com.tw//basic/2018052206491?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,九歌      ,9789574446131,https://cdn.kingstone.com.tw/book/images/product/20180/2018052206491/2018052206491b.jpg
跟李伯伯學英文2：Good Fate（有聲書）,https://www.kingstone.com.tw//basic/2018052206651?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,九歌      ,9789574446100,https://cdn.kingstone.com.tw/book/images/product/20180/2018052206651/2018052206651b.jpg
讀李家同學英文7：小男孩的爸爸,https://www.kingstone.com.tw//basic/2018052201021?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,聯經      ,9789570834338,https://cdn.kingstone.com.tw/book/images/product/20180/2018052201021/2018052201021b.jpg
8天速成英語閱讀力,https://www.kingstone.com.tw//basic/2018052177371?zone=book&lid=book_class3_kij&actid=book_class3_kij,蕭誼庭,知識工場  ,9789861279244,https://cdn.kingstone.com.tw/book/images/product/20180/2018052177371/2018052177371b.jpg
讀李家同學英文5：我在天堂嗎？,https://www.kingstone.com.tw//basic/2018052113881?zone=book&lid=book_class3_kij&actid=book_class3_kij,李家同,聯經      ,9789570832624,https://cdn.kingstone.com.tw/book/images/product/20180/2018052113881/2018052113881b.jpg
