書名,書籍網站,作者,出版社,ISBN,圖片網址
CNN主播教你說關鍵時刻的英語 （全新增修版）,https://www.kingstone.com.tw//basic/2018052974833?zone=book&lid=book_class3_kil&actid=book_class3_kil,希伯崙編輯團隊,希伯崙    ,9789864415366,https://cdn.kingstone.com.tw/book/images/product/20180/2018052974833/2018052974833b.jpg
新聞英文年度關鍵字：EZ TALK 總編嚴選特刊（附QR Code 線上音檔）,https://www.kingstone.com.tw//basic/2018052936459?zone=book&lid=book_class3_kil&actid=book_class3_kil,EZ TALK編輯部,EZ叢書館  ,9789862489413,https://cdn.kingstone.com.tw/book/images/product/20180/2018052936459/2018052936459b.jpg
CNN主播教你 一字一句聽懂新聞英語,https://www.kingstone.com.tw//basic/2018052935827?zone=book&lid=book_class3_kil&actid=book_class3_kil,LiveABC編輯群,希伯崙    ,9789864414253,https://cdn.kingstone.com.tw/book/images/product/20180/2018052935827/2018052935827b.jpg
新聞英語必備指南：關鍵句,https://www.kingstone.com.tw//basic/2018052927754?zone=book&lid=book_class3_kil&actid=book_class3_kil,金利,崧燁文化  ,9789577359957,https://cdn.kingstone.com.tw/book/images/product/20180/2018052927754/2018052927754b.jpg
CNN主播教你說英語 成功企業的奮鬥故事（互動下載版）,https://www.kingstone.com.tw//basic/2018052917687?zone=book&lid=book_class3_kil&actid=book_class3_kil,LiveABC編輯群,希伯崙    ,9789864413997,https://cdn.kingstone.com.tw/book/images/product/20180/2018052917687/2018052917687b.jpg
新概念全方位英語：中級篇+1MP3,https://www.kingstone.com.tw//basic/2018052857204?zone=book&lid=book_class3_kil&actid=book_class3_kil,賴世雄,常春藤    ,9789865676605,https://cdn.kingstone.com.tw/book/images/product/20180/2018052857204/2018052857204b.jpg
新概念全方位英語：進階篇+1MP3,https://www.kingstone.com.tw//basic/2018052857334?zone=book&lid=book_class3_kil&actid=book_class3_kil,賴世雄,常春藤    ,9789865676612,https://cdn.kingstone.com.tw/book/images/product/20180/2018052857334/2018052857334b.jpg
新概念全方位英語：初級篇+1MP3,https://www.kingstone.com.tw//basic/2018052857464?zone=book&lid=book_class3_kil&actid=book_class3_kil,賴世雄,常春藤    ,9789865676599,https://cdn.kingstone.com.tw/book/images/product/20180/2018052857464/2018052857464b.jpg
CNN主播最常用的新聞關鍵英語單字（附MP3）,https://www.kingstone.com.tw//basic/2018052850960?zone=book&lid=book_class3_kil&actid=book_class3_kil,LiveABC編輯群,希伯崙    ,9789864412891,https://cdn.kingstone.com.tw/book/images/product/20180/2018052850960/2018052850960b.jpg
新聞英文搭配詞：學會collocation，擺脫中式英文,https://www.kingstone.com.tw//basic/2018052826101?zone=book&lid=book_class3_kil&actid=book_class3_kil,廖柏森,眾文      ,9789575325169,https://cdn.kingstone.com.tw/book/images/product/20180/2018052826101/2018052826101b.jpg
