書名,書籍網站,作者,出版社,ISBN,圖片網址
英文寫作聖經：史上最長銷、美國學生人手一本、常春藤英語學習經典（中英對照附原版練習題‧實戰練習手冊）,https://www.kingstone.com.tw//basic/2018052827733?zone=book&lid=book_class3_kin&actid=book_class3_kin,威廉．史壯克,野人文化  ,9789863843160,https://cdn.kingstone.com.tw/book/images/product/20180/2018052827733/2018052827733b.jpg
最強英文寫作指南：風靡全球的萬用寫作法，五大類文體完全適用！,https://www.kingstone.com.tw//basic/2018052967842?zone=book&lid=book_class3_kin&actid=book_class3_kin,楊舒涵,我識      ,9789869966252,https://cdn.kingstone.com.tw/book/images/product/20180/2018052967842/2018052967842b.jpg
英文研究論文寫作：關鍵句指引（第四版）,https://www.kingstone.com.tw//basic/2018052865087?zone=book&lid=book_class3_kin&actid=book_class3_kin,廖柏森,眾文      ,9789575325244,https://cdn.kingstone.com.tw/book/images/product/20180/2018052865087/2018052865087b.jpg
清晰簡明的英文寫作指南：從正確用詞到刪除贅字，藍燈書屋文稿總監幫助你提升寫作力,https://www.kingstone.com.tw//basic/2018052976707?zone=book&lid=book_class3_kin&actid=book_class3_kin,班傑明．卓瑞爾,經濟新潮社,9789860642711,https://cdn.kingstone.com.tw/book/images/product/20180/2018052976707/2018052976707b.jpg
最強雅思口說寫作：考前必看「答題模組」，口說、寫作高分過?！（免費附贈「Youtor App」內含VRP虛,https://www.kingstone.com.tw//basic/2018052972549?zone=book&lid=book_class3_kin&actid=book_class3_kin,James Brown,我識      ,9789869966276,https://cdn.kingstone.com.tw/book/images/product/20180/2018052972549/2018052972549b.jpg
61億人都在用的英文寫作技巧：4步驟掌握英文寫作,https://www.kingstone.com.tw//basic/2018052924258?zone=book&lid=book_class3_kin&actid=book_class3_kin,傅友良,我識      ,9789869894685,https://cdn.kingstone.com.tw/book/images/product/20180/2018052924258/2018052924258b.jpg
每天3分鐘，寫手帳練出好英文：從單字到短句，天天記錄生活，跨出英文寫作第一步！,https://www.kingstone.com.tw//basic/2018052834694?zone=book&lid=book_class3_kin&actid=book_class3_kin,神林莎莉,采實文化  ,9789578950719,https://cdn.kingstone.com.tw/book/images/product/20180/2018052834694/2018052834694b.jpg
英文翻譯寫作精選句型,https://www.kingstone.com.tw//basic/2015240233185?zone=book&lid=book_class3_kin&actid=book_class3_kin,賴世雄,常春藤    ,9789865676490,https://cdn.kingstone.com.tw/book/images/product/20152/2015240233185/2015240233185b.jpg
如何寫好英文論文摘要：語料庫學習模式,https://www.kingstone.com.tw//basic/2018030845261?zone=book&lid=book_class3_kin&actid=book_class3_kin,廖柏森,眾文      ,9789575324711,https://cdn.kingstone.com.tw/book/images/product/20180/2018030845261/2018030845261b.jpg
英文研究論文寫作：搭配詞指引（第二版）,https://www.kingstone.com.tw//basic/2018052982746?zone=book&lid=book_class3_kin&actid=book_class3_kin,廖柏森,眾文      ,9789575325800,https://cdn.kingstone.com.tw/book/images/product/20180/2018052982746/2018052982746b.jpg
JUST Write 1 （15個跨科寫作主題）,https://www.kingstone.com.tw//basic/2018052983668?zone=book&lid=book_class3_kin&actid=book_class3_kin,Hamilton House Publishers,師德      ,9789865599775,https://cdn.kingstone.com.tw/book/images/product/20180/2018052983668/2018052983668b.jpg
JUST Write 2 （15個跨科寫作主題）,https://www.kingstone.com.tw//basic/2018052983798?zone=book&lid=book_class3_kin&actid=book_class3_kin,Hamilton House Publishers,師德      ,9789865599782,https://cdn.kingstone.com.tw/book/images/product/20180/2018052983798/2018052983798b.jpg
初級英文寫作贏戰攻略：全民英檢？統測作文必修（16K彩色+解答別冊）,https://www.kingstone.com.tw//basic/2018052979203?zone=book&lid=book_class3_kin&actid=book_class3_kin,黃瑜汎、Sheng-chieh Jeff C,語言工場  ,9789866963780,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979203/2018052979203b.jpg
