書名,書籍網站,作者,出版社,ISBN,圖片網址
觀光英語Let，s Go！【三版】（20K彩圖+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052969426?zone=book&lid=book_class3_kio&actid=book_class3_kio,Kiwi Cheng、Cosmos Language Workshop,語言工場  ,9789863189923,https://cdn.kingstone.com.tw/book/images/product/20180/2018052969426/2018052969426b.jpg
用英文介紹台灣：實用觀光導遊英語【彩圖四版】（16K +解答別冊+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052968214?zone=book&lid=book_class3_kio&actid=book_class3_kio,Paul O`Hagan、Peg Tinsley,寂天文化  ,9789863189763,https://cdn.kingstone.com.tw/book/images/product/20180/2018052968214/2018052968214b.jpg
新概念900句玩轉旅遊英文（獨家買1送1，買紙本書送電子書）,https://www.kingstone.com.tw//basic/2018052931119?zone=book&lid=book_class3_kio&actid=book_class3_kio,賴世雄，吳紀維,常春藤    ,9789865676995,https://cdn.kingstone.com.tw/book/images/product/20180/2018052931119/2018052931119b.jpg
觀光旅遊英語通（影音下載版）,https://www.kingstone.com.tw//basic/2018052890768?zone=book&lid=book_class3_kio&actid=book_class3_kio,LiveABC編輯群,希伯崙    ,9789864413577,https://cdn.kingstone.com.tw/book/images/product/20180/2018052890768/2018052890768b.jpg
觀光英語Let，s Go！【三版】（25K彩圖+1MP3）,https://www.kingstone.com.tw//basic/2018052844501?zone=book&lid=book_class3_kio&actid=book_class3_kio,Kiwi Cheng,寂天文化  ,9789863187790,https://cdn.kingstone.com.tw/book/images/product/20180/2018052844501/2018052844501b.jpg
Go Traveling學好英語環遊世界,https://www.kingstone.com.tw//basic/2018052779551?zone=book&lid=book_class3_kio&actid=book_class3_kio,LiveABC編輯群,希伯崙    ,9789864411870,https://cdn.kingstone.com.tw/book/images/product/20180/2018052779551/2018052779551b.jpg
台灣趴趴走Taiwan Follow Me！EZ TALK 總編嚴選特刊（1書1MP3）,https://www.kingstone.com.tw//basic/2017330109271?zone=book&lid=book_class3_kio&actid=book_class3_kio,EZ Talk 編輯部,EZ叢書館  ,9789862483640,https://cdn.kingstone.com.tw/book/images/product/20173/2017330109271/2017330109271b.jpg
領隊導遊英文一本搞定！史上最強歸類整理,https://www.kingstone.com.tw//basic/2018052544678?zone=book&lid=book_class3_kio&actid=book_class3_kio,陳若慈,瑞蘭      ,9789865953591,https://cdn.kingstone.com.tw/book/images/product/20180/2018052544678/2018052544678b.jpg
Talk About Travel 2/e （with MP3）,https://www.kingstone.com.tw//basic/2018052952435?zone=book&lid=book_class3_kio&actid=book_class3_kio,Rob Jordens、 Terry Jordens,compass     ,9781599664019,https://cdn.kingstone.com.tw/book/images/product/20180/2018052952435/2018052952435b.jpg
彩圖實境旅遊英語【彩圖三版】（20K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052990239?zone=book&lid=book_class3_kio&actid=book_class3_kio,P. Walsh,寂天文化  ,9786263000193,https://cdn.kingstone.com.tw/book/images/product/20180/2018052990239/2018052990239b.jpg
食衣住行＋觀光旅遊 超實用英語會話（增修版）,https://www.kingstone.com.tw//basic/2018052974963?zone=book&lid=book_class3_kio&actid=book_class3_kio,希伯崙編輯團隊,希伯崙    ,9789864415465,https://cdn.kingstone.com.tw/book/images/product/20180/2018052974963/2018052974963b.jpg
彩圖實境旅遊英語：會話模擬練功【二版】（20K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052973881?zone=book&lid=book_class3_kio&actid=book_class3_kio,P. Walsh、Peichien Sun,寂天文化  ,9786263000018,https://cdn.kingstone.com.tw/book/images/product/20180/2018052973881/2018052973881b.jpg
就是這麼簡單：情境模擬旅遊英語（25K+MP3）,https://www.kingstone.com.tw//basic/2018052966760?zone=book&lid=book_class3_kio&actid=book_class3_kio,里昂,山田社    ,9789866751004,https://cdn.kingstone.com.tw/book/images/product/20180/2018052966760/2018052966760b.jpg
Go traveling 學好英語環遊世界+LiveABC智慧點讀筆鋰電池版－16G（盒裝版）,https://www.kingstone.com.tw//basic/2018052927174?zone=book&lid=book_class3_kio&actid=book_class3_kio,LiveABC編輯群,希伯崙    ,4715838656904,https://cdn.kingstone.com.tw/book/images/product/20180/2018052927174/2018052927174b.jpg
旅遊英語必備指南,https://www.kingstone.com.tw//basic/2018052926672?zone=book&lid=book_class3_kio&actid=book_class3_kio,金利,崧燁文化  ,9789577359940,https://cdn.kingstone.com.tw/book/images/product/20180/2018052926672/2018052926672b.jpg
誰都學得會的旅遊英語（隨書附美籍名師親錄標準英語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018052925330?zone=book&lid=book_class3_kio&actid=book_class3_kio,本間岐理,瑞蘭      ,9789865560003,https://cdn.kingstone.com.tw/book/images/product/20180/2018052925330/2018052925330b.jpg
會游、會騎、會跑，但你會英文嗎？,https://www.kingstone.com.tw//basic/2018052923916?zone=book&lid=book_class3_kio&actid=book_class3_kio,潘勇俊,沃傑文化  ,9789869956802,https://cdn.kingstone.com.tw/book/images/product/20180/2018052923916/2018052923916b.jpg
說著英語去旅行【二版】（32K彩圖+MP3）,https://www.kingstone.com.tw//basic/2018052920120?zone=book&lid=book_class3_kio&actid=book_class3_kio,Carlos Campbell,寂天文化  ,9789863189398,https://cdn.kingstone.com.tw/book/images/product/20180/2018052920120/2018052920120b.jpg
彩圖實境旅遊英語【彩圖三版】（32K+MP3）,https://www.kingstone.com.tw//basic/2018052916215?zone=book&lid=book_class3_kio&actid=book_class3_kio,P. Walsh,寂天文化  ,9789863189329,https://cdn.kingstone.com.tw/book/images/product/20180/2018052916215/2018052916215b.jpg
Go traveling 學好英語環遊世界+LiveABC智慧點讀筆16G（盒裝版）,https://www.kingstone.com.tw//basic/2018052895688?zone=book&lid=book_class3_kio&actid=book_class3_kio,LiveABC編輯群,希伯崙    ,4715838656065,https://cdn.kingstone.com.tw/book/images/product/20180/2018052895688/2018052895688b.jpg
用英文介紹台灣：實用觀光導遊英語【彩圖四版】（20K +解答別冊+1MP3）,https://www.kingstone.com.tw//basic/2018052892182?zone=book&lid=book_class3_kio&actid=book_class3_kio,Paul O`Hagan等,寂天文化  ,9789863188896,https://cdn.kingstone.com.tw/book/images/product/20180/2018052892182/2018052892182b.jpg
一本速學！人人都在用的旅遊英語全集,https://www.kingstone.com.tw//basic/2018052887775?zone=book&lid=book_class3_kio&actid=book_class3_kio,許豪,含章      ,9789869834957,https://cdn.kingstone.com.tw/book/images/product/20180/2018052887775/2018052887775b.jpg
說著英語去旅行【二版】（20K彩圖+1MP3）,https://www.kingstone.com.tw//basic/2018052886693?zone=book&lid=book_class3_kio&actid=book_class3_kio,Carlos Campbell,寂天文化  ,9789863188643,https://cdn.kingstone.com.tw/book/images/product/20180/2018052886693/2018052886693b.jpg
不用背英文！玩遍全世界用中文就GO！ （25K+MP3）,https://www.kingstone.com.tw//basic/2018052884019?zone=book&lid=book_class3_kio&actid=book_class3_kio,里昂,山田社    ,9789862465646,https://cdn.kingstone.com.tw/book/images/product/20180/2018052884019/2018052884019b.jpg
