書名,書籍網站,作者,出版社,ISBN,圖片網址
準！GEPT新制全民英檢初級初試10回全真模擬試題+翻譯解答（聽力&閱讀）試題本+翻譯解答本+1MP3+ QR Code線上音檔（附防水書套）,https://www.kingstone.com.tw//basic/2018052929208?zone=book&lid=book_class3_kja&actid=book_class3_kja,賴世雄,常春藤    ,9789865676964,https://cdn.kingstone.com.tw/book/images/product/20180/2018052929208/2018052929208b.jpg
NEW GEPT全新全民英檢初級寫作&口說題庫解析【新制修訂版】（附口說測驗MP3+音檔下載連結QR碼）,https://www.kingstone.com.tw//basic/2018052984610?zone=book&lid=book_class3_kja&actid=book_class3_kja,國際語言中心委員會、郭文興等,國際學村  ,9789864541621,https://cdn.kingstone.com.tw/book/images/product/20180/2018052984610/2018052984610b.jpg
全民英檢初級文法（最常考的14大文法主題）,https://www.kingstone.com.tw//basic/2018052773269?zone=book&lid=book_class3_kja&actid=book_class3_kja,薛詩怡,師德      ,9789866915840,https://cdn.kingstone.com.tw/book/images/product/20180/2018052773269/2018052773269b.jpg
全民英檢初級複試制勝模擬試題寫作&口說（試題本+解答本+1MP3）,https://www.kingstone.com.tw//basic/2018052830726?zone=book&lid=book_class3_kja&actid=book_class3_kja,賴世雄,常春藤    ,9789865676483,https://cdn.kingstone.com.tw/book/images/product/20180/2018052830726/2018052830726b.jpg
NEW GEPT 新制全民英檢初級閱讀測驗必考題型：符合最新「素養導向試題」出題方式，分類解析詞彙、段落填空、閱讀理解題型！,https://www.kingstone.com.tw//basic/2018052972839?zone=book&lid=book_class3_kja&actid=book_class3_kja,國際語言中心委員會、許秀芬,國際學村  ,9789864541508,https://cdn.kingstone.com.tw/book/images/product/20180/2018052972839/2018052972839b.jpg
怪物講師教學團隊的GEPT全民英檢初級複試10回模擬試題+解析（附贈口說試題及參考答案完整/段落雙模式音檔1CD+VRP虛擬點讀筆APP）,https://www.kingstone.com.tw//basic/2018052919261?zone=book&lid=book_class3_kja&actid=book_class3_kja,怪物講師教學團隊、吳宜錚,不求人文化,9789869907422,https://cdn.kingstone.com.tw/book/images/product/20180/2018052919261/2018052919261b.jpg
一本搞定 初類拔萃！GEPT 新制全民英檢初級5 回滿分模擬試題+詳解（初試+複試）－試題本+詳解本+1MP3 （附防水書套）,https://www.kingstone.com.tw//basic/2018052911975?zone=book&lid=book_class3_kja&actid=book_class3_kja,賴世雄,常春藤    ,9789865676919,https://cdn.kingstone.com.tw/book/images/product/20180/2018052911975/2018052911975b.jpg
新制全民英檢GEPT初級模擬試題,https://www.kingstone.com.tw//basic/2018052987376?zone=book&lid=book_class3_kja&actid=book_class3_kja,何誠,寰宇知識  ,9789860607352,https://cdn.kingstone.com.tw/book/images/product/20180/2018052987376/2018052987376b.jpg
NEW GEPT 新制全民英檢初級聽力測驗必考題型：初級英檢一次高分過關必備參考書！情境式分析必考題型、出題趨勢、題目關鍵字，養成作答直覺，分數自然提升！（附,https://www.kingstone.com.tw//basic/2018052972709?zone=book&lid=book_class3_kja&actid=book_class3_kja,國際語言中心委員會、李佳靜等,國際學村  ,9789864541515,https://cdn.kingstone.com.tw/book/images/product/20180/2018052972709/2018052972709b.jpg
全民英檢GEPT初級必考單字：10分鐘高效速記攻略法（附MP3）,https://www.kingstone.com.tw//basic/2018052969686?zone=book&lid=book_class3_kja&actid=book_class3_kja,孫敏華,布可屋    ,9789865544225,https://cdn.kingstone.com.tw/book/images/product/20180/2018052969686/2018052969686b.jpg
