書名,書籍網站,作者,出版社,ISBN,圖片網址
CSEPT：大學校院英語能力測驗第一級全真測驗，3/e【分冊版（試題本+解答本），附CD一片】,https://www.kingstone.com.tw//basic/2015217006750?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,郭慧敏(編著),書林      ,9789574459186,https://cdn.kingstone.com.tw/book/images/product/20152/2015217006750/2015217006750b.jpg
ECL模擬試題詳解：超級新版（書+4CD）,https://www.kingstone.com.tw//basic/2018030939083?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,程明,學習出版有,9789575198862,https://cdn.kingstone.com.tw/book/images/product/20180/2018030939083/2018030939083b.jpg
全民英文單字力檢定VQC7000字級（附VQC英文單字自我診斷系統）,https://www.kingstone.com.tw//basic/2018052569992?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,劉振華,台科大    ,9789863088097,https://cdn.kingstone.com.tw/book/images/product/20180/2018052569992/2018052569992b.jpg
PVQC ELW 生活與職場－醫護與健康照護專業英文詞彙全收錄贈線上自我診斷系統－最新版,https://www.kingstone.com.tw//basic/2018052989400?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,戴建耘 戴長熙 e檢研究團隊,台科大    ,9789865232931,https://cdn.kingstone.com.tw/book/images/product/20180/2018052989400/2018052989400b.jpg
全民英檢滿分寶典 初級單字與片語（QR CODE音檔+32回測驗題庫）,https://www.kingstone.com.tw//basic/2018052925590?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,陳明華,師德      ,9789869857765,https://cdn.kingstone.com.tw/book/images/product/20180/2018052925590/2018052925590b.jpg
一定會考的英文選擇題1000：就算是用猜的，都要比別人強！【虛擬點讀筆新編版】（附1CD+APP）,https://www.kingstone.com.tw//basic/2018052857174?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,地表最強教學顧問團隊、韋力,我識      ,9789869737142,https://cdn.kingstone.com.tw/book/images/product/20180/2018052857174/2018052857174b.jpg
7000字學測試題詳解,https://www.kingstone.com.tw//basic/2018052782124?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,劉毅,學習出版有,4713269382232,https://cdn.kingstone.com.tw/book/images/product/20180/2018052782124/2018052782124b.jpg
學習小學英檢試題1【題本】,https://www.kingstone.com.tw//basic/2018052774211?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,李冠勳,學習出版有,4713269382355,https://cdn.kingstone.com.tw/book/images/product/20180/2018052774211/2018052774211b.jpg
學習小學英檢試題1【教師手冊】,https://www.kingstone.com.tw//basic/2018052774341?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,李冠勳,學習出版有,4713269382362,https://cdn.kingstone.com.tw/book/images/product/20180/2018052774341/2018052774341b.jpg
英檢2000字完全攻略：附MP32000 Essential Words,https://www.kingstone.com.tw//basic/2018052758785?zone=book&lid=book_class3_kjc&actid=book_class3_kjc,外文圖書編輯委員會,世一文化  ,9789864292905,https://cdn.kingstone.com.tw/book/images/product/20180/2018052758785/2018052758785b.jpg
