書名,書籍網站,作者,出版社,ISBN,圖片網址
新制多益NEW TOEIC單字大全：2018起多益更新單字資訊完全掌握（附13小時8種版本MP3）,https://www.kingstone.com.tw//basic/2018052791829?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,David Cho,國際學村  ,9789864540563,https://cdn.kingstone.com.tw/book/images/product/20180/2018052791829/2018052791829b.jpg
怪物講師嚴選全新制多益單字就考這3000個【虛擬點讀筆版】（附1CD+1別冊）,https://www.kingstone.com.tw//basic/2018052898214?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,Dean Liao,不求人文化,9789869616119,https://cdn.kingstone.com.tw/book/images/product/20180/2018052898214/2018052898214b.jpg
一定會考的NEW TOEIC新制多益單字（新版）,https://www.kingstone.com.tw//basic/2018052989080?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,董春磊,華翔文化  ,9789860653472,https://cdn.kingstone.com.tw/book/images/product/20180/2018052989080/2018052989080b.jpg
心智圖歸納聯想 TOEIC必考3000字,https://www.kingstone.com.tw//basic/2018052987116?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,希伯崙編輯團隊,希伯崙    ,9789864415687,https://cdn.kingstone.com.tw/book/images/product/20180/2018052987116/2018052987116b.jpg
必考！新多益單字217：最強的NEW TOEIC 字根、字首、字尾英文單字記憶組合,https://www.kingstone.com.tw//basic/2018052985372?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,楊智民、蘇秦,晨星      ,9789865582814,https://cdn.kingstone.com.tw/book/images/product/20180/2018052985372/2018052985372b.jpg
全新制TOEIC多益單字放口袋（附贈應試祕笈+「Youtor App」內含VRP虛擬點讀筆）,https://www.kingstone.com.tw//basic/2018052977179?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,蘇秦,懶鬼子    ,9789864071609,https://cdn.kingstone.com.tw/book/images/product/20180/2018052977179/2018052977179b.jpg
看插畫20天背熟新制多益600 核心單字（32K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052970095?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,NE Neungyule- Inc.,寂天文化  ,9789863189909,https://cdn.kingstone.com.tw/book/images/product/20180/2018052970095/2018052970095b.jpg
一次戰勝新制多益TOEIC必考核心單字（附1CD+QR碼線上音檔）,https://www.kingstone.com.tw//basic/2018052859888?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,蔡馨慧Nicole,時報文化  ,9789571378190,https://cdn.kingstone.com.tw/book/images/product/20180/2018052859888/2018052859888b.jpg
Dr. TOEIC多益教授的全新制多益單字+片語+句型（附1CD+防水書套）,https://www.kingstone.com.tw//basic/2018052825159?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,張重維,我識      ,9789869603973,https://cdn.kingstone.com.tw/book/images/product/20180/2018052825159/2018052825159b.jpg
奇蹟英語講師帶你從0解構多益TOEIC單字文法（暢銷紀念版）,https://www.kingstone.com.tw//basic/2018052916925?zone=book&lid=book_class3_kjd&actid=book_class3_kjd,Yiling Chang 以琳老師,字覺文化  ,9789869870986,https://cdn.kingstone.com.tw/book/images/product/20180/2018052916925/2018052916925b.jpg
