書名,書籍網站,作者,出版社,ISBN,圖片網址
TOEIC L&R TEST多益閱讀解密（2018新制）,https://www.kingstone.com.tw//basic/2018052800095?zone=book&lid=book_class3_kje&actid=book_class3_kje,Katsuno Shibaya,眾文      ,9789575325060,https://cdn.kingstone.com.tw/book/images/product/20180/2018052800095/2018052800095b.jpg
TOEIC L&R TEST多益[閱讀+聽力+文法]解密套書（2018全新制）,https://www.kingstone.com.tw//basic/2018052863823?zone=book&lid=book_class3_kje&actid=book_class3_kje,早川幸治、石井辰哉等,眾文      ,9789295387829,https://cdn.kingstone.com.tw/book/images/product/20180/2018052863823/2018052863823b.jpg
全新制怪物講師教學團隊的TOEIC多益閱讀1，200題全真模擬試題+解析【美國+台灣多益官方講師聯手,https://www.kingstone.com.tw//basic/2018052848899?zone=book&lid=book_class3_kje&actid=book_class3_kje,李寬雨,不求人文化,9789869690485,https://cdn.kingstone.com.tw/book/images/product/20180/2018052848899/2018052848899b.jpg
新制多益 NEW TOEIC 閱讀題庫解析：2018起多益更新試題完全解密！（雙書裝＋1 MP3）,https://www.kingstone.com.tw//basic/2018052804703?zone=book&lid=book_class3_kje&actid=book_class3_kje,Hackers Academia,國際學村  ,9789864540693,https://cdn.kingstone.com.tw/book/images/product/20180/2018052804703/2018052804703b.jpg
新制多益TOEIC閱讀測驗總整理：只要一個月，多益閱讀進步300分，文法、閱讀、詞彙重點學習+1200道練習題（雙書裝）,https://www.kingstone.com.tw//basic/2018052933083?zone=book&lid=book_class3_kje&actid=book_class3_kje,David Cho,國際學村  ,9789864541454,https://cdn.kingstone.com.tw/book/images/product/20180/2018052933083/2018052933083b.jpg
輕鬆突破多益750分關卡：提高分數奪分超攻略,https://www.kingstone.com.tw//basic/2018052929918?zone=book&lid=book_class3_kje&actid=book_class3_kje,中村澄子,捷徑文化  ,4715006455773,https://cdn.kingstone.com.tw/book/images/product/20180/2018052929918/2018052929918b.jpg
挑戰新制多益閱讀滿分：模擬試題1000題【試題+解析雙書版】（16K）,https://www.kingstone.com.tw//basic/2018052881223?zone=book&lid=book_class3_kje&actid=book_class3_kje,Choi Young Ken,寂天文化  ,9789863188629,https://cdn.kingstone.com.tw/book/images/product/20180/2018052881223/2018052881223b.jpg
新制多益TOEIC閱讀課本：無門檻零基礎也能神速進步的解題策略法【雙書裝+模擬試題冊+單字MP3光碟】,https://www.kingstone.com.tw//basic/2018052850090?zone=book&lid=book_class3_kje&actid=book_class3_kje,David Cho,國際學村  ,9789864540983,https://cdn.kingstone.com.tw/book/images/product/20180/2018052850090/2018052850090b.jpg
新制多益TOEIC閱讀考前衝刺：針對新題型最快速有效的閱讀密集班！,https://www.kingstone.com.tw//basic/2018052831198?zone=book&lid=book_class3_kje&actid=book_class3_kje,劉樹燃,國際學村  ,9789864540907,https://cdn.kingstone.com.tw/book/images/product/20180/2018052831198/2018052831198b.jpg
中村澄子老師的新制TOEIC閱讀：句子填空、段落填空100%取分超攻略！,https://www.kingstone.com.tw//basic/2018052818168?zone=book&lid=book_class3_kje&actid=book_class3_kje,中村澄子,捷徑文化  ,9789578904224,https://cdn.kingstone.com.tw/book/images/product/20180/2018052818168/2018052818168b.jpg
New TOEIC TEST多益閱讀密集特訓（文章朗讀MP3免費下載）,https://www.kingstone.com.tw//basic/2018052940234?zone=book&lid=book_class3_kje&actid=book_class3_kje,中村紳一郎、Susan Anderton,眾文      ,9789575325510,https://cdn.kingstone.com.tw/book/images/product/20180/2018052940234/2018052940234b.jpg
TOEIC L&R TEST 多益閱讀模測解密,https://www.kingstone.com.tw//basic/2018052923176?zone=book&lid=book_class3_kje&actid=book_class3_kje,加藤優、野村知也,眾文      ,9789575325480,https://cdn.kingstone.com.tw/book/images/product/20180/2018052923176/2018052923176b.jpg
