書名,書籍網站,作者,出版社,ISBN,圖片網址
TOEIC L&R TEST多益聽力解密﹝2018全新制﹞（MP3免費下載）,https://www.kingstone.com.tw//basic/2018052799955?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,早川幸治,眾文      ,9789575325053,https://cdn.kingstone.com.tw/book/images/product/20180/2018052799955/2018052799955b.jpg
新制多益聽力滿分奪金演練：1000題練出黃金應試力（16K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052979173?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,PAGODA  Academy,寂天文化  ,9786263000056,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979173/2018052979173b.jpg
戰勝新制多益高分演練：聽力閱讀模擬試題1200題+中譯解析【試題+中譯解析雙書裝】（16K+MP3）,https://www.kingstone.com.tw//basic/2018052909514?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Kim- Lan、Park-JaEun,寂天文化  ,9789863189220,https://cdn.kingstone.com.tw/book/images/product/20180/2018052909514/2018052909514b.jpg
新制多益聽力搶分訓練營：3 STEPS打造高效聽力腦【解題技巧練習本+中譯解析本雙書版】（16K+1MP3）,https://www.kingstone.com.tw//basic/2018052905196?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Park Hye-young,寂天文化  ,9789863189169,https://cdn.kingstone.com.tw/book/images/product/20180/2018052905196/2018052905196b.jpg
新制多益 NEW TOEIC 聽力題庫解析：2018起多益更新試題完全解密！（雙書裝＋3 MP3）,https://www.kingstone.com.tw//basic/2018052804833?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Hackers Academia,國際學村  ,9789864540662,https://cdn.kingstone.com.tw/book/images/product/20180/2018052804833/2018052804833b.jpg
Collins新制多益聽讀測驗高分策略,https://www.kingstone.com.tw//basic/2018052980162?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,HarperCollins Publishers,書林      ,9789574459148,https://cdn.kingstone.com.tw/book/images/product/20180/2018052980162/2018052980162b.jpg
新制New TOEIC聽力超高分：最新多益改版黃金試題1000題（16K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052950721?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Ki Taek Lee,寂天文化  ,9789863189671,https://cdn.kingstone.com.tw/book/images/product/20180/2018052950721/2018052950721b.jpg
新制多益TOEIC聽力測驗總整理：只要一個月，多益聽力進步300分！出題重點分析+解題策略分析+練習題（雙書裝＋1 MP3光碟＋全書音檔下載QR碼）,https://www.kingstone.com.tw//basic/2018052932901?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,David Cho,國際學村  ,9789864541430,https://cdn.kingstone.com.tw/book/images/product/20180/2018052932901/2018052932901b.jpg
新制多益全攻略：培養聽力．閱讀實戰能力！完全自學NEW TOEIC（附音檔QRcode）,https://www.kingstone.com.tw//basic/2018052880721?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,元晶瑞、NEXUS多益研究所,笛藤出版圖,9789577107725,https://cdn.kingstone.com.tw/book/images/product/20180/2018052880721/2018052880721b.jpg
新制多益 New Toeic 聽力滿分（掃描 QR code下載聽力試題 MP3）,https://www.kingstone.com.tw//basic/2018030972547?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,李住恩,漢宇國際  ,9789862284506,https://cdn.kingstone.com.tw/book/images/product/20180/2018030972547/2018030972547b.jpg
挑戰新制多益聽力滿分：模擬試題1000題【試題+解析雙書裝】（16K+MP3）,https://www.kingstone.com.tw//basic/2018052872498?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Kim su hyeon,寂天文化  ,9789863188469,https://cdn.kingstone.com.tw/book/images/product/20180/2018052872498/2018052872498b.jpg
新制多益TOEIC聽力課本：無門檻零基礎也能神速進步的解題策略法【雙書裝+模擬試題冊+1 MP3】,https://www.kingstone.com.tw//basic/2018052850120?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,David Cho,國際學村  ,9789864540976,https://cdn.kingstone.com.tw/book/images/product/20180/2018052850120/2018052850120b.jpg
全新制怪物講師教學團隊的TOEIC多益聽力1，200題全真模擬試題+解析【美國+台灣多益官方講師聯手推薦】（2書+32小時多國口音MP3）,https://www.kingstone.com.tw//basic/2018052848929?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,高京希,不求人文化,9789869690492,https://cdn.kingstone.com.tw/book/images/product/20180/2018052848929/2018052848929b.jpg
斯巴達式新制多益10回聽力試題解析,https://www.kingstone.com.tw//basic/2018052819080?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,韓國最強多益滿分講師元晶瑞,布可屋    ,9789869637664,https://cdn.kingstone.com.tw/book/images/product/20180/2018052819080/2018052819080b.jpg
新制多益閱讀滿分奪金演練：1000題練出黃金應試力（16K）,https://www.kingstone.com.tw//basic/2018052990949?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,PAGODA Academy,寂天文化  ,9786263000094,https://cdn.kingstone.com.tw/book/images/product/20180/2018052990949/2018052990949b.jpg
New TOEIC TEST多益聽力密集特訓（四國口音MP3免費下載）,https://www.kingstone.com.tw//basic/2018052975175?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,中村紳一郎、Susan Anderton,眾文      ,9789575325527,https://cdn.kingstone.com.tw/book/images/product/20180/2018052975175/2018052975175b.jpg
TOEIC L&R TEST 多益聽力模測解密（四國口音MP3免費下載）,https://www.kingstone.com.tw//basic/2018052923206?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,加藤優、野村知也、小林美和,眾文      ,9789575325497,https://cdn.kingstone.com.tw/book/images/product/20180/2018052923206/2018052923206b.jpg
新制多益聽力題庫：短獨白，附詳盡解析（MP3）,https://www.kingstone.com.tw//basic/2018052923756?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Amanda Chou,倍斯特    ,9789869807975,https://cdn.kingstone.com.tw/book/images/product/20180/2018052923756/2018052923756b.jpg
高效衝刺！新制多益聽力大突破,https://www.kingstone.com.tw//basic/2018052918769?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,許豪多益金色證書英語教學團隊,含章      ,9789869941204,https://cdn.kingstone.com.tw/book/images/product/20180/2018052918769/2018052918769b.jpg
新制多益聽力滿分﹕神準5回全真試題解題策略（MP3）,https://www.kingstone.com.tw//basic/2018052899266?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,韋爾,倍斯特    ,9789869807944,https://cdn.kingstone.com.tw/book/images/product/20180/2018052899266/2018052899266b.jpg
NEW TOEIC新制多益聽力五回全真模擬試題+詳盡解析（附音檔QRcode）,https://www.kingstone.com.tw//basic/2018052897552?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Michael A. Putlack,笛藤出版圖,9789577107800,https://cdn.kingstone.com.tw/book/images/product/20180/2018052897552/2018052897552b.jpg
世界第一簡單！TOEIC TEST 新制多益必考聽力：史上最易操作，不用大量練習，答題也能快狠準（附MP3）,https://www.kingstone.com.tw//basic/2018052884309?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,關正生,國際學村  ,9789864541157,https://cdn.kingstone.com.tw/book/images/product/20180/2018052884309/2018052884309b.jpg
新制多益聽力閱讀考題完全戰略 Basic【聽力+閱讀雙書版】（16K+MP3）,https://www.kingstone.com.tw//basic/2018052885641?zone=book&lid=book_class3_kjf&actid=book_class3_kjf,Ki Taek Lee,寂天文化  ,9789863188728,https://cdn.kingstone.com.tw/book/images/product/20180/2018052885641/2018052885641b.jpg
