書名,書籍網站,作者,出版社,ISBN,圖片網址
不是權威不出書：托福命題總監教你征服新托福寫作,https://www.kingstone.com.tw//basic/2018052602477?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,秦蘇珊,捷徑文化  ,9789865698294,https://cdn.kingstone.com.tw/book/images/product/20180/2018052602477/2018052602477b.jpg
TOEFL iBT 新制托福閱讀指南（附QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018052913139?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,YBM,EZ叢書館  ,9789862488959,https://cdn.kingstone.com.tw/book/images/product/20180/2018052913139/2018052913139b.jpg
TOEFL－ITP高分實戰托福文法677,https://www.kingstone.com.tw//basic/2018052897842?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,賴水信,知英      ,9789865694326,https://cdn.kingstone.com.tw/book/images/product/20180/2018052897842/2018052897842b.jpg
TOEFL iBT 新制托福聽力高分指南（附QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018052892762?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,YBM,EZ叢書館  ,9789862488591,https://cdn.kingstone.com.tw/book/images/product/20180/2018052892762/2018052892762b.jpg
TOEFL iBT托福3步驟高分寫作（附MP3）,https://www.kingstone.com.tw//basic/2018052767220?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,Lin Lougheed,眾文      ,9789575324957,https://cdn.kingstone.com.tw/book/images/product/20180/2018052767220/2018052767220b.jpg
不是權威不出書：托福命題總監教你征服新托福閱讀聽力,https://www.kingstone.com.tw//basic/2018052602217?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,秦蘇珊,捷徑文化  ,9789865698270,https://cdn.kingstone.com.tw/book/images/product/20180/2018052602217/2018052602217b.jpg
不是權威不出書：托福命題總監教你征服新托福口語,https://www.kingstone.com.tw//basic/2018052602347?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,秦蘇珊,捷徑文化  ,9789865698287,https://cdn.kingstone.com.tw/book/images/product/20180/2018052602347/2018052602347b.jpg
不是權威不出書：托福命題總監教你征服新托福（閱讀聽力、口語、寫作最強3in1套書）,https://www.kingstone.com.tw//basic/2018052603719?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,秦蘇珊,捷徑文化  ,9789865698355,https://cdn.kingstone.com.tw/book/images/product/20180/2018052603719/2018052603719b.jpg
iBT新托福學術字彙「勝」經：必背精華版 （附MP3）,https://www.kingstone.com.tw//basic/2018052699804?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,楊佳瑜,倍斯特    ,9789869285506,https://cdn.kingstone.com.tw/book/images/product/20180/2018052699804/2018052699804b.jpg
TOEFL MAP ACTUAL TEST Listening iBT托福實測聽力篇（1書+ MP3,https://www.kingstone.com.tw//basic/2018052629085?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,Michael A. Putlack、Stephen,貝塔      ,9789577299895,https://cdn.kingstone.com.tw/book/images/product/20180/2018052629085/2018052629085b.jpg
TOEFL－iBT高分托福口說120[最新增訂二版]（1CD－ROM&MP3）,https://www.kingstone.com.tw//basic/2018052612254?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,江璞、John Grimes,知英      ,9789865694074,https://cdn.kingstone.com.tw/book/images/product/20180/2018052612254/2018052612254b.jpg
TOEFL－iBT 高分托福文法120（1CD－ROM）,https://www.kingstone.com.tw//basic/2018052515609?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,賴水信,知英      ,9789867025937,https://cdn.kingstone.com.tw/book/images/product/20180/2018052515609/2018052515609b.jpg
TOEFL－iBT新托福閱讀理解與寫作,https://www.kingstone.com.tw//basic/2018052308386?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,王卓群,知英      ,9789867025579,https://cdn.kingstone.com.tw/book/images/product/20180/2018052308386/2018052308386b.jpg
TOEFL－iBT高分托福聽力120[Ⅱ]（1CD－ROM & MP3）,https://www.kingstone.com.tw//basic/2018052081395?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,Rick Crooks,知英      ,9789867025180,https://cdn.kingstone.com.tw/book/images/product/20180/2018052081395/2018052081395b.jpg
TOEFL高分片語,https://www.kingstone.com.tw//basic/2018051983560?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,黃靜,漢宇國際  ,9789867046437,https://cdn.kingstone.com.tw/book/images/product/20180/2018051983560/2018051983560b.jpg
一口氣托福口試1,https://www.kingstone.com.tw//basic/2018051809365?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,劉毅,學習出版有,9789575198121,https://cdn.kingstone.com.tw/book/images/product/20180/2018051809365/2018051809365b.jpg
托福、演講、英作文（書4CD）,https://www.kingstone.com.tw//basic/2018051771457?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,劉毅,學習出版有,9789575197995,https://cdn.kingstone.com.tw/book/images/product/20180/2018051771457/2018051771457b.jpg
托福、演講、英作文,https://www.kingstone.com.tw//basic/2018051835708?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,劉毅,學習出版有,9789575197513,https://cdn.kingstone.com.tw/book/images/product/20180/2018051835708/2018051835708b.jpg
托福電腦作文185篇（10CD/不含書）,https://www.kingstone.com.tw//basic/2018051762042?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,劉毅,學習出版有,9799575197956,https://cdn.kingstone.com.tw/book/images/product/20180/2018051762042/2018051762042b.jpg
高分托福作文,https://www.kingstone.com.tw//basic/2018052255154?zone=book&lid=book_class3_kjk&actid=book_class3_kjk,張凱宏,眾文      ,9789575322564,https://cdn.kingstone.com.tw/book/images/product/20180/2018052255154/2018052255154b.jpg
