書名,書籍網站,作者,出版社,ISBN,圖片網址
IELTS雅思口說里茲螞蟻英文說話術（附MP3）,https://www.kingstone.com.tw//basic/2018052816034?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,May Lin,眾文      ,9789575325145,https://cdn.kingstone.com.tw/book/images/product/20180/2018052816034/2018052816034b.jpg
連雅思主考官都讚嘆的雅思寫作解題祕笈,https://www.kingstone.com.tw//basic/2018052751571?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,James Brown,我識      ,9789869357883,https://cdn.kingstone.com.tw/book/images/product/20180/2018052751571/2018052751571b.jpg
IELTS高點：雅思制霸7.0+ 字彙通（MP3線上下載）,https://www.kingstone.com.tw//basic/2018052987086?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,Quentin Brand,貝塔      ,9789860606652,https://cdn.kingstone.com.tw/book/images/product/20180/2018052987086/2018052987086b.jpg
雅思口說聖經（附英式發音MP3）,https://www.kingstone.com.tw//basic/2018052985822?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,Amanda Chou,倍斯特    ,9789860609530,https://cdn.kingstone.com.tw/book/images/product/20180/2018052985822/2018052985822b.jpg
IELTS VOCA雅思高頻字彙2000：首創LR+SW分科單字，30天雅思Band 7！（QR Code 英國真人發音）,https://www.kingstone.com.tw//basic/2018052975885?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,黃俊映、SIWON SCHOOL語學硏究所,EZ叢書館  ,9789862489567,https://cdn.kingstone.com.tw/book/images/product/20180/2018052975885/2018052975885b.jpg
全新！IELTS 雅思寫作題庫大全：獨家學習計畫，各題型寫作策略剖析，讓你寫出高分內容（雙書裝＋隨身學習小冊）,https://www.kingstone.com.tw//basic/2018052926122?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,Hackers Academia,國際學村  ,9789864541416,https://cdn.kingstone.com.tw/book/images/product/20180/2018052926122/2018052926122b.jpg
全新！IELTS 雅思口說題庫大全：嚴選常考主題，全面剖析各類問題與回答，輕鬆突破超刁鑽口說測驗（附防水書套＋1 MP3＆音檔下載連結）,https://www.kingstone.com.tw//basic/2018052926252?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,Hackers Academia,國際學村  ,9789864541409,https://cdn.kingstone.com.tw/book/images/product/20180/2018052926252/2018052926252b.jpg
【IELTS雅思練武功】寫作8.0考前衝刺，就靠這一本！,https://www.kingstone.com.tw//basic/2018052923886?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,王爽、黃爾賓,柏樂      ,9789869871174,https://cdn.kingstone.com.tw/book/images/product/20180/2018052923886/2018052923886b.jpg
英國名師教你IELTS雅思考試高分攻略（點讀版/MP3下載版）,https://www.kingstone.com.tw//basic/2018052915553?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,LiveABC編輯群,希伯崙    ,9789864413904,https://cdn.kingstone.com.tw/book/images/product/20180/2018052915553/2018052915553b.jpg
一手掌握IELTS雅思單字（線膠裝+免費附贈VRP虛擬點讀筆App+防水書套）,https://www.kingstone.com.tw//basic/2018052915393?zone=book&lid=book_class3_kjl&actid=book_class3_kjl,地表最強教學顧問團,我識      ,9789869866095,https://cdn.kingstone.com.tw/book/images/product/20180/2018052915393/2018052915393b.jpg
