書名,書籍網站,作者,出版社,ISBN,圖片網址
英文辭典與學英文（繁體中文版）,https://www.kingstone.com.tw//basic/2018000026317?zone=book&lid=book_class3_kma&actid=book_class3_kma,蔡清元,漢世紀數位,9781625030399,https://cdn.kingstone.com.tw/book/images/product/20180/2018000026317/2018000026317b.jpg
英文辭典與學英文（簡體中文版）,https://www.kingstone.com.tw//basic/2018000026447?zone=book&lid=book_class3_kma&actid=book_class3_kma,蔡清元,漢世紀數位,9781625030405,https://cdn.kingstone.com.tw/book/images/product/20180/2018000026447/2018000026447b.jpg
LONGMAN BUSINESS ENGLISH DICTIONARY,https://www.kingstone.com.tw//basic/2010550193631?zone=book&lid=book_class3_kma&actid=book_class3_kma,朗文      ,  立即結帳 ,9780582306066,https://cdn.kingstone.com.tw/book/images/product/20105/2010550193631/2010550193631b.jpg
Lon Dic of Contemporary Eng(平裝全新第六版),https://www.kingstone.com.tw//basic/2018052575481?zone=book&lid=book_class3_kma&actid=book_class3_kma,Stephen Bullon,朗文      ,9781447954200,https://cdn.kingstone.com.tw/book/images/product/20180/2018052575481/2018052575481b.jpg
英文字根字典,https://www.kingstone.com.tw//basic/2018052456308?zone=book&lid=book_class3_kma&actid=book_class3_kma,劉毅主編,學習出版有,9789862311240,https://cdn.kingstone.com.tw/book/images/product/20180/2018052456308/2018052456308b.jpg
The Random House Thesaurus College Edition,https://www.kingstone.com.tw//basic/2018052654766?zone=book&lid=book_class3_kma&actid=book_class3_kma,編者Jess Stein & Stuart Be,文鶴      ,9780394529493,https://cdn.kingstone.com.tw/book/images/product/20180/2018052654766/2018052654766b.jpg
WEBSTERS NEW WORLD COLLEGE DICTIONARY(CD-,https://www.kingstone.com.tw//basic/2020550202660?zone=book&lid=book_class3_kma&actid=book_class3_kma,新陸書局  ,停售,9780028631219,https://cdn.kingstone.com.tw/book/images/product/20205/2020550202660/2020550202660b.jpg
錢伯斯關鍵字英英學習詞典（32K軟皮精裝),https://www.kingstone.com.tw//basic/2018051915585?zone=book&lid=book_class3_kma&actid=book_class3_kma,Sandra Ander,寂天文化  ,9789575858568,https://cdn.kingstone.com.tw/book/images/product/20180/2018051915585/2018051915585b.jpg
錢伯斯簡明隨身英英詞典（32K軟皮精裝),https://www.kingstone.com.tw//basic/2018051915615?zone=book&lid=book_class3_kma&actid=book_class3_kma,Penny Hands,寂天文化  ,9789575858520,https://cdn.kingstone.com.tw/book/images/product/20180/2018051915615/2018051915615b.jpg
Longman Active Study Dic,https://www.kingstone.com.tw//basic/2010550201695?zone=book&lid=book_class3_kma&actid=book_class3_kma,朗文      ,停售,9780582468337,https://cdn.kingstone.com.tw/book/images/product/20105/2010550201695/2010550201695b.jpg
Longman WordWise Dictionary(附CD-ROM),https://www.kingstone.com.tw//basic/2010550201305?zone=book&lid=book_class3_kma&actid=book_class3_kma,朗文      ,停售,9780582506770,https://cdn.kingstone.com.tw/book/images/product/20105/2010550201305/2010550201305b.jpg
LO.Advance AMERICAN Dic(CD-ROM),https://www.kingstone.com.tw//basic/2010550201435?zone=book&lid=book_class3_kma&actid=book_class3_kma,朗文      ,停售,9780582504097,https://cdn.kingstone.com.tw/book/images/product/20105/2010550201435/2010550201435b.jpg
錢伯斯基礎英英學習詞典(32k),https://www.kingstone.com.tw//basic/2018051730867?zone=book&lid=book_class3_kma&actid=book_class3_kma,寂天文化  ,停售,9789575855703,https://cdn.kingstone.com.tw/book/images/product/20180/2018051730867/2018051730867b.jpg
