書名,書籍網站,作者,出版社,ISBN,圖片網址
彩色實用英漢字典（32K）,https://www.kingstone.com.tw//basic/2018052911005?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,張祥玫,世一文化  ,9789864293452,https://cdn.kingstone.com.tw/book/images/product/20180/2018052911005/2018052911005b.jpg
彩色英漢字典（25k）,https://www.kingstone.com.tw//basic/2018052939535?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864295555,https://cdn.kingstone.com.tw/book/images/product/20180/2018052939535/2018052939535b.jpg
50K最新標準英漢辭典,https://www.kingstone.com.tw//basic/2018052893004?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864295012,https://cdn.kingstone.com.tw/book/images/product/20180/2018052893004/2018052893004b.jpg
32K彩色英漢字典,https://www.kingstone.com.tw//basic/2018030951511?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,江吟梓、蘇文賢,世一文化  ,9789864294411,https://cdn.kingstone.com.tw/book/images/product/20180/2018030951511/2018030951511b.jpg
遠東袖珍英漢辭典 （聖經紙）（60開）FAREAST CONCISE ENGLISH－CHINESE DICTIONARY,https://www.kingstone.com.tw//basic/2018052922834?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,遠東圖書公司編審委員會,遠東圖書  ,9789865410940,https://cdn.kingstone.com.tw/book/images/product/20180/2018052922834/2018052922834b.jpg
遠東迷你英漢字典Far East Mini English－Chinese Dictionary,https://www.kingstone.com.tw//basic/2018052905516?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,遠東圖書公司編審委員會,遠東圖書  ,9789865410735,https://cdn.kingstone.com.tw/book/images/product/20180/2018052905516/2018052905516b.jpg
ACME新編詳解英漢字典（32K）,https://www.kingstone.com.tw//basic/2018052898924?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一出版社,世一文化  ,9789864293445,https://cdn.kingstone.com.tw/book/images/product/20180/2018052898924/2018052898924b.jpg
25K彩色常用英漢字典,https://www.kingstone.com.tw//basic/2018052891420?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,張祥玫,世一文化  ,9789864294947,https://cdn.kingstone.com.tw/book/images/product/20180/2018052891420/2018052891420b.jpg
Champion袖珍英漢字典（64K）,https://www.kingstone.com.tw//basic/2018052890058?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864293438,https://cdn.kingstone.com.tw/book/images/product/20180/2018052890058/2018052890058b.jpg
最新多用途英漢辭典（25K）,https://www.kingstone.com.tw//basic/2018052890188?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294909,https://cdn.kingstone.com.tw/book/images/product/20180/2018052890188/2018052890188b.jpg
ACME實用英漢字典25K,https://www.kingstone.com.tw//basic/2018052861829?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294688,https://cdn.kingstone.com.tw/book/images/product/20180/2018052861829/2018052861829b.jpg
新時代英漢辭典（增訂本） 32K道林紙本,https://www.kingstone.com.tw//basic/2018052849131?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,梁實秋,遠東圖書  ,9789869616768,https://cdn.kingstone.com.tw/book/images/product/20180/2018052849131/2018052849131b.jpg
新知識英漢辭典FAR EAST NEW APPROACH ENGLISH－CHINESE DICTIONARY,https://www.kingstone.com.tw//basic/2018052816324?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,紀秋郎,遠東圖書  ,9789869402576,https://cdn.kingstone.com.tw/book/images/product/20180/2018052816324/2018052816324b.jpg
遠東實用英漢辭典,https://www.kingstone.com.tw//basic/2018052809623?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,梁實秋主編,遠東圖書  ,9789869616713,https://cdn.kingstone.com.tw/book/images/product/20180/2018052809623/2018052809623b.jpg
極致活用英漢字典（32K）,https://www.kingstone.com.tw//basic/2018052798903?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,曾麗玲等,世一文化  ,9789864293780,https://cdn.kingstone.com.tw/book/images/product/20180/2018052798903/2018052798903b.jpg
遠東基本英漢辭典32K道林紙,https://www.kingstone.com.tw//basic/2010550204351?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,梁實秋,遠東圖書  ,9789865878368,https://cdn.kingstone.com.tw/book/images/product/20105/2010550204351/2010550204351b.jpg
遠流活用英漢辭典（軟皮精裝版）,https://www.kingstone.com.tw//basic/2025520047937?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,吳靜吉策劃,遠流      ,9789573238560,https://cdn.kingstone.com.tw/book/images/product/20255/2025520047937/2025520047937b.jpg
彩色英漢字典（50k）,https://www.kingstone.com.tw//basic/2018052930167?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864295548,https://cdn.kingstone.com.tw/book/images/product/20180/2018052930167/2018052930167b.jpg
彩色學用英漢字典（50K）,https://www.kingstone.com.tw//basic/2018052919001?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864295159,https://cdn.kingstone.com.tw/book/images/product/20180/2018052919001/2018052919001b.jpg
當代精解英漢辭典（S50K）,https://www.kingstone.com.tw//basic/2018052906858?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294978,https://cdn.kingstone.com.tw/book/images/product/20180/2018052906858/2018052906858b.jpg
32K最新活用英漢辭典,https://www.kingstone.com.tw//basic/2018052876076?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294855,https://cdn.kingstone.com.tw/book/images/product/20180/2018052876076/2018052876076b.jpg
25K彩色活用圖解英漢詞典,https://www.kingstone.com.tw//basic/2018052868613?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294862,https://cdn.kingstone.com.tw/book/images/product/20180/2018052868613/2018052868613b.jpg
ACME隨身英漢字典64K,https://www.kingstone.com.tw//basic/2018052864035?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294756,https://cdn.kingstone.com.tw/book/images/product/20180/2018052864035/2018052864035b.jpg
新知識英漢辭典（50K，道林紙本）,https://www.kingstone.com.tw//basic/2018030946784?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,紀秋郎,遠東圖書  ,9789869402583,https://cdn.kingstone.com.tw/book/images/product/20180/2018030946784/2018030946784b.jpg
遠東簡明英漢辭典（60K，聖經紙本）,https://www.kingstone.com.tw//basic/2018030946814?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,遠東圖書公司編審委員會,遠東圖書  ,9789869616720,https://cdn.kingstone.com.tw/book/images/product/20180/2018030946814/2018030946814b.jpg
ACME簡明英漢字典32K,https://www.kingstone.com.tw//basic/2018030932909?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一文化字典編輯群,世一文化  ,9789864294107,https://cdn.kingstone.com.tw/book/images/product/20180/2018030932909/2018030932909b.jpg
世一卓越英漢大辭典,https://www.kingstone.com.tw//basic/2018052814870?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,英漢字典編輯委員會曾麗玲審定,世一文化  ,9789864293995,https://cdn.kingstone.com.tw/book/images/product/20180/2018052814870/2018052814870b.jpg
彩色實用英漢字典：32K,https://www.kingstone.com.tw//basic/2010550204641?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,外文圖書編輯委員會,世一文化  ,9789864292424,https://cdn.kingstone.com.tw/book/images/product/20105/2010550204641/2010550204641b.jpg
遠東基本英漢辭典50K道林紙,https://www.kingstone.com.tw//basic/2010550204481?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,梁實秋,遠東圖書  ,9789865878375,https://cdn.kingstone.com.tw/book/images/product/20105/2010550204481/2010550204481b.jpg
彩色實用英漢字典：32K+黑皮精裝版,https://www.kingstone.com.tw//basic/2010550204061?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,世一編輯部,世一文化  ,9789864290703,https://cdn.kingstone.com.tw/book/images/product/20105/2010550204061/2010550204061b.jpg
Champion袖珍英漢字典（P1）64K,https://www.kingstone.com.tw//basic/2018052567318?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,編輯,世一文化  ,9789861939193,https://cdn.kingstone.com.tw/book/images/product/20180/2018052567318/2018052567318b.jpg
遠東圖解英漢辭典25K道林紙本（1書+1MP3）,https://www.kingstone.com.tw//basic/2018052604181?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,遠東圖書公司編審委員會,遠東圖書  ,9789865878184,https://cdn.kingstone.com.tw/book/images/product/20180/2018052604181/2018052604181b.jpg
ACME新編詳解英漢字典（P2）（32K）,https://www.kingstone.com.tw//basic/2025232319735?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,外文字典編輯委員會,世一文化  ,9789861938288,https://cdn.kingstone.com.tw/book/images/product/20252/2025232319735/2025232319735b.jpg
新時代12萬詞英漢大辭典,https://www.kingstone.com.tw//basic/2018052356677?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,高凌,翰品文教  ,9789868708471,https://cdn.kingstone.com.tw/book/images/product/20180/2018052356677/2018052356677b.jpg
袖珍實用英漢辭典,https://www.kingstone.com.tw//basic/2018052291954?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,翟象俊等編,五南      ,9789571161006,https://cdn.kingstone.com.tw/book/images/product/20180/2018052291954/2018052291954b.jpg
（50K）彩色英漢字典,https://www.kingstone.com.tw//basic/2028052291847?zone=book&lid=book_class3_kmc&actid=book_class3_kmc,外文圖書編,世一文化  ,9789861935393,https://cdn.kingstone.com.tw/book/images/product/20280/2028052291847/2028052291847b.jpg
