書名,書籍網站,作者,出版社,ISBN,圖片網址
大家來學泰語（附MP3）,https://www.kingstone.com.tw//basic/2018030723422?zone=book&lid=book_class3_kna&actid=book_class3_kna,張君松,統一      ,9789866371387,https://cdn.kingstone.com.tw/book/images/product/20180/2018030723422/2018030723422b.jpg
12堂泰語實用會話（附MP3+贈泰文版鍵盤貼）第二版,https://www.kingstone.com.tw//basic/2018030977467?zone=book&lid=book_class3_kna&actid=book_class3_kna,張君松,統一      ,9789866371974,https://cdn.kingstone.com.tw/book/images/product/20180/2018030977467/2018030977467b.jpg
泰語起步走１（隨書附作者親錄標準泰語發音+朗讀MP3、音檔QR Code）,https://www.kingstone.com.tw//basic/2018030975463?zone=book&lid=book_class3_kna&actid=book_class3_kna,徐建汕,瑞蘭      ,9789579138543,https://cdn.kingstone.com.tw/book/images/product/20180/2018030975463/2018030975463b.jpg
泰語起步走２（隨書附作者親錄標準泰語發音+朗讀MP3、音檔QR Code）,https://www.kingstone.com.tw//basic/2018030978679?zone=book&lid=book_class3_kna&actid=book_class3_kna,徐建汕,瑞蘭      ,9789579138598,https://cdn.kingstone.com.tw/book/images/product/20180/2018030978679/2018030978679b.jpg
超入門泰文字母教室（隨書附作者親錄標準泰語發音音檔QR Code）,https://www.kingstone.com.tw//basic/2018030971175?zone=book&lid=book_class3_kna&actid=book_class3_kna,李汝玉,瑞蘭      ,9789579138130,https://cdn.kingstone.com.tw/book/images/product/20180/2018030971175/2018030971175b.jpg
自學泰語看完這本就能說：專為華人設計的泰語教材，字母＋筆順＋單字,https://www.kingstone.com.tw//basic/2018030907808?zone=book&lid=book_class3_kna&actid=book_class3_kna,朱玥霖李俊才,語研學院  ,9789869476874,https://cdn.kingstone.com.tw/book/images/product/20180/2018030907808/2018030907808b.jpg
小學生的第一本泰語課本 （附MP3+贈泰文隨身卡片）,https://www.kingstone.com.tw//basic/2018030850128?zone=book&lid=book_class3_kna&actid=book_class3_kna,張君松,統一      ,9789866371776,https://cdn.kingstone.com.tw/book/images/product/20180/2018030850128/2018030850128b.jpg
泰文第一步（附MP3+掛圖2張）,https://www.kingstone.com.tw//basic/2018030735463?zone=book&lid=book_class3_kna&actid=book_class3_kna,張君松,統一      ,9789866371394,https://cdn.kingstone.com.tw/book/images/product/20180/2018030735463/2018030735463b.jpg
第一次學泰語，超簡單 （修訂版）：好快！一天就會說泰語（附MP3）,https://www.kingstone.com.tw//basic/2018031019418?zone=book&lid=book_class3_kna&actid=book_class3_kna,施明威、Ester Dumapi,哈福企業  ,9786269504831,https://cdn.kingstone.com.tw/book/images/product/20180/2018031019418/2018031019418b.jpg
泰語44音完全自學手冊,https://www.kingstone.com.tw//basic/2018031015670?zone=book&lid=book_class3_kna&actid=book_class3_kna,陳家珍,晨星      ,9789865582111,https://cdn.kingstone.com.tw/book/images/product/20180/2018031015670/2018031015670b.jpg
新版增進10倍泰語字彙讀寫力（附MP3光碟.字母筆順影片連結）,https://www.kingstone.com.tw//basic/2018030988326?zone=book&lid=book_class3_kna&actid=book_class3_kna,陸生,笛藤出版圖,9789577107862,https://cdn.kingstone.com.tw/book/images/product/20180/2018030988326/2018030988326b.jpg
專業泰語常用2000字,https://www.kingstone.com.tw//basic/2018030985950?zone=book&lid=book_class3_kna&actid=book_class3_kna,洪銘謙,就諦學堂  ,4716893017129,https://cdn.kingstone.com.tw/book/images/product/20180/2018030985950/2018030985950b.jpg
一開口就會說泰語：最超值！一次就讓你學會1000種生活會話（隨書附線上聽力QR code）,https://www.kingstone.com.tw//basic/2018030947576?zone=book&lid=book_class3_kna&actid=book_class3_kna,Stuart Robson,五南      ,9789571199986,https://cdn.kingstone.com.tw/book/images/product/20180/2018030947576/2018030947576b.jpg
