書名,書籍網站,作者,出版社,ISBN,圖片網址
印尼語，一學就上手！（第二冊）QR Code版（隨書附標準印尼語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018031011672?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,瑞蘭      ,9789865560249,https://cdn.kingstone.com.tw/book/images/product/20180/2018031011672/2018031011672b.jpg
我的第一本印尼語會話課本：自學、教學、旅遊、線上交流、洽商工作皆實用的在地印尼語！（附QR碼線上音檔）,https://www.kingstone.com.tw//basic/2018031020957?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,國際學村  ,9789864541546,https://cdn.kingstone.com.tw/book/images/product/20180/2018031020957/2018031020957b.jpg
印尼語，一學就上手！（第一冊）QR Code版（隨書附標準印尼語發音+朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018031011542?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,瑞蘭      ,9789865560232,https://cdn.kingstone.com.tw/book/images/product/20180/2018031011542/2018031011542b.jpg
印尼語輕鬆學（隨書附作者親錄標準印尼語發音+朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018030984458?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,瑞蘭      ,9789579138758,https://cdn.kingstone.com.tw/book/images/product/20180/2018030984458/2018030984458b.jpg
躺著背印尼語2000單字－簡易中文拼音學習，初學&自修好幫手（附中文．印尼語朗讀MP3）,https://www.kingstone.com.tw//basic/2018030981532?zone=book&lid=book_class3_knb&actid=book_class3_knb,阿麗拉斯密．施明威,哈福企業  ,9789869834063,https://cdn.kingstone.com.tw/book/images/product/20180/2018030981532/2018030981532b.jpg
易學！暢銷！我的第一本印尼語會話：用中文學印尼語（附中文．印尼語朗讀MP3）,https://www.kingstone.com.tw//basic/2018030973209?zone=book&lid=book_class3_knb&actid=book_class3_knb,阿麗拉斯密,哈福企業  ,9789869834018,https://cdn.kingstone.com.tw/book/images/product/20180/2018030973209/2018030973209b.jpg
信不信由你，一週開口說馬來語！（隨書附贈作者親錄標準馬來語發音+朗讀MP3）,https://www.kingstone.com.tw//basic/2018030941314?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,瑞蘭      ,9789578431768,https://cdn.kingstone.com.tw/book/images/product/20180/2018030941314/2018030941314b.jpg
馬來語，一學就上手！（第一冊）（隨書附贈作者親錄標準馬來語發音+朗讀MP3）,https://www.kingstone.com.tw//basic/2018030932619?zone=book&lid=book_class3_knb&actid=book_class3_knb,王麗蘭,瑞蘭      ,9789869683050,https://cdn.kingstone.com.tw/book/images/product/20180/2018030932619/2018030932619b.jpg
初級經貿印尼語,https://www.kingstone.com.tw//basic/2018030932299?zone=book&lid=book_class3_knb&actid=book_class3_knb,魏愛妮,五南      ,9789571198484,https://cdn.kingstone.com.tw/book/images/product/20180/2018030932299/2018030932299b.jpg
印尼語333超快速學習法：3天說一口流利印尼語（附MP3）,https://www.kingstone.com.tw//basic/2018030924966?zone=book&lid=book_class3_knb&actid=book_class3_knb,全球通 語研社,布可屋    ,9789869637688,https://cdn.kingstone.com.tw/book/images/product/20180/2018030924966/2018030924966b.jpg
超實用情境學初級印尼語：單字、文法、會話輕鬆學、開口說！,https://www.kingstone.com.tw//basic/2018030922672?zone=book&lid=book_class3_knb&actid=book_class3_knb,Yumiko Horas,台灣東販  ,9789864757091,https://cdn.kingstone.com.tw/book/images/product/20180/2018030922672/2018030922672b.jpg
1秒開口說：我的第一本印尼語會話（附MP3 + 印尼語發音記憶表）,https://www.kingstone.com.tw//basic/2018030910501?zone=book&lid=book_class3_knb&actid=book_class3_knb,張小怡,布可屋    ,9789869550376,https://cdn.kingstone.com.tw/book/images/product/20180/2018030910501/2018030910501b.jpg
華語趣味成語－印尼語版：Buku Peribahasa Mandarin yang Mudah Untuk di Pelajari?,https://www.kingstone.com.tw//basic/2018020543306?zone=book&lid=book_class3_knb&actid=book_class3_knb,楊琇惠,五南      ,9789571193786,https://cdn.kingstone.com.tw/book/images/product/20180/2018020543306/2018020543306b.jpg
1秒開口說：我的第一本印尼語單字（附MP3 + 印尼語發音記憶表）,https://www.kingstone.com.tw//basic/2018030905224?zone=book&lid=book_class3_knb&actid=book_class3_knb,張小怡．SARI  LASMINI,布可屋    ,9789869550314,https://cdn.kingstone.com.tw/book/images/product/20180/2018030905224/2018030905224b.jpg
我的第一本印尼語文法：用最科學的方法，聰明記住印尼語文法！,https://www.kingstone.com.tw//basic/2018030899974?zone=book&lid=book_class3_knb&actid=book_class3_knb,閔善熙,國際學村  ,9789864540464,https://cdn.kingstone.com.tw/book/images/product/20180/2018030899974/2018030899974b.jpg
印尼導遊教你的旅遊萬用句（隨書附贈印尼籍名師親錄標準印尼語發音+朗讀MP3）,https://www.kingstone.com.tw//basic/2018030883065?zone=book&lid=book_class3_knb&actid=book_class3_knb,許婉琪,瑞蘭      ,9789869405232,https://cdn.kingstone.com.tw/book/images/product/20180/2018030883065/2018030883065b.jpg
