書名,書籍網站,作者,出版社,ISBN,圖片網址
大學越南語名師教你越南語必學基本功：發音+圖解單字+常用會話,https://www.kingstone.com.tw//basic/2018031010040?zone=book&lid=book_class3_knc&actid=book_class3_knc,LiveABC編輯群,希伯崙    ,9789864414277,https://cdn.kingstone.com.tw/book/images/product/20180/2018031010040/2018031010040b.jpg
越南人輕鬆學中文（附MP3光碟 + 掃描QR Code音檔）,https://www.kingstone.com.tw//basic/2018020571613?zone=book&lid=book_class3_knc&actid=book_class3_knc,鄧應烈,智寬文化  ,9789869211192,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571613/2018020571613b.jpg
越南語發音入門：用行動裝置學越南語（附2張DVD）,https://www.kingstone.com.tw//basic/2018030771973?zone=book&lid=book_class3_knc&actid=book_class3_knc,陳凰鳳,統一      ,9789866371530,https://cdn.kingstone.com.tw/book/images/product/20180/2018030771973/2018030771973b.jpg
越南語7000單字：中越版（書附MP3）,https://www.kingstone.com.tw//basic/2018070004215?zone=book&lid=book_class3_knc&actid=book_class3_knc,范水,統一      ,9789867438973,https://cdn.kingstone.com.tw/book/images/product/20180/2018070004215/2018070004215b.jpg
套公式學越南語！生活．旅遊．經商會話速成（隨書附作者親錄標準越南語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018031013096?zone=book&lid=book_class3_knc&actid=book_class3_knc,Hang TV-越南夯台灣阮秋姮,瑞蘭      ,9789865560256,https://cdn.kingstone.com.tw/book/images/product/20180/2018031013096/2018031013096b.jpg
自學越南語單字看完這本就記住！：每天自學10分鐘！全書35場景的豐富單字及短會話，看圖就會，不必死記！（附南、北音音檔下載連結QR碼）,https://www.kingstone.com.tw//basic/2018031000423?zone=book&lid=book_class3_knc&actid=book_class3_knc,黃氏清蘭,語研學院  ,9789869964401,https://cdn.kingstone.com.tw/book/images/product/20180/2018031000423/2018031000423b.jpg
越南人愛學中文1（附QR Code 線上音檔）,https://www.kingstone.com.tw//basic/2018020577745?zone=book&lid=book_class3_knc&actid=book_class3_knc,丁氏蓉,統一      ,9789869936903,https://cdn.kingstone.com.tw/book/images/product/20180/2018020577745/2018020577745b.jpg
別笑！用撲克牌學越南語：越南語生活單字.會話卡（隨盒附贈作者親錄標準越南語朗讀MP3 QR Code）,https://www.kingstone.com.tw//basic/2018030928834?zone=book&lid=book_class3_knc&actid=book_class3_knc,元氣日語編輯小組,瑞蘭      ,4712477100591,https://cdn.kingstone.com.tw/book/images/product/20180/2018030928834/2018030928834b.jpg
實用越語語法輕鬆學,https://www.kingstone.com.tw//basic/2018030923204?zone=book&lid=book_class3_knc&actid=book_class3_knc,阮氏青河,瑞蘭      ,9789869620758,https://cdn.kingstone.com.tw/book/images/product/20180/2018030923204/2018030923204b.jpg
實用越語輕鬆學：上冊（隨書附贈作者親錄標準越語發音+朗讀MP3）,https://www.kingstone.com.tw//basic/2018030885779?zone=book&lid=book_class3_knc&actid=book_class3_knc,阮氏青河,瑞蘭      ,9789869405256,https://cdn.kingstone.com.tw/book/images/product/20180/2018030885779/2018030885779b.jpg
