書名,書籍網站,作者,出版社,ISBN,圖片網址
我的第一本法語課本：最好學的法語入門書（附MP3）,https://www.kingstone.com.tw//basic/2018040374843?zone=book&lid=book_class3_knd&actid=book_class3_knd,朴鎮亨,國際學村  ,9789866077364,https://cdn.kingstone.com.tw/book/images/product/20180/2018040374843/2018040374843b.jpg
自學法語看完這本就能說：專為華人設計的法語教材，字母、發音、拼字、文法、單字、會話一次學會（附MP3,https://www.kingstone.com.tw//basic/2018040387096?zone=book&lid=book_class3_knd&actid=book_class3_knd,張楠,語研學院  ,9789869476836,https://cdn.kingstone.com.tw/book/images/product/20180/2018040387096/2018040387096b.jpg
別笑！我是法語學習書,https://www.kingstone.com.tw//basic/2018040371897?zone=book&lid=book_class3_knd&actid=book_class3_knd,Joo-Jang-Soo,漢宇國際  ,9789862281833,https://cdn.kingstone.com.tw/book/images/product/20180/2018040371897/2018040371897b.jpg
法文文法瑰寶：自主學習進階版,https://www.kingstone.com.tw//basic/2018040394247?zone=book&lid=book_class3_knd&actid=book_class3_knd,楊淑娟、侯義如,聯經      ,9789570859676,https://cdn.kingstone.com.tw/book/images/product/20180/2018040394247/2018040394247b.jpg
用中文說法語：中文拼音輔助，會中文就能說法語（附MP3）,https://www.kingstone.com.tw//basic/2018040393905?zone=book&lid=book_class3_knd&actid=book_class3_knd,黃薇．Andre Martin,布可屋    ,9789865544348,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393905/2018040393905b.jpg
法語入門基本功 發音＋單字＋文法＋會話,https://www.kingstone.com.tw//basic/2018000033438?zone=book&lid=book_class3_knd&actid=book_class3_knd,王秀文、蘇楠 (Sonia Lhommet),希伯崙    ,9789864415571,https://cdn.kingstone.com.tw/book/images/product/20180/2018000033438/2018000033438b.jpg
今天開始學法語《基礎篇》（附中法發音MP3）,https://www.kingstone.com.tw//basic/2018040393325?zone=book&lid=book_class3_knd&actid=book_class3_knd,大場靜枝、佐藤淳一、柴田茉莉子,笛藤出版圖,9789577108098,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393325/2018040393325b.jpg
攜帶版 Bonjour！初學者開口說法語（附法中對照MP3音檔連結）,https://www.kingstone.com.tw//basic/2018040392113?zone=book&lid=book_class3_knd&actid=book_class3_knd,王圓圓、DT企劃,笛藤出版圖,9789577107886,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392113/2018040392113b.jpg
法語文法大全：專為華人設計，真正搞懂法語構造的解剖書（附中、法文雙索引查詢）,https://www.kingstone.com.tw//basic/2018040390119?zone=book&lid=book_class3_knd&actid=book_class3_knd,六鹿豊,國際學村  ,9789864540709,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390119/2018040390119b.jpg
用簡單法語聊不停：直接套用不出錯，自信開口說法文（隨書附MP3）,https://www.kingstone.com.tw//basic/2018040389670?zone=book&lid=book_class3_knd&actid=book_class3_knd,朴晚珪、Arnaud Duval,語研學院  ,9789869603386,https://cdn.kingstone.com.tw/book/images/product/20180/2018040389670/2018040389670b.jpg
史上最好用法語會話、文法學習書（隨書附贈法國老師錄製MP3）,https://www.kingstone.com.tw//basic/2018040388918?zone=book&lid=book_class3_knd&actid=book_class3_knd,朱將首（Joo Jang soo）,漢宇國際  ,9789862284155,https://cdn.kingstone.com.tw/book/images/product/20180/2018040388918/2018040388918b.jpg
全圖解、10倍速法語會話（附1MP3）,https://www.kingstone.com.tw//basic/2018040386884?zone=book&lid=book_class3_knd&actid=book_class3_knd,Praphasorn Phanchatri,懶鬼子    ,9789864070572,https://cdn.kingstone.com.tw/book/images/product/20180/2018040386884/2018040386884b.jpg
臨時需要用到的一個字：法語關鍵字6，000（附1MP3+防水書套）,https://www.kingstone.com.tw//basic/2018040382336?zone=book&lid=book_class3_knd&actid=book_class3_knd,Angela Pai,懶鬼子    ,9789864070206,https://cdn.kingstone.com.tw/book/images/product/20180/2018040382336/2018040382336b.jpg
用法語說臺灣文化：太平洋中的璀璨珍珠Parlons de la Culture Tawanaise en Franais ： La Perle magnifique de l，Ocan Pacifique,https://www.kingstone.com.tw//basic/2018040394117?zone=book&lid=book_class3_knd&actid=book_class3_knd,阮若缺,瑞蘭      ,9789865560317,https://cdn.kingstone.com.tw/book/images/product/20180/2018040394117/2018040394117b.jpg
今天開始學法語《進階篇》 （附中法發音MP3/二版）,https://www.kingstone.com.tw//basic/2018040393035?zone=book&lid=book_class3_knd&actid=book_class3_knd,Yuji Sawabe,笛藤出版圖,9789577108012,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393035/2018040393035b.jpg
快樂學法語（附MP3光碟+QR Code線上音檔）,https://www.kingstone.com.tw//basic/2018040392823?zone=book&lid=book_class3_knd&actid=book_class3_knd,吳慧怡,統一      ,9789869936927,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392823/2018040392823b.jpg
Bon Appétit !美食法語會話（25k+中法對照MP3）：170實用句型＋610菜單常見單字,https://www.kingstone.com.tw//basic/2018040392533?zone=book&lid=book_class3_knd&actid=book_class3_knd,STUDIO TAC CREATIVE Co.- Ltd.,笛藤出版圖,9789577107947,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392533/2018040392533b.jpg
彩繪輕鬆記法國人每天必說生活短句（附中法對照MP3音檔連結）,https://www.kingstone.com.tw//basic/2018040392083?zone=book&lid=book_class3_knd&actid=book_class3_knd,小林真實,笛藤出版圖,9789577107824,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392083/2018040392083b.jpg
每天10分鐘，聽聽法國人怎麼說（隨書附作者親錄標準法語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040391611?zone=book&lid=book_class3_knd&actid=book_class3_knd,Mandy HSIEH等,瑞蘭      ,9789579138628,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391611/2018040391611b.jpg
彩繪輕鬆記法國人每天必說生活單字（附中法對照MP3音檔連結）,https://www.kingstone.com.tw//basic/2018040391871?zone=book&lid=book_class3_knd&actid=book_class3_knd,宮方由佳,笛藤出版圖,9789577107763,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391871/2018040391871b.jpg
歐卡森與妮可蕾特（古法文.現代法文.中文對照本）,https://www.kingstone.com.tw//basic/2018040391741?zone=book&lid=book_class3_knd&actid=book_class3_knd,佚名 原著；李蕙珍 譯注,秀威經典  ,9789869827331,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391741/2018040391741b.jpg
實境式照單全收！圖解法語單字不用背：照片單字全部收錄！全場景1500張實境圖解（附單字記憶MP3）,https://www.kingstone.com.tw//basic/2018040391291?zone=book&lid=book_class3_knd&actid=book_class3_knd,Sarah Auda,國際學村  ,9789864541126,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391291/2018040391291b.jpg
5分鐘學會旅遊法語－超簡單！超實用！出發前，翻翻就Go了,https://www.kingstone.com.tw//basic/2018040391031?zone=book&lid=book_class3_knd&actid=book_class3_knd,法語編輯團隊,布可屋    ,9789579579643,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391031/2018040391031b.jpg
法漢進階翻譯,https://www.kingstone.com.tw//basic/2018040390959?zone=book&lid=book_class3_knd&actid=book_class3_knd,吳錫德 編譯,書林      ,9789574458431,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390959/2018040390959b.jpg
情境式法語圖解字典【全新修訂版】（附DVD－ROM含MP3功能）,https://www.kingstone.com.tw//basic/2018040390799?zone=book&lid=book_class3_knd&actid=book_class3_knd,LiveABC編輯群,希伯崙    ,9789864413089,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390799/2018040390799b.jpg
流利法語的157個關鍵動詞,https://www.kingstone.com.tw//basic/2018040390539?zone=book&lid=book_class3_knd&actid=book_class3_knd,Alain Monier（孟尼亞）,瑞蘭      ,9789578431997,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390539/2018040390539b.jpg
Bonjour！初學者開口說法語（附中法對照MP3）,https://www.kingstone.com.tw//basic/2018040390409?zone=book&lid=book_class3_knd&actid=book_class3_knd,王圓圓、DT企劃,笛藤出版圖,9789577107541,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390409/2018040390409b.jpg
Collins易學易記法語會話,https://www.kingstone.com.tw//basic/2018040390089?zone=book&lid=book_class3_knd&actid=book_class3_knd,Jeremy Butterfield,書林      ,9789574458103,https://cdn.kingstone.com.tw/book/images/product/20180/2018040390089/2018040390089b.jpg
