書名,書籍網站,作者,出版社,ISBN,圖片網址
AMIGO西班牙語A1（隨書附作者親錄國際標準西語發音+朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040392403?zone=book&lid=book_class3_knf&actid=book_class3_knf,Jos&eacute,瑞蘭      ,9789579138864,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392403/2018040392403b.jpg
西班牙文，每日一句（隨書附標準西語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040393875?zone=book&lid=book_class3_knf&actid=book_class3_knf,Javi、Sofi,瑞蘭      ,9789865560287,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393875/2018040393875b.jpg
情境式圖解西班牙語字典 （全新擴編版）,https://www.kingstone.com.tw//basic/2018052976127?zone=book&lid=book_class3_knf&actid=book_class3_knf,希伯崙編輯部,希伯崙    ,9789864415489,https://cdn.kingstone.com.tw/book/images/product/20180/2018052976127/2018052976127b.jpg
我的第一本西班牙語文法：完全表格化呈現，一看就懂的西語文法入門書（附MP3）,https://www.kingstone.com.tw//basic/2018040388628?zone=book&lid=book_class3_knf&actid=book_class3_knf,Silvia田,國際學村  ,9789864540808,https://cdn.kingstone.com.tw/book/images/product/20180/2018040388628/2018040388628b.jpg
我的第一堂西語課QR Code 版（隨書附作者親錄標準西語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040391451?zone=book&lid=book_class3_knf&actid=book_class3_knf,游皓雲、洛飛南,瑞蘭      ,9789579138475,https://cdn.kingstone.com.tw/book/images/product/20180/2018040391451/2018040391451b.jpg
超分解每天都用得到的西語會話,https://www.kingstone.com.tw//basic/2018040386594?zone=book&lid=book_class3_knf&actid=book_class3_knf,德永志織,台灣東販  ,9789864753925,https://cdn.kingstone.com.tw/book/images/product/20180/2018040386594/2018040386594b.jpg
讓學生不想下課的西文課－西班牙語初級會話篇（附MP3）,https://www.kingstone.com.tw//basic/2018040376267?zone=book&lid=book_class3_knf&actid=book_class3_knf,陳怡君,楓書坊文化,9789865775025,https://cdn.kingstone.com.tw/book/images/product/20180/2018040376267/2018040376267b.jpg
旅遊句型隨身書：西班牙語,https://www.kingstone.com.tw//basic/2018020214664?zone=book&lid=book_class3_knf&actid=book_class3_knf,臺灣麥克,臺灣麥克  ,9789578157101,https://cdn.kingstone.com.tw/book/images/product/20180/2018020214664/2018020214664b.jpg
開始遊西班牙說西語（西‧英‧中三語版）：一冊在手，暢行無阻，最貼近西班牙的旅行會話,https://www.kingstone.com.tw//basic/2018040394087?zone=book&lid=book_class3_knf&actid=book_class3_knf,陳南妤,晨星      ,9786267009505,https://cdn.kingstone.com.tw/book/images/product/20180/2018040394087/2018040394087b.jpg
我的第三堂西語課（隨書附作者親錄標準西語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040393585?zone=book&lid=book_class3_knf&actid=book_class3_knf,游皓雲、洛飛南,瑞蘭      ,9789865560201,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393585/2018040393585b.jpg
信不信由你一週開口說西班牙語QR Code版（隨書附作者親錄標準西班牙語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040393455?zone=book&lid=book_class3_knf&actid=book_class3_knf,Jose Gerardo Li Chan（李文康）,瑞蘭      ,9789865560126,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393455/2018040393455b.jpg
我的專屬西語家教課【初級】（附隨身家教精華手冊+發音影片+「Youtor App」內含VRP虛擬點讀筆）,https://www.kingstone.com.tw//basic/2018040393295?zone=book&lid=book_class3_knf&actid=book_class3_knf,謝琬湞,我識      ,9789869603959,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393295/2018040393295b.jpg
每天10分鐘，聽聽西語人怎麼說（隨書附作者親錄標準西語朗讀音檔QR Code）,https://www.kingstone.com.tw//basic/2018040393165?zone=book&lid=book_class3_knf&actid=book_class3_knf,游皓雲、洛飛南,瑞蘭      ,9789865560065,https://cdn.kingstone.com.tw/book/images/product/20180/2018040393165/2018040393165b.jpg
自學西班牙語會話 看完這本就能說：只要直接套用本書會話模式，一次學會日常溝通、必背單字與基礎文法（附音檔下載連結QR碼）,https://www.kingstone.com.tw//basic/2018040392793?zone=book&lid=book_class3_knf&actid=book_class3_knf,許木蓮,語研學院  ,9789869878487,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392793/2018040392793b.jpg
漢西翻譯面面觀：理論與實踐（二版）,https://www.kingstone.com.tw//basic/2018110089967?zone=book&lid=book_class3_knf&actid=book_class3_knf,陸孟雁,淡江大學  ,9789578736658,https://cdn.kingstone.com.tw/book/images/product/20181/2018110089967/2018110089967b.jpg
初學者的第一本西班牙語會話－西班牙語10小時速成（附MP3）,https://www.kingstone.com.tw//basic/2018040392373?zone=book&lid=book_class3_knf&actid=book_class3_knf,黃安娜．狄亞斯,布可屋    ,9789865544065,https://cdn.kingstone.com.tw/book/images/product/20180/2018040392373/2018040392373b.jpg
