書名,書籍網站,作者,出版社,ISBN,圖片網址
袖珍法漢詞典,https://www.kingstone.com.tw//basic/2018040373181?zone=book&lid=book_class3_knk&actid=book_class3_knk,法漢詞典編寫組,臺灣商務  ,9789570526288,https://cdn.kingstone.com.tw/book/images/product/20180/2018040373181/2018040373181b.jpg
袖珍西漢詞典,https://www.kingstone.com.tw//basic/2018040373211?zone=book&lid=book_class3_knk&actid=book_class3_knk,李多,臺灣商務  ,9789570526295,https://cdn.kingstone.com.tw/book/images/product/20180/2018040373211/2018040373211b.jpg
韓國語詞彙分類學習小詞典,https://www.kingstone.com.tw//basic/2018030685157?zone=book&lid=book_class3_knk&actid=book_class3_knk,楊磊,智寬文化  ,9789868676343,https://cdn.kingstone.com.tw/book/images/product/20180/2018030685157/2018030685157b.jpg
韓英中實用經貿詞彙,https://www.kingstone.com.tw//basic/2018010037334?zone=book&lid=book_class3_knk&actid=book_class3_knk,游娟鐶,瑞蘭      ,9789865953218,https://cdn.kingstone.com.tw/book/images/product/20180/2018010037334/2018010037334b.jpg
韓中常用語詞典,https://www.kingstone.com.tw//basic/2028030734854?zone=book&lid=book_class3_knk&actid=book_class3_knk,韓語編輯小組,五南      ,9789571166520,https://cdn.kingstone.com.tw/book/images/product/20280/2028030734854/2028030734854b.jpg
袖珍德漢詞典,https://www.kingstone.com.tw//basic/2018052369790?zone=book&lid=book_class3_knk&actid=book_class3_knk,余匡復,臺灣商務  ,9789570526257,https://cdn.kingstone.com.tw/book/images/product/20180/2018052369790/2018052369790b.jpg
現代法漢經濟貿易綜合詞典,https://www.kingstone.com.tw//basic/2018040364226?zone=book&lid=book_class3_knk&actid=book_class3_knk,顧良、張慧,天肯      ,9789867736369,https://cdn.kingstone.com.tw/book/images/product/20180/2018040364226/2018040364226b.jpg
俄代辭典,https://www.kingstone.com.tw//basic/2018052032762?zone=book&lid=book_class3_knk&actid=book_class3_knk,傅文寶,志一      ,9789867766274,https://cdn.kingstone.com.tw/book/images/product/20180/2018052032762/2018052032762b.jpg
漢法翻譯、寫作‧會話辭典,https://www.kingstone.com.tw//basic/2028052031313?zone=book&lid=book_class3_knk&actid=book_class3_knk,志一      ,貨到通知我,9789867766335,https://cdn.kingstone.com.tw/book/images/product/20280/2028052031313/2028052031313b.jpg
法漢分類辭典,https://www.kingstone.com.tw//basic/2028052031153?zone=book&lid=book_class3_knk&actid=book_class3_knk,李青青,志一      ,9789867766342,https://cdn.kingstone.com.tw/book/images/product/20280/2028052031153/2028052031153b.jpg
