ISBN,書籍簡介
9789865027902,"

針對資訊科學教育所設計，廣泛且精要地探討資訊科學相關主題 內容涵蓋資訊科學的核心知識與實務應用，並融入最新的發展趨勢與資訊脈動 ★全新改版資訊科技的不斷創新，無線網路與行動通訊的蓬勃發展，雲端運算的快速擴張，以及大數據分析、人工智慧、5G與物聯網的應用呈現爆炸性的成長，這股趨勢不僅改變了人們的生活習慣，也改變了學習模式與工作型態。針對這些變革，本書除了涵蓋資訊科學的核心知識與實務應用，更將下列熱門的議題融入適當的章節： *雲端運算、大數據、物聯網、智慧家庭、智慧城市、智慧交通、智慧製造、智慧農業 *人工智慧 (AI)、機器學習、深度學習、機器人、智慧物聯 (AIoT)、自駕車、無人機、無人商店 *虛擬實境 (VR)、擴增實境 (AR)、混合實境 (MR) *金融科技 (FinTech)、行動支付、群眾募資、虛擬貨幣、比特幣、區塊鏈 *電子商務、行動商務、跨境電商、網路行銷、行動行銷、在地服務、共享經濟、網紅經濟 *Wi-Fi無線上網、4G/5G行動通訊、資訊安全、無線網路安全、雲端防毒、手機防毒 *資訊隱私權、智慧財產權、個人資料保護法、著作權法、專利法、營業秘密法，以及電腦犯罪、網路霸凌、灌爆臉書、散布假新聞等行為的刑責 ★多元特色豐富圖表：透過拍攝精緻的產品照片及豐富圖表，提升學生的理解程度。 資訊部落：透過資訊部落，對其它專業的技術或議題做進一步的討論。 隨堂練習：透過隨堂練習，讓學生即刻驗證在課堂上學習的知識。 本章回顧：各章末提供簡短摘要，幫助學生快速回顧內容。 學習評量：各章末提供學習評量，檢測學生的學習成效或做為課後作業之用。
                    
"
9789865024710,"

豐富圖表：透過豐富圖表，提升學生的理解程度及學習興趣。 資訊部落：透過資訊部落，對其它專業的技術或議題做進一步的探討。 隨堂練習：透過隨堂練習，即刻驗證文中所學所識。 本章回顧：章末均提供簡短摘要，加深學習印象。 學習評量：章末均提供學習評量，以檢測學習效果，或做為課後作業之用。 訪察國內多所院校之資電科系、理工科系教師意見編寫而成的教學書籍，內容兼顧深度與廣度，涵括最新資訊科學的核心內容，並依據教學時數設計章節篇幅，讓學習過程順暢又井然有序，並將研究所入學考試題型融合至內文、隨堂練習與學習評量，為學生將來升學與就業提早做準備。 本書除了包含扎實的學理基礎，更將最新的資訊融入相關章節，例如：雲端運算、物聯網、大數據、虛擬貨幣、虛擬實境(VR)、擴增實境(AR)、混合實境(MR)、模式辨認、自然語言、人工智慧(AI)、機器學習、深度學習、機器人、智慧物聯網(AIoT)、自駕車、無人機、無人商店、金融科技(FinTech)、行動支付、電子商務、跨境電商、行動商務、在地服務、共享經濟、Wi-Fi無線上網、4G/5G行動通訊、資訊安全、無線網路安全、雲端防毒、手機防毒、軟體工程素養與軟體所有權、智慧財產權、著作權法、專利法、營業秘密法等。
                    
"
9789869250719,"


IT技術的核心！

半導體重要零件CPU大解析！

工科同學前進半導體產業

成為晶圓廠工程師的第一步！

	 

	了解基礎概念，與程式運作！

	二進數、數位電路的邏輯運算、各種電路、浮點數介紹

	CPU構造與指令處理機制、運算指令、微控器……

	利用本書打好基礎才能進階學習，

	最易懂的工程師養成入門書！

	 

	電腦的五大單元是什麼？

	自動販賣機如何記憶投入金額？

	電腦二進數的「０」與「１」代表兩種狀態？

	為什麼電腦的處理速度飛快？

	寫程式用高階語言真的比較好嗎？

	「中斷」也是電腦的重要功能？

	 

	想要成為科技新貴，就得築夢踏實！

	《世界第一簡單CPU》搭配

	《世界第一簡單數位電路》、《世界第一簡單半導體》、《圖解半導體（修訂版）》

	由裡到外，由淺入深，全面認識半導體！

	 

	了解基礎概念與程式運作，掌握CPU的原理以及初期CPU的設計！二進數、數位電

	路的邏輯運算、CPU構造與指令處理機制、運算指令、微控器……本書教你融會貫通

	各大概念，是最易懂的工程師養成入門書！

"
9789864765966,"

用電腦麻瓜也能聽懂的方式，跟可愛的角色一起認識電腦 本書採用擬人化的手法，將CPU、IP、MPEG、POP這些生硬的電腦技術專業名詞，化身為可愛的動漫人物，以電腦麻瓜也能聽得懂的字彙，解釋電腦的運作原理，看完本書之後，對於電腦內部的運作，作業系統扮演的角色，演算法具體來說到底是什麼？什麼叫做「可靠度」？資料庫到底在幹嘛？這些都將有具體的理解與認識。 本書特色： ．擬人化：將生硬的名詞化身為可愛的擬人化角色 ．豐富的圖解：讓原本抽象的概念變得簡單易懂 ．每章最後均附有習題，可以檢驗學習效果
                    
"
9789575927554,"

本書分上下兩篇介紹機器視覺的構成、圖像處理方法以及應用實例。上篇「機器視覺理論與演算法」包括：機器視覺、圖像處理、目標提取、邊緣檢測、圖像平滑處理、幾何參數檢測、Hough變換、幾何變換、單目視覺測量、雙目視覺測量、運動圖像處理、傅立葉變換、小波變換、模式識别、神經網路、深度學習、遺傳演算法。下篇「機器視覺應用系統」包括：通用圖像處理系統ImageSys、二維運動圖像測量分析系統MIAS、三維運動測量分析系統MIAS 3D、車輛視覺導航系統。本書匯集了圖像處理絕大多數現有流行演算法，以淺顯的圖文並茂的方法講解複雜的理論演算法，每個演算法都給出了實際處理案例。書中所講案例均來自生產實踐，都得到了實際應用的檢驗。本書不僅適用於機器視覺和圖像處理專業理論結合實踐的教學，對於本科系及相關科系的課題研究人員和專業技術人員也具有重要的參考價值。
                    
"
9789864347520,"


初學者輕鬆學習計算機組成原理

詳盡的圖文解說能讓你快速上手

精選的主題循序漸進更簡單操作

	 

	電腦，又被稱為計算機或者是電子計算機，其廣大的應用程度幾乎已到了每個人不知不覺的境界.。對現代人而言，人手不離手機，而手機，其實就是一台小型的電腦，而如果想要了解電腦，第一步就是得了解計算機系統。

	 

	本書的前半部分講解現代電腦的基本原理與構造為主，而後半部分則是針對前面的知識來下了作業系統程式設計的實戰，而這部分的實戰，則是以Windows 作業系統程式設計為主，目的主要是銜接作業系統程式設計這個主題。

	 

	本書在設計上打破了傳統教科書的設計，以淺顯易懂的語言文字來描述內容，能輕鬆學會作業系統的基本概念，進而投入產業發展建設國家。

	 

"
9789865232122,"


	1.內容規畫完善：涵蓋大專院校所需的電腦資訊入門知識，更廣搜IT產業最新發展近況，例如無線網路、行動設備、電子商務等熱門資訊。

	2.結合認證考試：涵蓋ICT認證考試範疇，融合知識與實務應用，奠定考證能力。

	3.掌握科技新知：穿插熱門主題、最新科技發展趨勢，幫助您掌握資訊脈動。

	4.圖解軟體操作：圖文並茂的Step-by-Step說明，輕鬆上手，成果立現。

	5.重點回顧：章末重點摘要，幫助您快速回顧內容。

	6.學習評量：每章設計多種評量題目，檢測學習成效及增進應試能力。

"
9789865005023,"

貫通計算機技術的思想法則，軟韌體工程師面對問題的思索之道，突破軟體學習困境的完美理論，這是本精解基礎觀念思維的上乘經典。本書並不是一本在探討特定技術細節的書，目的在引導讀者面對處理這些細節時的整體思維方向及處理方法，而不是在交代特定細節；方向決定了你的行為選擇，有正確的方向才會有正確、效率的行為，有了正確的方向，才會有正確的細節。本書將告訴你困擾你內心已久，但是一直沒有人告訴你的問題答案。作者集30年的IT技術從事經驗，以銳利的眼光，細膩的觀察，顛覆傳統的哲學邏輯觀點，為你從頭到尾貫穿所有計算機科學的基準概念，幫助您打通IT技術思維的任督二脈。沒看過此書，不要說你精通電腦技術。看過此書，再來回想你是不是真的了解IT技術。【精粹聚焦】本書最終的目的是要讓讀者能具有：● 貫穿IT軟硬體的解析觀點● 建立原本應有的對IT軟硬體觀察批判及品味的能力● 不再困惑，釋放出想像力以及創造力本書著重在基本觀念的闡述，即具通用性、通透性、涵蓋性的定律及概念，帶領讀者建立：● 一套行為系統的架構觀念與哲學● 一套資源利用與方案創造的思維系統● 一套智能與知識的哲學
                    
"
9789865222697,"


	數和數字在本質上有何區別？
	為何電腦只靠0和1就能夠運作？
	什麼是程式？

"
9789865025755,"

升四技/科大/二專必備 抓住重點、掌握趨勢、精選題目，考前衝刺效率更加倍! 60單元好複習：全書整理歸納成60單元，以考前60天、一天一個單元為架構。共50個單元重點＋10個單元的總複習測驗。 趨勢導向看清楚：依照106-109年統測考題進行統計，將傳統章節打散分成考題趨勢導向，可清楚看出統測趨勢。 統測考題即時通：由統測試題創意變化後重新出題，重點單元結束後即可進行測驗。 專有名詞全收錄：所有計概專有名詞的彙整，全部一網打盡。 單位＆計算題大彙整：計概重要單位＆計算題一次到位，這可是致勝的關鍵。 輕薄小巧好攜帶：25開尺寸，容易攜帶、隨時複習。
                    
"
