ISBN,書籍簡介
9789865026554,"

《大字大圖好閱讀，教學影片好上手》 豐富樂齡學習力！ 為熱愛學習的您，量身打造最詳細實用的樂齡學習書！ 坐在電腦前用對的方式輸入、搜尋，即使不出門也能快速知道天下事！整合全新的Windows 10，從基礎開始講解包含電腦硬體、輸入法、影音、網路應用、相片處理、文書、簡報…等操作，每一個步驟都有詳細的講解與超大圖示，並搭配教學影音光碟，就像是一對一專屬家教，只要跟著操作就能在使用上得心應手。 [認識電腦] 從「開始」畫面與整體環境開始介紹，依自己的使用習慣，打造出最適合的介面，並認識設備、健康坐姿與開關機、檔案管理...等正確操作方法，健康又快樂的踏出學習第一步。 [生活應用] 認識鍵盤、熟悉中英文字輸入，並說明如何以電腦播放音樂、搬移檔案到隨身碟，也能將CD的曲目存到電腦中，再自選曲目燒錄成自己想聽的音樂光碟，想聽的時候就能隨時播放跟朋友分享，讓生活中更添樂趣。 [網路應用] 統一發票兌獎、郵遞區號查找、中英文地址翻譯、電子郵件傳遞，還推薦常用的購書、線上學習、新聞…等實用網站，隨手掌握生活大小事。 [數位相片處理] 用相片留住許多美好的回憶，簡單的步驟讓相片匯入電腦並瀏覽，還可以調整出漂亮又吸引人的效果，再與好朋友們分享生活的精采與感動。 [編寫文件] 以常見又容易上手的Word，編輯記錄資料、文章整理、旅遊規劃表..等文件，可以自己製作排版並插入合適的相片或圖片，最後還可列印文件發給朋友，操作容易跟著一步一步做就能很快完成。 [相簿簡報製作] 利用PowerPoint快速設計旅遊相簿簡報，將充滿回憶與歡樂的行程相片做成動態簡報，加上說明文字，方便與朋友分享，也記錄下美好的回憶，還可以轉成影片自動播放。 本書適用Windows 10/Word 2019 & Word 2016/PowerPoint 2019 & PowerPoint 2016 非常適合剛學習電腦的熟齡朋友，也可作為電腦愛好者和自學讀者的參考用書。 特別提供：超值教學影片/範例檔/1000張免費圖庫素材 (為線上下載，書中附有下載方式的詳細說明)
                    
"
9789576153891,"

「由淺入深掌握各種應用技巧！一躍升級成為Windows達人！」Windows配合觸控螢幕及雲端整合服務做了一個重大的變革，本書即告訴您，如何在彈指之間來操控您的電腦。了解、活用此作業系統是身為一個現代人所需具備的基本技能。本書即以淺顯、循序並配合視窗畫面的直接解說，讓您能輕易的、快速的具備這些技能，進而應用於實際作業中。★ 「認識Windows」告訴您此作業系統的基本架構及視窗結構，如何啟動所要的應用程式。★ 個人化您的電腦、安裝所要的應用程式，設定佈景主題及使用圖片密碼登入。★ 目前電腦都有極大的儲存容量，如何管理資料夾與檔案是不可或缺的課題。★ 在Windows市集上搜尋、挖掘喜歡的免費應用程式。★「附屬應用程式」告訴您如何使用剪取工具、數學輸入面板、自黏便箋等好用的小工具。★ 以線上儲存空間「SkyDrive」來儲存、於線上編輯所要的文件，存取遠端的資料。★ 對於您所拍攝的數位照片，如何在電腦中瀏覽播放，將照片轉正，加上附註說明或作一簡單的修改。★ 「播放音樂、視訊、CD和DVD」讓您邉工作邊聽喜歡的音樂，您還可以編輯、燒錄所要的音樂。★ 作業系統出了狀況怎麼辦？如何將系統回復至先前的還原點上？如何維護您的作業系統呢？
                    
"
9789576153457,"

以通俗易懂的語言及詳實生動的實例，從一個電腦入門者需要了解和掌握的相關基礎知識和基本操作出發，全面系統地介紹了電腦基礎入門的綜合操作技能。其主要包括從零開始學電腦、電腦的基本設置、Windows 輕鬆入門、檔案管理、中文輸入、Windows附屬應用程式、Explorer瀏覽器、網上交流即時通等。通過對本書的學習，讀者可以充分掌握新手上路必備知識和技能操作。◆ 「認識電腦」告訴您電腦的基本結構及其周邊設備，讓您對電腦有一個基本的認識。◆ 電腦需要有作業系統才有辦法運作，本書將告訴您如何使用Windows XP作業系統。◆ 在Windows XP作業系統中還包含許多有用的附屬應用程式，本書也告訴您如何使用這些附屬應用程式。◆ 使用電腦，您一定會使用到中文，本書將告訴您如何編輯中文文件。◆ 一篇文件就是一個檔案，對於各式的檔案您該如何管理呢？在「檔案的管理」中將有詳盡的解說。◆ 如何以Explorer來瀏覽全球資訊網，搜尋所要的資料呢？◆ 對於電子郵件，本書告訴您如何申請一個電子郵件信箱？如何收發電子郵件？並告訴您如何使用通訊錄。
                    
"
9789869409513,"


本書特色

	書中的範例皆以實務為導向，它可輕易的讓您操控電腦，進行數位相片、音樂與影片的管理，製作影片、下載或上傳影片供大家欣賞，在Internet上搜尋所要的資訊，使用電子書、Google地圖及建立自己的部落格，並告訴您如何進行網路拍賣。

電腦基礎入門
	認識電腦及周邊設備、作業系統Windows 7、檔案管理、中文輸入與附屬應用程式。

數位照片、音樂、影片的編修與管理
	相片與音樂的管理、影片的下載與播放、Windows DVD 製作程式、Picasa網路相簿與影片的上傳。

InterNET網際網路
	以Internet Explorer暢遊WWW、搜尋所要的資訊、電子郵件、電子書、建立自己的部落格及Google地圖。

網路拍賣
	認識網路拍賣、商品相片的處理、商品的上架與管理、廣告與宣傳、結標後的商品交易。

"
4717702081676,"

《網路遊戲密技吱吱叫》特別企畫的遊戲專刊，給你最完整、最詳盡、最快速的遊戲攻略與情報分析！
                    
"
9789869555784,"

以通俗易懂的語言及詳實生動的實例，從一個電腦入門者需要了解和掌握的相關基礎知識和基本操作出發，全面系統地介紹了電腦基礎入門的綜合操作技能。其主要包括從零開始學電腦、電腦的基本設置、Windows 輕鬆入門、檔案管理、中文輸入、Windows附屬應用程式、Explorer瀏覽器、網上交流即時通等。通過對本書的學習，讀者可以充分掌握新手上路必備知識和技能操作。◆ 「認識電腦」告訴您電腦的基本結構及其周邊設備，讓您對電腦有一個基本的認識。◆ 電腦需要有作業系統才有辦法運作，本書將告訴您如何使用Windows XP作業系統。◆ 在Windows XP作業系統中還包含許多有用的附屬應用程式，本書也告訴您如何使用這些附屬應用程式。◆ 使用電腦，您一定會使用到中文，本書將告訴您如何編輯中文文件。◆ 一篇文件就是一個檔案，對於各式的檔案您該如何管理呢？在「檔案的管理」中將有詳盡的解說。◆ 如何以Explorer來瀏覽全球資訊網，搜尋所要的資料呢？◆ 對於電子郵件，本書告訴您如何申請一個電子郵件信箱？如何收發電子郵件？並告訴您如何使用通訊錄。
                    
"
9789863795803,"


96%行動裝置病毒鎖定Android平台
市面上哪款安全軟體可以依靠？
別為了清一些小垃圾裝了個大垃圾進你的系統


	透過一款手機資安防護軟體開發案例的詳細解析，講解一個完整的Android實際專案開發過程。

	該專案涵蓋了市場上主流手機資安防護的主要功能，同時，也是對Android應用程式開發知識的綜合應用，涵蓋手機防盜、通訊安全防護、軟體管理、處理程序管理、流量統計、手機防毒、系統最佳化、進階工具、設定中心…等。

	除透過對案例的解析，並將程式碼中關鍵部分逐一講解，幫助Android應用開發人員快速掌握相關概念和知識，在實際開發中能快速而輕鬆地積累實戰專案經驗。

"
9789866432897,"


	本書藉由圖片、文字以Step by step方式引導讀者，運用各類資訊載具，如個人電腦、平板、智慧型手機等等之操作，並以Case Study操作方式加強深刻印象，讓讀者不再感到恐懼，達到輕鬆學習資訊技能、習慣應用在未來大學生活；資訊技能內容包含食、衣、住、行、育、樂等各方面，將來更可進一步為職場上之必需技能做好準備，以適應資訊化的新世代。

"
9789869515603,"


	本書以淺顯易懂的講解方式，加上圖片步驟的教學，讓使用者能容易理解計算機的重要概念並靈活操作計算機作業系統與相關應用程式。

"
9789869497299,"


	資工或全國大專院校通識性課程等相關科系教學使用，涵蓋計算機概論的基礎原理及最新的科技新知，包括電腦軟硬體、程式語言、資料庫、網路通訊及安全，清楚的章節和圖文內容方便學習者迅速掌握計算機概論的核心，並附有完整的課後評量和重點整理，讓學習者能夠隨時對照所學並且有效提升讀書效率。

	電腦新科技及電腦硬體
	資料表示法/布林代數/數位邏輯
	電腦軟體/程式語言/多媒體
	資料庫、資訊管理與資料結構
	無線網路/網際網路/雲端運算
	網路安全/電子商務/資訊倫理
	行動電源/穿戴裝置/變型電腦
	4G/WiMAX 與LTE/5G
	第三方支付/NFC及QR-Code行動支付
	RFID/物聯網/大數據

"
