ISBN,書籍簡介
9789865022464,"

附書DVD*1電腦有問題怎麼辦？輕鬆重灌不求人！ 自己的電腦自己搞定，快速恢復工作狀態，不誤事。本書讓大家在短時間內掌握系統修復必要技能，快速修復系統問題。 ．情境切入、解析、處理，修復系統不求人 ．搶救、修復、重灌、優化電腦流程大剖析。 ．輕鬆學會專家級的系統修復方法。 ．及時搶救硬碟、檔案，重要資料起死回生。 ．完整備份系統、個人設定，資料還原很EASY。 ．系統更新加防毒防駭，電腦安全滴水不漏。 ．全面優化系統、硬碟、記憶體與網路。 ．手動調校結合軟體增強，電腦效能狂飆。 ．搞懂NVMe、PCI-E、SATA express等SSD相關技術。 ．掌握UEFI、Virtual Box和VHD虛擬技術應用。
                    
"
9789865021283,"


附書DVD*1

	認識最新硬體，選購組裝PC不求人

	自己組裝電腦？應該很難吧！我又不是工程師等級的高手。(你應該也是這麼想的吧！）

	放心！DIY 並沒有你想的那麼難，因為電腦元件都是標準化生產，插槽也是統一規格，按照說明一步一步安裝就能做好。如果你覺得市售的PC也不算便宜、硬體配備也未必符合自己需要，不妨跟著我們加入DIY行列。

	組裝是簡單的，不過選購到適合自己的配備確實不太容易，因為新手可能還不了解商品規格的參數，相關技術也可能還不太清楚，市場規則也需要一些經驗。沒有一定的知識底子和經驗，實在不太容易選對元件。以CPU為例，你知道哪一種CPU配哪一種主機板嗎？哪一種CPU又適合哪一種需求呢？

	本書以市場為導向，傳授了大量硬體選購技巧與經驗，同時還解答了一些新手容易產生的疑問。這些都是選購時最基本且必須具備的知識。

	本書的目的是幫助您成為DIY達人，即使硬體元件改朝換代，從本書中所學習到的原則、流程、方法、經驗等等，也依然能夠幫助您快速吸收新知，滿足電腦配置、選購、組裝與安裝的需求。

	透過本書的指引，您將可以了解：
	．CPU、主機板、顯示卡等元件選購與搭配技巧。
	．認識最新硬體的效能指標。
	．提升系統安全的技巧。
	．家用網路的設定方法。
	．資料保全技巧。
	．硬體控制與管理方法。
	．改善系統效能的技巧。
	．簡單易用的維護方法。
	．賣場談判攻略。
	 

"
9789863084358,"

本書依據應用等級和進程，區分為：認識與選購硬體、電腦組裝、安裝作業系統與軟體、電腦檢修與系統修復等四大篇，涵蓋範圍從硬體組成架構開始，到電腦組裝、軟體安裝、測試與維修電腦等，同步奠定基本觀念與組裝實務功力。
                    
"
9789574379378,"


全球百科級ThinkPad專書，搞懂商用筆電王者，一本就通！


◎取材自歷次參訪ThinkPad日本研發中心（Yamato Lab），詳細揭露ThinkPad三大硬體特色與設計哲學。
	◎全彩圖文介紹平時較難接觸的原廠各式周邊裝置實機，深入活用ThinkPad專屬周邊。
	◎ThinkPad BIOS與專屬軟體完整介紹，鉅細靡遺，深入淺出，徹底發揮主機實力。

	★藉由本書，除了清楚硬軟體規格面的資訊，更能對Yamato Lab設計ThinkPad時所在意的機構、鍵盤、散熱這三大設計，有更深一步的體會。

	由ThinkPad非官方情報站站長撰寫，全書共九大章節，涵蓋ThinkPad主機、原廠周邊、專屬軟體，全球百科級ThinkPad專書。

	針對橫跨2018~2020年主流機種詳細介紹硬體諸元，新機採購不再鴨子聽雷，同時提供超完整功能說明。

	深入介紹商用筆電王者：ThinkPad的軟硬體功能、特色及周邊設備，適合採購參考、後續操作指南以及進一步學習進階使用方法。

"
9789863126232,"


華文世界銷售第一的 Arduino 創客經典教材！

  

 本書的目標是讓高中以上, 沒有電子電路基礎, 對微電腦、電子 DIY 及互動裝置有興趣的人士, 也能輕鬆閱讀, 進而順利使用 Arduino 控制板自造完成各種互動應用, 加入創客的行列。因此, 實驗用到的電子和程式觀念, 皆以手繪圖解的方式說明, 看圖就能懂。主要特色如下：

 ■ 【超清楚手繪接線圖, 人人都能動手當創客】：製作電子實驗一定要動手接電路, 本書利用手繪方式提供超清楚的實體接線圖, 只要對照圖中的接線與電子零件標示, 就可以在麵包板上正確接好線路, 進行實驗。除了手繪接線圖外, 本書也會提供對照的電路圖, 讓讀者不只入門容易, 也為將來邁向專業等級做好準備。

 ■ 【程式語言從零開始, 人人都能設計程式】：使用 Arduino 製作互動設計除了組裝電路外, 最重要的就是要能夠撰寫程式控制互動邏輯。本書特別以手繪的程式觀念圖以及清楚易懂的流程圖, 從零開始說明程式設計的基礎觀念, 即使沒有程式設計經驗, 也可依照書中說明動手撰寫互動程式。

 ■ 【隨手自造享受無窮樂趣】：除了花錢購買電子零件以外, 本書還會教您利用身邊現有的材料自造出令人驚艷的有趣設計, 像是使用廢棄的塑膠硬殼製作簡易機器手臂、將廢棄的軟碟片改造成電子鼓、將玩具模型車變成可自動躲避障礙物的智慧型自走車等。

 ■ 【Arduino × Android 互動串連】：互動裝置能夠遙控更是酷, 本書也會介紹如何結合 Arduino 與 Android 雙 A 裝置, 透過藍牙無線傳輸設計個人專屬的藍牙遙控機器人, 還可以自己開發 App, 延伸自造樂趣。

 ■ 【邁入科技潮流物聯網應用世界】：使用網路模組讓 Arduino 互動裝置上網, 即可透過客製化的網頁遠端遙控家電, 邁入物聯網的世界。本書更進一步介紹可無線連網的 D1 mini 控制板, 拓展物聯網的範圍, 任何人都可以自由自造智慧生活所需要的各種無線裝置。

 ■ 【精心設計 DIY 趣味範例】：包括手機藍牙遙控機器人、連網智慧家電控制、光感應音樂盒、聲控開關、自動調光小夜燈、LED 矩陣動畫與文字跑馬燈、電子尺、電子燭光特效、避障自走車、數位溫濕度計、體感控制機器手臂、自動尋軌車、RFID 門禁控制、模擬悠遊卡儲存值、入侵偵測 LINE 警報通知器、遠端網頁調光器等。

 第四版並提升實驗零件取得的容易度, 從原本改造身邊的電子產品和玩具著手, 搭配組裝電子零件的 DIY 風格, 改成盡量採用方便購買的現成模組, 以求自學實作及老師授課的便利, 不過在使用這些現成的模組時, 同時也會說明模組內部的電路及其運作原理, 避免許多初學者一旦沒有模組可用, 就不知道該如何完成相同功能的困境。

 此外第四版也在程式設計和演算法上更加全面地介紹 Arduino 程式語言, 包含物件導向程式設計和自製程式庫等進階主題。部分內容雖然因為篇幅有限, 從紙本書中移除, 但仍採電子書形式提供給讀者參考, 方便讀者查閱進修。書末更提供中文電腦書通常沒有的索引，更是作者花費長時間精心整理完成, 期望能讓本書在學習之餘, 更能成為各位手邊最便利好查的工具書。

本書特色

 ■ 華文世界銷售第一的 Arduino 創客經典教材！
 ■ 超圖解、人人都能看得懂
 ■ 沒學過電子電路也能做出來
 ■ 沒寫過程式也能從零開始
 ■ 隨手自造享受無窮樂趣
 ■ Arduino × Android 互動串連
 ■ 邁入科技潮流物聯網應用世界

"
9789863124108,"


台灣瑞薩電子官方訓練教材


	瑞薩電子針對泛用型的32位元市場，開發了RX231的新一代晶片，主要的方向是強化了RXV2指令集，提升了運算效率以及更多的浮點運算指令支援，此外也增加了新一代的通訊功能支援，如 CAN，SDHI，USB等，非常適合新一代的物聯網產品開發使用。

本書特色

	本書詳細闡述 RX231的架構，指令系統，開發工具使用，以及提供實際應用範例程式以便讀者迅速熟悉RX231的平台開發，特別適合初學者的快速入門，以及協助讀者掌握RX231 的強大功能。

	◎ 完整介紹最新一代的 RXv2 核心架構
	◎ 先進 DSP/FPU 指令及低功耗技術
	◎ 嵌入式系統的設計原理與相關技術

"
9789864763238,"

要成為一名自造者（Maker），您只要懷著做出一個能讓世界更好的東西這樣的夢想（或者是希望讓這個世界更有趣一點也可以）。不過，要踏出第一步—不管是電子電路、程式設計、數位製造或專案管理，就跟找出後續所有步驟的正確道路一樣困難。 本書可以幫您更輕鬆地踏出第一步，還會帶您走完全程。從引導您認識自造文化開始、讓點子變成原型的各種策略，還會介紹各種相關的技術—包括各種設計軟體到CNC、雷射切割、3D列印機，到電子電路與編寫微控制器程式一應俱全。 藉由豐富的圖解與詳盡的說明，本書可以幫助您將天馬行空的創意變成實際的專案，成功做完專案並且朝著能自給自足的自造者公司邁進。 作者群是義大利米蘭的「科學怪人車庫空間」創辦團隊，他們從2011年開始舉辦各種課程來幫助自造者實現創作，本書可回答您關於自造者運動的各種問題，這股浪潮正在翻轉我們以往設計與製作事物的方式。 本書可以幫您瞭解： ．自造者運動的源起與未來走向 ．創意思考與發想原型的各種策略 ．如何管理專案、創辦自造者公司並找到資金支援 ．多人協同合作的技術、工程與創作所需的各種技術與軟體工具 ．如何上手CAD軟體 ．3D列印、CNC銑床與雷射切割的基礎知識 ．使用電子電路、Arduino與Raspberry Pi製作各種裝置原型 ．使用Python與Processing編寫各種程式
                    
"
9789864762576,"

Yocto Project涵蓋與嵌入式Linux系統相關的各種技術，可以幫助你以Linux為基礎來建構系統，供嵌入式產品使用。本書將以Yocto與Raspberry Pi為基礎，帶領您建立自己的Raspberry Pi自訂映像檔，並實作出小型的數位家庭自動化專案。 首先將會帶領讀者認識Yocto專案，並且介紹Raspberry Pi，擁有基本知識後，繼續學習如何整合Yocto與Raspberry Pi。本書將告訴您如何建置自訂應用程式，使用Wii Nunchuck搖桿，為Raspberry Pi設定使用LCD 觸控螢幕所需的Yocto組態，最終以實務範例作總結，運用先前章節習得的技能，完成一個數位家庭自動化專案。
                    
"
9789863794516,"


	本書是Edison開發技術的中文書，深入淺出地介紹Intel推出的開放原始碼硬體：Edison控制板，介紹其硬體架構、開發環境、開發方法（Arduino IDE、Linux系統）、應用前景，並提供人臉追蹤器、自主導航機器人、小型智慧家居、智慧水杯等開發實例供讀者參考。

"
9789861994659,"


	網路上這麼多軟體，到底哪個才好用呢？
	商業套裝軟體好用，但是超級貴，又不想用盜版，該怎麼辦呢？
	好用的軟體大多都是英文，到哪找中文版呢？

	如果你有以上的問題，快來服一味「阿榮福利味」吧！站長阿榮是闖蕩軟體界數十年的超強老手，軟體好不好用他最清楚！

	「阿榮福利味」所介紹的軟體都是站長阿榮先測試過安全無虞再打包給網友下載，一直以來好評口碑不斷，如果你想找到某個想使用的軟體，看本書就對了！

"
