ISBN,書籍簡介
9789860776263,"


深度學習
	最佳入門邁向AI專題實戰

	★★★★★【深度學習】★★★★★
	☆☆☆☆☆【理論】+【實作】☆☆☆☆☆


	這是目前市面上講解【深度學習(Deep Learning)】從基礎到應用最完整的書籍，從基礎數學與統計開始，將演算法的原理解釋得更簡易清晰，協助讀者跨入 AI 的門檻，為避免流於空談，盡量增加應用範例，希望能達到即學即用。多位試閱本書內容的專家與學者全部皆給【五顆星】滿分評價。

	整本書採用【最新版TensorFlow】+【大量圖片輔助】，+ 【完整理論解說】+【Python程式實作】以原理與實作，講解下列最熱門的AI主題。

	☆【神經網路(NN)】
	☆【卷積神經網路(CNN)】
	☆【物件偵測(YOLO)】
	☆【光學文字辨識(OCR)】
	☆【車牌辨識(ANPR)】
	☆【人臉辨識】
	☆【生成對抗網路 (GAN)】
	☆【深度偽造 (DeepFake)】
	☆【自然語言處理(NLP)】
	☆【聊天機器人(ChatBot)】
	☆【語音辨識(ASR)】
	☆【強化學習(RL)】

	讀者只要遵循本書步驟學習相信必可以徹底認識人工智慧、機器學習與深度學習觀念，邁向浩瀚領域。

"
9789863126720,"


	你還在建立模型分析玩具資料集嗎？你還在使用只有幾百筆資料的鳶尾花資料集嗎？你還在透過Numpy亂數產生器建立資料集嗎？

	還是，你苦於找不到資料集？又或是，你發現以前所學的技術，套在真實資料集，根本不能用？

	假資料或玩具資料集無法和產業界接軌，練再多只是徒勞無功，但想要有真實資料集卻不知從何得到。

	現在你看到的這本書，將帶你在初學和實戰之間，提供一個累積實務經驗值的試驗場，解決你的以上煩惱！

	如何獲取要分析的資料，經常是資料分析與機器學習時會遇到的瓶頸，而 Kaggle 平台有各大企業提供的免費資料集、完善的開發環境、匯集世界各地資料科學專家的討論區、以及高額獎金尋求各種問題的解決方案。只要註冊帳號，就能免費使用以上所有 Kaggle 的資源，顯然是一個絕佳的機器學習、資料科學練習環境。

	本書專為入門者所寫，讓讀者知道如何善用平台資源，包含解析 Kaggle 上面的資料集，以及操作平台提供的完整 Python 開發環境。此外，書中從基礎的線性迴歸模型開始打底，隨後詳細講解當前火紅的神經網路，並深入探討循環神經網路的進階案例，也介紹各種特徵工程、模型超參數調整、模型集成的技術，一書掌握機器學習領域中重要的模型。本書所使用的範例，包含經典的CIFAR-10上萬張影像資料集、也有日本 Mercari 企業提供的資料集等，讓你擺脫不切實際的玩具資料集，直接打造實戰能力。

	本書將助你從入門開始一步步打造技術力，同時銜接上實務應用，讓你在研究、職場脫穎而出。

本書特色

	● 國立成功大學資訊工程學系特聘教授 陳培殷博士 推薦
	● 完整介紹 Kaggle 平台上的資源，幫助讀者與世界頂級資料科學家接軌
	● 一書掌握基礎的迴歸、熱門的神經網路、以及進階的循環神經網路等重要模型
	● 使用 Kaggle 平台的資料集，讓讀者學習到實戰所需的機器學習技能，擺脫無聊的玩具資料集
	● 透過巨量資料集為範例，如分析日本 Mercari企 業提供的資料預測商品價格，了解實務應用
	● 本書由施威銘研究室監修，內容易讀易懂，並加入大量「編註」以幫助理解及補充必要知識
	● 完整 Jupyter Notebook 互動式開發環境的 Python 範例程式免費下載

"
9789863126621,"


會coding並不代表會建模！

	你是否曾經有以下問題：
	「如何評估模型的適用性？」
	「有人說模型參數越多越不好？」
	「各種模型的差異以及特色是什麼？」
	「有人說模型好壞不能只看預測精確率？」
	「要選哪一種模型比較適合手上的資料？」

	這本書，將帶你釐清以上所有疑惑，以及你心中更多問不出來的問題！

	市面上有很多優質的書籍，可以將建模工具（如：TensorFlow、Keras、PyTorch 等框架）鉅細靡遺地操作一遍；或是涵蓋許多數學、統計學的學理面，完美展現漂亮的數學式。但仍舊會讓人有隔靴搔癢、似懂非懂的感覺。再加上資料科學應用在不同領域，如工程學、物理學、化學、生物學、生態學、哲學、或是經濟學，產生大量令人混淆的知識、名詞。因此，過去那種單點突破式的學習歷程，已經不足以應付當代資料科學家的養成。

	想要在這混亂的資料科學領域裡脫穎而出，關鍵就在於你需要有見樹也見林的通盤觀念：以「模型」為中心，將相關的數學、統計知識環繞在這個中心，做一個通盤的介紹；接著，以俯視的角度，來抓住各領域常用模型之間的關聯，並說明許多技術本質上是殊途同歸；最後，我們即可探討現實中不同問題的分析方式，以及實務上建模需要注意的事情。

	本書將會講解與模型相關的機率、統計、微分方程、自我迴歸、狀態空間、馬可夫鏈等觀念；並且比較隨機森林、支援向量機(SVM)、神經網路、深度學習、自編碼器、強化式學習、多體系統等各種不同模型的優劣；最後討論貝氏推論、最大後驗估計、費雪三原則、訊息準則、概似比檢驗等如何應用在實際建模的過程。

	中文版提供免費Python程式下載，讓讀者可以實際演練書中的範例，加深對知識的理解。

	本書用宏觀的角度，來解述資料分析數學模型，讓你徹底了解資料分析過程中，不可或缺的「數學模型」。有了這本書，你將會掌握當代數學模型的基本精神，讓你在未來的研究或工作上，可以更順利。

本書特色

	● 改變傳統一直寫程式的教學，帶你回到資料科學最根本的觀念
	● 俯視資料科學的各種技術，掌握模型的特性跟陷阱
	● 底線標示重要觀念，粗體標示重要名詞，註解提供讀者延伸資訊
	● 滿滿全彩圖說，每章結束附有重點整理，中文版附贈範例程式

"
9789863126782,"


Ⓞ 16 堂課引領入門，學得會、做得順的絕佳教材！
Ⓞ最詳盡的深度學習基石書，CNN + RNN + GAN + DQN + DRL 各種模型學好學滿

	初學者想要自學深度學習 (Deep Learning)，可以在市面上找到一大堆「用 Python 學深度學習」、「用 xxx 框架快速上手深度學習」的書；也有不少書說「請從數學複習起！」，捲起袖子好好探究底層那些數學原理......但過早切入工具的學習、理論的探究，勢必對連深度學習的概念都還一知半解的初學者形成極大的學習門檻：

	「我連什麼是深度學習？它是如何呈現、被使用的？都還模模糊糊，怎麼一下子就叫我 K Python、K 建模技術、K 數學......了？」

	「程式號稱再怎麼短，始終還是讓人無感，模型跑出來準確率 95.7% → 96.3%...那就是深度學習的重點？」

	【精心設計循序漸進 16 堂課，帶你無痛起步！】

	為了徹底解決入門學習時的混亂感，本書精心設計循序漸進的 16 堂課，將帶你「無痛起步」，迅速掌握深度學習的重點。

	本書共分成 4 大篇、16 堂課。第 1 篇會利用 4 堂課 (零程式！零數學！) 帶你從深度學習在【機器視覺】、【自然語言處理】、【藝術生成】和【遊戲對局】 4 大領域的應用面看起，這 4 堂課不光是介紹，內容會安插豐富的線上互動網站，讓讀者可以實際上網操作，立刻體驗深度學習各種技術是如何呈現的。不用懂程式、啃理論，本篇適合任何人閱讀，絕對看得懂、做得順，可以對深度學習瞬間有感！

	有了第 1 篇這些知識做為基礎，你就可以抱著踏實的心情跟著第 2～4 篇這 12 堂課一一學習 4 大領域背後所用的技術，包括卷積神經網路 (CNN)、循環神經網路 (RNN)、對抗式生成網路 (GAN)、深度強化式學習 (DRL)...等等。學習時我們選擇了馬上就可以動手的 Google Colab 線上開發環境搭配 tf.Keras 框架來實作，閱讀內文時請務必搭配書中提供的範例程式動手演練。期盼透過這 16 堂課的學習，能夠讓學習曲線平滑、順暢，不用迂迴曲折地浪費時間。

	最後要說明的是，本書所有範例都是最精簡的版本，以方便引領讀者理解 AI 的原理。""師父領進門，修行在個人，AI 才在萌芽階段，以後海闊天空，鼓勵大家不斷精進、勇往直前！""　

本書特色

□滿滿延伸學習教材
	‧範例 + 旗標 Bonus 加值內容 → www.flag.com.tw/bk/st/F1383
	‧作者深度學習系列教學影片 → reurl.cc/mLj7jV
	‧更多互動學習資源 → 詳內文 16.6 節

□看得懂脈絡 – 不只通單一主題，也通學習脈絡
	‧絕對看得懂的神經網路基礎，不被損失函數/梯度下降/反向傳播/正規化/常規化...一拖拉庫技術名詞搞的暈頭轉向！
	‧各章章末提供新名詞脈絡整理，讓你隨時掌握學習視野！

□學得會技術 – 不只通技術，也通應用
	‧先熟悉機器視覺、自然語言處理、藝術生成、遊戲對局 4 大領域的應用，對為何學深度學習更有感！
	‧不急著 Coding、建模！上網就可以立即體驗生動的深度學習技術！

□做得出成果 – 不只通觀念，也通實作
	Colab + tf.Keras 具體實踐 4 大應用，熱門深度學習技術學好學滿！
	→機器視覺：CNN (卷積神經網路)
	→自然語言處理：RNN (循環神經網路)
	→藝術生成：GAN (對抗式生成網路)、DQN
	→遊戲對局：DRL (深度強化式學習)

□詳細解說，流暢翻譯
	本書由【施威銘研究室】監修，書中針對原書進行大量補充，並適當添加註解，幫助讀者更加理解內容！

"
9789865230425,"


	1.使用最新Raspberry Pi 4 Model B 開發板，效能大躍進。
	2.由實作中邊做邊學，沒寫過程式也能無痛增能，零基礎的最佳選擇。
	3.獨家搭配高畫質圖片解說，無陰影、無死角，簡明易懂。
	4.使用IFTTT 網站輕鬆串聯各種雲端服務。
	5.輕鬆邁入物聯網世界，隨手自造各種智慧應用。

"
9789865501129,"


	還在用難用的Tensorflow嗎？還在用太簡單的Keras嗎？

	2020年將是Pytorch正式超越Tensorflow、一統人工智慧框架世界的時代，如果還在頭痛怎麼用Tensorflow實作MNIST，快點投入PyTorch的懷抱吧！

	本書實作最經典的人工智慧神經網路的案例，並且放入最新真實世界中的應用範例，如果有心要學習人工智慧，這本PyTorch實例書將帶你完成史上最有名的幾個經典範例，讓你功力大增之外，更一舉成為人工智慧的強者！

全書重點包括：
	► 深度學習一路走來的歷史
	► PyTorch的張量、自動微分及nn模組的介紹
	► 預測共享單車投放數量
	► 中文文章情緒分析器
	► 一定要會的用CNN完成MNIST的辨識
	► 大型遷移學習對動物分類進行預測
	► MNIST的進一步，幫你把數字加起來
	► 自己動手做PRISMA：20種藝術家風格轉到你的照片
	► 假新聞有什麼稀奇，假以亂真的照片才叫厲害：GAN實作
	► NLP的大神Word2Vec的實作
	► 人工智慧音樂家：利用LSTM製作自動作曲機
	► Google的祕密武器：神經網路翻譯系統實作
	► 外掛有什麼了不起？用AI打電動，強化學習實作

本書特色

	►深度學習、PyTorch的入門書
	►透過實際經典案例循序講解

專家推薦

	「這本書緊接業界潮流，將人工智慧科普帶入了後AlphaGo 時代：遊戲飛鳥、自動作曲、語義星空⋯⋯涵蓋了深度學習領域的主流玩法。書中既有清晰容易的知識說明，讓你打好理論基礎，又有詳細的程式展示，一步步地教你做實際專案。這是一本揭示深度學習的秘笈！」－袁行遠，彩雲科技CEO、創始人

	「本書寓教於樂，精心設計的實戰案例和循序漸進的學習方式都令人耳目一新。先從實戰專案出發，然後引用理論說明，最後深入剖析工作原理，環環相扣，引人入勝。期待看到PyTorch 之火的燎原之勢。」－高文超，微軟研究院軟體開發工程

	「以2011 年AlexNet 贏得ImageNet 競賽為起始點，深度學習迅速席捲了整個人工智慧領域，但目前出版的有關深度學習的書大多偏重理論。這本書注重理論和實作的緊密結合，讀者可以在瞭解深度學習原理之後，立刻跟隨書中的程式動手實作，加深了解。如果想要追上人工智慧的浪潮，這本書是一個不錯的開始。」－鮑捷，文因互連CEO、聯合創始人

"
4712946750746,"


	電子電路其實充滿在我們生活之中, 為我們帶來許多便利。例如樓梯的燈需要在樓上與樓下都裝設開關, 讓你要上樓時打開燈, 上樓後關燈；又或者是市面上常販售的光感應小夜燈, 可以在光線不足/充足的形況下自動開燈/關燈！我們會在本套件中介紹這些生活中的電路原理, 並實作出功能相同的電路！除此之外, 還會帶你實作一些趣味電路, 例如拍拍手就會亮的燈, 或者用電路模擬昆蟲的叫聲！

	而這些電路其實都是從國中學過的基本電學出發並延伸！都忘光光了嗎？沒關係, 本套件設計了別出心裁的教學內容, 透過循序漸進的學習、思考、實作、驗證, 讓讀者不害怕艱澀難懂的電子電路且學習效果令人印象深刻。例如：

	● Trial and Error 從錯誤中學習, 讓你親自燒壞一顆 LED 燈來認識電阻的功用與重要性！
	● 電阻串聯跟並聯後到底哪個大？用 LED 燈的亮度來驗證吧！
	● 考考你！LED 要加在什麼位置, 才不會影響電子暖暖包的熱度？
	● 電路問答題, 例如 A 電路與 B 電路哪個發出的聲音比較長？

	相對於程式設計只需要一台電腦即可學習, 電子電路難以入門的原因除了需要知道許多電學、電路知識以外, 還得準備許多繁雜的電子零件。而本套件已經都為您準備好了！只需要自行準備好 4 顆 4 號電池, 即可隨時隨地的打開套件, 學習電子電路的知識並搭配各種電子元件、IC 來製作出多種趣味電路。從錯誤中學習、從問答題中思考、從實作中驗證, 現在就捲起袖子, 動手接電路, 一步步踏入電的世界吧！

本書特色  

	‧從國中串並聯基礎電路到 IC 晶片的使用
	‧不只會算題目！透過電路實作驗證電學知識
	‧問答題的設計, 強化電路的思考邏輯
	‧不用 Arduino 也可以做出趣味電路

	 

	組裝產品料件:

	麵包板跳線 1 盒、

	AAA 電池盒 1 盒、

	麵包板 1 個、

	電阻 22Ω 2 個、

	電阻 220 Ω 3 個、

	電阻 2.2K Ω 2 個、

	電阻 100 Ω 2 個、

	電阻 9.1KΩ 2 個、

	電阻 8.2KΩ 2 個、

	電阻 10KΩ 2 個、

	電阻 1MΩ 2 個、

	可變電阻 1MΩ 1 個、

	電容 16V 470uF 2 個、

	電容 16V 68uF 2 個、

	電容 50V 1uF 2 個、

	電容 25V 10uF 2 個、

	電容 16V 100uF 2 個、

	電容 50V 0.01uF 2 個、

	電容 10V 1000uF 2 個、

	LED 10 個、傾斜開關 1 個、

	有源蜂鳴器 1 個、

	蜂鳴片(帶線) 1 個、

	指撥開關 (6p) 1 個、

	發熱片(8*10 2片裝) 1 片、

	按壓開關 (自鎖 3 腳) 2 個、

	微動開關 (3 腳) 1 個、

	小磁鐵 1 個、

	磁簧開關 (國產銀腳) 1 個、

	發電機馬達 1 個、

	二極體 1N4001 5 個、

	鱷魚夾線 (小號 50CM) 2 條、

	電晶體 2N2222 3 個、

	光敏電阻 2 個、

	電容式駐極體麥克風 2 個、

	NE555P 2 個、

	按壓開關 (中兩腳) 2 個

"
9789864764112,"

最簡潔，易閱讀的Arduino超實用學習書！ 最炫目，超有趣的數位卡丁蟲創客實戰作品！ 輕鬆入門的學習流程，精心規劃的實戰體驗！ 硬體介紹、電路設計/接線步驟、程式解說，獨家設計跨頁呈現！ 1.前17個單元中介紹各式控制元件，包含各種常見的感測器(sensor)與致動器(actuator)等，根據各章介紹的元件特性，清楚解說需認識的電路與程式設計，降低學習門檻。 2.書中提供Arduino UNO與Arduino Mega兩種主板的電路設計圖，想使用哪一種板子都可行，而主要實作單元更提供影片，可透過QR Code觀看並驗證實作結果。 3.最後三章特別規劃結合機構設計、硬體組合、程式控制、手機應用的數位卡丁蟲案例，作為最後挑戰的練習。此範例是為了幫助初學者能整合製作出一個完整的數位創新作品，同時體驗創客精神，發揮想像力與創造力，從而打造出自己專屬的作品。 4.硬體介紹為左頁解說、右頁圖片，電路設計與接線步驟為左頁步驟說明、右頁為接線圖，程式設計為左頁解說、右頁程式，特別採跨頁呈現方式，易讀、易學、易實作！ 相關學習資源：範例檔/實作結果影片/數位卡丁蟲3D模型檔
                    
"
9789865029081,"

專業推薦!!（依推薦人姓名筆畫順序排序）數位智慧服務推動聯盟會長 王定愷 新北市工業會前理事長 白文亮 宏將廣告前副總經理 李良頤 INSIDE硬塞的網路趨勢觀察主編 李柏峰 第九屆立法委員 余宛如 中華民國老人福祉協會理事 林玲如 瀚師科技創辦人 孫憶明 東森得易購大數據前副總經理 任家齊 臺灣科技大學企業管理系教授 張順教 遠傳電信關企數聯資安總經理 郭憲誌 人工智慧學校前執行長 陳昇瑋 中華跨境電子商務發展協會前理事長 解建新 臺灣科技大學資訊管理系專任特聘教授 盧希鵬 中山大學機械與機電工程學系自動控制組教授 嚴成文 臺灣科技大學企業管理系專任教授 欒斌 科技始終來自於人性。當IoT、Big data、雲端運算、5G、自動駕駛、智能機械人、智能製造、智慧家庭、AI人工智慧...等，正方興未艾之際，如何讓如上述高新產業，能為人類社會帶來積極正面的貢獻。兹推薦 有恆 兄的第三本精闢巨作給熱愛人工智慧的您；讀好書！交高人！會眾友！ 人工智慧革命，代表著即將到來的未來。 --中國砂輪企業股份有限公司副董事長/新北市工業會前理事長 白文亮 不僅深入淺出地帶出AIoT技術發展脈絡、還融合大量實例，將商機應用場景、商模分析及技術關聯層次，有結構地說了好故事，協助讀者了解多數人似懂非懂，卻逐漸翻轉生活的重要科技AIoT；同時善用工具引導關注：AIoT技術唯有在結合商業的同時，照應客戶價值主張與體驗，才能有長遠利基…是難得既科普又實用、夠新穎的好書！ --中華民國老人福祉協會理事 林玲如 人工智慧(AI)與物聯網(IOT)的熱潮，近年幾乎席捲每一個產業。很高興看到本書能全面性地將技術應用、商業模式、及用戶體驗融合介紹，為大家整理此二領域國內外最新發展，呈現較為完整的風貌，相信讀者能從中獲得許多啟發。 --瀚師科技創辦人 孫憶明 過去企業要的是資訊化(IT)，未來更需要數據化(DT)，有了數據，才有AI。數據化需要創意，這本書有很多，我推薦。 --臺灣科技大學資訊管理系專任特聘教授 盧希鵬 人工智慧與物聯網的整合(AIoT)是今年最熱門的話題，本書介紹AIoT的應用與商機，以物聯網產業為切入點來說明實際應用案例，是現代人必看的一本好書，強力推薦給大家。 --臺灣科技大學企業管理系專任教授 欒斌
                    
"
9786263047525,"


	近年來最熱門的科技關鍵字「AI人工智慧」，到底是如何做出判斷的呢？
	目前人工智慧領域中最熱門的「深度學習」，又是怎麼一回事？
	在科技快速進步的現代，了解AI的機制與原理，已經成了必備的知識。
	AI相關的科技雖然看似複雜，但若只是想了解原理，而不深究數學上的細節的話，其實並沒有想像中那麼困難。

	「深度學習」是機器學習方式的一種，與過往由人類教導機器學習的方式不同，是由機器自己從大量的資料中學習，並做出判斷。
	本書即是一本從頭解說「深度學習」運作機制的入門書。
	書中搭配了豐富的圖表，文字淺白且說明深入淺出，只要有高中程度的數學知識，就可以充分理解本書所講解的內容，讓你在閱讀本書時，實際體會到「原來AI是這樣思考、這樣做出判斷的！」。

	Step 1→說明深度學習的活躍情況
	深度學習的登場，讓現代的AI有了飛躍性地發展。一開始會先從「現在的AI」是什麼樣子，以及AI與深度學習之間的關係開始講起。

	Step 2→用許多插圖及例子說明深度學習的機制
	在進行數學性的說明之前，先讓我們用插圖來看看深度學習是什麼樣的東西吧。雖然這樣的說明並不嚴謹，但可以幫助各位了解深度學習的概念。

	Step 3→用數學式仔細說明神經網路的機制
	在藉由許多插圖解釋深度學習與神經網路的機制之後，接著會用數學式更進一步深入解說神經網路是如何運作的。

	●大量插圖與圖表，幫助理解
	●說明輕鬆好懂，適合初次想深入了解AI的入門者
	●提供書中所用的訓練資料與範例檔案下載

"
