ISBN,書籍簡介
9789863125389,"


手機、平板使用狀況無奇不有，哪些是樂齡族一定會遇到的？

  

 一問再問的問題總集結，本書一次為你解決！！

 本書作者榮獲【教育部樂齡教育優良教師獎】，透過一點一滴在教學現場的意見回饋，完成了這本集結樂齡族使用手機、平板時最常遇到的 3C 使用問題專書。

 「怎麼一下子就沒電、一直叮咚叮咚叫不停、找不到手機、陌生符號看不懂、用到一半畫面突然變黑...」這些每天環繞在作者教學現場、學生最常發出的求教聲，本書都已經統統整理好，你可照著書中介紹一步一步輕鬆解決，使用手機、平板零障礙！

【多年授課經驗，學員最常遇到的使用問題全集結！】
 ‧手機好多符號我都看不懂，到底代表什麼意思？
 ‧手指沒點按畫面，畫面一下子就變黑了？
 ‧為什麼我的手機這麼耗電？
 ‧打開手機都會跳出來一大堆的消息，又好吵～
 ‧手機有手電筒和放大鏡功能嗎？
 ‧為什麼我拍照老是歪歪斜斜的？
 ‧存下來的圖片到底跑哪去？老是找不到

本書特色

 ●沒有專有名詞，沒有複雜步驟，3C 新手不再有問題
 ●超大字體，超大圖解，閱讀輕鬆毫不費力，大大減輕眼睛的負擔
 ●蘋果 iOS / 安卓 Android 手機‧平板都適用

"
9789572049068,"


 【本書特色】

 榨出獨家應用與效能，讓旗艦機每分錢都值得！

 職人改造，完全圖解，一步步自訂你的介面、操控、通知與效能
  

 【新書簡介】

 不只手機跟別人不同，用法也要全面精通，擁有「筆較厲害」的 Note9 ，我的用法更要比較專業！

  

 「完全活用200技」已是Samsung Galaxy Note系列手機一年一度的活用聖經，由最懂三星產品的3C布政司團隊與阿祥親自實測、撰寫。從使用者角度出發，蒐羅200則必備技巧與常見疑難，用淺顯易懂的步驟教學，讀者只需按圖索驥，跟著本書step by step的圖解應用，便能輕易發揮Galaxy Note系列手機200%真實力。

  

 ▼學會擁抱這支筆，手機超越筆記本

 S Pen 變身遙控器完全指南：拍照、錄音、播簡報、放影片、懸浮預覽、凌空解鎖、打開常用程式不需碰到手機

  

 ▼讓手機相機拍得跟單眼一樣專業

 再也不會被女友嫌棄拍照不好：學會超快拍照、動態追焦、場競選則、瑕疵移除、景深變化、濾鏡美肌、超廣角自拍

  

 專業攝影師也想玩轉手機拍照：應用光圈、測光、縮時攝影、超慢動作攝影、4K錄影、各種隱藏攝影功能

  

 ▼教你擁有手機等於擁有一台PC

 Samsung Dex 辦公室應用實戰，投影到桌面系統攻略

 把手機當 AI 助手，不用等 Google！擷取文字、翻譯文字、查詢商品、搜尋景點、聰明提醒、連葡萄酒都能查詢

"
9789861994819,"


	一本讓你真正活用的手機技巧事典

	「完全活用200技」已是Samsung Galaxy Note系列手機一年一度的活用聖經，由最懂三星產品的3C布政司團隊親自實測、撰寫。從使用者角度出發，蒐羅200則必備技巧與常見疑難，用淺顯易懂的步驟教學，讀者只需按圖索驥，跟著本書step by step的圖解應用，便能輕易發揮Galaxy Note系列手機200%真實力。

	▼新手、老手必看的重點剖析
	和前一代相比，哪些功能有更新？
	S Pen除了寫字、畫畫，還可以幹嘛？
	想用Note8玩遊戲，有什麼省電秘招嗎？
	個人資安很重要，Note8如何幫我藏祕密？

	▼客戶、同事都說讚的工作要訣
	如何運用手機搞定行事曆排程？
	臨時需要修改或簽署文件，該怎麼做？
	需要換算單位、貨幣，得另外下載App嗎？
	拍下大量重要資訊，要用時卻不知從何找起？

	▼家人、朋友都驚豔的妙用技巧
	不用自拍棒，也可以拍出超廣角全景？
	手機借給小孩玩，卻擔心應用程式被亂搞？
	用大螢幕看影片聽音樂，畫質音質會不會有影響？
	行動支付怎麼用？信用卡、會員卡都可以放入手機嗎？

	本書特色

	★最懂三星手機的團隊，阿祥與3C布政司全新力作
	★最扎實200個使用技巧，開發旗艦手機的超強實力

"
9789864766284,"

達人隱藏版秘技嚴選秘技200+ 讓iPhone／iPad效能大進化iOS 11為 iPhone 和 iPad 帶來全新應用，但這些實用好玩的隱藏版功能，你知道了多少？>新舊機自動對拷立即用！>雙鏡頭 ""人像光線"" 打出攝影棚光效>行動支付 Apple Pay 結帳最快速>Face ID你的臉就是你的密碼iOS11 新亮點免 JB 使用螢幕錄影功能開車勿擾模式提昇安全性用 AR 擴增實境佈置你的家QuickType 鍵盤讓你單手也能輸入iMessage 新玩法iPad全新 Dock / 多工應用舊機換新機資料轉移就是快iOS11系統專屬資料對傳快速開始從Android 到 iOS 就是這麼簡單舊機轉手前的資料刪除手機就是最好用的相機雙鏡頭人像拍攝新玩法 ""人像"" 模式更強了照片影片新格式把檔案變小了Live Photo 三特效讓照片動起來3D Touch 自拍 / 錄影 / 錄製慢動作 / 拍人像更方便用相機就能掃描QRCode在電視播放iPhone、iPad 的照片影片影音娛樂玩不停Apple Music 盡情聆聽全攻略iTunes Store 購買音樂、租借或購買電影AirPlay 2 家裡的音樂指揮家
                    
"
9789864050390,"


	智慧型手機改變了世界的樣貌，並不是因為它讓我們更方便打電話，而是因為它讓我們以全新的方式連結網路和真實世界。用低功耗藍牙（Bluetooth Low Energy）打造和控制你的周遭環境，親自駕馭這股科技的力量吧！低功耗藍牙和傳統藍牙名字相似，但其實截然不同。你將會深入了解低功耗藍牙，並學習如何打造自己的連線裝置。由於其耗電量極低，且在遠距離時訊號仍然穩定，低功耗藍牙可說是最佳的動手做實驗工具。

	透過本書，你將會編寫程式，並且組裝電路來連接最新潮的感測器，甚至還能寫出你自己的藍牙服務！我們會使用價格親民、搭載專業廠商Nordic Semiconductor晶片組的模組，如Adafruit的Bluefruit LE等，一步步帶領你在做專題的過程中增強技能。若是曾接觸過Arduino或Raspberry Pi編程經驗的自造者，本書將為你的專題拓展更多可能性。

	在本書中，你將： 
	打造一個可以遠端遙控的智慧型電燈開關。
	打造一個只能用你的手機解開的鎖。
	打造一個氣象觀測站，可以測量溫度、濕度和氣壓。
	動手做一盞可以遙控變色的NeoPixel LED檯燈。
	用德州儀器的SensorTag遙控你的電腦簡報。
	用一臺藍牙遙控器調整電腦或手機的音量。
	用電腦和Node.js讓派洛特的Rolling Spider無人機迎風翱翔。

	這本書為你示範藍牙如何應用在各種程度的專題上，包括微控制板、手機、平板和電腦。只要使用Arduino、Node.js和PhoneGap等軟體，你的裝置就可以彼此溝通，還可以加入各種感測器和外部硬體！

本書特色

	◎深入了解低功耗藍牙，打造9組實用連線裝置！
	◎詳細的製作步驟與程式說明，輔以全彩圖表與照片，清晰易懂！
	◎為你的Arduino或Raspberry Pi專題拓展「無線」可能性！

"
9789864762989,"

超好用APP 你下載了嗎? 出門找景點、自拍要美肌、美食哪裡找、 嚴選超實用免費 APP，讓你一機在手妙用無窮。 操作步驟全圖解、大字圖文編排 全書 APP 搭配QRCode，掃一下立即安裝使用！超大圖解輕鬆好閱讀！ 最好用的生活玩樂情報APP！ 以熟年用手機、平板的需求為出發點，整理了最實用的八大類 App應用程式，當紅的 iPhone、iPad 與 HTC、Samsung、Sony、LG、OPPO、小米…等，都可以使用。簡單易懂的敍述與圖大字少的詳細步驟，重點是書中提及的 App 通通是免費的！讓您用的開心，一看就懂！ 視聽娛樂： 想聽歌或廣播、瞭解國內和國外新聞、看連續劇、韓劇或電影，就算錯過播出時間也沒關係，隨時想看就看！ 健康理財： 查找附近院所、掛號、看診進度以及每天吃藥提醒，讓生活更健康，統一發票對獎簡單又快速，還有記帳App讓您輕鬆管理財務狀況。 美食料理： 是否常常為了找美食、找餐廳而傷透腦筋呢？美食相關 App讓您不再餓肚子，不論是找餐廳、優惠券、團購美食以及看食譜自己動手做都輕鬆搞定。 旅遊交通： 週末想出去走走，除了透過旅行社安排行程外，只要打開手機、平板隨時都可查看週邊景點、住宿資料、天氣以及相關資訊，出門旅遊不再是件煩惱事。 旅遊翻譯： 英文、日文、韓文…等多國語言的雙向翻譯、聽音直譯、單字查找、外文菜單與路牌翻譯，這些都是您出國旅行、閱讀外語時不可缺少的隨身工具。 拍照組合： 拍攝人像輕鬆美肌、亮眼、臉型優化一鍵搞定；手指輕輕一推，哪裡想瘦推哪裡；裁剪、旋轉、銳化、照片拚接組合...等操作一應俱全；還可以利用拍照App做出具有藝術畫風格的照片。 社群通訊： 透過目前最流行的 LINE 及Facebook 與家人、朋友分享最即時的生活訊息與照片，更可面對面視訊聊天，免費打電話給國外朋友。 遊戲集錦： 寶可夢GO、Candy Crush糖果傳奇、麻將等…免費遊戲，讓您在忙碌的生活中放鬆一下心情，也能透過遊戲與親友間擁有更多互動的歡樂時光！
                    
"
9789863123934,"


	iPhone 7 與 iPhone 7 Plus，不僅在效能上變得更快，新增的【曜石黑】與【霧面黑】機種，更是引起大家的搶購。iPhone 7 全新的 HOME 鈕也一改過去實體按鍵的設計，改成壓力感測的觸感。雖然手感不同，但也降低了 HOME 鈕故障的機率。此次的 iPhone 7 還通過 IP67 的防水防塵標準，下雨或下水使用也不怕。

	除了硬體升級之外，iPhone 7 搭載了最新的 iOS 10 系統，新增許多好用功能。鎖定畫面也有重大更新，讓使用者在拿起手機後，不須解鎖就會自動喚醒，連雙擊螢幕也不用。而且在不需解鎖的情況下，就可以瀏覽最新 Widget 資訊，瞬間掌握最新行程、天氣、生活、工作資訊。雖然這些功能很好用，但對於已經熟悉舊版 iOS 系統的用戶來說，可能會突然覺得不曉得該怎麼用 iPhone。

	如果您是 iPhone 的老用戶，本書能帶領您快速掌握 iOS 10 與 iPhone 7 的新功能，省下許多自行摸索的時間。如果您之前使用的是 Android 手機，面對陌生的 iOS 10 系統，勢必得花更多的時間，才能搞懂 iPhone 的操作邏輯與操控方法。有了這本書您就能快速搞懂 iOS 10，活用 iPhone 7 與 7 Plus 的新功能，讓 iPhone 成為您生活、娛樂、工作上的好幫手。

本書特色

～手機不離手．生活、娛樂完美結合～

	．善用『人像』模式拍照，特寫、景深效果，媲美專業相機
	．將舊 iPhone / Android 手機資料無痛轉移到 iPhone 7
	．抓寶玩遊戲，就用『夜間模式』來保護眼睛！
	．進化的 Home 鍵，除了3D Touch，還能震動模擬按鍵
	．讓 iPhone 提醒你「就寢」與「起床」時間，讓作息更規律
	．【讓鎖定畫面動起來】－將 Live Photos 設為鎖定畫面背景
	．用不到的內建 APP，終於可以刪掉了！
	．解鎖不用滑開，按一下 Home 鈕就可以囉！
	．用 Whoscall 有效阻擋垃圾電話
	．拿起手機不必解鎖，就能查看 LINE 訊息、各種通知
	．強大的照片搜尋功能：不論是依【地點】、【時間】或【關鍵字】都可搜
	‧透過 Apple ID 同步資訊、iCloud Drive同步空間、iPhone 與 Mac 互通
	‧用指紋當作專用密碼，下載 APP 不用一直輸入密碼！
	‧想回覆 Line 訊息，用 Siri 就能快速答覆！

"
9789869238311,"


台灣僅有以公仔人物為描繪對象的Illustrator中文專書

  

 向量繪圖具有畫質清晰、影像不會劣化的優點，
 即使是對應高解析度的液晶螢幕，也毫無問題。
 而對於製作便利性且需求性較高的向量插畫來說，
 Illustrator可說是一款相當優質的應用軟體，
 但是，由於軟體本身具備了太多的功能，
 因此初學者很難馬上得知軟體中究竟有什麼工具，
 同時，又該使用哪種工具才能畫出插畫。
 於是，本書將從Illustrator中挑選出描繪插畫所需的必要功能，
 並解說工具的功能類別、具體公開範例插畫的繪製步驟，
 藉此讓初學者了解圖層的結構及路徑的基本，
 讓進階者從中產生「這個功能可以畫出什麼樣的插畫」的新發現，
 進而將其內容彙整成「繪製插畫用的Illustrator教科書」。

  

 ◎日本大受好評、Amazon讀者評價4.5顆星的優良Illustrator參考書籍，具有可愛的範例和易懂的解說，確實可以學到繪製的技術，以及完成書中的圖案。
 ◎無論是初學者或是有經驗者，皆可從其中受益。由於是從基本的貝茲曲線講起，初學者只要按著步驟耐心去描繪，即可輕易描繪出可愛公仔。而有經驗者藉由演練公仔著色相關的技巧及訣竅，將可大幅縮短與職場達人之間的距離。

"
9789863754077,"


	如今看到3C玩家們手上除了有一部個人電腦之外，隨身配備有一部平板與一支智慧型手機，想必早已司空見慣了。只是如何讓平板以及手機能夠在最安全無慮的環境下使用，並且藉由它們來活絡生活樂趣以及提升工作效率，便是一門值得大家一同來學習的課題。

	 

	本書將藉由玩家實戰的指引方式，告訴讀者們如何善用手機與平板的內建功能，以及透過實用免費的工具以及行動App，讓您花費在這一些3C玩物上的每一分錢都值回票價。

	 

	輕鬆學習居家微電影剪輯

	簡單建立居家行動電影院

	居家智慧行動安全實戰指引

	保護未成年使用手機與平板

	活用手機與平板遠端遙控功能

	iPad Air極速化校調與管理秘訣

	Android手機加速管理秘訣

	輕鬆幫手機改造室內裝潢

	居家智慧行動定位與追蹤

"
9789869149594,"


	本書特別精選《iLife'11完全娛樂指引》與《嗯！用App超簡單就學會Mac OS X 10.8！》這兩本教您如何學會iLife與Mac OS的專業套書嘉惠讀者。我們讓您從本套書中，徹底變身為蘋果達人。

	 

《iLife'11完全娛樂指引》

	 

	攝影設備的普及讓生活留影的機會變得更加頻繁，但如何管理龐大的照片和影片卻是個傷腦筋的問題。iLife’11讓你能夠輕鬆發掘硬碟中的往日回憶，做出具個人巧思且富專業水準的影音作品，並透過網站或手機迅速跟朋友分享。

	 

《嗯！用App超簡單就學會Mac OS X 10.8！》

	 

	本書收錄了55個精選推薦的軟體，涵蓋了工作、學習、休閒應用等範圍，除了詳細的特色說明、還有圖解重點功能教學，讓讀者輕鬆找到想要安裝的軟體、並學會基本操作使用！

"
