ISBN,書籍簡介
9789863123231,"


提升網站流量、讓業績蒸蒸日上！


	網路行銷方式越來越多樣化，例如搜尋引擎行銷、部落格行銷、社群網路行銷、影音行銷、故事行銷、口碑行銷等。但是操作各種行銷手法之後，最後會發現消費者透過搜尋而導入的流量，才是最穩定而長期的流量來源，而能夠達成這個目標，最主要的就是【搜尋引擎優化 (SEO，Search Engine Optimization)】。

	本書以【各種實例】、【大量圖解】，以及【Step by Step 的步驟式教學】，讓您可以快速了解如何進行 SEO 的操作。從認識搜尋引擎的網頁評分制度，到替自己的網站作體檢、分析缺失，並根據分析結果進行網站結構、內容上的調整。您可以輕鬆學會各種網站行銷技巧，達到提升網站流量的目的！

	●認識搜尋引擎的評分制度
	●巴里島 or 峇里島？挖出網頁應該使用的辭彙
	●用 Google 螢光筆畫重點，讓搜尋引擎更看得懂網頁內容
	●排名不佳？用排名好的頁面拉抬其他頁面的排名
	●用對 FB、LINE 社群工具就能提升搜尋排名
	●重要的網站地圖！讓搜尋引擎更正確索引你的網站
	●別再出現「點擊這裡」了！其實你在破壞網站排名
	●小設計大功效, 新視窗或同一視窗開啟連結跟排名大有關係
	●應該怎麼下網頁標題，產品名稱、型號需要嗎？

本書特色

	●【SEO 超入門！】
	以【各種實例】、【大量圖解】，以及【Step by Step 的步驟式教學】，讓您快速了解如何進行 SEO 的操作。

	●【紮穩 SEO 基本功】
	‧了解 SEO 的操作程序‧認識搜尋引擎的運作原理以及排名制度

	●【網站分析：徹底瞭解你與競爭者的網站】
	‧關鍵字分析‧主題分析‧進行網頁體檢

	●【網站結構的調整】
	‧規劃網域網址與子目錄‧正確使用轉址‧處理網頁 404 錯誤問題‧建立網站 Sitemap

	●【網頁內部的調整】
	‧安排網頁標題與描述‧宣告語意標記‧優化圖片檔案‧優化行動網站

	●【網頁之間的調整】
	‧善用連結建立相關性‧用有排名的頁面拉抬其他頁面‧社群工具的運用

	●【網站監看：定期監控你的網站健康】
	‧認識網站的健康指標‧Google 流量統計分析工具‧瞭解網站訪客及流量來源

"
9789860776034,"


連FB都被pwned了，CTF參賽者的威力可見一斑！

全世界的駭客精英公開對幹，沒有CTF的話，這些血淋淋的場景將出現在你我的數位生活中。

	 

▌pwn是什麼？▌

	pwn這個字來自於own，當你發自己被「pwned」的時候，表示重要的隱私資訊已經外洩了！

	 

▌主攻對象Linux▌

	全世界絕大部分的伺服器運作在UNIX/Linux之下，而全世界最多人使用的行動裝置作業系統Android也是以Linux為基礎的，因此從伺服器和手機端的角度來看，Linux一定是最重要，也是主攻的對象。

	 

▌經典例題、深入解說▌

	本書在素材的選擇上連續、完整，每個知識點均配以經典例題，並花費了大量篇幅深入講解，儘可能地還原分析思路和解題過程。讀者完全可以依據本書自主、系統性地學習，達到舉一反三的效果。

	 

	本書從CTF本身開始說明，接下來就是最重要的二進位基礎，這也是一切電腦科學的基礎，全書也說明了ELF檔案模式、組合語言基礎(雖老但最好用)，之後直接跳入Linux的安全機制。最近流行的虛擬機及容器Docker也搭配應用來建置環境。之後再使用了各種分析工具來研究系統的漏洞，更進一步利用這些漏洞開發出攻擊的手段。此外也針對了不同的資料型態如整數、格式化字串等方式來進行漏洞的使用。當然最重要的堆疊溢出及ROP方法也是CTF必學的。在記憶體漏洞方面，堆積的利用當然是不可或缺的。在綜合了上面的技能之後，本書最後一章的精華，就是PWN的技巧，在網路世界中，被PWN真的就完了！

	 

適合讀者

	本書主要針對CTF 初學者，也適合對 CTF 感興趣的人群學習。

	 

"
9789864766789,"

數百萬個組織已經安裝了Google Analytics（以下簡稱GA），不過只有極少數的使用者真正了解GA，懂得善用GA所提供的資料來改善使用者體驗並增加商機。本書提供詳盡的指引，告訴您如何有效利用這個功能強大的工具，了解關於流量來源的一切，認識您的客戶，進而洞察商機，獲得成功。 誰適合閱讀本書： ．產品經理、設計師、用戶體驗（UX）專家、內容撰寫者、以及廣告界與設計公司裡的各個角色：本書可以幫助您正確解讀Google分析報表裏頭的資訊，藉此改善成果 ．經理人與管理階層：藉由本書的圖解文字、客座文章、插圖、與重點複習，即使略過詳細的技術討論，也能對GA有很好的概念。 透過本書，您可以了解： ．如何安裝與啟用Google Analytics ．如何正確評估流量的長期價值 ．如何找出可以創造價值的內容 ．如何找出對成功轉換有益或有害的網站或行動app元素 ．如何將A/B測試與可用性與您的改善計畫進行整合 ．如何進行行動App評量 ．如何整合Google Analytics與CRM資料
                    
"
9789864763450,"

為創造策略性、專注目標並可衡量的網路行銷活動而生的終極指引 毫無章法、令人沮喪、完全碰運氣？關於數位行銷，光是從那麼多的資訊中找出如何下手，本身就是一項挑戰。即使真的開始，又如何能確保進行的方式不會浪費時間、力氣或是預算？ 本書將以結構化的方式，為您提供套用數位行銷技巧的框架。您即將跨出邁向數位行銷達人的第一步，很快地您將能夠使用這些技巧來產生可衡量的結果，最終取得投資的回報。除了這些，還有什麼好奢求的呢？ 本書有何與眾不同之處？本書不僅富含豐富知識，充滿了啟動數位行銷之旅所需的所有資訊外，更提供了實用的學習方法，協助您掌握重點觀念，以及在數位產業中勝出的必要技巧。 此外，本書遵循DMI 3i原則所構成的架構法。這些原則是有效數位行銷所需的架構，勾勒出與傳統行銷完全不同方式的需求。此架構方法將在本書10個章節中不斷說明，而每一章節將涵蓋數位行銷領域的某一特定通路。在每一章的結尾，亦會給予特定的行動計劃，只要做完這些計劃，便能建立一個完整、結構化、並成功的數位行銷策略。
                    
"
9789864761821,"

傳授您讓網站暴紅的技術 從負責經營網站的人到企業顧問都可使用 活用讓搜尋結果名列前茅的SEO必要工具！ 該怎麼制定SEO對策呢？ 如何進一步招攬與吸引客人呢？ 了解真正有效的方法與想法！ 完全剖析將「Google 網路管理員工具」轉換成「Google Search Console」的必要工具！ 認識Google Search Console Google Search Console這項工具不僅是網頁管理員，也是許多企業顧問或是網頁製作人員經常使用的工具，它可幫助您改善您的網站標記為錯誤的內容，讓您的網站更容易被Google搜尋引擎辨識，進而提高排名，吸引流量。 認識搜尋引擎的機制 本書從搜尋的機制開始解說，介紹Google的演算法。接著解說「Google Search Console」的使用方法，以及其功能的開發目的。即使工具進化改版，只要懂得基本的操作原理，也能輕鬆上手。 導入流量，爭取商機 本書的後半部，針對HTML、提升頁面效率的PageSpeed、智慧型手機的支援、Google+ 進行說明。Google的演算法每天都在微調與更新，但只要根據Google的思維打造網站，一定能讓網站暴紅。希望本書能於網站的經營以及搜尋引擎的行銷助各位讀者一臂之力。
                    
"
9789862016367,"

搜尋引擎作為網際網路發展中非常重要的一種應用，已經成為網際網路各個領域中的制高點，其重要性不言而喻。搜尋引擎領域也是網際網路應用中以核心技術作為其主要命脈的領域，搜尋引擎各個子系統是如何設計的呢？這值得成為廣大技術人員和搜尋引擎機制優化人員密切關心的內容。本書的最大特點為內容新穎全面且通俗易懂。對於搜尋引擎所涉及的各種核心技術都有全面且詳細的介紹，除了作為搜尋系統核心的網路爬蟲、索引系統、排序系統、連結分析及使用者分析之外，還包括網頁反作弊、快取管理、相似網頁抄襲偵測…等技術於搜尋引擎必須關心的技術，同時使用相當大的篇幅講解雲端運算與雲端儲存的核心技術原理。此外，本書也密切注意搜尋引擎發展的前沿技術：Google咖啡因系統及Megastore等雲端運算新技術、百度的深層網頁抓取技術阿拉丁計畫、內容農場作弊、機器學習排序…等。諸多新技術在相關章節都有詳細的講解，同時對於社交搜尋、即時搜尋及情境搜尋…等搜尋引擎的未來發展方向進行探討。為了增進讀者對於相關技術的了解，在書中引入大量的圖片來講解演算法的運作原理，相信讀者會發現原來搜尋引擎的核心技術比原先想像的要簡單得多。本書適合對於搜尋引擎技術感興趣的所有使用者，尤其對於相關領域的學生以及對於搜尋引擎核心技術感到好奇的技術人員，並且對於從事搜尋引擎機制優化的相關人員及中小網站的站長…更具有參考價值。誰適合閱讀這本書如果您是下列人員之一，那麼本書便非常適合您閱讀。1. 對於搜尋引擎核心演算法有興趣的技術人員．搜尋引擎的整體架構為何？包含哪些核心技術？．網路爬蟲的基本架構為何？常見的網頁爬取原則策略？何謂深層網頁爬取？如何建構分散式爬蟲？百度的阿拉丁計畫內容為何？．何謂反向索引？如何針對反向索引進行資料壓縮？．搜尋引擎如何對搜尋結果排序？．何謂向量空間模型？概率模型？BM25模型？機器學習排序？它們之間有何差異？．PageRank和HITS演算法為何關係？有何差異？SALSA演算法？Hilltop演算法？各種連結分析演算法之間有何關係？．如何辨識使用者搜尋的真正搜尋意圖？使用者搜尋目的可以分為幾類？何謂點擊圖？何謂查詢會話？相關搜尋機制是如何達成的？．為什麼要對網頁進行重複內容刪除機制？如何對網頁進行重複內容去除？哪種演算法效果比較好？．搜尋引擎快取有幾層結構？核心原則為何？．何謂情境搜尋？社交搜尋？即時搜尋？．搜尋引擎機制有哪些發展趨勢？如果您對其中三個以上的議題感到興趣，那麼本書就是為您而寫的。2. 對於雲端運算與雲端儲存技術有興趣的技術人員．何謂CAP原理？ACID原理？它們之間有什麼差異？．Google的整套雲端運算架構中包含哪些技術？Hadoop和Google的雲端運算架構有什麼關係？．Google的三駕馬車GFS、BigTable、MapReduce各自代表什麼含義？其關係為何？．Google的咖啡因系統其基本原理為何？．Google的Pregel運算模型和MapReduce運算模型有什麼區別？．Google的Megastore雲端儲存系統和BigTable關係為何？．Amazon的Dynamo系統為何？．Yahoo的PNUTS系統為何？．Facebook的Haystack儲存系統適合應用於什麼場合上？如果您對上述問題感興趣，相信可以從書中找到答案。3. 從事搜尋引擎優化的網路行銷人員及中小網站站長．搜尋引擎的反作弊策略為何？如何在進行優化時避免被誤認為是作弊行為？．搜尋引擎如何對搜尋結果進行排序？連結分析和內容排序關係為何？．何謂內容農場？連結農場？它們之間的關係為何？．何謂Web2.0作弊？有哪些常見手法？．何謂SpamRank？TrustRank？BadRank？它們之間的關係為何？．咖啡因系統對於網頁排名有何影響？最近有一些電子商務網站針對搜尋引擎進行優化，但是結果卻是被Google 認為是搜尋引擎毒化 (Blackhat SEO) 因此反而導致搜尋排名下降，如何避免發生這種情況？ 從事相關行業的行銷人員和網站站長都應該深入瞭解搜尋引擎反作弊的基本策略和方法，甚至是網頁排名演算法等搜尋引擎核心技術。SEO 技術說穿了其實很簡單，雖然不斷發生變化，但是很多原理其實都相似，萬變不離其宗，深入瞭解搜尋引擎相關技術原理將增加您的競爭優勢。
                    
"
9789862763117,"

搜尋是我們這個時代最具影響力的創新之一。它對我們買些什麼以及去向何處都造成影響。它也決定我們如何學習以及該相信什麼。在這本深具啟發性的書中，各位將探索應用於網路、電子商務、企業、桌上型系統、行動裝置、社群以及即時搜尋與發現上的設計模式。透過彩色插圖與範例，本書把現代資訊檢索帶入日常生活之中，其內容涵蓋不同主題。例如，相關性、多層面導覽、多點觸控、個人化、視覺化、多感官搜尋、以及擴增實境。 藉由作者自身經驗以及最佳方案與經過實驗證實之研究，這本書不只提供能建立有效搜尋服務之實用指南，同時也嘗試引導您想像未來的搜尋服務。不論您是否從事網路相關行業、行動服務設計師、搜尋服務商，或只是對這個主題感興趣，各位都將發現本書內容不僅有用也具有啟發性。■ 找出融合了使用者心理與行為、資訊架構、互動設計、以及新興科技的搜尋模式語言。 ■ 提昇企業效率與電子商務營業額 ■ 協助行動裝置使用者達成目標、完成工作、以及完成搜尋 ■ 促進搜尋介面與應用的設計創新
                    
"
9789571196589,"


	苦心經營網站卻總是看不到成效？自學GA卻好像處處碰壁？
	難道，只能下重本外包給行銷公司？不！老師一本把你教到會！

	1.國內最詳盡的Google Analytics操作寶典
	2.完整收納從基礎操作開始到進階實務應用可能會遇到的所有問題
	3.貼心輔以豐富全彩的圖表搭配實際操演畫面，step by step教學讓你學習不卡卡。

	本書系統化的整理出許多Google Analytics零散卻重要的進階功能，分為運作釐清篇、名詞比較篇、功能操作篇、報表解讀篇及外部整合篇，每一篇內容皆囊括使用GA時可能遇到的疑難雜症，透過解釋、分析與步驟化的實務操作幫你一一解惑。

	學好Google Analytics，看這本書，就對了！
	>如何操作GA與GATC?維度 (dimension)和指標 (metric)是什麼?。
	>如何使用篩選器和自訂報表來讓流量數據更有意義？
	>如何從效期價值評估做出有效率的商業決策?
	>如何將GA獲取的數據資料在R語言或Python上做更進階的分析?

"
9789864766802,"

從報表到實務，最適合初學者的GA教學書 Google Analytics是當前市占率最高的網站資料分析工具，但大多的行銷人只知道報表如何操作，卻不知道如何結合到實務中，本書特別為初學者設計，協助初學者理解Google Analytics內的報表與資料如何能帶到實務中，在閱讀完後您能夠理解各項報表究竟能帶給您甚麼樣的資訊，並協助您利用數據進行商務決策。 理解GA的資料運作原理，您才能正確解讀資料 本書將深度的剖析 Google Analytics各項資料、報表的運作原理，資料怎麼形成、怎麼來的，您一定要理解資料的運作原理，才能夠正確解讀各項指標、正確使用各項報表。 「資料品質」以及「報表優化」是使用GA分析資料時的重要環節 根據作者的顧問經驗，即便是操作Google Analytics多年的行銷人，還是會忽略掉「資料品質」的重要性，資料與報表的品質會影響您的分析效率、以及資料的準確性，本書將告訴您如何使用篩選器、內容分組、管道分組等功能，對Google Analytics的資料與報表進行優化，幫助您提升資料的品質以及分析的效率。 本書特色 ．為初學者而設計，一步步帶領您建立Google Analytics的操作觀念。 ．各種不同的報表說明與教學，幫助您快速認識所有的GA報表。 ．對於篩選器、內容分組、管道分組等設定有清楚的說明，幫助您優化GA的資料與報表。 ．書中結合作者的顧問經驗，直接告訴您哪些報表重要，並且應該是觀察重點。 ．大量的圖片、示意圖，更淺顯易懂的完整教學。
                    
"
9789864760732,"

SEO是Search Engine Optimization的縮寫，中文譯為「搜尋引擎最佳化」。簡單地說，SEO是指從自然搜尋結果獲得網站流量的技術和過程。好的SEO，可以讓潛在客戶更有機會進入您的網站，帶來更多的商機。 本書完整而詳盡地介紹了正規、有效的SEO實戰技術。對於經營個人品牌的站長、網路公司技術和行銷團隊，乃至於網站設計人員、程式設計師、電子商務與媒體行銷人員等，都有極大的參考價值。 本書精采內容包括： ．為何要做SEO？ ．搜尋引擎工作原理 ．關鍵字研究 ．網站架構最佳化 ．外部連結建設 ．SEO效果檢測及策略修正 ．SEO作弊及懲罰 ．排名因素列表 ．常用的SEO工具 ．SEO專案管理中需要注意的問題 本書是暢銷書升級版，詳細和系統地介紹了正規、有效的SEO實戰技術，包括為什麼要做SEO、搜尋引擎工作原理、關鍵字研究、網站結構優化、外部連結建設、SEO效果監測及策略修改，SEO作弊及懲罰、排名因素列表、常用的SEO工具、SEO專案管理中需要注意的問題等專題，最後提供了一個非常詳細的案例供讀者參考。 第三版增加了行動搜尋優化、APP排名優化、百度2015年排名因素調查結果等新內容，並對前兩版中不再適用的內容進行了調整，如刪除已無法使用的SEO工具，增加新工具介紹，更新已產生變化的搜尋結果頁面抓圖，修正一些新形勢下的SEO觀點等。 本書不僅對需要做SEO的人員有幫助，如個人站長、公司SEO或網路行銷人員、SEO服務公司人員等，對所有從事與網站相關工作的人都有參考價值，如網站設計人員、程式師、大中專院校網路行銷和電子商務專業學生、網路公司技術和行銷團隊、傳統商業公司電子商務團隊等。
                    
"
