ISBN,書籍簡介
9789869946797,"

Adobe公司推出的Flash軟體是用於建立引人入勝的互動式體驗，設計開發人員可使用它來建立向量動畫、應用程式以及豐富的互動內容。您也可以透過添加圖片、聲音、視訊以及特殊視覺效果，構建豐富的多媒體數位內容。本書共包含了十二個章節，由淺入深的為讀者介紹Flash軟體的重要功能，並且透過範例對其進行詳細的講解。其中內容包含電子賀卡、大自然風光與海底世界動畫、遊樂園路線圖展示、幽默路徑動畫、選單式影片大觀、英語單字練習、知識百科測驗、太空人骨塊動畫、電子相冊、電子音樂模擬、多媒體展示系統、ActionScript概論等。相信經過課程的綜合演練，必定能讓讀者融會貫通Flash軟體的操作技巧，還能輕鬆將設計理念融入今後的創作設計當中，創作出更為優秀的動畫作品。本書特色：1.以Step by Step方式引導教學，讓讀者輕鬆跨入動畫設計的殿堂。2.彙整業界實務需要的精彩範例，由簡單到複雜的設計製作，讓您學習充滿成就感！3.從精美的範例學習中啟發創意的實現技巧，讓您快速掌握Adobe軟體的操作奧妙。4.隨書還附贈了完整的範例檔案，並以原始檔案的格式儲存，便於讀者練習使用。
                    
"
9789863801016,"

Adobe Flash CC是Adobe推出知名動畫製作軟體的最新版本，使用它可以創作各種逼真的動畫以及絢麗的多媒體，設計身臨其境且多種設備平台中都能呈現效果一致的互動體驗。您也可以透過添加圖片、聲音、視訊以及特殊視覺效果，構建豐富的互動內容。本書共包含了十四個章節，由淺入深的為讀者介紹Flash軟體的重要功能，並且透過範例對其進行詳細的講解。其中內容包含聖誕快樂、大自然風光、潛水樂游游、遊樂園路線圖展示、蜜蜂飛舞、海底生物導覽、英語單字練習、知識百科測驗、電子相冊、電子音樂創作、多媒體展示系統、行動裝置接球遊戲設計、平板數位雜誌製作、ActionScript 3.0概論等。相信經過課程的綜合演練，必定能讓讀者融會貫通Flash軟體的操作技巧，還能輕鬆將設計理念融入今後的創作設計當中，創作出更為優秀的動畫作品！1.以Step by Step方式引導教學，讓讀者輕鬆跨入Flash設計的殿堂。2.彙整業界實務需要的精彩範例，由簡單到複雜的設計製作，讓您學習充滿成就感！3.從精美的範例學習中啟發創意的實現技巧，讓您快速掌握Adobe軟體的操作奧妙。4.附贈完整的範例檔案，並以原始檔案的格式儲存，便於讀者練習使用。
                    
"
9789864344574,"


	在發想創意與體驗多媒體設計的時刻，透過本書您將學到更多寶貴的多媒體知識與設計技巧！同時亦期望提升讀者對多媒體創作的興趣，將所學會的技能，應用到生活化的創作之中。

多媒體設計基本知識

	我們將提供您：電子書、行動App、擴增實境(AR)、AI、RWD、多媒體輸出入設備、文字媒體處理、跨平台電子格式文件、數位影像類型、色彩模式、影像檔案格式、語音數位化、音效壓縮、音效檔格式、視訊原理、視訊型態、視訊壓縮、視訊檔案格式、串流媒體、動畫原理、頁框率FPS、動畫種類、動畫製作的規劃等觀念。

多媒體設計實務應用

	🎵YouTube下載與上傳視訊方式
	🎵GoldWave音訊編輯技巧
	🎵GIMP影像處理密技：編修、製作網頁元件、調整圖片色彩、去背處理、合成相片。
	🎵Openshot視訊剪輯技巧：匯入素材、修剪/串接影片、片頭片尾設定、淡出淡入效果、轉場/特效、覆疊素材、字幕、音樂、影片匯出。
	🎵Blender 3D動畫設計軟體：從無開始建立與編輯模型、算繪影像、設定材質顏色、設置環境光與燈光、設定攝影機角度。
	🎵Google雲端教室：數位學習的使用方式、建立課程、加入教材、邀請學生加入。
	🎵Google Sites架站術：網站架構、新增頁面、網頁內容編輯、預覽與發佈等功能。

本書特色

	☼理論與實作並存，快速熟悉多媒體設計領域
	☼大量圖片及示意圖，豐富閱讀視覺易理解
	☼詳細流程輕鬆掌握多款免費影、視、動畫軟體技巧
	☼解說Google雲端教室使用撇步，增進師生互動
	☼Instagram拍照與分享技，新興行動社群軟體我也會
	☼智能編輯網站Google Sites架站術讓你馬上用

"
9789863800644,"

「從簡單入門、從主題學起，學會動畫設計的關鍵技！」歡迎您跨入動畫設計的領域，在這個領域中，並不見得老手就能完成絕妙的作品，也不見得新手就不能有神來之筆。就如同繪畫一般，同樣的顏料、工具，有人可以完成傳世之作，有人一輩子都慘不忍睹。這是一套簡單易學但功能強大的動畫設計軟體，對於多媒體網頁設計師、美編人員、創意工作者等，它可讓您輕易的將創意構想具體化。本書讓您了解此軟體的功能及熟悉其操作環境，從繪圖技巧、檔案管理、文字設計、動畫元件製作、元件庫、導引線、遮色片、濾鏡的使用、特效、視訊、音效及互動動畫等都有詳細的介紹。除了工具的使用及各式功能的介紹外，本書實務應用，它可讓您輕易的製作出專業的動畫。在資訊科技發展如此快速的年代裡，您如何提高效率，以極短的時間去了解、活用一套應用軟體呢？本書配合實例，以淺顯、循序並配合視窗畫面的直接解說，希望能使您快速的了解此應用軟體，進而應用於實際作業中。
                    
"
9789869523769,"


	涵蓋所有學習Flash必須知道的基本知識與操作，透過超實用的範例，引領您進入Flash的新功能領域，讓你利用新的元件來簡化專案開發作業，快速整合繪圖及影音視訊.，受悠遊其中的樂趣。

	全書從基礎的動畫元件製作、編輯時間軸，到動態文字、影音製作以及特效整合，專家敎您最簡便的方法，讓剛開始接觸動畫和互動網站，及試圖創作出各種視覺效果的初學者，學到更多的Flash知識和技術；而已是Flash老手的您，本書提供您可在短時間內熟悉新功能的精采內容。

	書附光碟內容：精彩範例練習檔和完成檔案

"
9789863759058,"


以最快速、最容易、最全面的方式來學習Adobe Flash CC


	本書是Adobe所推出的官方教材，內容由Adobe產品研發的專家編寫而成，可幫助讀者以最快速、輕鬆的方式來學習Adobe Flash，是最暢銷的自學訓練工具書。

	本書共有10章節，除了涵蓋主要基本技術，還會提供可以協助你變得更有效率眾多技巧和技術。你可以從頭開始跟著每一章的順序來進行學習，或者選擇只針對有興趣的章節來查閱。

本書內容

	Adobe Flash Professional CC提供許多強大工具，來讓設計者可以對動畫有最佳的掌控性，並完整且廣泛支援各種播放平台。

	學習如何搭配嶄新的「變數寬度」工具來運用各種線條粗細狀況、全新的「移動編輯器」面板可以對複雜的動畫進行更進一步的控制和處理。

	SVG、WebGL、跨平台專案，以及可針對HTML5 Canvas專案來輕鬆取用的JavaScript腳本程式片段等等的各種豐富支援能力，都讓Flash成為動畫和多媒體創作工作上的最佳開發工具！

"
9789863758709,"


社群遊戲製作正夯！
你知道目前Facebook上最火紅的遊戲就是用Flash打造出來的嗎？
一直想做一款自己的遊戲卻不知從何下手嗎？
想將自己的遊戲放到Facebook並製作行動裝置App嗎？
別再猶豫了！心動不如馬上行動！


	針對目前火紅的Facebook社群遊戲做介紹，包含如何製作遊戲排行榜、取得好友列表與資料、邀請好友並且發佈至塗鴉牆。

	完整iOS App製作流程，讓您一次搶占Facebook與行動裝置的版面！

	本書相當重視實用性，因此每個遊戲章節都以實作為主，期望讀者真的能製作自己的一款遊戲並分享給朋友們。

	懷有對遊戲的滿滿的想法與熱忱嗎？馬上開始用Flash輕鬆快速的打造專屬的遊戲，程式與動畫通通自己來，保證讓您成就感破表！

	本書範例：請上官網下載，範例適用Flash CC/CS6/CS5/CS4/CS3

"
9789863756583,"


	以最快速、簡單、用途廣泛的方式，學習如何活用Adobe Flash CC「跟Adobe徹底研究」除了是市面上最暢銷的軟體實作訓練教材，也是Adobe的官方訓練教材，其內容皆為Adobe產品專家撰寫而成，以幫助使用者快速、輕鬆學習Adobe各項軟體。

	本書共有11個章節，逐一介紹如何使用Flash設計動畫、改良影片與音效檔案，並且運用ActionScript來融入製作。強大的新功能包含了行動裝置模擬器、管理圖層的控制台、以及讓您的動畫動作更快更細膩……，諸多新功能，等您來發掘，並享受悠遊其中的樂趣。

"
9789863476696,"

附DVD兩片從簡單入門、從主題學起， 開啟Flash學習的正確指引!學會動畫設計的關鍵技! 多媒體影音資訊普遍成為數位工具的主要內容，因此設計人具備動畫製作能力就有其必要性。在製作多媒體互動與動畫工具中，Flash是一套普及的軟體，能設計互動按鈕、多媒體網頁、動態Banner等。CC版本之後，Flash除了傳統易學的特性外，更支援輸出HTML5動態內容的優勢，具備跨平台、標準化的特性。無論是在電腦或手機等行動設備上，只要使用瀏覽器就能正常運作，不需額外插件，就能支援目前多媒體行動世代的使用者體驗。 書中以Flash動畫製作技術為主，整合實際範例與應用，讓初學者或設計人員掌握Flash在動畫設計、多媒體互動的技術，同時也能從實作中學到完整的動畫專案開發流程與觀念。 綜合本書特點如下： ‧從動畫流程的基礎架構進行介紹，適合動畫初學者。 ‧每個學習主題涵蓋多種情境與實務範例，提供實際演練機會。 ‧從基礎動畫到互動設計，不僅提供動畫製作，也提供語法應用。 ‧書中範例操作輔以影音教學，讓學習更直覺。 書附DVD：範例素材/範例完成檔/近650分鐘影音教學
                    
"
9789864340224,"


 本書以範例導向，利用Step by Step方式，引導初學者進入Flash CS6的世界。採循序漸進的方式，為初學者打好完備的理論基礎，接著邁入實作的大門，進而學習程式語言的設定。在內容的規畫上共分為三大篇：

  

 基礎觀念篇
 介紹動畫設計概念，諸如：動畫的形成、種類、網頁動畫格式、Flash的動畫製作概念、動畫製作流程、點陣圖與向量圖比較、素材的準備與處理…等觀念外，主要著重在Flash的基本概念，包含它的工作環境、基本操作、輸出方式、繪圖功能、造型編修、文字工具、填色處理、圖層的使用、元件的建立、動畫原理、以及各類動畫的製作方式。

  

 實例設計篇
 透過實際範例，讓初學者學會靈活運用基本的幾何工具，來編修出想要的造形圖案，只要把握住繪圖的技巧，各類的造型圖案就可輕鬆建立。同時教導學習者將繪圖物件轉換成元件，妥善管理元件及場景，再導入動畫製作技巧，包含故事腳本的構思、鋪陳、轉折、結束等。

  

 程式應用篇
 有鑑於部分書籍所介紹的動作指令太過艱深，對於沒有程式背景的學習者來說，只知照單輸入，卻不知原因為何，因此無法靈活使用。書中所介紹的動作指令，不但淺顯易懂、操作簡單、運用的機會也相當高，保證現學現會，不再對動作指令抱持害怕的心情。

"
