ISBN,書籍簡介
9789865004408,"


	以最快速、最容易、最全面的方式來學習Adobe Premiere Pro CC

	學習在Adobe Premiere Pro CC中編輯影片，並讓你的工作流程發揮最大效益。管理媒材、把元素結合成連續不斷的序列、加入音樂和背景音訊、建立轉場效果、製作標題，加上視訊與聲音的效果，賦予電影般的外觀；然後透過聲音的美化與混音，合成影片、調整色彩，善用先進的編輯技巧，管理專案、匯出以及其他方式，讓你的專案更上層樓。

本書特色

	本書譯自Adobe專家著作的暢銷書籍，告訴您如何透過專家觀點，短時間內學會並運用Premiere Pro CC。

	全書包含16個課程，涵蓋所有學習Premiere Pro所必須知道的基本知識與操作，並且提供不計其數的訣竅與技法，幫助您在使用Premiere Pro CC時，能夠大幅提昇創意的生產力。你可以從頭到尾、按照本書的說明來閱讀，或是挑選你有興趣的章節。

"
9789865005405,"

◆ 觀念UP ◆ 技術UP ◆ 應用UP ◆表達式是增強AE動畫效果的最佳工具！上手表達式簡化作業讓製作更有效率！After Effects表達式（AE Expressions）是一段段使用Extendscript或Javascript等語言，操控AE圖層屬性（例如scale、position、rotation）的程式碼；當您在一個屬性上編寫表達式時，就可在該屬性與其它圖層、時間和表達式控制器Expression Controllers（可在Effects & Presets視窗中找到）間建立關係；此外，AE本身也有內建Pick-Whip（關聯器）功能，讓使用者在定義關係時就能夠自動產生程式碼。表達式最有價值的地方，就在於您無需精通程式語言與編碼也可以開始使用，大多數的情況下，只需要用一個簡單的表達式運算子，就能夠讓AE運轉出巨大的效果與預期的工作內容。本書是一本直接以After Effects表達式教學為主體的教材，詳細介紹AE Expressions的基本知識與編寫技巧，讓讀者更能快速掌握AE表達式的基本編寫與使用，並能採取更有效率及具邏輯性的方式運用After Effects。
                    
"
9789863801146,"

輕鬆駕御Premiere，隨心所欲製作令人讚賞的影音作品！快速、簡單的方式讓您全盤掌握Premiere功法。Premiere軟體以其功能強大、操作簡單、易學易用等特點，很快贏得了業界的一致認可。它不但是專業影視製作人用它製作專業影視節目的利器，也是普通的多媒體愛好者製作自己影音作品的好幫手。正因為如此，越來越多的人加入到Premiere使用者的行列。全書共九章，內容包含視訊編輯、音訊編輯以及眾多特效的相關實務應用範例。為了使初學者能由淺入深的瞭解Premiere，本書透過精采範例來學習不同的編輯技巧，教學內容通俗易懂，並附贈許多精彩視訊、音訊和圖片素材，方便讀者在學習時的操作練習與使用。學習完本書課程後，相信您一定可以輕鬆駕御Premiere，隨心所欲製作出令人讚賞的影音作品來！
                    
"
9789865005344,"

◆ 實務好用－搭配具體案例、效果與範例完整演示。◆ 學習實用－各外掛軟體皆提供其出處與效果說明。◆ 技術耐用－所提列之外掛插件皆可安裝於AE。本書以實際動畫師應用專案導向為主體，提供相對應的插件外掛軟體介紹，利用可套用至After Effects中的外掛插件工具，並加入創意元素，最後設計出多種具體影像後製潤色、動態影像特效、各類特效應用等完整教學，不僅只是介紹目前常被使用的外掛資源，同時也引導讀者如何應用這些資源，輔導讀者善用各項優質插件以提升After Effects執行與應用能力，為您的視覺設計工作提供更強大的效率與效果。商品特色：提供完整的AE外掛插件內容介紹、具體操作與製作流程應用技巧。提供各類型插件運用、製作觀念與完整實務範例編輯技能。提供多影像後製與電腦繪圖內容製作流程觀念與實務經驗。提供AE新增功能技術與相關觀念。
                    
"
9789865005276,"

◆ 精心製作圖文並茂之觀念示意圖。◆ 以案例帶指令方式，從做中學。◆ 範例影片教學輔助學習。本書從快速基礎上手，強化AE的核心觀念與實務操作，如：MG動態圖像設計觀念與流程、操作介面與如何讓物體「動」起來的技巧，透過每個章節的案例，讓讀者快速入門動態圖像設計產業。不管你是動畫家、設計師和合成師都可以使用After Effects來建立動態圖形和視覺效果，以運用於電影、電視、視訊和網頁等媒體。
                    
"
9789576819483,"


	本書重點關注專業的、高品質的網路影片生產：

	網路影片概述，包括網路影片的過去的起源發展、網路影片的現今的產業格局。
	網路影片的工具介紹，包括影像工具、錄音工具、後期製作工具、與輔助工具。
	網路影片的製作流程，包括一般流程與特殊規定。
	網路影片的拍攝，包括機位的選擇、景別的控制、曝光的調整、寬容度與感光度的介紹。
	網路影片的聲音錄製，包括單眼相機的錄音方式、現場錄音的注意守則。
	網路影片的後期製作，包括基本的剪輯原則、並介紹常使用的剪輯軟體。

	既詳細介紹了網路影片的創作工具和攝製技藝，又透過國際網路影片發展歷程中的一些關鍵事件對網路影片產業格局展開觀察。

"
9789578755857,"

作者以其從事影像創作多年的經驗來撰寫本書，將技法與實務作完美的結合與應用，激發您創意的發想與設計的實現。課程安排由淺入深，語言平實易懂，範例美觀實用，帶領初學者逐步進入AfterEffects CC的魔法特效製作殿堂。在每每完成一個階段的學習安排之後，各位讀者都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺特效製作達人。本書內容包括對基本動畫製作、關鍵影格動畫、動態路徑、Write-on特效動畫、Mask遮罩應用、Effects特效應用、文字路徑特效、電影特效、精彩片頭製作等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。透過本書您可以快速學會下列案例設計：◎ 認識 After Effects CC ◎ 戶外運動網站推廣 ◎ 閃亮 Particulars ◎ 流動的類神經網路 ◎ 魔幻萬聖節 ◎ 人體中的血小板 ◎ 地心能量大爆發 ◎ 食在首爾 ◎ 奇幻視界 ◎ 街舞
                    
"
9789578755697,"

Premiere是Adobe公司推出的一款著名的視訊編輯軟體，該軟體以其功能強大、操作簡單、易學易用等特點，很快贏得了業界的一致認可。它不但是專業影視製作人用它製作專業影視節目的利器，也是普通的多媒體愛好者製作自己影音作品的好幫手。正因為如此，越來越多的人加入到Premiere使用者的行列。書共九章，內容包含有視訊編輯、音訊編輯以及眾多特效的相關實務應用範例。為了使初學者能由淺入深的瞭解Premiere Pro CC，本書透過精采範例來學習不同的編輯技巧，教學內容通俗易懂，並附贈有許多精彩的視訊、音訊和圖片素材，方便讀者在學習時的操作練習與使用。學習完本書課程後，相信您一定可以輕鬆駕御Premiere，隨心所欲製作出令人讚賞的影音作品來！
                    
"
9789578755604,"


	After Effects匯集了當今許多優秀軟體系統的編輯思想，如影像編輯軟體中圖層的概念、3D動畫軟體中的關鍵影格、燈光、攝影機、粒子系統等等，以及現代非線性編輯技術，可以讓使用者可以隨心所欲地編輯製作出專業級的動畫特效。Photoshop中圖層概念的引入，使 After Effects可以對多層的合成影像進行控制，製作出天衣無縫的合成效果；關鍵影格、攝影機、粒子系統等概念的引入，更是將2D與3D動畫的結合提升到了一個新的境界。

	本書共分為十章，其中包括對基本動畫製作、關鍵影格動畫、動態路徑、Write-on特效動畫、Mask遮罩應用、Effects特效應用、文字路徑特效、遊戲特效、科幻電影特效等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺特效設計師。

"
9789869479844,"


	Premiere Pro CC黃金學習大三角

	範例式學習：以範例為章節主軸，讓您自案例中學習，從實例中進步。

	步驟再進擊：Step by Step引領讀者從無到有一步步完成目標，由淺入深 讓您學習基本剪輯流程、Effects 視訊特效、Transitions 轉場特效、素材的調整動畫、電影去背效果、文字動畫製作、與After Effects 的整合應用、製作DVD 光碟等實務應用與操作技巧。

	概念具象化：透過實地演練，將抽象的想法化為具體的實踐，並將您的創意發揮在最適合的位置和作品上。

"
