ISBN,書籍簡介
9789865003463,"

● 全書三篇大架構－觀念培養、新手培訓、熟手加強；讓讀者自基礎-入門-進階，循序漸進學得會聲會影各類各樣功能與專業剪輯技巧，還能靈活運用。● 攝錄影技巧、影音必備知識、視訊剪輯、轉場濾鏡特效、標題與字幕、多重覆疊技巧、語音錄製、上傳輸出…等多方位應用，本書一併報給你知。● 縮時攝影、多重修剪視訊、螢幕錄製、停格動畫、路徑的使用、影片小畫家、變速處理、動態追蹤、字幕編輯器…等多樣專業技巧，以及覆疊物件應用與製作，都是成為專業剪輯高手不可或缺的技能。會聲會影是Corel公司所開發的影音剪輯軟體，本書鉅細靡遺地介紹它的功能及特性，並搭配範例解說，只要跟著書中所述步驟進行演練，即可熟悉並能靈活使用會聲會影進行製作。除功能外，全書輔以作者多年經驗，帶領您最正確的影音剪輯、轉場濾鏡、片頭字幕、影片分享的觀念，並有系統地教授各項功能與技巧，讓您以不變的規則，應付多樣的設計需求。本書特色：自學好幫手，入門最佳學習書，讓您躍身影音製作高手◆ 輕鬆學、輕鬆做，經由範例導引超速掌握各項功能技巧。◆ 「培訓小幫手」深度加強其他未能示範的好用功能。◆ 涵蓋影音剪輯觀念、基礎與進階剪輯技巧，循序漸進。◆ 詳實步驟說明，契合易學易懂的圖解內容，學習無負擔。◆ 書附完整範例與相關圖檔，自學者操作練習一把罩。
                    
"
9789865000110,"


	會聲會影是 Corel 公司最受歡迎的影片剪輯軟體，直覺的操作流程、內建多種特效及轉場特效、擴充性極佳、支援格式廣，不論是小孩的運動會剪輯、搞笑逗趣的 kuso 影片或是專業的專案製作，都是您最佳選擇。

	本書透過實際案例展現會聲會影最重要的應用面，循序漸進地引導教學，讓您熟練並提升影像編修的實力。 

	本書包括十二個章節 

	前三章主要介紹影片基本知識以及會聲會影基本操作方法。第三、四章是素材蒐集秘訣，學習從各種來源擷取影片。第五～十一章則透過各種實際範例讓您了解設計與剪輯影片的各種技巧。第十二章則是根據不同的需求輸出完成的影片，如燒錄成影音光碟、發佈至網頁、上傳分享到網路上等等。 

	章末皆有提供練習供讀者掌握自己的學習進度，本書也適合學校授課使用。

	書附光碟內容：DVD／書中／範例檔案

"
9789863758167,"


手邊有很多自拍影片，但不知道怎麼處理？
是否羨慕網站上爆紅的自製創意影片？
想要自製影片送給親朋好友收藏？


看完本書，讓您馬上使用會聲會影X7，化身影片剪輯達人！

	．輕鬆學、輕鬆做，一本與眾不同的好書，學習無負擔。
	．內容涵蓋基礎概念、影片剪輯、進階剪輯技巧，由淺入深。
	．易學易懂的圖解說明，加深學習者的印象。
	．內附完整範例檔，方便自學者操作練習。

	以循序漸進的方式，引導初學者輕鬆進入會聲會影的殿堂，輕鬆學會視訊影片的剪輯技巧，提升影片編輯實力！

	會聲會影是Corel公司最受歡迎的影片剪輯軟體，直覺的操作流程、內建多種特效及轉場特效、擴充性極佳、支援格式廣，不論是小孩的運動會剪輯、搞笑逗趣的 kuso 影片或是專業的專案製作，都是您最佳選擇。

	全書共分12章，由基礎入門，循序漸進，帶領您邁向專業級！

	．第1~3章介紹影片基本知識以及會聲會影的操作方法。
	．第4章學習從各種來源來擷取影片。
	‧第5~11章透過各種實際範例，讓學習者了解剪輯影片的各種技巧。
	‧第十二章根據不同的需求來輸出與分享完成的影片，例如建立可在電腦上播放的視訊檔、建立可儲存到可攜式裝置或攝影機的檔案、燒錄成影音光碟、上傳到Facebook或YouTube。

"
9789863757986,"


	Corel 會聲會影是最完整的影片編輯組合，結合了超快速的效能、直覺式編輯工具、進階特效、螢幕錄製，以及附贈數百種 proDAD、Boris FX 和 NewBlue 特效、風格濾鏡、轉場和範本。旗艦版提供專業級的影片剪輯工具、多圖層支援以及 2D 和 3D 的標題製作，讓觀眾目眩神迷。利用影像校正工具及平穩的影片穩定功能，就連晃動最嚴重的影片也能修正。在地圖、圖形和相片上套用動畫式畫筆特效。此外，利用 HTML5 支援及強化的光碟製作工具取得更多創新的分享選項。

本書特點

	會聲會影是 Corel 公司最受歡迎的影片剪輯軟體，直覺的操作流程、內建多種特效及轉場特效、擴充性極佳、支援格式廣，不論是小孩的運動會剪輯、搞笑逗趣的kuso影片或是專業的專案製作，都是您最佳選擇。

"
9789863755869,"


	會聲會影是Corel公司所開發的影音剪輯軟體，本書鉅細靡遺地介紹它的功能及特性，並搭配範例解說，只要跟著書中所述步驟進行演練，即可熟悉會聲會影各項功能。

	除了功能外，全書輔以作者多年的經驗，帶領您最正確的影音剪輯、轉場濾鏡、片頭字幕、影片分享的觀念，並有系統地教授各項功能與技巧，讓您以不變的規則，應付多樣的設計需求。

本書內容：
	全書分觀念培養、新手培訓篇、熟手加強等三篇，讓讀者由基礎入門，循序漸進學習會聲會影的各項功能，與專業剪輯技巧。
	攝錄影技巧、影音必備知識、視訊剪輯、轉場濾鏡特效、標題與字幕、多重覆疊技巧、語音錄製、上傳輸出…等應用，本書一併報給你知
	縮時攝影、多重修剪視訊、螢幕錄製、停格動畫、路徑的使用、影片小畫家、變速處理、動態追蹤、字幕編輯器…各項專業技巧，以及覆疊物件的應用與製作，都是成為專業剪輯高手不可或缺的知識

本書特色

	輕鬆學、輕鬆做，透過範例導引，輕鬆學會會聲會影的各項功能技巧。
	範利中無法表達到的好用功能，皆以「培訓小幫手」為各位加強。
	內容涵蓋影音剪輯觀念、影片基礎剪輯、進階剪輯技巧，由淺入深，學習無負擔。
	詳實步驟說明，加上易學易懂的圖解內容，加深學習者的印象與使用技巧，快速變身影音製作高手。
	內附完整範例與相關圖檔，方便自學者操作練習。  

"
9789863122685,"

輕鬆剪輯，回憶重現驕傲地與親友分享你的快樂時光本書將教你把拍攝好的影片傳到電腦中, 並用會聲會影 X8 來編輯影片, 透過案例式剪輯教學, 讓畫面變得更加專業且生動活潑又有趣。完成剪輯後, 還能上傳到 Facebook、YouTube 或放到 iPad 平板、Phone、Android 手機中, 方便與親友分享。案例式剪輯、分享重新發現生活新感動！○ 製作如電影般的 4K 解析度影片 ○ 自動修剪的專業配樂○ 精彩瞬間成就永恆的『停格』功能○ 專業剪輯才有的覆疊混合特效○ 製作 KTV 導唱字幕○ Youtube、Facebook 分享絕技○ 行車紀錄影片的馬賽克處理○ 活動花絮紀錄 / 家庭生活剪影 / 產品廣宣 CF / 自拍 MV 微電影○ 風景旅遊特輯 / 婚禮成長影片 / 精華片段速寫 / 軟體操作教學影片○ iPhone、iPad、Android 智慧手機、數位相機、DSLR、DV 攝錄影機、網路攝影機…支援最齊全本書特色  精彩回憶輕鬆剪，影片再也不怕拿出來見人！○ 畢展成果發表，多個短片要如何接在一起？○ 行車紀錄器拍到的事故畫面，要如何剪出完整片段？○ 錄影影片如何快速剪出多個活動片段？○ 影片字幕、特效、背景配樂該怎麼加才有專業感？○ 「自炊」影片當紅，婚禮紀錄、成長影片、微電影自己剪！○ 想錄製軟體教學影片？操作畫面＋錄音旁白一次搞定○ 各種影音格式全支援，Youtube、Facebook、手機、平板、電腦都能看！
                    
"
9789862018972,"


 國內最知名文創產業龍頭－霹靂國際多媒體集團旗下的偶動漫娛樂事業股份有限公司，以招牌的布袋戲偶為基礎，首部推出的3D偶動畫電影《奇人密碼－古羅布之謎》與國內CG教學龍頭－巨匠電腦與狂龍國際進行首度文創合作，在資深原畫美術老師的筆下，鉅細靡遺地將電影中的角色設定、插畫設計與關鍵技巧分享給讀者。

 在駿恆老師的多年教學經驗帶領下，要一窺電影美術設計變得相當容易了。本書共分成六大章節，徹底解析人物角色造型的基本概念、角色肖像的繪製方法、角色全身插畫的構想方法、有關機械人物的質感設計、主視覺插畫的繪製方式以及Q版角色的繪製技巧。

 隨書附贈的教學光碟，更提供了50分鐘的基礎入門影片，不管是初學電腦繪圖或是已有一定程度的使用者，都能無障礙地學習電影美術設計中的人物插畫。

"
9789862017197,"

功能導向結合範例實作．詳盡步驟搭配圖文解說，快速變身影片製作應用高手本書以範例導向，藉由Step by step方式，引導初學者進入會聲會影X5的世界。先從影音的相關知識介紹起，再導入如何快速製作第一部影片，接著再依視訊影片的製作過程逐一介紹會聲會影X5的功能，包括：視訊擷取、視訊剪輯、轉場與濾鏡、影片標題及字幕、語音加入與處理、同步播放多種素材的覆疊軌、視訊輸出與上傳。最後搭配數個專題實作，精彩呈現會聲會影X5的強大功能。本書可以作為視訊剪輯應用相關課程的入門教材，並幫助讀者快速建立視訊剪輯領域重要的基礎知識。課後評量附上實作題練習，可評估學習效果。
                    
"
9789862764596,"

書附光碟DVD*1Corel 強力推薦指定用書 << 超值光碟內容 >> 獨家附贈影音教學操作影片 / 示範專案與素材 / 會聲會影X5 試用版 << 名師示範 >>Corel首席剪輯顧問 陳文暉分享多年的影片製作實務及授課經驗 以【圖文解說】示範操作流程並引導正確的影片剪輯觀念 【實作演練】讓您透過短片製作將所學快速應用在實務，強化學習技能 << 精彩內容 >>【會聲會影】是目前最受歡迎的影片剪輯軟體，簡易的操作流程、廣泛支援各種格式、無限的特效擴充性能及多樣化的濾鏡轉場特效果，不論是個人生活記錄或是業界專案製作，都是影音剪輯的最佳選擇。 X5旗艦版加入了多項令人驚豔的功能：【螢幕錄製】工具可輕鬆製作線上教學影片，【時間軸】架構升級至27軌，新增【3D立體】與【60P/50P】影片編輯模式，新增【HTML5】影音網頁製作功能，整合了多款外掛濾鏡及轉場特效，穩定且高效率的運算技術讓您更能盡情發揮想像力。 >> 基礎篇:從安裝到影片編輯前的準備工作，詳盡解說基礎運作邏輯、自訂工作版面、專案內容與偏好設定。 >> 匯入&擷取媒體素材：涵蓋各類型攝錄機的擷取指令步驟及媒體管理技巧，特別規劃SONY PMB程式與會聲會影的協同工作流程。 >> 相片秀&快速範本：透過快速指令將靜態相片製作成【動感相片秀】，並示範【快速範本】的套用與自製【快速範本】流程。 >> 影片剪接&轉場效果：內容示範各種修剪工具的操作，素材音量大小、播放速度調整，以及自訂【轉場效果】。 >> 聲音剪接&配音配樂：【會聲會影】不僅可以剪影片、也能剪聲音，使用【音訊檢視】模式進行音訊修剪，既精確且快速，非常適合用來剪接教學影片。 >> 覆疊合成裝飾技巧：覆疊軌主要用來裝飾影片版面，凸顯創作者的美術功力，內建的裝飾素材，搭配藍幕影片與影像排版功能，輕鬆設計出簡潔美觀的合成效果。 >> 標題文字應用：利用文字傳達主題、畫面註解或裝飾版面。內容示範靜態、動態文字的應用，文字濾鏡與旁白字幕的操作技巧。 >> 視訊濾鏡特效：旗艦版內建92個視訊濾鏡效果，內容說明濾鏡使用規則、濾鏡分類，以及搭配【主畫格控制器】進行效果的自訂。 >> 專案輸出&備份：完整說明輸出指令的設計目的與使用時機，並示範影音光碟燒錄流程與光碟選單設計技巧。 >> 進階剪輯應用篇篇：包含【停格動畫】與【影片小畫家】工具應用、單眼相機影片剪輯流程注意事項、【HTML5】影音網頁製作流程，以及外掛程式的操作說明:Mercalli、RotoPen、Vitascene，、NewBlueFX 及 Boris Graffiti濾鏡效果。 << 超值光碟內容 >> 獨家附贈影音教學操作影片 / 示範專案與素材 / 會聲會影X5 試用版 收錄多個教學影片與示範素材 , 讓你能在最短時間學到各種影片編輯技巧!
                    
"
9789861813325,"

全書涵蓋了 DV 數位攝影的基礎概念與攝影技巧等相關介紹，以實例導向完整說明，讓您利用會聲會影 11 快速上手發揮創意。基礎概念篇 「數位攝影剪輯基本概念」 與 「擷取裝置」、「數位攝影機」、「攝影技巧」的介紹，讓您在拍攝影片之前先成為厚底子的攝影達人。快速上手篇沒時間編修影片嗎？透過「影音快剪精靈」可透過快速且簡易步驟仍可完成豐富的影音光碟製作，讓初學者快速上手！而 「DV to DVD 直接燒錄精靈」 更是省去繁瑣的剪輯過程，對於想達到快速轉錄成光碟的人來說無非是一大好幫手！進階實作篇透過此篇的學習，讓您由一開始進入會聲會影 11 的準備工作與環境操作，進而學習 「擷取」、「編輯、「特效」、「覆疊」、「標題」、「音訊」、「輸出」 七大步驟的使用技巧。帶著影片趴趴 GO！告訴您如何將影片轉存到 PDA、PSP、iPOD、SmartPhome、MobilePhone 等裝置。進階應用篇提供您影音進階製作的撇步：HDV 影音剪輯製作、類比訊號 V8、錄影帶、電視節目剪輯製作、照片光碟製作、光碟封面製作等…。利用影音剪輯將影片轉檔成網路串流格式，並分享於現今當紅的「部落格」中，實現用影片寫日記的夢想！附錄篇附錄中整理了數位相機拍攝動畫的製作說明、卡拉 OK 精選影音光碟、影音製作的建議與電腦配備與DVD影片符號介紹等…多項工具，讓您了解更多、做的更好。精彩的附書光碟收錄了本書完整範例、習作檔、攝影範例影片、FLASH 動畫素材與相關軟體試用版，讓您在學習的路上更方便。作者服務網址/mail：www.e-happy.com.twe-happy@e-happy.com.tw

"
