ISBN,書籍簡介
9789864347964,"


	◎掌握行動影音時代的微電影行銷術
	◎學習影片剪輯的全方位實戰技術
	◎輕鬆製作動感影音、獨創風格的特效影片
	◎快速發布上傳YouTube、Facebook、Instagram
	◎結合影片製作與網路行銷的新時代行銷術

	在行動數位影音的新時代中，影片所營造的臨場感及真實性，遠比文字與圖片來得強而有力，靜態廣告轉化為動態的「微電影行銷」，已成為勢不可擋的時代趨勢。想要在短時間內透過影片行銷產品或宣傳理念，影片就必須在幾秒內吸睛。要讓影片能夠依照自己的創意盡情地表現，同時快速吸睛進而造成轟動話題，那麼製作影片的技巧就不可不學。

	在影片製作上，本書使用「威力導演19」來做視訊剪輯，深入淺出地介紹威力導演的各項剪輯技巧，即使是新手也能透過幻燈片秀編輯器、自動模式、創意主題設計師等功能快剪影片。而若想要快速累積視訊剪輯的實務經驗，本書也提供各項私房攻略，如轉場、特效、音訊剪輯、動態文字、字幕、影片覆疊等實戰技術，讓你碰到剪輯問題時不會不知所措，還有各種設計工具的應用與行動影音剪輯技術，本書皆不藏私。

	製作好宣傳影片後，透過不受限於固定的媒體或時間點觀看的網路發布，可讓影片的行銷影響力更加無遠弗屆。善用微電影行銷術，將可為你的理念或商品打造不同凡響的集客風潮。

本書特色

	◎紮實的微電影實作體驗，奠定邁向行銷高手之路的基礎。
	◎透過YouTube、Facebook、Instagram社群的上傳與分享，打造超高人氣，創造無限可能。
	◎使用覆疊工房／繪圖設計師／炫粒工房／遮罩設計師／色板／混合等特效工具，輕鬆搞定多層次變化的覆疊合成。
	◎掌握平移／縮放、運動攝影、動態追蹤、視訊拼貼等好用又吸睛的設計工具，完成魔法效果的動感影片。
	◎不能不學的行動裝置影音剪輯術，讓你隨時隨地玩出精采的影音剪輯。

"
9789865004989,"


	本書涵蓋許多的基本知識與操作，幫助讀者從基礎上手，強化After Effects的核心觀念與實務操作。您可依照本書課程章節依序練習，或直接學習自己感興趣的章節。
	課程內容由淺入深，全面的介面介紹、隨處可見的觀念提醒，完善的學習流程、多樣性的教學，讓讀者更容易學習與操作、快速掌握After Effects影音剪輯製作技巧。

"
9789863795216,"


	一部作品（電影、廣告、MV）的誕生，我們會想到需要導演、攝影師、燈光師、道具及其它不同專業的工作人員、演員、設備和資金，互相配合才能夠完整呈現在傳播媒體上，但上述都是操作方面的呈現，真正要製作一部作品之前，最重要的前提便是一齣能讓導演們萌生影像創作的「故事」。

"
9789860622546,"

在資訊科技發展如此快速的年代裡，電腦已深入各個家庭。目前大多數的電腦都已使用Windows作業系統，了解、活用此作業系統是身為一個現代人所需具備的基本技能。本書即針對影音部分，輔以免費影音軟體，以淺顯、循序並配合視窗畫面的直接解說，讓您能輕易的、快速的具備這些技能，進而應用於實際作業中。本書即針對其影音製作方面深入解說此作業系統。★ 如何下載所要的影音短片呢？ ★ 除了以 Windows Media Player 來播放影片外，告訴您由KMPlayer 來播放大多數類型的影片。★ 如何轉換成所要類型的影片？★ 為相片命名、加上標記、評等，組織管理您的相片。★ 載入音樂、擷取音樂，建立播放清單，編輯、燒錄所要的音樂，告訴您如何做好音樂的管理。★ 如何以 Windows DVD製作程式來建立具選單的DVD？ ★ 以Windows Live Movie Maker製作電影。★ 累了嗎？「遊樂場」中有許多好玩益智的遊戲可供您休閒。
                    
"
9789865025908,"


	本書同時為學生和專業人士所寫，逐步引導讀者了解從音樂影片、商業廣告到完整電影等，各種不同規模專案的調色基礎。

	在這本簡明、實用且適用於不同平台軟體的指南中，介紹了調色和顏色修正的技術和藝術層面。並在「技術」章節（例如顏色匹配、母版製作和壓縮等）以及「藝術」章節（例如對比度／親和力、審美趨勢和製定色彩計劃等）之間，取得平衡。本書還包括了更多以「業務面」為主的章節，詳細介紹與客戶合作、管理團隊，與VFX（Visual effects、視覺效果）團隊合作，以及建立調色公司業務的最佳實踐和專家建議等。本書還提供了可供下載的影片素材和專案檔案，協助讀者完成本書的各項練習和範例。

	本書可說是為了立志成為調色師以及希望能夠熟悉調色流程的剪接師、攝影師和導演們，提供了一本非常完美的入門指南。

"
9789865023492,"


運用2D卡通動畫創作工具，製作短動畫影片，成為動畫高手。

	隨著5G數位時代來臨，大量的動畫與直播的需求產生，Cartoon Animator 4 加強了對於2D角色動畫的各種彈性的製作方式，讓使用者可以快速的設計角色動態，即時的動作調整與對嘴說話的表現運用。

	本書以深入淺出、拆解方式設計每個章節，讓使用者輕鬆學會Cartoon Animator 4 各項功能，運用本書介紹的操作技巧，以一個懶人包動畫為範例，完成一個製作專案。

	使用Cartoon Animator 4 也可以完成現今在YouTube、Facebook、LINE、抖音瘋傳的懶人包動畫、短影音影片，以及節目單元的片頭製作，或是一部角色動畫電影；更加入電腦動畫應用的觀念說明，啟發使用者創作出各式創意的2D角色動畫影片。

"
9789863800835,"

「製作專業視覺效果，完美詮釋影音作品」剪輯軟體設計創意不受限，現在就全面領略Vegas Pro的極緻表現！Vegas具有極其簡單的操作介面，可以讓使用者在很短時間內輕鬆上手，製作出專業級的視覺效果，搭配快速編輯完成的音效，完美詮釋影音整合作品！作者以其從事視覺創作多年的經驗來撰寫本書，將技法與實務作完美的結合與應用，激發您創意的發想與設計的實現。課程安排由淺入深，語言平實易懂，範例美觀實用，帶領初學者逐步進入Vegas Pro的影音剪輯製作殿堂。在每每完成一個階段的學習安排之後，各位讀者都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的影視後期製作達人。本書共分為九章，其中包括對基本剪輯流程、Video FX視訊特效、Transitions轉場特效、素材的調整動畫、電影去背效果、文字動畫製作、與After Effects的整合應用、製作DVD光碟等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，逐步進入創意設計殿堂。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的影音剪輯設計師。
                    
"
9789576153907,"

「步驟式引導教學，破除學習的障礙」「一學就受用的動畫程式設計書」本書結合豐富實用的案例，介紹了ActionScript的基本語法、基本結構、基本技巧。ＡctionScript 不但可以建立區域運行的、互動式的影片 ─ 實現互動功能和動畫，而且它還可以用來建立網路應用程式，實現和各種伺服器的通訊。使用它，你可以實現用戶驗證、Web 表格等，你還可以使用ActionScript 建立消息板、用戶的個人部署或者購物車，購物車能夠追蹤記錄用戶購物資訊從而確定用戶偏好。甚至你還可以使用它將多媒體功能和資料庫整合到一起建立更加豐富多彩的網路應用程式，這就是RIA（Rich Internet Applications）的實質。書中詳細介紹了ActionScript的類別、組件應用、如何連接Web伺服器，並對目前流行的XML、URLRequest、URLLoader以及XMLSocket都有詳細的介紹，相信可以使您準確的把握知識的脈絡，加速學習。◎　ActionScript語言基礎　　　　　◎　函數的定義與應用◎　物件導向的概念　　　　　　　 ◎　控制Movie Clip的技巧◎　認識ActionScript的常用類別　　◎　繪圖、濾鏡與動畫的控制
                    
"
9789865003944,"


	從多媒體的基本概念以及技術運用到整合多媒體的實作，結合文字、影像、音訊與視訊軟體，包含了動畫媒體、網頁製作、剪輯軟體，以及實用的影像編修，最後則以旅遊相片光碟製作，引導您在短時間裡，了解各種多媒體軟體技術的精華。

◎一書搞定多媒體整合運用
	一本整合性的多媒體寶典，從多媒體的基本概念以及技術運用，一直到整合多媒體的實作，結合了文字、影像、音訊與視訊軟體，並包含了動畫媒體、網頁製作、剪輯軟體，以及實用的影像編修，最後則以旅遊相片光碟製作，引導您在短時間裡，了解各種多媒體軟體技術的精華。

◎豐富圖文簡單閱讀容易上手
	從觀念到實作，一一詳實說明，並附有詳細的圖解說明，將所有繁雜的操作皆化作圖片步驟，循序漸進的引領新手循序操作軟體。讓身為初學者的您能一目了然，快速提高學習興趣與成效！

◎掌握多媒體最新軟體
	透過專家精簡扼要的解說各項多媒體製作軟體操作，並以多樣化的範例來進行講解，奠定紮實的多媒體軟體運用基礎，讓新手在短期內把握箇中訣竅，保證讓您快速學會活用軟體！

◎多元教學資源效果加倍
	多媒體應用是一個整合多種媒體實務與理論為基礎的一個產物，本書的編輯方向是針對大專院校的多媒體理論與實務課程，由淺入深的編輯學習課程，可充分的讓老師與學生之間，達到學習互動的寶貴經驗。透過實作眾多且精緻範例，是您最佳的學習用書！

"
9789576153440,"

「製作專業視覺效果，完美詮釋影音作品」作者以其從事視覺創作多年的經驗來撰寫本書，將技法與實務作完美的結合與應用，激發您創意的發想與設計的實現。課程安排由淺入深，語言平實易懂，範例美觀實用，帶領初學者逐步進入Vegas Pro的影音剪輯製作殿堂。在每每完成一個階段的學習安排之後，各位讀者都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的影視後期製作達人。透過本書您可以快速學會下列案例設計：◎ 基本剪輯流程                       ◎ Transitions轉場特效◎ Video FX視訊特效                  ◎ 素材的調整動畫◎ 電影去背效果                       ◎ 文字動畫製作◎ 與After Effects的整合應用         ◎ 歡樂迪士尼◎ 美味蛋糕烘培                       ◎ 趣味萬聖節◎ 化裝舞會                           ◎ 製作與燒錄DVD光碟
                    
"
