ISBN,書籍簡介
9789865835934,"


	不論是剛嶄露頭角的藝術家，還是經驗老道的資深設計師，CorelDRAW都是最佳的圖形設計軟體解決方案。借助其豐富的內容與專業圖形設計、照片編輯以及網站設計功能，您將能夠隨心所欲地表達自己的風格與創意。

	本書將內容分為十七章，第一章簡單介紹了CorelDRAW的介面、工具箱、功能選單。接著利用十六個精彩的範例連貫本書，帶領讀者暢遊CorelDRAW的神奇世界。本書範例包括了水晶球按鈕製作、小丑繪製、LOGO設計、插畫繪製、產品造型設計、卡片設計、吊旗設計、POP設計、網頁設計、VIP卡、電器賣場DM設計、CD包裝設計、燈箱設計、海報設計、沐浴乳包裝設計、信籤設計等案例，所以本書不只是介紹基礎操作的工具書，而是以精美的繪圖範例引導讀者巧妙地運用工具，配合視覺美學將作品發揮得淋漓盡致。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師！

	課程規劃主要針對廣大的平面設計人員及愛好者，精心編製的課程，詳細講解技巧，以豐富的範例引導學習，深入淺出的講解經常面臨的專案設計，並期望讀者能透過對本書各範例的學習熟悉CorelDRAW並用其創作出更優秀的作品。

"
9789865002756,"

本書輯錄眾多CG藝術家作品，包括遊戲角色設計、場景設計、2D原畫、3D創作，以及插畫、模型等作品，展示他們多元風格和高超的CG繪畫技巧。書中還對部分藝術家進行訪談，讓讀者可以更加深入瞭解這些CG藝術家的創意發想、創作理念、運用工具和創作方法。本書不僅能讓讀者能充分享受CG藝術所展現的視覺震撼，還藏錄了這些頂尖CG藝術作品背後的故事。本書絕對是喜愛CG藝術的讀者不容錯過的經典收藏！本書特色：奇幻VS傳奇／唯美VS超端／創新VS塑造／真實VS虛擬跨域界絕妙驚采閃現，優秀CG藝術家多元創作大集合放大你的雙瞳，躍入嶄新視界，啟發您無限創作靈感
                    
"
9789865835620,"


 CorelDRAW 是加拿大Corel公司推出的最新向量繪圖軟體。歷經二十一年的時光，它陪伴許多專業設計者、愛好者一同成長！現在您更可以用CorelDRAW獨立完成包括圖形製作、圖像編輯、版式設計及更專業化的行業應用，例如服裝、產品、包裝、地理資訊等。並且可以根據用途輸出成印刷、網頁、移動設備等媒介的文件。

 本書將內容分為十七章，第一章為入門簡介，介紹了CorelDRAW 的介面、工具箱、功能選單。接著利用十六個精彩的範例連貫本書，帶領讀者暢遊CorelDRAW的神奇世界。本書範例包括了極具實用性的基本圖形繪製、LOGO設計、產品造型設計、香水海報、吊旗、網頁、戶外廣告、雜誌、DM型錄、食品包裝、藝術展覽廣告、卡片等設計，所以本書不只是介紹基礎操作的工具書，而是以精美的繪圖範例引導讀者巧妙地運用工具，配合視覺美學將作品發揮得淋漓盡致。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師！

 1.以Step by Step方式引導教學，讓讀者輕鬆跨入平面設計的殿堂。
 2.彙整業界實務需要的精彩範例，由簡單到複雜的設計製作，讓您學習充滿成就感！
 3.從精美的範例學習中啟發創意的實現技巧，讓您快速掌握CorelDRAW軟體的操作奧妙。

"
9789866025815,"

不論是剛嶄露頭角的藝術家，還是經驗老道的資深設計師，CorelDRAW X6 都是值得您信賴的圖形設計軟體解決方案。借助其豐富的內容與專業圖形設計、照片編輯和網站設計軟體，您將能夠隨心所欲地表達自己的風格與創意。本書將內容分為十七章，第一章基礎介紹了CorelDRAW的介面、工具箱、功能選單。接著利用十六個精彩的範例連貫本書，帶領讀者暢遊CorelDRAW的神奇世界。本書範例包括了極具實用性的基本圖形繪製、LOGO、多彩的貝殼、插畫繪製、產品外觀、香水海報、吊旗、網頁、清潔劑包裝、雜誌封面、光碟圓標、DM型錄、食品包裝、沐浴乳包裝、卡片信封等設計，所以本書不只是介紹基礎操作的工具書，而是以精美的繪圖範例引導讀者巧妙地運用工具，配合視覺美學將作品發揮得淋漓盡致。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師！課程規劃主要針對廣大的平面設計人員及愛好者，精心編製的課程，詳細講解技巧，以豐富的範例引導學習，深入淺出的講解經常面臨的專案設計，並期望讀者能透過對本書各範例的學習熟悉CorelDRAW並用其創作出更優秀的作品。【※更多書籍範例檔資訊請到www.bookcity.com.tw網站】
                    
"
9789866551673,"

CorelDRAW是很多設計師酷愛的設計工具之一，當然有其使用門檻。為了讓初識CorelDRAW向量彩繪世界的新手快速習得一技之長，本書先從一些基本觀念與技巧入門，再配合實例示範，知識面與實作面二者完美結合，讓大家由淺入深地全面熟悉CorelDRAW軟體操作使用，奠定紮實的基礎與觀念。本書所涵蓋的範例設計，精美華麗且實用性高，包括書籤、書籍封面、花紋、廣告、雜誌版型、立體茶杯、名片、信封、信紙、建築平面設計圖以及CD封面，引領您輕鬆一窺向量繪圖的門徑，馬上親身體驗到設計成果，快速累積實力與經驗。在架構安排方面，全書篇幅共十一章，內容循序漸進，從認識軟體視窗環境、基礎操作開始，到各種繪圖工具、功能的實際應用，讓您一次看到飽！各章教學內容區分為設計前準備、範例實作、進階研習三部分，首先概略介紹與實作相關的功能，讓您心中有一個明確的學習目標，然後透過完整且詳實的範例實作流程，從中瞭解如何實際應用前面介紹過的功能，並佐以操作技巧補充。
                    
"
9789866551574,"

SOEZ 2U 互動式多媒體影音教學DVD全新改版，綜合動態教學、上機練習、互動練習、互動測驗、學習評量、學習成果的六大主題全方位學習。● 動態教學：由文書處理大師親自設計，影音同步播放，外加旁白與註解，看清楚、講明白，讓你學透透。● 上機練習：臨場感十足，開啟應用程式面對面操作。● 互動練習：使用引導式練習方式，清楚提示，讓你動手實作親身體驗。● 互動測驗：檢視自我成就，創造學習價值。● 學習評量：Smart情意式互動評量系統，自動挑錯給建議。● 學習成果：學習進度和成果一目了然，數位家教讓你帶回家。● 學習步調隨你意：自家電腦就是完整的e-learning學習教室。 提供原始範例、素材檔案，同步學習零誤差。如果您想學一手數位向量彩繪工夫，嘗試設計平面廣告、產品包裝、海報宣傳DM、產品目錄以及數位相片加工處理，那肯定不容錯過CorelDRAW這套超有口碑的向量繪圖軟體。本書有最完整的功能說明、相關觀念與知識，讓您充分體驗到新版CorelDRAW X4的使用樂趣，快速掌握手繪圖形與影像處理的方法。● 彩繪功能鮮體驗，視窗介面先熟稔● 基本圖形先入門，勾繪書籤練功夫● 向量點陣來加持，書籍封面超有FU● 創意圖案巧變形，花紋樣式華麗風● 文字效果超搞怪，廣告DM好精彩● 圖文整合有一套，雜誌版型夠PRO● 立體茶杯效果佳，3D圖形巧設計● 造形文字妙搭配，名片設計高質感● CI識別美感獨具，信紙信封形象Show● 輔助工具共相挺，建築圖示定位精● CD封面藝術風，點陣向量冶一爐
                    
"
9789866551376,"

向量彩繪鮮體驗，CorelDRAW X4讓您大展身手全方位認識軟體的功能、概念、操作與視窗環境掌握向量繪圖的各種入門技巧書籤小品巧手塗繪好Easy超華麗地毯花紋樣式輕鬆做廣告DM設計不怕創意多搞怪專業雜誌內頁版型快手做立體茶杯造型處理技法全爆料名片和信紙信封創意設計一番玩純愛系CD封面自己動手DIY如果您想學一手數位向量彩繪工夫，嘗試設計平面廣告、產品包裝、海報宣傳DM、產品目錄以及數位相片加工處理，那肯定不容錯過CorelDRAW這套超有口碑的向量繪圖軟體。本書有最完整的功能說明、相關觀念與知識，讓您充分體驗到新版CorelDRAW X4的使用樂趣，快速掌握手繪圖形與影像處理的方法。彩繪功能鮮體驗，視窗介面先熟稔基本圖形先入門，勾繪書籤練功夫向量點陣來加持，書籍封面超有FU創意圖案巧變形，花紋樣式華麗風文字效果超搞怪，廣告DM好精彩圖文整合有一套，雜誌版型夠PRO立體茶杯效果佳，3D圖形巧設計造形文字妙搭配，名片設計高質感CI識別美感獨具，信紙信封形象Show輔助工具共相挺，建築圖示定位精CD封面藝術風，點陣向量冶一爐
                    
"
9789863800828,"

影像編修設計創意不受限，現在就全面領略CorelDRAW的極緻表現！不論是剛嶄露頭角的藝術家，還是經驗老道的資深設計師，CorelDRAW都是值得您信賴的圖形設計軟體解決方案。借助其豐富的內容與專業圖形設計、照片編輯和網站設計軟體，您將能夠隨心所欲地表達自己的風格與創意。本書將內容分為十七章，第一章基礎介紹了CorelDRAW的介面、工具箱、功能選單。接著利用十六個精彩的範例連貫本書，帶領讀者暢遊CorelDRAW的神奇世界。本書範例包括了極具實用性的基本圖形繪製、LOGO、多彩的貝殼、插畫繪製、產品外觀、香水海報、吊旗、網頁、清潔劑包裝、雜誌封面、光碟圓標、DM型錄、食品包裝、沐浴乳包裝、卡片信封等設計，所以本書不只是介紹基礎操作的工具書，而是以精美的繪圖範例引導讀者巧妙地運用工具，配合視覺美學將作品發揮得淋漓盡致。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師！課程規劃主要針對廣大的平面設計人員及愛好者，精心編製的課程，詳細講解技巧，以豐富的範例引導學習，深入淺出的講解經常面臨的專案設計，並期望讀者能透過對本書各範例的學習熟悉CorelDRAW並用其創作出更優秀的作品。
                    
"
9789863800699,"

如何使用CorelDRAW設計精緻的向量圖？學習CorelDRAW會很難嗎？本書將帶領大家進入CorelDRAW設計殿堂，進行一次向量圖設計之旅，並採用嶄新的學習方式，讓你快速認識CorelDRAW。完全沒摸過軟體的初學者，即刻能學會操作軟體，接著透過一章完成一個作品的學習過程，在先學會功能的前提下，立即教你活用這些功能設計完整作品，使你具備實務設計的經驗。■ 設計前準備：先學會完成本章作品所使用的功能。■ 設計實作：瞭解設計師如何活用你已學會的功能，完成一幅作品的設計；在這裡，你將學會一些設計技巧與經驗，並能活用功能。■ 進階研習：一些進階性的功能、技巧，使學習更完整深入，設計更具彈性。最終看完本書後，你不僅已學會CorelDRAW這套軟體，更將具備親手設計基本圖形繪製、LOGO設計、產品造型設計、香水海報、吊旗、網頁、戶外廣告、雜誌、DM型錄、食品包裝、藝術展覽廣告、卡片等設計的經驗與能力，這些作品中可是包含了大量設計技巧及圖形、造型、版面、文字、影像、動畫…等技能喔！1.以Step by Step方式引導教學，讓讀者輕鬆跨入平面設計的殿堂。2.彙整業界實務需要的精彩範例，由簡單到複雜的設計製作，讓您學習充滿成就感！3.從精美的範例學習中啟發創意的實現技巧，讓您快速掌握CorelDRAW軟體的操作奧妙。4.隨書還附贈了完整的範例檔案，並以原始檔案的格式儲存，便於讀者練習使用。
                    
"
9789578755994,"

「精美繪圖範例引導，作品發揮淋漓盡致」不論是剛嶄露頭角的藝術家，還是經驗老道的資深設計師，CorelDRAW都是最佳的圖形設計軟體解決方案。借助其豐富的內容與專業圖形設計、照片編輯以及網站設計功能，您將能夠隨心所欲地表達自己的風格與創意。本書將內容分為十七章，第一章簡單介紹了CorelDRAW的介面、工具箱、功能選單。接著利用十六個精彩的範例連貫本書，帶領讀者暢遊CorelDRAW的神奇世界。本書範例包括了水晶球按鈕製作、小丑繪製、LOGO設計、插畫繪製、產品造型設計、卡片設計、吊旗設計、POP設計、網頁設計、VIP卡、電器賣場DM設計、CD包裝設計、燈箱設計、海報設計、沐浴乳包裝設計、信籤設計等案例，所以本書不只是介紹基礎操作的工具書，而是以精美的繪圖範例引導讀者巧妙地運用工具，配合視覺美學將作品發揮得淋漓盡致。讓各位讀者在每完成一個階段的學習之後，都可以看見自己的範例練習成果，不斷提升設計掌握能力，成為優秀的視覺設計師！課程規劃主要針對廣大的平面設計人員及愛好者，精心編製的課程，詳細講解技巧，以豐富的範例引導學習，深入淺出的講解經常面臨的專案設計，並期望讀者能透過對本書各範例的學習熟悉CorelDRAW並用其創作出更優秀的作品。
                    
"
9789864761272,"

一次集結17款商業作品的活用設計全書！ 插畫繪製、商業賀卡、海報設計、吊旗製作、提袋設計、手機產品 展覽牆體廣告、書封設計、燈箱廣告、包裝設計、APP介面、網頁設計… 影像編修設計創意不受限， 現在就全面領略CorelDRAW的極緻商業表現！ 生活上處處可見商業設計的作品，好的設計需具備吸引人目光的特質，通常也需要結合文字、圖像或插畫等元素，而CorelDRAW在影像編修與設計上，算是非常具代表性的工具，其具備專業度與普及性，但要靈活運用，還是需要適切的學習，實例觀摩與練習就是很好的方式。 本書囊括多元的設計案例，逐一深入向量繪圖、視覺創作，以及平面設計的應用世界。透過書中精采主題式作品的引導，細述CorelDRAW各種實務操作與設計技巧，可學習到插畫繪製、商業賀卡、海報、吊旗、手提袋、手機產品、展覽牆體廣告、書封、燈箱廣告、包裝、APP介面，以及網頁設計…等作品，並提供範例檔案。透過主題式的引導，將設計概念性的內容變得輕鬆易學，並藉由實例練習提升設計能力。
                    
"
9789572244265,"


如果會用CorelDRAW，

卻還是做不出具專業感的作品，

你就需要這本書！

	 

	本書包含平面、廣告、網頁設計等各式精采範例，

	引領你如何活用CorelDRAW工具深入光影細節、

	突顯版面特色、掌握拼整圖形的要領，

	以擺脫作品中的「陽春感」與「違和感」，

	讓設計質感和專業度大提升！

	 

本書特色

	 

	收錄17個吸睛度高、讓案主無可挑剔的精采範例

	教你如何活用CorelDRAW工具，讓設計力完全提升！

	透過範例演練，指導關鍵技法，讓學習能快速掌握技巧，更具成就感。

	包含平面X廣告X網頁設計等超實用技法，讓你學得一招，就能萬用於各式案型！

	 

光碟內容：

	全書範例完成檔

"
9789863473299,"


	CorelDRAW X7是加拿大Corel公司推出的最新向量繪圖軟體。歷經多年的時光，它陪伴許多專業設計者、愛好者一同成長！現在您更可以用CorelDRAW獨立完成包括圖形製作、圖像編輯、版式設計及更專業化的行業應用，例如服裝、產品、包裝、地理資訊等。並且可以根據用途輸出成印刷、網頁、移動設備等媒介的文件。

	 

本書透過範例引導式教學，將概念性的東西變得輕鬆易學。課程安排由淺入深，語言平實易懂，範例美觀與實務結合，透過不斷練習提升設計掌握能力，各位讀者皆可成為優秀的視覺特效設計師。目標讀者為視覺設計科系學生、動畫設計科系學生、網頁設計師、對平面設計有興趣的讀者。

	 

	◎ 內容涵蓋圖形繪製、產品造型、印刷品外觀、網頁設計等多種平面設計課程演練。

	◎ 完整解說向量繪圖工具、特效製作、實務演練重要觀念及技法。

	◎ 學習善用向量編輯作業的優勢，讓工作速度與創意發揮最大效益。

	◎ 教您做出千變萬化的視覺特效，並搭配出最令人驚艷的作品。

"
9789863473107,"

功能強大的CorelDRAW，是一套兼具專業圖形設計、相片編輯及出色的網頁繪圖軟體，能夠讓您盡情揮灑、彩繪創意！藉由CorelDRAW X7眾多的增強功能，更能啟發您的創作潛能！CorelDRAW常應用於LOGO、名片、海報、廣告刊物的排版設計、服飾製圖及網版印刷、印鑑雕刻…等，想成為專業的設計達人絕對不能錯過它！*本書包含基本觀念徹底解析，按部就班的講解，無論是初學者或專業人士都適用。*CorelDRAW X7精心設計的數個新工作區，可以反映使用者的工作流程，透過全新的「快速自訂」功能，都可以適時適所地滿足您的需求。*無論是彩繪各式圖形和建立版面、編輯相片，還是設計網站，這套完整的圖形設計軟體，都能協助您設計自己的專屬風格。*色彩管理：無論設計是應用於網頁(RGB)或印刷(CMYK)，都能輕鬆調整適合自己作業環境的色彩模式。*繪製基本向量圖形：範例由簡而繁，就算對繪畫一竅不通也能快速畫出漂亮的基本圖形。*向量圖形的編輯技巧：學會如何編輯圖形，就算處理再複雜的繪圖都能得心應手。*色彩與填色：若要為圖形加分，就不能錯過填色的技巧，無論是單色、雙色、漸層與材質，都能讓作品更生動、更豐富。*向量圖與點陣圖的特殊效果全都一把抓，無論是圖片加工、向量與點陣圖的轉換、套用漸變或濾鏡特效…等都有詳細說明。
                    
"
9789865687410,"


[內容簡介]

	透過《CorelDRAW》，利用最具代表性的功能，以及最實用的指令，讓您無須借重其他軟體即可完成精彩作品。

	透過書中各種不同風格的範例，在演練的過程中，不但能熟悉各種工具的操作技巧，輕易跨越繪圖障礙，更能刺激您發揮無限的想像力，創作出獨一無二的好作品。
	•  基礎學習篇：精闢分析各個工具特性，深入了解各個指令的精神，輕鬆培養紮實的入門功夫，節省探索軟體的寶貴時間。
	•  創意範例篇：透過工具的特性將範例分為8個章節，循序漸進，讓您單純的運用工具即可構成完美的作品，破除非專業人士的迷思，帶領您一起遨遊繪圖的天堂。
	•  動態實力篇：CorelDRAW，讓您的作品橫跨平面繪圖與網頁的設計領域。詳細的操作步驟，在最短的時間內熟悉操作動畫，讓您的創意發揮到最高點。

	 

[光碟內容]

	各章精彩範例原始檔。

"
9789862575840,"

最完善的影音教學，加強您對CorelDRAW X6的認知，達到您的學習目標。本書以完整的範例為主軸，配合功能講解，讓您跟著書中所述步驟進行演練，即可熟悉CorelDRAW X6中文版的各項功能。除了詳盡的解說與精彩的範例外，DVD書附光碟更提供了新功能的影音視訊教學與範例原始檔案，可以說是一本最完整，資訊最豐富的CorelDRAW X6書籍。本書特點達標！CorelDRAW X6提供的影音教學，讓您學習效果加倍，操作概念和範例融合，讓您在最短的時間內熟悉CorelDRAW X6的使用方式。提供最完整的操作介紹：本書從基本操作、快速鍵提示到進階使用技巧都有詳細介紹，您不用多花時間即可熟悉CorelDRAW X6的操作。最完善的動態教學：本書不但有豐富的內容，更提供了即學即用的影音教學檔，結合多媒體動態教學，和課程選單，不會的地方馬上重新學習補強，不必擔心學不會。完整的評測練習：書本的每一章最後都有精選例題，光牒中有互動式測驗，讓您掌握學習成果，累積實做經驗，讓您以最快的速度成為CorelDRAW創意達人。本書附光碟多媒體動態教學，提供最完整的學習內容。隨選課程選單，哪有問題看哪裡。擬真式的指引教學介面，讓您親臨實境，學習不脫鉤。互動式測驗，讓您即測即評，隨時掌握學習進度。多媒體影音教學DVD與書籍搭配，讓您不只學會做，更會應用。
                    
"
9789862768396,"

功能強大的CorelDRAW X6，是一套兼具專業圖形設計、相片編輯及出色的網頁繪圖軟體，能夠讓您盡情揮灑、彩繪創意！ CorelDRAW常應用於LOGO、名片、海報、廣告刊物的排版設計、服飾製圖及網版印刷、印鑑雕刻…等，想成為專業的設計達人絕對不能錯過它！ 基本觀念徹底解析，按部就班的講解，無論是初學者或專業人士都適用。 色彩管理：無論設計是應用於網頁(RGB)或印刷(CMYK)，都能輕鬆調整適合自己作業環境的色彩模式。 繪製基本向量圖形：範例由簡而繁，就算對繪畫一竅不通也能快速畫出漂亮的基本圖形。 向量圖形的編輯技巧：學會如何編輯圖形，就算處理再複雜的繪圖都能得心應手。 色彩與填色：若要為圖形加分，就不能錯過填色的技巧，無論是單色、雙色、漸層與材質，都能讓作品更生動、更豐富。 向量圖與點陣圖的特殊效果全都一把抓，無論是圖片加工、向量與點陣圖的轉換、套用漸變或濾鏡特效…等都有詳細說明。
                    
"
