ISBN,書籍簡介
9789865402365,"

2011年CELSYS公司以全新的「TRIGLAV」算圖引擎，融合IllustStudio推出了囊括黑白漫畫及彩稿繪製的全新版本「CLIP STUDIO PAINT」。八年來，CLIP STUDIO PAINT不斷的更新版本增加功能，後來更是加進了旗下的動畫軟體技術。儼然橫跨了漫畫與動畫；2D到3D，許多COMIC STUDIO好用的功能也陸續移植中。在大家的催促與期盼下，筆者再次提筆與Level X勇者漫畫工作室攜手合作。讓更多繪畫愛好者熟悉這款軟體，如果讀者有使用上的問題，歡迎到筆者的部落格或CSP社團一同討論與探討。這是一本成為漫畫創作者必選的工具書。多位漫畫家一致推薦！
                    
"
9789579559256,"

本書是將可使用於CLIP STUDIO PAINT 的「筆刷素材」大量收錄於附屬CD-ROM 中，並針對筆刷的活用方法以及製作方法技巧進行解說的書籍。●筆刷素材只要透過沿著輪廓描繪的「劃線」，或是點擊按壓的「蓋章」方式，就能輕易地將雲朵、樹木、水面、火焰、霧氣、建築物、橋樑等形狀或是岩石、磚牆、金屬等質感描繪出來●透過實例學習到筆刷素材的使用訣竅●解說素材的原始照片拍攝方法，以及筆刷素材的製作方法●解說CLIP STUDIO PAINT 必須要掌握的嚴選技法●CLIP STUDIO PAINT PRO/EX 、Windows 版/macOS 版/iPad 版，所有的版本．OS 都可使用只要有效地活用本書的筆刷素材，就能在縮短製作時間的同時，將插畫作品昇華至自己所擁有的繪畫能力以上的境界。如果您經常苦惱於時間不夠、或是繪畫能力不足以呈現出心中理想的畫面，那麼這一本終極技法指南書將會提供您最好的奧援！
                    
"
9789571087863,"


	PIXIV人氣插畫大師　清水洋　實用繪圖軟體教學系列第二彈！

	★日本AMAZON網路書店暢銷排行榜第一名！紀伊國屋書店、書泉BOOK TOWER、淳久堂書店、BOOK FIRST書店、丸善書店、有鄰堂書店絕讚好評推薦！

	★專業動畫繪師傾囊相授──使用魔法的少女、下雪的建築物、天馬行空的海潮街景，閱讀這本書，宛如跟在大師身旁學習，看專家在創作時是如何思考的，保證物超所值！

	★獨家祕訣，毫不藏私！初學者也能按部就班學習。
	鉅細靡遺收錄八幅不同主題、觸動人心的場景，
	包括色彩豐富繽紛的場景作畫技巧，從草圖到上色的所有過程，
	除了繪圖時所使用的筆刷，操作時的想法、技巧及知識，
	還徹底分享創作時「為什麼這麼做？」的想法。
	讀者看完之後，也能創作出專屬於自己的風景喔！

	★豪華特典！專家也使用的「清水洋 特製二十四種筆刷檔案」以及書中場景範例檔案，全部可下載使用！(參考書中連結)

	將一幅畫作完美呈現的專業技術
	本書將提高人物魅力，並將一幅插圖修飾得盡善盡美的知識與技巧，以製作檔的方式從草圖到最後修飾作鉅細靡遺且詳細的解說。從背景作畫的思考，到CLIP STUDIO的運用等，有助於繪圖靈感的發想。

"
9789864344291,"


♕史上第一本，最詳細的貼圖創作教學！♕

	♥ 對繪圖一竅不通？史上第一本，讓你一個月就變成貼圖達人！
	♥ 想學iPad獨創技法？史上第一本，教你學會LINE貼圖創作！
	♥ 從繪畫、製作、上架、銷售到行銷， 鉅細靡遺，通通教給你！

本書特色

	☛ 你是繪圖初學者？你對繪圖一竅不通？本書為你量身設計，只要看完本書，一個月就能成為畫圖高手！

	☛ 不想花大錢上課？想學與眾不同的電腦繪圖？本書替你化繁為簡，只要跟著本書的步驟，一個月就能變身貼圖達人！

	☛ 開始學習直覺、流暢的觸控式繪圖吧！電腦繪圖不再複雜難懂， 你將會發現，原來繪圖可以這麼簡單，就像在紙張上書寫一樣！

	☛ 除了製圖、上架、銷售、分析之外，本書更提供了你前所未見的行銷推廣攻略。創作者較欠缺的行銷實戰秘訣、全方位的LINE貼圖攻略，都在本書裡！

"
9789865003456,"


	在2D動畫製作養成過程中，從幾何立體概念繪畫到背景繪製，乃至於角色動作的說服力，皆仰賴全方位基礎築成。本書透過數位繪圖軟體（如Photoshop），結合2D動畫製作軟體TVPaint，循序漸進地繪製與整合2D動畫的逐步環節，以期對生成動畫所需具備之能力，加上重點式引導動畫軟體實務操作及技法，以簡潔的相關繪製要領與操作聚焦示範，作出完整的搭配與繫合。

	 

【精彩內容】

涵蓋動畫法則、中割觀念、個性化物件、具體透視空間背景、動畫律表、分鏡概念。

	◆ 從基礎透視空間感到動畫彈跳球運用、從彈跳球到跟隨變形運用、動畫法則之形變魅力、以基礎角色融入動畫背景

	◆ 角色的表情精髓觀念、角色基本身體運動規律（頭部、半身轉動方式、全身性走路加入形體變化）、角色基本動作之大躍進

	◆ 角色單人進階表演動作、雙人角色進階對戰

精闢剖析2D動畫之數位繪圖技巧、動畫概念及入手操作。

"
1020100000020,"

數位相機的普及已徹底顛覆人們以往拍照、沖洗的習慣, 現在大家對於自己拍、自己印早已習以為常, 沒什麼好值得大驚小怪了！但有件事要提醒大家, 以往將相片送去沖洗, 沖印店其實都會先經過一套編修程序, 讓洗出的相片色彩艷麗、曝光正確, 而自己印相片往往會忽略這道程序, 結果印出的相片品質不佳還要怪罪到印表機身上。現在你應該更進一步學習自己來編修相片！目前市面上早已充斥許多編修相片的相關書籍, 有的追求 ""速成"", 強調不費吹灰之力就可修好相片、有的注重 ""特效"", 讓相片彷彿經過變臉手術, 前後判若兩人；但是當絢爛歸於平靜, 總讓人覺得缺少了什麼 .....。其實, 它們欠缺的一些基本的、重要的影像觀念解說, 所以往往讀者看了之後只知其然, 不知其所以然, 對於編修和書上一模一樣的相片不成問題, 也能夠做出各式精彩的特效, 但是一換成自己的相片就冒出許多問號, 不知所措！本書的目的是要幫助讀者建立編修相片的 Total Solution, 我們會告訴你從拍攝階段就需要具備的正確數位影像觀念, 在編修相片之前, 要如何解讀相片品質的優劣, 分析問題的所在, 可以用什麼樣的方法解決, 各種解決方法有何優劣, 適合運用在什麼樣的場合 ... 等等。我們不僅發掘問題, 還會詳細解析各項編修功能的特性、優勢, 讓各位清楚地了解到, 即使功能的作用類似, 但是對影像造成的影響可是不同的！只要具備這些「一以貫之」的處理原則, 以後不論您面對的是什麼樣的相片, 都有足夠的能力針對相片的缺失進行修正, 同時還能夠進一步融入自己的理念詮釋自己所拍攝的相片, 成為獨一無二的作品！另外, 本書沿續旗標『聖經』系列經典風格, 簡潔清爽的版面設計, 靈活的圖文編排, 專業精緻的典範案例, 提供最舒適的視覺享受。同時還附贈書中的相片範例檔, 讓讀者能夠印證書中內容, 確實學會。本書特色○ 數位影像基礎觀念徹底研究：從光線的構成、色彩的由來、影像像素位元深度的剖析、RGB/CMYK 色彩模型、數位相片的檔案格式、影像的解析度等等, 都有清楚明白的解說。○ 傳達正確的編修流程：以裁切構圖為始, 經調整曝光、清除雜訊、修除色偏、調整色彩、局部處理、數位特效、到銳利化處理一氣呵成, 相片從此脫胎換骨, 更上層樓。○ 強化解析影像的能力：影像色階明暗的判讀、色偏的辨識技巧、修正程度的拿捏、各式案例的剖析探討, 建立獨立的專業編修能力。○ 局部編修的磨練：許多著名的攝影作品都是經過傳統暗房 ""局部處理"" 的, 在數位時代, ""局部處理"" 變得更容易更精緻也更不可或缺, 提供攝影人十足寬廣的創作空間！○ 提升藝術質感的數位特效：不可諱言, 數位技術讓影像特效的製程簡化了, 但也因此讓特效流於濫用, 失去當初拍攝相片的本意；本書我們不介紹超現實的特效, 而是要告訴各位如何運用特效來詮釋攝影者的理念, 提升作品的藝術層次。
                    
"
9789865005092,"

精闢剖析2D動畫之數位繪圖技巧、動畫概念及入手操作！在2D動畫製作養成過程中，從幾何立體概念繪畫到背景繪製，乃至於角色動作的說服力，皆仰賴全方位基礎築成。本書透過數位繪圖軟體（如Photoshop），結合2D動畫製作軟體TVPaint，循序漸進地繪製與整合2D動畫的逐步環節，以期對生成動畫所需具備之能力，加上重點式引導動畫軟體實務操作及技法，以簡潔的相關繪製要領與操作聚焦示範，作出完整的搭配與繫合。商品特色：◆ 涵蓋動畫法則、中割觀念、個性化物件、具體透視空間背景、動畫律表、分鏡概念。◆ 從基礎透視空間感到動畫彈跳球運用、從彈跳球到跟隨變形運用、動畫法則之形變魅力、以基礎角色融入動畫背景◆ 角色的表情精髓觀念、角色基本身體運動規律（頭部、半身轉動方式、全身性走路加入形體變化）、角色基本動作之大躍進◆ 角色單人進階表演動作、雙人角色進階對戰◆ 隨書附光碟，內含本書範例檔案
                    
"
9789869461252,"


一本【大人、小孩】都值得看的書，手把手教您學會2D/3D電腦繪圖！

	 

◎ 電腦繪圖初體驗

	從構圖，到使用簡單的幾何形狀，組合繪製圖案，踏出向量繪圖第一步。

	 

◎ 向量繪圖的技巧

	透過可愛章魚和海星，學習向量繪圖基本技巧，包括：填充、群組翻轉、圖形順序、再製、等比縮放、圖樣鋪排與對齊……等。

	 

◎ 跟圖形玩加減法

	當圖形重疊，運用「路徑相加、減去、交集、分割」等功能，創造、組合出角蝶魚、鯨魚、熱帶魚……等千變萬化的圖案造型。

	 

◎ 遮罩和路徑編輯

	拿起畫筆隨意畫，簡化節點（路徑）調整形狀；透過遮罩或剪裁，凸顯主角；添加多樣濾鏡，讓圖片更加亮眼。

	 

◎ 海報設計與製作

	學習圖層的建立，背景層填充海的顏色，海浪層畫上漸層、波浪；在海洋世界層匯入海洋生物，文字層加上標題，完成「世界海洋日」宣導海報。

	 

◎ 動手做祝福卡片

	運用漸層圖樣做卡片背景，平均分布做裝飾，剪裁做愛心照片，加入模糊、陰影特效，製作路徑文字，完成別出心裁的卡片。

	 

◎ 3D建模初體驗

	動手做名牌！從做中學習3D建模，造型調整，再製、對齊；加入文字浮凸，群組相加做造型，群組減去打洞；轉存STL檔，列印3D作品。

	 

◎ 一起來做愛心杯

	把2D變成3D圖，做底板或支架撐住，描繪點陣圖再匯入；製作迷你愛心杯杯，包括「把手豎立、穿透，中間挖空處理」。

	 

本書特色

	 

★ 符合教育部108課綱

	輕鬆融入108課綱，培養2D/3D電腦繪圖能力，提升資訊和藝術素養。

	 

★ 內容豐富，淺顯易懂

	課程完整，搭配觀念重點，循序漸進。圖解清楚，只要按步操作，輕鬆學會，適合初學者和進階學習。

	 

★ 原創素材，範例有創意

	本書採用原創圖庫、素材，範例完整精緻、有創意。

	 

★ 愛護眼睛，圖大字大

	印刷精美，圖大字大；採用日本紙張油墨，紙質不反光，保護視力。

	 

★ 影音動畫教學，一點就通

	超過150分鐘，採用【互動式腳本、專業錄音】製作，生動活潑，讓您無師自通。憑影音教學卡索取（附於書腰折口，含範例素材）。

	 

"
9789865004521,"


	實務好用－搭配具體案例、效果與範例完整演示。
	學習實用－各外掛軟體皆提供其出處與效果說明。
	技術耐用－所提列之外掛插件皆可安裝於AE。

	本書以實際動畫師應用專案導向為主體，提供相對應的插件外掛軟體介紹，利用可套用至After Effects中的外掛插件工具，並加入創意元素，最後設計出多種具體影像後製潤色、動態影像特效、各類特效應用等完整教學，不僅只是介紹目前常被使用的外掛資源，同時也引導讀者如何應用這些資源，輔導讀者善用各項優質插件以提升After Effects執行與應用能力，為您的視覺設計工作提供更強大的效率與效果。

	書附光碟內容：DVD/範例暨資源檔案
本書特色

	提供完整的AE外掛插件內容介紹、具體操作與製作流程應用技巧。
	提供各類型插件運用、製作觀念與完整實務範例編輯技能。
	提供多影像後製與電腦繪圖內容製作流程觀念與實務經驗。
	提供AE新增功能技術與相關觀念。

	 

"
9789865004477,"

本書雖然每項課程都包括建立特定專案的步驟練習，但依舊為您保留了探索與實驗的練習空間。您可從頭到尾做完本書的所有練習，亦可依自己的喜好與需求，完成相關部分的章節課程。每章課程結尾均有「課後練習」與「練習解答」，協助您複習該章課程內容。商品特色：本書是由Adobe 產品專家提供支援的圖像與出版軟體官方訓練系列叢書之一。書中所提供課程，都已設計為可讓您依自己的進度來練習。若您剛開始接觸Animate，便可學到如何執行本應用程式的各項基本操作。若您已是資深使用者，也可在本書找到許多進階功能的學習，包括使用最新版應用程式的各種訣竅與技巧。
                    
"
