ISBN,書籍簡介
9789576154584,"

◆ 實戰演練，逐步詳述提高繪圖效率與品質◆ 簡單的方式說明複雜的事，快速學會操作技巧由於經濟發展迅速，產品設計與開發依賴3D CAD系統可說是日趨廣泛，日常生活中，小到一顆螺絲，大到一架飛機，無不仰賴3D CAD系統，因此使用一套3D 軟體，已成為從事設計與開發人員不可或缺的工具，但要熟悉及使用一套3D 軟體並不是一件容易的事，眾多的指令與複雜的功能，往往使人不知從何下手，摸不著頭緒，到最後乾脆敬而遠之，其實要學習一套3D 軟體並不難，重要的是找對 ”工具”。本書撰寫內容主要是針對Pro/E的曲面及進階指令部分，在一般的使用或學習上，通常只要進入這個領域或是必須使用到這些指令，許多時後都會就此停住，無法再往前進了，因為的確有其困難度，但只要觀念正確，再透過有系統的學習，其實你會發現並不難的。因此，找對工具、找對老師是很重要的，我將累積10幾年來的工作實務及教學經驗，以最簡單明瞭的方式撰寫這本書，以”簡單的方式說明複雜的事”，是這本書的特色，相信透過本書簡單的例子，詳細的操作步驟，一定能帶給您在Pro/E學習上最大的幫助，使您早日晉升設計師的行列。
                    
"
9789863125198,"


自學 Premiere Pro 必備的參考、查閱寶典！

 早期拍攝影片需要專業的攝影器材，隨著智慧型手機、數位相機的普及，人人都可以用手邊的設備來拍攝。雖然拍影片變簡單了，但可不是隨便上傳到社群網站就會有大量的點閱率或分享。如果內容不夠有趣，也沒有經過後製處理（例如：加字幕、配樂或是加特效），更是乏人問津。

 具備 4K、8K 錄影的相機及手機愈來愈多，加上各社群網站對影片的支援度也愈來愈廣，不論是想製作廣告短片、想在 Facebook 分享個人生活影片、還是想成為 YouTuber，若能學會自己修剪、美化影片，除了省下委外後製的費用，還能徹底實踐您的創意。

 本書以淺顯易懂的說明帶您進入 Premiere 的剪輯世界，每個主題以 2～4 頁的篇幅做介紹，讓初學者不會感到壓力，並適時輔以示意圖說明剪輯的觀念，對時下熱門的 VR 影片、在手機上剪輯的方法、以及發佈到 FB、YouTube，也有具體的說明。不論您是對 Premiere 毫無頭緒或是曾經用過舊版 Premiere 升級至 CC 版，想學習更多技巧的人，都可以從本書找到答案。

本書特色

 ★網路行銷當道！
 廣告短片、FB、IG、YouTube 影片自己剪，還能省下委外經費。

 ★不限來源裝置、不限檔案格式！
 支援任何手機、相機格式，連 4K、8K、360 度 VR 影片都能編輯。

 ★與社群緊密結合！
 剪輯完成可立即發佈到 FB、YouTube、Twitter、Vimeo 等社群。

"
9789866025983,"

【※更多書籍資訊請到www.bookcity.com.tw網站】由於經濟發展迅速，產品設計與開發依賴3D CAD系統可說是日趨廣泛，日常生活中，小到一顆螺絲，大到一架飛機，無不仰賴3D CAD系統，因此使用一套3D軟體，已成為從事設計與開發人員不可或缺的工具，但要熟悉及使用一套3D軟體並不是一件容易的事，眾多的指令與複雜的功能，往往使人不知從何下手，摸不著頭緒，到最後乾脆敬而遠之，其實要學習一套3D軟體並不難，重要的是找對 ”工具”，因此，使用一本好書，將使學習事半功倍。延續以”簡單的方式說明複雜的事”撰寫精神，以最簡單明瞭的方式撰寫這本書，而本書是以Pro/Engineer Wildfire 5.0版全新的操作介面進行撰寫，其中包含5.0版新增功能介紹與操作示範，相信透過本書簡單的例子，詳細的操作步驟，一定能帶給您在Pro/E學習上最大的幫助，使您早日晉升設計師的行列。．以”簡單的方式說明複雜的事”是本書最大特色。．本書適用Pro/Engineer Wildfire 5.0 版操作介面。．採用一步一步的圖文操作說明，簡單明瞭易學易懂，適合作為初學者的入門書籍。．採用思想導引加強讀者邏輯思考能力。．每一章節後提供作業題目，增加練習時間，加強設計能力。適合職校、大專院校之機械、電子、電機、工業設計等工程相關科系使用。
                    
"
9789576153570,"

Pro/Engineer軟體是美國PTC公司（Parametric Technology corporation）推出的工程設計軟體，是一個全方位的3D產品開發軟體。它集零件設計、產品裝配，模具開發、NC加工、鈑金設計、鑄造設計、造型設計、逆向工程、自動測量、機械類比、壓力分析、產品資料管理等功能於一體，廣泛應用於電子產品、家用電器、汽車、航太設備以及玩具等行業。在複雜的全球環境下，產品開發團隊經常面臨眾多影響生產力提升的障礙，包括設計變更?生產時間?處理異構CAD資料?採用多種解決方案進行工作?識別資源以及充分利用團隊知識等。強大的Pro/ENGINEER將提供超強功能，進一步提升生產力，豐富用戶體驗，達到設計無障礙。本書採用範例引導教學，對常用的基本功能逐一詳解，將重要的知識重點嵌入到實際範例練習中，讓讀者可以循序漸進、隨學隨用、邊看邊操作，符合教育學習規律，便於鞏固所學的知識。本書分為十四個章節，分別講述Pro/Engineer的3D建模概念、草繪技巧、基礎特徵建構與應用、工程圖繪製、零件裝配、進階實體建模、曲面建構與ISDX進階設計等等範圍，將常用的技巧與功能融入到實務範例練習中，讓讀者可以在實際工作與生活中熟練運用Pro/Engineer。
                    
"
9789578755758,"

Pro/Engineer軟體是美國PTC公司推出的工程設計軟體，是一個全方位的3D產品開發軟體。它集零件設計、產品裝配、模具開發、NC加工、鈑金設計、鑄造設計、造型設計、逆向工程、自動測量、機構模擬、壓力分板、產品資料管理等功能於一體，讓產品的設計工時更為縮短，用更快的生產效率將更優秀的產品更快速的帶入市場，為企業贏得更大的競爭力。本書課程安排透過Step by Step的方式引導介紹Pro/Engineer的草圖繪製、實體特徵、曲線曲面以及模型裝配等功能在實務操作中的應用。在前面幾章中先簡要的介紹了軟體各種指令的使用方法，然後透過精彩實例的演練再對軟體各種應用技巧進行詳盡講解，使得讀者能夠完整的熟悉從零件設計到產品機構裝配全過程。1. 全書精選Pro/Engineer產品機構設計實例，以Step by Step的方式介紹，提升讀者的進階應用能力。2. 循序漸進的引導讀者學習，從常用指令操作、零件造型設計到完整機構裝配的製作過程，讓您學習充滿成就感！3. 內容詳實完整，針對業界實務應用方向彙整編排，提供完整的訓練課程。4. 本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。
                    
"
9789578755703,"

市面上的3D製作軟體，通常需要付出價格不菲的代價才能取得。但Google SketchUp就不同了，它是個快速且易於使用的3D繪圖工具，可以幫助我們輕鬆製作出房屋、沙發等模型，而且最重要的是，它是免付費軟體，讓我們在不支出任何費用的情況下，也能一窺3D的世界。SketchUp是一套極受歡迎並且易於使用的3D設計軟體，其創作過程不僅能夠充分表達設計師的思維而且完全滿足與客戶即時交流的需要，它使得設計師可以直接在電腦上進行十分直接的構思創作，是3D建築設計方案創作的優秀工具。它的建模流程簡單明瞭，就是畫線成面，而後擠壓成型，這也是建築建模最常用的方法。SketchUp絕對是一款適合於設計師使用的軟體，讓軟體的操作不會成為使用者的障礙，讓設計師可以專注於設計本身了。本書既為SketchUp的工具書，又可作為學生步入社會前的間接經驗借鑒，內容詳細闡釋了SketchUp的基本概念及其應用，根據實際的專案設計，由最初的CAD圖紙到SketchUp的模型製作，再到最終的圖片及動畫的完成，向讀者展示SketchUp在設計界的魅力以及在實務應用中的地位。
                    
"
9789865000264,"


	Pro/Engineer是美國PTC公司的標誌性軟體，該軟體已逐漸成為當今世界最流行的CADCAM/CAE 軟體之一，被廣泛用於電子、通訊、機械模具汽車自行車航太家電玩具等各製造行業的產品設計。

	本書基於 Pro/Engineer 軟體的全功能模組，做了整體細緻的講解，從安裝、基本操作與設置開始，草圖功能、基本實體特徵設計、構造特徵設計、參數化設計、曲面編輯與操作、渲染與裝配設計等等，結構嚴謹、可讀性強、範例設計實用，富含專業性且有明確的步驟，是廣大讀者快速掌握Pro/Engineer的自學實用指導書，也可作為大專院校電腦輔助設計課程的指導教材。

	Pro/Engineer是美國PTC公司的標誌性軟體，該軟體已逐漸成為當今世界最流行的CADCAM/CAE 軟體之一，被廣泛用於電子、通訊、機械模具汽車自行車航太家電玩具等各製造行業的產品設計。

	本書基於 Pro/Engineer 軟體的全功能模組，做了整體細緻的講解，從安裝、基本操作與設置開始，草圖功能、基本實體特徵設計、構造特徵設計、參數化設計、曲面編輯與操作、渲染與裝配設計等等，結構嚴謹、可讀性強、範例設計實用，富含專業性且有明確的步驟，是廣大讀者快速掌握Pro/Engineer的自學實用指導書，也可作為大專院校電腦輔助設計課程的指導教材。

"
9789863757726,"


	Pro/Engineer是美國PTC公司的標誌性軟體，該軟體已逐漸成為當今世界最流行的CADCAM/CAE 軟體之一，被廣泛用於電子、通訊、機械模具汽車自行車航太家電玩具等各製造行業的產品設計。

	本書基於 Pro/Engineer 軟體的全功能模組，做了整體細緻的講解，從安裝、基本操作與設置開始，草圖功能、基本實體特徵設計、構造特徵設計、參數化設計、曲面編輯與操作、渲染與裝配設計等等，結構嚴謹、可讀性強、範例設計實用，富含專業性且有明確的步驟，是廣大讀者快速掌握Pro/Engineer的自學實用指導書，也可作為大專院校電腦輔助設計課程的指導教材。

	Pro/Engineer是美國PTC公司的標誌性軟體，該軟體已逐漸成為當今世界最流行的CADCAM/CAE 軟體之一，被廣泛用於電子、通訊、機械模具汽車自行車航太家電玩具等各製造行業的產品設計。

	本書基於 Pro/Engineer 軟體的全功能模組，做了整體細緻的講解，從安裝、基本操作與設置開始，草圖功能、基本實體特徵設計、構造特徵設計、參數化設計、曲面編輯與操作、渲染與裝配設計等等，結構嚴謹、可讀性強、範例設計實用，富含專業性且有明確的步驟，是廣大讀者快速掌握Pro/Engineer的自學實用指導書，也可作為大專院校電腦輔助設計課程的指導教材。

"
9789869065696,"


給Vegas Pro影像創作者的最佳指引用書


	Vegas Pro剪輯軟體的愛用者有福啦！
	你們引領期盼的經典用書終於來了，
	難懂的英文使用手冊可以丟置一旁。
	透過本書中充實內容的介紹與說明，
	將加速你對介面功能操作的熟悉度，
	進而掌握住每一功能的特性與應用；
	而你有興趣的廣告手法或電影效果，
	在精選範例中也有詳細的步驟解說，
	能夠輕易地了解與學習到製作技巧；
	也不用擔心找不到免費的影音素材，
	書中整理了利於剪輯作業的資源網，
	可以靈活應用讓你的創意無限發揮。

	◎超過48個精選範例，涵蓋了片頭片尾、標題字幕與轉場特效等各類應用的實作說明，從中不僅可以學習到實用的技法，也可以藉由影像或照片的置換來靈活應用。

	◎從簡單的2分割畫面到複雜的16分割畫面，或是透過畫面框架設計來呈現影像，書中都有詳細的製作解說。只要充分了解畫面配置的要訣，皆可按照自己的想法架構出影像的位置。

	◎在標題字幕的製作上，除了有在情書上的逐字顯現或是類似星際大戰般的字幕流動等效果，也介紹了利用Boris Continuum Complete的外掛程式來製作3D字幕，讓標題字幕的表現更加多樣化。

	◎讓人驚豔的相簿翻頁效果和8角形旋轉體相框，無法保留地解密。教你如何結合3D Track Motion、Event Pan/Crop和子母軌等運用來製作出複雜的特效，讓你的影像作品更為與眾不同。

"
9789863800101,"


	Pro/ENGINEER Wildfire 5.0是PTC公司整合3D CAD/CAM/CAE軟體的一個重大更新版本。Pro/ENGINEER是全球首個參數化CAD解決方案，此次通過加入新功能，將不斷增強其在市場上的領導地位，幫助使用者克服傳統的設計障礙，提高產品開發速度、效率和創新性。

	 

	在當今複雜的商業環境下，產品開發團隊經常面臨眾多影響生產力提升的障礙，包括設計變更、生產時間、處理異構CAD資料、採用多種解決方案進行工作、辨別資源以及充分利用組織知識等。強大的Pro/ENGINEER Wildfire 5.0將提供超過330項的增強功能，借以提高生產力，豐富使用者體驗，達到設計無障礙的目標。

	 

	本書將重點講述Pro/ENGINEER的進階實體建模功能，接著進入曲面建構與ISDX進階曲面設計，最後介紹機構運動與動畫製作，結合豐富的範例練習與講解，力求做到逐步詳述，附圖說明，一目了然，使讀者能輕鬆學會Pro/ENGINEER的強大功能。

"
