ISBN,書籍簡介
9789576154683,"

偉大的產品始於偉大的設計 - 從概念到製造出的零件和裝配體。SolidWorks 2021提供了新的工具和增強功能，可幫助您更快將設計投入製造，同時提高質量並降低成本。新版SolidWorks匯集了眾多優點，透過在裝配與繪圖功能、內建模擬、設計成本計算、佈線、影像與動畫創作以及產品資料管理等方面進行各種改進，提高創新和設計團隊的工作效率。本書精選SolidWorks進階操作指令，透過實例引導分別講述SolidWorks進階建模功能︰曲線曲面應用、高階實體、音響外殼、滑鼠以及玩具飛機等高階曲面設計等綜合演練，並補充PhotoView 360影像著色、e-Drawings電子視圖、SimulationXpress/Motion/FloXpress/Costing/Sustainability設計分析工具、Animator動畫製作等課程。將重要的應用技巧結合到實際教學中，使讀者可以循序漸進、隨學隨用、邊看邊做，便於鞏固所學的知識，在工作與學習中能快速得到實踐。本書特色■ 全書精選SolidWorks重要的操作技巧，透過Step by Step引導教學，讓您學習無障礙。■ 循序漸進的課程安排，由簡單範例到複雜實體的製作，讓您學習充滿成就感！■ 內容詳實完整，針對業界實務應用方向彙整編排，提供完整的教學方案。■ 本書適合機械設計相關科系之大專院校、高工職校及業界教育訓練學習使用。
                    
"
9789576154232,"

SolidWorks匯集了眾多優點，透過在裝配與繪圖功能、內建模擬、設計成本計算、佈線、影像與動畫創作以及產品資料管理等方面進行各種改進，提高創新和設計團隊的工作效率，其中大部分功能將幫助設計人員：◆ 讓最常使用的設計功能實現自動化◆ 為更精簡的工作流程提高性能與品質◆ 從根本上改變產品開發過程以加快產品設計◆ 為團隊合作提供協同運作的支援，以提高創造力和效率SolidWorks 2021是一款全面的3D設計解決方案，使用者可以更加高效地工作及獲取所需的資料，以便在整個產品開發過程中制定更好的設計方案。本書精選SolidWorks重要基礎操作指令，透過實例引導分別講述SolidWorks的基礎應用、伸長與除料、旋轉、複製、參考平面、薄殼與肋材、掃出、疊層拉伸、工程圖、組合件、鈑金與塑模、零件庫等功能。將重要的應用技巧結合到實際教學中，使讀者可以循序漸進、隨學隨用、邊看邊做，便於鞏固所學的知識，在工作與學習中能快速得到實踐。
                    
"
9789865004712,"


	本書針對在3D實體模型建構中需要用到SolidWorks2020的各階層讀者而編制。如果您是初學者，本書能幫助您快速上手，完成產品的設計；即便您已經是3D實體建模的老手，也能作為手邊的參考書，隨時查閱所需知識。

本書特色

	一本讓您能夠快速上手、完成產品設計的SolidWorks指南寶典
	※介紹軟體工作介面與基本設計概念
	※大量實例操作，講解各種實用技巧
	※適合SolidWorks各階層讀者使用

"
9789864343928,"


	SOLIDWORKS Flow Simulation培訓教材＜繁體中文版＞是依據DS SOLIDWORKS公司所出版的《SOLIDWORKS：SOLIDWORKS Flow Simulation》編譯而成的書籍。本書著重於介紹使用SOLIDWORKS Flow Simulation軟體的介面與分析流程，並結合多個經典範例展現了軟體的強大功能。包含新建 一個專案的大概流程、網格劃分的細節、熱分析、外部流場暫態分析、共軛熱傳、EFD Zooming...等。

	本套教材不但保留了英文原版教材精華和風格基礎外，同時也按照台灣讀者的閱讀習慣進行了編譯審校，最適合企業工程設計人員和學校相關專業師生使用。

"
9789863476443,"

附DVD一片成就Solidworks電腦繪圖能力與職場技能的10大應用關鍵！ 深入機械設計/工業設計/產品設計/造型設計/零件設計的實戰演練！ ■基礎必備的SolidWorks核心技法 涵蓋電腦輔助製圖、電腦輔助設計的基礎必修內容，包括草圖、3D特徵、參考幾何、曲面建模、組件與爆炸視圖、工程圖、基礎實例，以及進階實例，迅速掌握SolidWorks的入門要領，同時扎實指令應用技能。 ■深入淺出的圖解步驟式導引 以圖文並茂的方式來說明概念與操作方法，並以循序漸進的方式學習軟體操作，更輕鬆的學會設計方法。 ■入門養成的快速演練實例 對於重要的繪製與編輯指令，書中皆有精確的操作步驟教學，後半部更以整合實例介紹實務設計流程。只要熟練書中操作，就能達到學校與職場要求的基本產品設計與繪製能力。 ■結合趨勢的3D成形技術 3D列印成為熱門主題，書中以相機為例，只需簡易的操作，即可將設計模型以塑料列印出3D成品，每個人都可以親手將設計的作品變產品！ 書附超值DVD： 210分鐘基礎與關鍵操作影音教學/範例檔
                    
"
9789863759782,"


	原文書總銷售高達兩百萬本

	 

	帶您進入全彩、圖文並茂的科技旅程

	 

	這是一本完整描述電腦的書，全方位解釋了電腦科技，明白告知我們每日仰賴為生的工具是如何發明的，不管你程度如何，皆可以開發你的想像力，賞心悅目且促進腦力活化，除了幫助了入門者了解這門新科技，專業電腦玩家也能從本書深度的探討中獲得寶貴的內涵。

	 

	本書內容：

	l   詳述如何將桌機轉成放在手心上的智慧手機及平板電腦。

	l   電腦科技是如何和我們的家、工作場所、娛樂及日常生活作連結。

	l   臉書、推特、Google、eBay以及智慧型手機是如何擴展我們的朋友圈、知識和各種機會。

	l   微型化趨勢如何衍生新的產品，如智慧手機、智慧手表及Google眼鏡。

	l   電腦科技如何從量子物理及其他創新中取得優勢。

"
9789863801504,0
9789576154782,"

本書以SolidWorks2012為寫作版本，主要基於此版本可通用目前PC上的任何作業系統而受業界廣用，後續新版本如2013、2014、2015...等皆適用本書所述之四大基本成型與六大曲面成型的設計概念，且適時的以「提示框架」引導學習者連結與展開相關資訊，以協助使用者加以轉化應用。作者實際體認業界現況，除了設計或繪製造型為最基本需求能力，也必須在客戶端表現出產品的「可預期」樣貌，因此在各大主題中以繪製造型至彩現渲染為主要呈現，主要在符合客戶端的基本需求，讓使用者於整體設計與繪製上有具體的表現力及敘述力；而彩現渲染的表現運用到Photoshop、Illustrator及AutoCAD刻印等外部素材的插入與黏貼。於後段，在各主題中挑出幾個產品零件，並以3D Printer列印堆疊成型，使設計者可更加確定開發/設計的產品「可行性問題」的驗證與實體表達；設計產品從3D模型 → 彩現渲染 →3D列印實體 →末端或客戶驗證與修正 →大量生產(模具)，這就是目前實際業界上的設計「實現」的流程，串接出整個設計者/繪圖者整體基本能力的架構藍圖。
                    
"
9789864348268,"


步驟式的圖文解說方式
完全自修，不必花錢、花時間到訓練中心上課
正確的建模SOP導引觀念和實務，讓你知道業界要的是什麼，何謂標準？建立標準！

	‧多年業界輔導經驗 專業引導快速上手
	‧提供精準零件繪製圖 將所學與業界接軌
	‧更多CAD模型範例 盡在SolidWorks論壇分享

	這是一本專門介紹SolidWorks零件的培訓應用書籍，強調基礎教育，內容與時俱進使用最新版軟體，也是設計給初學者進行基本訓練到一流工程師的養成系列計畫之首部曲，一次擁有草圖和特徵兩大製圖靈魂。本書可與後續即將出版的SolidWorks專業工程師訓練手冊[2]－進階篇連結，會讓你迫不急待想進階學習，這本基礎篇保證自發性重複閱讀，每次有不同意境。

本書特色

	◎建模技術完整收錄：2D草圖＋3D模型建構
	◎口訣讓專業變簡單＝看就會的專業
	◎章節順序＝學習順序
	◎草圖與特徵的指令字典
	◎製圖技術同步導入模組化
	◎直播和訓練課程的學習教材

	【適用對象】
	本書適合完全沒有CAD經驗或非工業科系使用者，也可作為大專院校機械工程專業師生的教學參考書。

"
9789869946728,"

SolidWorks 2019提供了新的工具與增強功能，可幫助您更快將設計投入製造，同時提高質量並降低成本。新版SolidWorks匯集了眾多優點，透過在裝配與繪圖功能、內建模擬、設計成本計算、影像與動畫創作以及產品資料管理等方面進行各種改進，提高創新與設計團隊的工作效率。本書精選SolidWorks進階操作指令，透過實例引導分別講述SolidWorks進階建模功能︰曲線曲面應用、高階實體、音響外殼、滑鼠以及手機等高階曲面設計等綜合演練，並補充PhotoView 360影像著色、Animator動畫製作、e-Drawings電子視圖、SimulationXpress /Motion/FloXpress/Costing/Sustainability設計分析工具等課程。將重要的應用技巧結合到實際教學中，使讀者可以循序漸進、隨學隨用、邊看邊做，便於鞏固所學的知識，在工作與學習中能快速得到實踐。
                    
"
