ISBN,書籍簡介
9789576154652,"

早期中文打字是一門專業的技術，如今電腦為中文打字帶來巨大的變革，以往需要給打字行才能製作的文件，現在幾乎任何一個小學以上的學生，只要配合適當的文書處理軟體，相信都可以製作列印出精美的文件。在還沒學習任何一種中文輸入法之前，相信大家一定都是使用注音輸入法來輸入中文，其原因不外乎就是認為要學習其他輸入法可能太難了。一般注音輸入法的取碼數目不超過四個，但是由於注音的同音字太多，因此常會造成輸入錯誤，或是因為選字而無法加快打字的速度。雖然目前的新注音或自然等輸入法，利用詞庫的對應減少重覆字的問題，可是使用者還是必須要會念才有辦法輸入，因此使用上也可說是具有某種程度的不方便。一般而言中文輸入必須滿足「看到字就可直接取碼」、「字碼重覆性小」、「輸入的碼數要少」、「簡單易學」等幾項需求。倉頡輸入法是目前最流行的拆字形輸入法之一，由於它的中文取碼數目不超過五個，同碼的字也不會太多，當然新倉頡也有詞庫可以減少重覆字的發生，更重要的是只要看到字形就可以取出倉頡碼，因此也算是相當容易學習。倉頡輸入法在所有中文電腦系統中都可以使用，換句話說，它是一種跨平台的中文輸入法。另外，倉頡輸入法已經內建於Windows作業系統中，因此使用者根本不需再花錢額外購買。倉頡輸入法可說是目前最方便好用的中文輸入法，打字速度快、取碼原則性佳、到處都可通行，而且完全免費使用，的確是現今中文輸入法的不二之選。
                    
"
9789863800903,"

倉頡輸入法在所有中文電腦系統中都可以使用，換句話說，它是一種跨平台的中文輸入法。另外，倉頡輸入法已經內建於Windows作業系統中，因此使用者根本不需再花錢額外購買。倉頡輸入法可說是目前最方便好用的中文輸入法，打字速度快、取碼原則性佳、到處都可通行，而且完全免費使用，的確是現今中文輸入法的不二之選。√ 活潑生動的版面編排，讓您閱讀起來不會覺得枯燥乏味，藉以提高學習倉頡輸入法的興趣。√ 編排方式由淺入深，依據倉頡取碼的理解順序來解說，讓您能夠快速學會倉頡輸入法。√ 以圖解方式來解說倉頡取碼規則，保證初學者一看就懂，讓中文取碼過程更容易明瞭。√ 「倉頡取碼字典圖解速查」－以中文筆劃順序編排，只要算出筆劃就可以依此查詢到中文字的倉頡取碼。√ 「注音、漢語拼音索引」－以注音、漢語拼音作為索引對照，非常適合熟悉注音或漢語拼音的使用者查詢。
                    
"
9789860622522,0
9789865028442,"

實力養成篇-輸入法 ★本書為中文、英文、數字輸入三合一版本。 ★完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 實力評量篇-上機實際練習、學習效果百戰百勝 ★提供「TQC輸入輔助教學暨認證系統 V2021」，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 本書特色 ◆輸入法學習一網打盡：適合任何一種輸入法學習，文章練習功能提供單、雙視窗練習模式，提供讀者充分練習，自我評量。 ◆學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。 ◆基金會為教師所精心設計的成績收錄管理功能： A.課堂成績及家庭作業迅速收集彙整，操作方便。 B.透過內部即時網路監控繳交狀況。 ◆本書「實力養成篇」包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。更可透過「TQC 輸入輔助教學暨認證系統 V2021」(採單、雙視窗練習環境)上機實際練習，學習效果百分百。 ◆本書包含「中文、英文、數字輸入測驗系統」，並提供技能認證試題，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 ◆本系統適用於Windows 10中文版作業系統。採光碟安裝程式，可安裝至單機或網路磁碟機。 ◆本書採可站立式線圈裝訂，無須另備看板架且方便翻頁。 ◆安裝光碟內含廠商授權試用版軟體：自然輸入法12。
                    
"
9789865021542,"

實力養成篇-輸入法 本書為中文、英文、數字輸入三合一版本。 完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 實力評量篇-上機實際練習、學習效果百戰百勝 提供「TQC輸入輔助教學暨認證系統 V2019」，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 本書特色 ◆輸入法學習一網打盡：適合任何一種輸入法學習，文章練習功能提供單、雙視窗練習模式，提供讀者充分練習，自我評量。 ◆學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。 ◆基金會為教師所精心設計的成績收錄管理功能： A.課堂成績及家庭作業迅速收集彙整，操作方便。 B.透過內部即時網路監控繳交狀況。 ◆本書「實力養成篇」包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。更可透過「TQC 輸入輔助教學暨認證系統 V2019」(採單、雙視窗練習環境)上機實際練習，學習效果百分百。 ◆本書包含「中文、英文、數字輸入測驗系統」，並提供技能認證試題，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 ◆本系統適用於Windows 7、Windows 10中文版作業系統。採光碟安裝程式，可安裝至單機或網路磁碟機。 ◆本書採可站立式線圈裝訂，無須另備看板架且方便翻頁。 ◆安裝光碟內含廠商授權試用版軟體：新自然輸入法11。
                    
"
9789865756970,"


DIY自創自己的中文輸入法

  

 如果你不想自己編碼而想找一款簡單的輸入法，那麼你可以到筆者的網站（a-be.myweb.hinet.net）下載DIYime.7z檔案，或超連結到（a-be.myweb.hinet.net/DIYime.7z），體驗體驗筆者自行改良創造的【老蘇形音中文輸入法】。只要輸入三碼，輸入「頭尾一」三個碼就能打出一個漢字。即「倉頡的頭一碼」和「倉頡的最尾一碼」和「注音的第一碼」。如果不知道注音的第一碼就按「Ｚ」（「ㄈ」）鍵，不按「Ｚ」（「ㄈ」）鍵也可以。

 為了讓讀者可以很快的自行編寫的輸入法，本書簡單示範只用數字就可以輸入中文的「無理頭輸入法」。讀者可以照著範例練習編碼及輸入中文；也可以將自己已寫好的輸入法碼表複製貼在「無理頭輸入法」碼表上變成自己專屬的輸入法。

 不管你是用何種中文輸入法，你都要有一個自己的字碼表。為什麼要擁用這個字碼表？第一：因為作業系統一直改，所以內建的中文輸入法也會跟著改。第二：有些字不常用、不會輸入，有了這個碼表就可以查碼了。

"
9789864768042,"

實力養成篇-輸入法 本書為中文、英文、數字輸入三合一版本。 完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 實力評量篇-上機實際練習、學習效果百戰百勝 提供「TQC輸入輔助教學暨認證系統 V2018」，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 ◆輸入法學習一網打盡：適合任何一種輸入法學習，文章練習功能提供單、雙視窗練習模式，提供讀者充分練習，自我評量。 ◆學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。 ◆基金會為教師所精心設計的成績收錄管理功能： A.課堂成績及家庭作業迅速收集彙整，操作方便。 B.透過內部即時網路監控繳交狀況。 ◆本書「實力養成篇」包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。更可透過「TQC 輸入輔助教學暨認證系統 V2018」(採單、雙視窗練習環境)上機實際練習，學習效果百分百。 ◆本書包含「中文、英文、數字輸入測驗系統」，並提供技能認證試題，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 ◆本系統適用於Windows 7 / Windows 8.1 / Windows 8.1 Professional / Windows 10中文版作業系統。採光碟安裝程式，可安裝至單機或網路磁碟機。 ◆本書採可站立式線圈裝訂，無須另備看板架且方便翻頁。 ◆安裝光碟內含廠商授權試用版軟體：新自然輸入法11。
                    
"
9789864763702,"

本書內容 實力養成篇-輸入法＊本書為中文、英文、數字輸入三合一版本。 ＊完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 實力評量篇-上機實際練習、學習效果百戰百勝＊提供「TQC輸入輔助教學暨認證系統 V2017」，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 本書特色 ＊輸入法學習一網打盡：適合任何一種輸入法學習，文章練習功能提供單、雙視窗練習模式，提供讀者充分練習，自我評量。 ＊學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。 ＊基金會為教師所精心設計的成績收錄管理功能： 　A.課堂成績及家庭作業迅速收集彙整，操作方便。 　B.透過內部即時網路監控繳交狀況。 ＊本書「實力養成篇」包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。更可透過「TQC 輸入輔助教學暨認證系統 V2017」(採單、雙視窗練習環境)上機實際練習，學習效果百分百。 ＊本書包含「中文、英文、數字輸入測驗系統」，並提供技能認證試題，您可實際模擬正式測驗的狀況，知己知彼、百戰百勝。 ＊本系統適用於 Windows Vista / Windows 7 / Windows 8.1 / Windows 8.1 Professional / Windows 10中文版作業系統。採光碟安裝程式，可安裝至單機或網路磁碟機。 ＊本書採可站立式線圈裝訂，無須另備看板架且方便翻頁。 ＊安裝光碟內含廠商授權試用版軟體：新自然輸入法11。
                    
"
9789864763849,"

入門篇-輸入法練習＊完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 ＊包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。 實用篇-看稿輸入、實際練習＊TQC輸入輔助教學暨認證系統 V2017（採單、雙視窗練習環境）。 ＊中文輸入技能認證試題三十回。 本書特色： ＊輸入法學習一網打盡：適合任何一種輸入法學習。完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。 ＊學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。 ＊本書包含倉頡、大易、注音、嘸蝦米等中文輸入法之拆碼介紹。更可透過「TQC輸入輔助教學暨認證系統 V2017」（採單、雙視窗練習環境）上機實際練習，學習效果百分百。 ＊提供中文輸入技能認證試題三十回。 ＊全書依學習歷程分為兩大篇幅：入門篇-輸入法練習、實用篇-看稿輸入，採循序漸進方式幫助讀者成為中文輸入高手。 ＊「TQC輸入輔助教學暨認證系統 V2017」採光碟安裝程式，可安裝至單機或網路磁碟機。 ＊安裝光碟內含廠商授權試用版軟體：新自然輸入法11。 ＊本書採可站立式線圈裝訂，無須另備看板架且方便翻頁。 ＊基金會為教師所精心設計的成績收錄管理功能： A.課堂成績及家庭作業迅速收集彙整，操作方便。 B.透過內部即時網路監控繳交狀況。
                    
"
9789863085942,"


 ◎讓讀者學好英文打字。
 ◎內含英文書信介紹及基本架構。
 ◎內含英打指法教學。
 ◎內含英文看打測驗試題。
 ◎內含「Typing Credential電腦速記師中英文輸入國際認證簡章」。

"
9789573613657,"

在華夏民族的歷史仍以口語相傳之時，倉頡降生了。不久，文字見世，書契始作，為綿延千載的中華文化開啟了光明燦爛的一頁。由混沌投胎轉世的倉頡，幼齡早慧，先是發想出以石記馬、結繩記事，又在手指的啟發下，發明了數目字。接著由簡而繁，逐一造出許多極富巧思的象形文字，並在心領神會後，創造更多具有豐富內涵的會意字與形聲字。不過，上古大仙托生的倉頡，原來也有凡人的七情六慾，亦曾為情所困；為了造字，更經歷過諸多九死一生的浩劫。本書內容高潮迭起，將引領我們深入探索倉頡造字的神奇歷程……
                    
"
9789866153310,"

中文輸入好好玩　庫哥（coolger）腦殘輸入法這是一本關於使用電腦中文打字及自己玩出心得的分享書。筆者喜愛玩文字遊戲，愛「爬格子」、「搖筆桿」，也略懂一點電腦，所以就玩出了自己的腦殘「輸入法」。很多人都曾用過注音、倉頡輸入法，不管何種輸入法，只要能把中文輸入就好。拿注音輸入法來說「同音異字」或「有邊讀邊，沒邊自己編」「編」（拼）不出音來的字。以及倉頡輸來說，在學習上並不是一下子就能上手，尤其是遇到不容易「猜」（拆）碼的字。不過現在不要怕，筆者把輸入法變得更簡單了。在不另外發明、規定新字根，不變動鍵盤，簡化拆碼規則，又要考慮不要有太多的「同碼字」為前提下，用倉頡輸入法的頭、尾兩碼及注音的第一碼，另創為【老蘇形音輸入法】，只要三個碼（輸入三個鍵）就可以輸入中文，拆法比倉頡輸入法簡單多了，而且「同碼字」、或「同音字」也不會比注音或速成輸入法多。
                    
"
9789866498183,"

BIG-5碼，係由資策會於1984年制定，宗旨原是盡量不使用到控制碼範圍，並配合國人自製的五大（BIG-5）套裝軟體。在2003年由財團法人中文數位化技術推廣基金會，接受經濟部標準檢驗局委託，召集國內業者代表、專家和學者，就BIG-5編碼字元表原始版本和各業界版本予以重整。Unicode是由Unicode Consortium發展的一種字元編碼標準，可代表世界上絕大部份的書寫語言。大部份Windows介面使用UTF-16形式。要背熟本書便覽不是一件很容易的事，除非你是中打工作的上班者。一般人只要自己會的，或習慣用的輸入法即可，遇到不會的字再來查本便覽。查閱本便覽其實很簡單，只要你會注音或筆劃數，就能輕易查詢本便覽。
                    
"
