ISBN,書籍簡介
9789861994710,"


 【VBA是什麼？看起來會不會很難？】
 跟著範例一步一步學VBA，不會寫程式也能輕鬆學會

 【用Excel只會笨笨的複製貼上？】
 高效率工作加速術，讓VBA幫你處理重複與繁雜工作

 【煩！做不出上司要求的表單功能？】
 達人親授，利用參數指令讓你的Excel表單功能更強大

 【輕鬆做出老闆最愛，客戶驚嘆的報表】
 財會、人資、業務必學，提昇Excel功力的不二法門！

 是不是常常在工作上需要用到Excel工作表來達成任務，卻永遠只會用來畫表格呢？聽說Excel有很多好用的功能又怕不會寫程式，教學太難看不懂嗎？別擔心，本書用循序漸進的方式教你如何學好VBA！即使你一點程式語言的基礎都沒有，依然能夠輕鬆上手！

 VBA是「Visual Basic for Applications」的簡稱，可以幫你快速搞定重複繁雜的工作與強化Excel的功能，不過很多人一看到原始碼就頭大，因此本書先從錄下Excel的操作開始，再告訴你如何修改VBA程式、常用的變數與常數、運算子等，讓你從基礎打好，往後就可以依照需求，快速寫好適用各種情況的工作表單喔！

 【總覺得Excel表單功能很強大卻不知道從何學起嗎？】
 VBA能幫你解決更多工作上的瑣事及重複工作，而且不必一定得有程式設計的底子才能學，讓我們一起從頭開始快速掌握Excel的精髓。

 【每個月總是被重複枯燥的工作內容所苦惱嗎？】
 VBA可以將你經常重複執行的工作內容轉換為應用程式，只要學好VBA，往後遇到相同工作時一鍵就能幫你辦到好！

 【經常被主管嫌棄表單的介面一成不變嗎？】
 我們會教你如何替VBA表單設計打造專屬介面，讓使用者更加方便執行，快來製作讓主管驚豔的多功能強大表單吧！

"
9789865028916,"

告訴您如何活用Excel的巨集，讓它能夠更加方便易用👍 本書配合大量來自工作現場的實用範例，從建立Excel巨集的基礎知識，到有助於工作的實務技巧，以及資料的輸入與統計、格式的設定，還有互動式處理的建立、單據資料的操作方式等予以解說。了解這些技巧，能夠幫助你縮短並簡化日常工作的重複工作，藉由自動化達到增加工作效率的效果。除此之外，本書還提供快速鍵，巨集與VBA的速查表等資訊，是你案頭不可或缺的工具書。 透過本書，您將可以了解： ．如何使用巨集將Excel的操作自動化 ．巨集的各種執行方法 ．使用VBA的基礎知識 ．如何透過巨集使用工作表函數 ．如何使用條件控制來檢查輸入的內容 ．發生錯誤時的處理方式 ．如何運用使用者表單與控制項 ．使用VBA操作與統整單據的方法
                    
"
9789572049198,"


	【VBA是什麼？看起來會不會很難？】
	跟著範例一步一步學VBA，不會寫程式也能輕鬆學會

	【用Excel只會笨笨的複製貼上？】
	高效率工作加速術，讓VBA幫你處理重複與繁雜工作

	【煩！做不出上司要求的表單功能？】
	達人親授，利用參數指令讓你的Excel表單功能更強大

	【輕鬆做出老闆最愛，客戶驚嘆的報表】
	財會、人資、業務必學，提昇Excel功力的不二法門！

	是不是常常在工作上需要用到Excel工作表來達成任務，卻永遠只會用來畫表格呢？聽說Excel有很多好用的功能又怕不會寫程式，教學太難看不懂嗎？別擔心，本書用循序漸進的方式教你如何學好VBA！即使你一點程式語言的基礎都沒有，依然能夠輕鬆上手！

	VBA是「Visual Basic for Applications」的簡稱，可以幫你快速搞定重複繁雜的工作與強化Excel的功能，不過很多人一看到原始碼就頭大，因此本書先從錄下Excel的操作開始，再告訴你如何修改VBA程式、常用的變數與常數、運算子等，讓你從基礎打好，往後就可以依照需求，快速寫好適用各種情況的工作表單喔！

	【總覺得Excel表單功能很強大卻不知道從何學起嗎？】
	VBA能幫你解決更多工作上的瑣事及重複工作，而且不必一定得有程式設計的底子才能學，讓我們一起從頭開始快速掌握Excel的精髓。

	【每個月總是被重複枯燥的工作內容所苦惱嗎？】
	VBA可以將你經常重複執行的工作內容轉換為應用程式，只要學好VBA，往後遇到相同工作時一鍵就能幫你辦到好！

	【經常被主管嫌棄表單的介面一成不變嗎？】
	我們會教你如何替VBA表單設計打造專屬介面，讓使用者更加方便執行，快來製作讓主管驚豔的多功能強大表單吧！

"
9789860776119,"


本書特色

	★★★★★Excel VBA帶領辦公室自動化的最佳著作★★★★★
	☆☆☆☆☆【38個主題】、【865個程式實例】☆☆☆☆☆

	常聽人說Excel VBA不好學，原因是目前沒有一本Excel VBA的中文書是從零開始，逐步與完整解說程式語法、物件與工作表應用的書籍，這也是筆者撰寫這本書的動力來源。

	這是國內中文書第一本從零開始帶領讀者完整學習Excel VBA的書籍，【上、下冊】共有38個章節，其中【上冊有18章】著重在認識Excel VBA完整語法與工作表基本操作，【下冊有20章】重點是完整辦公室自動化的應用。除了完整講解VBA語法，每個語法皆有多個程式實例輔助解說，可以增進讀者學習效率，讀者可以使用VBA學會下列的應用。

	☆【建立與美化工作表】
	☆【徹底了解儲存格】、【工作表】與【活頁簿】
	☆【資料驗證】
	☆【數據統計】、【排序】與【篩選】
	☆【樞紐分析表】
	☆【走勢圖分析】
	☆【視覺化圖表】
	☆【決策分析】
	☆【靜態】與【動態表單設計】
	☆【印表機控制】
	☆【財務管理】

	有了上述知識，讀者可以輕鬆將上述觀念應用在【人力】、【財會】、【業務】、【管理】、【分析】等自動化工作。

"
9789860776102,"


本書特色

★★★★★Excel VBA帶領辦公室自動化的最佳著作★★★★★
☆☆☆☆☆【38個主題】、【865個程式實例】☆☆☆☆☆

	常聽人說Excel VBA不好學，原因是目前沒有一本Excel VBA的中文書是從零開始，逐步與完整解說程式語法、物件與工作表應用的書籍，這也是筆者撰寫這本書的動力來源。

	這是國內中文書第一本從零開始帶領讀者完整學習Excel VBA的書籍，【上、下冊】共有38個章節，其中【上冊有18章】著重在認識Excel VBA完整語法與工作表基本操作，【下冊有20章】重點是完整辦公室自動化的應用。除了完整講解VBA語法，每個語法皆有多個程式實例輔助解說，可以增進讀者學習效率，讀者可以使用VBA學會下列的應用。

	☆【建立與美化工作表】
	☆【徹底了解儲存格】、【工作表】與【活頁簿】
	☆【資料驗證】
	☆【數據統計】、【排序】與【篩選】
	☆【樞紐分析表】
	☆【走勢圖分析】
	☆【視覺化圖表】
	☆【決策分析】
	☆【靜態】與【動態表單設計】
	☆【印表機控制】
	☆【財務管理】

	有了上述知識，讀者可以輕鬆將上述觀念應用在【人力】、【財會】、【業務】、【管理】、【分析】等自動化工作。

"
9789863126188,"


★學會用「網路爬蟲」蒐集資料，告別苦力又傷眼的「複製、貼上」！★

 在網路發達的時代，整個網路就像是一個大型資料庫，不論是想進行商品比價、想預測股價的漲跌趨勢、想知道競爭者的商品資訊、想了解社群網站的熱門議題，再搭配時事來規劃行銷活動、想透過匯率走勢預測何時可以低價買進美金或日幣、……等等，都可以從相關網站取得資料。

 雖然取得資料不難，但是要如何將這些大量、雜亂的資料抓取下來並整理成有用的資訊，就是一門學問了。如果還不懂得運用「網路爬蟲」，就只能慢慢地複製、貼上資料了！

★徹底解析網頁結構，精確爬取目標資料不卡關★

 為了幫助您學習網路爬蟲，本書使用 Chrome 瀏覽器的 Web Scraper 擴充功能，讓您不用撰寫任何程式碼，就能夠輕鬆爬取約七成以上的網站資料，而且透過 Web Scraper 工具，還可以幫您一邊爬取資料一邊學習 HTML 標籤＋ CSS選擇器，精確爬取目標資料，並從實作中了解 Web 網站的各種巡覽結構。

★互動式網頁資料也能抓！★

  

 雖然 Web Scraper 能夠爬取大多數的網站資料，但是對於 JavaScript、AJAX 技術等互動式的網頁資料，就不易直接爬取回來。我們將教您使用 Excel VBA＋IE瀏覽器自動化來爬取互動網站，還可以建立 Excel VBA＋Selenium 網路爬蟲程式，讓您在網頁上看得到資料，就能夠爬得到資料。

★找出有意義的指標，做出最佳決策！★

 最後，我們還將介紹如何用Excel內建功能，進行「資料清理」及「資料視覺化」，讓您充份掌握資訊，迅速做出最佳的決策。

本書特色

 ►►► 以 Step by Step 的方式，解說 Web Scraper 爬取資料的過程，消除初學者對寫程式的恐懼！

 ►►► 以生活化的例子帶領初學者實際用 Web Scraper 爬取資料，例如：足球聯賽成績、本週電影資訊、全國電子門市資料、NBA 球員資料、各城市空氣品質與天氣資訊、股價資訊、匯率、……等，建立初學者的自信及成就感。

 ►►► 教您使用 Chrome 的擴充功能，快速判別網頁內容是 AJAX 技術還是 JavaScript 產生的動態網頁，以便精確爬取目標資料。

  

 ►►► 以豐富的實作案例，帶您建立 Excel VBA 程式爬取 JavaScript 產生的動態網頁及使用者互動的網站。

"
9789865020835,"


 打破技術門檻，用EXCEL VBA抓取資料，也能做到大數據分析，了解爬蟲原理掌握關鍵技術！

 以Excel VBA為主，結合「金融數據」與「網路爬蟲」兩大主軸：
 由爬蟲操作步驟關聯衍伸出「爬蟲地圖」，透過大量的範例將這些專業知識變成實戰操作技法，讓您對網路爬蟲與Excel VBA程式開發之間的關係有更新更深一層的體會。

 坊間爬蟲書籍從沒說的事：
 坊間爬蟲書籍普遍存在以下問題之一，如對於爬蟲原理、封包分析與操作步驟均未能清楚說明，及範例類型簡單、數量練習不足與單一解決方式等，為解決上述問題，讀者們可在本書獲得解答並學會許多爬蟲方法與Excel VBA開發技巧。

 本書內容不同於以往爬蟲書籍做到了八個第一：
 ．第一本以Excel VBA為主體的爬蟲書籍：本書以隨手可得的Excel VBA作為主要的爬蟲語言
 ．第一本將爬蟲流程SOP的爬蟲書籍：一步步拆解爬蟲流程為操作步驟，最後再串接成完整的SOP。
 ．第一本以爬蟲地圖介紹的爬蟲書籍：把每個爬蟲步驟所需的相關知識與原理延伸關聯成「爬蟲地圖」，讓讀者可以清楚每一步驟所需的專業知識。
 ．第一本將Excel透過命令列控制程式內部流程的爬蟲書籍：不同於以往在Excel上所做的自動操作，而是透過外部參數與命令列操作，控制Excel內部流程，做到真正全自動化操作。
 ．第一本將範例以多寫法呈現程式碼的爬蟲書籍：每一個網站範例使用一種以上網路連線方式取得資料或一種以上資料解析寫法，讓讀者可以多元學習。
 ．第一本透過多工具輔助爬蟲的爬蟲書籍：透過第三方工具使用(PostMan、ARC、Fiddler…)，讓爬蟲有更多工具可以輔助。
 ．第一本收錄超過20個以上範例的爬蟲書籍：本書提供25個範例，讓讀者熟悉爬蟲流程的操作，快速入門。
 ．第一本以金融數據為主題的爬蟲書籍：書本25個範例，扣除2個非金融相關範例，其餘金融網站範例佔全部範例達92%。

 本書特色
 ．以金融數據收集作為主題，啟發讀者對爬蟲的興趣。
 ．從原理、觀念到實際操作，了解網路爬蟲整體樣貌。
 ．明確界定各項操作步驟，學習正確的網路爬蟲流程。
 ．由淺入深引導正確觀念，打穩程式撰寫與爬蟲基礎。
 ．結合自動化與資料庫操作，輕鬆學會實務應用方法。
 ．大量手把手實戰範例演練，熟悉網路爬蟲操作步驟。


 透過本書，您將了解：
 ．爬蟲原理與流程操作SOP。
 ．反爬蟲原理與應對處理方法。
 ．如何應用瀏覽器工具輔助解析網頁內容。
 ．如何應用工具輔助網路封包收發及分析。
 ．如何使用Excel VBA開發網路爬蟲程式。
 ．如何使用Excel VBA操作關聯式資料庫。
 ．如何使用Excel VBA完成自動化控制。


 誰適合閱讀本書：
 ．對數據收集、分析或整合應用有興趣者
 ．想用Excel自動化解決瑣碎事物者。
 ．金融領域相關從業人員或程式交易人員。

"
9789865028343,"


	從奠定基礎到成為有能力解決問題的高手
	本書的目的，就是幫助你成為能夠活用VBA的高手，可以運用VBA來提升工作效率。本書可以幫助您解決「寫出來的巨集程式會出現錯誤，可是不知道如何解決」、「不知道如何利用VBA整合外部資料，感覺好像學了VBA也不會用」、「不知道如何跟其他程式整合應用，感覺能夠做到的事情很少」、「不曉得如何匯入CSV或其他網頁內容等外部資料」之類的困擾，實踐真正的自動化，有效地提升工作效率。

	透過本書，您將可以學到：
	．編寫VBA程式的正確作法
	．有效率的VBA撰寫方法及「物件化和重複使用」的觀念
	．與Word及Outlook、CSV及網頁資料等非Excel的整合方法
	．讓其他使用者也能輕易地使用您所開發的巨集

"
9789865023041,"

學過Excel，卻無法快速處理好所需的資料？ 覺得Excel VBA很難，想學，但不知道該從何學起？ 我們以靈活的範例，使用精簡、易理解、好維護的程式碼，讓您輕鬆、樂活學會VBA。 ．淺顯易懂的步驟式教學，搭配圖、文、程式的對應編排，詳細說明如何利用VBA達成複雜搜尋、篩選及簡化作業。 ．使用Excel工作表操作模式說明，讓您清楚Excel VBA對應的處理步驟，有效的抓住學習重點！ ．透過精實的範例，說明Excel VBA的使用方法，包含：撰寫陳述式的技巧、程式的流程控制、選取儲存格範圍的技巧、訊息方塊與輸入方塊的使用…等。 ．詳細解說ActiveX控制箱工具的建立與應用，以「建立步驟精靈」為例，提供完整的操作步驟，與對應的VBA程式碼。 ．較為進階的應用，例如：如何使用內建增益集、開發專用的增益集、建立樞紐分析表與應用，以及使用VBA處理圖表物件的方法，本書都有精彩的介紹！
                    
"
9789572049044,"


 ★ Amazon Best Seller No.1
 ★《Excel Power Programming with VBA》被國外讀者喻為「經典權威」，造就無數工程師與職場相關工作者， 是每個學習VBA的人都要看的重量級巨作。
 ★本書以最新修訂內容編製成國際中文版，全書經過再次審校，絕對是專業而實用的參考教本！

架構嚴謹從函式入門、圖表設計、應用程式到表單開發
 具系統性、標竿學習、傳承教學典範的EXCEL VBA著作
 範例剖析、延伸運用以及技巧提點，不藏私傾囊相授
 本書學習者為中心，摒棄華而不實的、冗長的解釋，呈現實用的示例、注意事項和訣竅，提供大量程式碼和示例範本，幫助你從資料分析人員蛻變為Excel程式設計專家。
Part I Excel VBA基礎知識
 第I 部分介紹Excel VBA，為建立和管理Excel 子常式和函數提供程式設計基礎知識。第 1 章全面介紹Excel 應用開發方面的各種概念。第 2 章到第 6 章討論在進行VBA 程式設計時需要了解的各種知識。第 7 章則列舉許多有用的範例助你記起前面所學的VBA 知識。
Part II 進階VBA技術
 第Ⅱ部分涵蓋一些VBA 進階程式設計技術。第 8 章和第 9 章討論如何使用VBA 來處理樞紐分析表和圖表（包括走勢圖）。第 10 章討論在與其他應用程式（如Word 和Outlook）互動時所採用的各種技術。第11 章介紹如何處理文件和外部資料來源。
Part III 操作使用者表單
 該部分的 4 章內容主要介紹自訂對話盒（也稱為使用者表單）。第 12 章介紹建立自訂使用者表單的一些內建方法。第 13 章介紹使用者表單以及可供使用的各種控制項。第 14 章和第 15 章則列舉從基本到進階的自訂對話盒的大量範例。
Part IV  開發Excel應用程式
 該部分講述建立導向使用者的應用程式的重要內容。第 16 章教你建立增益集。第 17 章和第 18 章討論如何修改Excel 的功能區和快速選單。第 19 章介紹向應用程式提供線上說明的幾種不同方法。第 20 章展示如何開發導向使用者的應用程式。第 21 章探討在進行Excel VBA程式設計時與相容性相關的一些資訊。
附錄 V  VBA語句和函數
 附錄是一份參考指南，列出作為VBA 中關鍵字的所有語句和函數。

 適用版本：Excel 2016、2013、2010、2007
 適用對象：學習一段VBA課程的學生或是工作上需要寫VBA程式的商業人士，都可以透過本書紮實的內容與技巧來更精進自己的Excel程式功力。

"
