ISBN,書籍簡介
9789865027018,"

增強職場軟實力！多主題式實務範例製作專業簡報！ 以生活與工作實務最常應用的題材做為本書主題範例， 再輔以次主題範例進行延伸練習， 深度學習提升簡報設計的質感與放映表達技巧。 ■效率加倍的實用技巧 將PowerPoint功能與實際範例結合，由淺至深學習超完整的技巧，提昇工作效率。 ■立即應用的生活取材範例 全書從生活與實務最常應用的簡報題材著手，讓你可以利用相關技巧製作出不同方向的作品。 ■紮實完整的學習導引架構 每個範例內容皆有作品展示、重點說明、範例執行與延伸練習，依循順序學習，短時間內即可成為簡報高手。 ■最為全面的應用範圍 PowerPoint2016、2019功能強大，卻擁有簡單操作的工具介面，加碼體驗實用範本與雲端應用。 (精選範例) ‧水色威尼斯簡報 ‧健康飲食簡報 ‧定點慢遊簡報 ‧餐飲實務簡報 ‧商業攝影簡報 ‧房屋買賣市場簡報 ‧食品衛生簡報 ‧景點趴趴GO簡報 ‧單車生活簡報 ‧鼓舞節簡報 ‧土耳其行旅簡報 ‧圖書產品簡報 ‧蘭嶼微旅行簡報 ‧我的簡報在雲端 (你會學到) ‧提升表達能力和演講技巧 ‧自信滿滿的上台去 ‧用線上範本快速完成一份簡報 ‧文字整合的應用 ‧多樣化動畫與特效 ‧使用圖片與圖案豐富簡報內容 ‧大綱窗格運用 ‧用母片設計獨創簡報 ‧多樣佈景主題套用 ‧建立SmartArt圖形視覺效果 ‧表格與圖表的運用 ‧多媒體與音訊運用 ‧設計相簿簡報 ‧放映技巧與列印簡報 ‧製作超連結與動作按鈕 ‧簡報封裝與轉存 ‧雲端簡報的存取與分享 ‧Microsoft 365與OneDrive應用 ...... 如果你正想找一本書解決學習、工作上 可能會遇到的PowerPoint問題，現在就翻開本書吧！ 附：全書完整範例檔(可線上下載)
                    
"
9789865025151,"

業界頂尖顧問教您如何用PowerBI進行資料分析 商業智慧（Business Intelligence BI）在這幾年一直都是顯學，因為企業希望能夠在決策時，即時取得有效的輔助資訊，以因應越來越快速的變遷與越來越複雜的商業邏輯。而這些資訊能夠改善整個團隊乃至於企業的決策品質與效率，或是更了解客戶的特性，提供更貼心的服務。 ．適合使用者從入門到精通Power BI ．協助企業IT建構以Power BI為基礎的資料分析平台 ．從整理資料開始，一步步教您如何建立豐富的分析報告 ．深入說明整理異質型資料來源的Mashup引擎與M語言 ．廣泛說明表格式模型的運作原理與效能調校 ．以實例說明如何利用DAX語言完成日常所需的分析 ．說明如何安裝、管理與監控Power BI報表伺服器
                    
"
9789864767922,"

本書詳細介紹了製作專業級PPT的邏輯思維方法，並且針對PPT封面、目錄頁、分隔頁、內容頁和結尾頁的排版、美化及配色技法進行了詳細解讀，並傳授專業級PPT版式設計的獨門技巧。 本書精彩內容包括： ．高顏值簡報製作秘笈 ．專業簡報封面設計的秘訣 ．依據不同型態設計目錄頁 ．20種文字排版技巧 ．16種圖片排版技巧 ．11種創意圖表招式 ．簡報配色技巧
                    
"
9789864762101,"

本書學科題庫內容為認證題型與命題方向之示範，正式測驗試題不以本書題庫為限。 1.題庫設計均以實務應用為導向，品質及認證公信力最具權威！ 2.囊括PowerPoint 2016最常用之功能，學、術科題目淺顯易懂，豐富且多樣化，讓讀者能夠循序漸進的學習，熟練PowerPoint軟體的操作。 3.精選學科題庫7大類共277題，採電腦線上作答，可透過題庫練習系統依類別選題進行練習，學習效果立即呈現。 4.精選術科題庫4大類共40題，包含PowerPoint 2016「建立簡報素材及放映技能」、「編輯與美化簡報及自訂放映技能」、「簡報母片設計與應用技能」及「與其他軟體的整合技能」等類別，使用者可自行指定題目進行練習，透過術科電腦自動評分系統，可立即評核學習成果。 5.題庫練習系統提供「使用者專區」功能，記錄並管理歷次練習的成績。 6.本題庫適用在Microsoft PowerPoint 2016軟體上執行。 7.配合電腦技能基金會(http://www.csf.org.tw)測驗流程，一舉取得專業證照，讓您求學、求職更具競爭力。
                    
"
9789863793632,"


	內容按照由易到難、由淺入深的順序，全書共精心製作了百種的多元範例：知識測驗、旅遊簡介、企業介紹、組織結構、交通線路、電子相簿、培訓計畫、動畫展示…等等，將PowerPoint 2013的功能與操作技巧以知識重點的形式分散到這些範例中。之所以這樣安排，筆者是希望各位讀者透過實際操作來掌握相關知識重點，在對知識重點全面掌握的基礎上進而熟悉靈活使用軟體的重要功能，最終達到自己獨立製作所需簡報的能力，將其巧妙運用在日常生活與工作中。

"
9789862014059,"

一流的簡報具有一流的企劃與設計！一份傑出優秀的簡報，需要確實掌握簡報內容的主旨，並運用事前的企劃，為簡報設計整體一致的風格，進而提昇矚目力與說服力。本書是以概念為基礎製作一致的簡報，並說明製作的訣竅。如何來搭配色彩？有效地在各個投影片配置物件的方法是什麼？表現主題字型的種類及本文的適當大小是多少？為了符合製作的概念，充分地思考上述的內容製作腳本，接著進行簡報製作。本書也針對事前企劃與投影片的製作細節做了更深一步的講解，並以業界中最常運用的技術說明、研究報告、銷售成果、戰略計畫報告書…等7類簡報作為範例，一步一步展示教導如何設計出最具風格的簡報。書中鉅細靡遺的階段式圖文解說，即便是對簡報製作毫無觀念的初學者，也可以快速上手，作出一流簡報！
                    
"
9789862010990,"

企劃簡報大師　竹島慎一郎　的最新代表作！集歷年著作之大成，輔最新軟體之應用，讓您的企劃簡報更加精彩絕倫！其特色如下：△教您如何將欲表達內容轉換成圖解式簡報的心法與技能。△從內容重點歸納、圖解模式選用、企劃書構成、簡報印象強化到簡報展示等，都有完整的說明。△備有練習問題，方便印證學習成效與強化學習記憶。△在實務案例中詳細解說了其思考方法與簡報製作要領。△本書範例檔是由PowerPoint製作而成的，其版本含蓋2003至2007。　　在近來的職場上，將企劃書與簡報轉化成「亮眼」、「易見」形式的視覺傳達是日益重要了。而本書不僅注入了作者畢生在企劃簡報製作上的心法，更融合了最新版軟體的技術應用，因此可以讓讀者在企劃簡報上的視覺傳達有著更廣大的發揮空間。除此之外，在本書的隨附光碟中更收藏了作者精心製作的12類500個圖解範本，讓初學者在遇到企劃瓶頸時，也能夠從中挑選出適用者，以便解決一時之需。 

"
9789865029050,"

輕鬆搞定商業簡報製作：資料搜尋→圖形化→商業簡報一次OK 簡報製作的3要素：軟體操作、內容整合、內容表現 簡報的主角是演講者，簡報內容的建構，就像編劇前進行劇本編寫，邏輯清晰、內容簡潔才是簡報的根本！ ★本書不著重PowerPoint基本操作，而是有系統的功能介紹，強調簡報內容的建構，運用工具輕鬆做出「商業」簡報。 ★Google搜尋→案例整合→圖片搜尋→影片搜尋，以說故事的方式為主軸進行案例討論，一份豐富的簡報教材就產生了。 ★善用網路資源，培養網路搜尋解決問題的能力；並教授如何分析資料，透過歸納整理將資料製成表格，進而製作成統計圖表，將成果或數據以最精簡易懂的模式呈現給閱聽者。 本書特點： ◆以Google為師：善用網路資源 ◆章節架構：簡報製作流程分析 ◆大量閱讀：整合出一幅幅的情境 ◆內容圖形化：將冰冷的文字轉換為一張張的圖片 ◆簡約設計風：四格漫畫版面配置 ◆統計圖動畫：資料分類、時序比較
                    
"
9789869630788,"

LibreOffice Impress 7.x 是免費自由簡報製作軟體，就如同PowerPoint一般的功能，卻是免費的自由簡報製作軟體。本書以概念引導、觸類旁通的應用範例， 提升簡報製作的素養與能力。本書以概念引導、觸類旁通的應用範例， 提升簡報的素養與能力。全圖示化教學，從簡單套用範本，到圖案圖表製作海報、各類版面設計、簡報母片的概念與應用、動態影音相簿、防疫海報、保育專題報告 ...， 循序漸進、完整學習。本書光碟內，進階練習圖庫附有能配合範例學習，超多的各課練習素材，讓學習更輕鬆、更方便。並由專人錄製全書步驟的自動教學播放檔，還提供了『老師教學網站』與『教學動畫』，讓學生技能提升一級棒讓學習更加的輕鬆又便利!
                    
"
9789864345632,"


☑多樣的Power BI商務範例，易懂易學又易上手
☑融會貫通大數據資料分析利器，提高自身商務職場價值
☑滿足讀者一次了解Power BI三大平台的功能特點
☑依循step by step的步驟引導，降低學習過程的障礙

	Power BI是一套商務數據分析工具，可以結合各種資料來源，收集資料並整理成視覺化的分析報表，並以互動式視覺效果呈現。目前Power BI三大平台分別為：Power BI雲端平台、Power BI Desktop及Power BI Mobile。我們可以將Power BI Desktop桌面應用程式所產生的報表，發佈到Power BI雲端平台，並可以在Web 上及行動裝置共用及檢視所產生的精美分析報表。

▌圖文並茂，難易適中 ▌
	完全以入門者的角度來撰寫，把握淺顯易懂及圖文並茂的解說原則，精準表達難易適中的重要功能，適合作為Power BI商務應用及大數據資料分析的教材。

▌功能導向，實作範例 ▌
	內容以功能導向為主軸，利用方便學習者實作的各式範例來解說Power BI的應用訣竅。不僅在學習過程中，依循step by step的步驟引導，降低許多學習的障礙，還可以透過系統的安排，學習Power BI精要知識與絕活技巧。

"
