ISBN,書籍簡介
9789865026677,"

學會自動化，遠離肝硬化～ 本書將告訴您如何利用Powershell來完成自動化作業，管理您的伺服器，讓電腦自動幫您完成無聊、重複、枯燥的例行工作，節省大量寶貴的時間。 ．組合指令、控制流程、處理錯誤、編寫腳本、遠端執行腳本 ．處理XML和JSON這類的結構化資料格式 ．自動化管理Active Directory、Azure或Amazon Web Services ．使用PowerShell編寫可重複使用的模組 ．使用PowerShell完成無須人工介入、完全自動化的Windows部署 ．搭配Hyper-V主機和幾個ISO檔案，自動建置出完整的Active Directory樹系 ．利用幾行程式碼就能建立成千上萬個Web和SQL伺服器！ 🚫不需要昂貴的軟體或花俏的顧問，只要學會使用PowerShell，就能輕鬆搞定一切🎯
                    
"
9789865021795,"


【超值加贈：內容多達170頁的全彩PDF電子書】
 為了提供讀者更豐富的內容，作者特別將部分主題的詳細說明或較為進階的內容，製作成PDF電子書，讓您學習更加得心應手！

 操作介面大變革：
 *「開始」鈕回來了！全新的開始功能表和開始畫面，執行應用程式更有效率。
 *透過工作檢視的「時間軸」，可隨心所欲的回到某日曾造訪的網站、開啟曾編輯的檔案或應用程式。
 *重新改良電腦的「設定」功能，讓您不用透過控制台就可輕鬆完成各種電腦設定。

應用程式再進化：
 *改良相片應用程式，提供專業的影像、影片編修工具，自動透過人物搜尋、組織影像檔案。
 *新的郵件介面功能更齊全，可以在一個位置檢視不同帳號的信件內容。
 *利用地圖規劃路線，幫您導航到目的地，還可離線下載地圖。

新功能必學：
 *新的搜尋功能可以從電腦中尋找：應用程式、檔案、設定、相片、音樂和使用說明。
 *透過「您的手機」功能，輕鬆將電腦與iPhone(iPad)、Android裝置上的內容同步。
 *檔案直接儲存到OneDrive，與雲端結合再也不用擔心忘了攜帶重要資料；而雲端式剪貼簿讓您在各種Windows 10裝置間，交換影像和文字內容。
 *專為觸控裝置所設計的Windows Ink工作區，搭配手寫或觸控筆，輕鬆使用內建的自黏便箋、繪圖板與螢幕繪圖。
 *全新的小畫家3D，快速體驗從零開始創建3D作品。
 *SandBOX(沙盒)提供安全的隔離環境，讓您測試或執行來源不可靠或具有破壞性的程式。

系統升級與更新：
 *使用「輔助技術」的方式，取得免費升級到Windows 10的優惠。
 *改良版的Windows Update，讓電腦永遠保持在最新狀態。
 *全新的Windows Defender資訊安全中心，方便您瀏覽及管理裝置的安全及健康狀態選項。

"
9789869946704,"

本書針對Windows作業系統，告訴您如何使用它，輕易的進行您的休閒活動。例如影音的觀賞、下載、影片的製作，相片的編修與管理，規劃國內外的深度旅遊，閱讀世界名著與雜誌、看看漫畫或益智遊戲休閒等。本書有如下特點：★ 告訴您此作業系統的基本架構及視窗結構，如何啟動所要的應用程式。★ 個人化您的電腦、安裝所要的應用程式，設定佈景主題及使用圖片密碼登入。★ 影音短片的欣賞，對於喜歡的影片該如何下載它。★ 對於下載的各類型影片，介紹超強的播放軟體來播放它。★ 因應在手機上播放所要的影片，告訴您如何進行視訊的轉換。★ 如何從Windows 市集搜尋、下載所要的音樂與遊戲。★ 對於您所拍攝的照片，如何在電腦中瀏覽播放，將照片轉正，加上附註或做簡單的修改。★ 您可邊工作邊聽喜歡的音樂，您還可以編輯、燒錄所要的音樂。★ 告訴您如何以Movie Maker來製作各種類型的電影。★ 以Bing旅遊來規劃國外旅遊，以Google地圖對所要的景點做深度旅遊規劃。★ 讀取所要的書籍與雜誌，對於世界名著，告訴您如何下載閱讀。★ 介紹您有趣、益智的遊戲，並介紹一些遊戲的玩法。
                    
"
9789865023577,"

本書以Active Directory網域服務建置實務為主題，循序漸進介紹AD網域服務（AD DS）的基本觀念，並深入探討群組原則的關鍵議題，以及詳細解說網域環境的建置、操作主機的管理、AD DS的備份與復原等IT人員必備的知識與技能。 ■ 循序漸進介紹Active Directory網域服務(AD DS)的基本觀念：從網域基本觀念、網域樹狀目錄、網域樹系、站台、網域與樹系功能等級到目錄分割區，引導讀者擁有必備的觀念。 ■ 獨家以Active Directory網域服務(AD DS)建置實務為主題。 ■ 完整詳細的說明網域環境的建置，包含網域樹系、網域樹狀目錄、網域、子網域、網域控制站、唯讀網域控制站(RODC)、RODC階段式安裝、網域升級、加入網域、離線加入網域與脫離網域等。 ■ 深入探討群組原則的關鍵議題，包括：群組原則的運作、帳戶原則、自動執行指令碼、喜好設定、資料夾導向、WMI篩選器、群組原則模型、群組原則則結果、入門GPO等。 ■ 完整涵蓋最經典且實用的課題，包括：限制使用者執行軟體、限制存取「卸除式儲存裝置」、控管使用者工作環境、控管用戶端電腦環境、一次同時新增多筆使用者帳戶…等。 ■ 身為IT人員必備的知識與技能，包括：操作主機的管理、AD DS的備份與復原、Active Directory資源回收筒、AD DS資料庫的維護與最佳化、透過AD DS公佈資源、AD DS資料庫的重整、站台的建置與管理、AD DS與防火牆…等。 ■ 軟體部署的完整介紹，包含軟體發行、軟體指派、軟體升級、自動修復部署的軟體、Adobe Acrobat的部署等，讓系統管理員更容易管理用戶端所需的軟體。 ■ 介紹如何建立信任關係，包含捷徑信任、樹系信任、外部信任等，讓較大型網路之間溝通更容易與有效率。 ■ 透過Windows Server Update Services(WSUS)讓企業內部電腦的微軟產品保持在最新、最安全的狀態；透過Active Directory Rights Management Services(AD RMS)來確保企業內部數位文件的機密性。 ■ 採用Windows Server 2019 Hyper-V的虛擬環境，因此只要一台電腦就可以建立完整的學習環境。 ■ 藉由作者多年的實務經驗，詳細列舉實際操作時的心得和技巧，引導您部署穩定的AD DS運作環境。
                    
"
9789864762927,"

防毒、防駭、防垃圾郵件、阻止機密訊息與個資外洩，一次滿足Exchange Server打從2003版本開始便已經席捲了全球IT市場，如今雖然已經發展至Exchange Online的雲端版本，但選擇將Exchange Server部署在企業網路中的IT單位仍占有絕大多數，這意謂著多數的企業主仍認為將訊息平台部署在企業內部，可以獲得最完整的自主控管，並且不會因當地ISP網路的斷訊問題，造成公司無法正常維持營運的可能風險。目前最新版本的Exchange Server 2016，不僅大幅度強化了整體的高可靠度、高可用性以及易於管理的設計，更能夠全面因應有混合雲(Hybrid Cloud)建構需求的組織。 本書精彩內容包括： ．Exchange Server 2016於企業內部網路的部署與管理 ．新舊Exchange主機並行的升級移轉， ．結合最新Windows Server 2016作業系統的建置指引 ．解決各種在平日維護中，最常碰到的系統疑難雜症 ．如何處理防毒、防駭、防垃圾郵件的需求 ．如何防止機密訊息與個資外洩 ．如何遠端刪除遺失行動裝置的敏感資料
                    
"
9789863123644,"


～給初學者最貼心的電腦學習手冊～
～最實用的題材，超簡明的解說，讓您一問再問、反覆地問，永不嫌膩、永不嫌煩！～

	對大部份的初學者來說，學習電腦的困難在於，同樣的操作明明已經教過了，可是沒多久就忘了，永遠又要 ""再問一遍"", 每每讓講解的人感到不耐煩！讓本書來助您一臂之力吧！

	本書針對中老年人初接觸電腦的難題，挑選【最實用的題材】，運用【最詳實的解說】，即使家人無法隨時從旁協助，也能確實跟著書中步驟，按部就班、一步一步學會電腦的操作與應用，輕鬆享受電腦所帶來的便利生活！

	●認識您的電腦
	●開機！學會電腦的基本操作
	●操作電腦的正確姿勢, 避免電腦族症候群上身
	●Windows 10 桌面與視窗技巧快速上手
	●輸入文字的技巧
	●暢遊網際網路 Internet
	●使用 Gmail 收發電子郵件
	●看新聞、氣象、購物、預約掛號
	●將數位相機拍攝的相片和影片儲存到電腦
	●相片的編修、列印與保存的技巧
	●如何在電腦上播放音樂 CD 與影片
	●使用 Skype 與親友免費通話及視訊聊天
	●加入 Facebook 隨時與親友保持互動

本書特色

	● 超大字體，超大圖解，閱讀輕鬆毫不費力，大大減輕眼睛的負擔。

	● 設計簡單易懂的「滑鼠操作圖示」輔助步驟說明，幫助讀者具體了解每一步驟的操作技巧，確實跟著步驟做出成果。

	● 貼心的「Column」專欄，適時補充重要的知識與實用的操作技能。

	● 考慮有些中老年人可能不習慣用注音拼字輸入中文，因此特別介紹「手寫板裝置」，讓讀者能夠運用最直覺的「手寫法」來輸入中文！

"
9789863123088,"


Windows 10 全方位學習的 No.1 選擇！
輕鬆探索進化後的 Windows 作業系統


	【微軟】公司自 Windows 8 開始結合平板及桌上型電腦裝置，將整個系統設計改成以【動態磚】為主的界面，雖然仍保有【桌面】的操作，但拿掉了以往大家熟悉的【開始】鈕，這令許多使用者感到非常不便，後來 Windows 8.1 雖將【開始】功能表加回來了，但許多使用者對於【開始畫面】的操作仍然感到非常不適應。

	有鑑於 Windows 8 的使用者經驗，此次的 Windows 10 重新設計了【開始】功能表，不但結合以往傳統的功能表界面，並將【動態磚】也融入進來。除了功能表的大改革外，也設計了全新的【Microsoft Edge】，讓您瀏覽網頁更加順暢，而且還能在網頁上標示重點、做筆記。

	此外，改良過的【檔案總管】不僅在複製、移動檔案更有效率，還新增了一項【快速存取】功能，讓你不必大海撈針就能迅速找到先前存取的檔案。還有，我們要特別為您介紹的是【虛擬桌面】，你可以建立多個桌面，在不同桌面開啟不同應用程式，例如在桌面 A 開啟工作用的視窗，在桌面 B 開啟 Facebook、Line 視窗，將工作、娛樂的畫面分開，讓視窗的管理更井然有序。

	當然，Windows 10 的新功能不僅如此，不論您是新使用者或是舊使用者，只要跟著本書操作，相信您一定能很快上手，享受 Windows 10 帶給您工作、娛樂等各方面的全新體驗。

本書特色

	不論是舊使用者還是新使用者，初次面對全新的 Windows 10 介面總會有點摸不著頭緒！不只找不到熟悉的功能在哪兒、也不知道新功能該怎麼用，如果您也對 Windows 10 感到陌生，那麼請跟著本書完整學習 Windows 10，輕鬆掌握整個系統的操作脈胳，並打造符合個人使用習慣的操作環境。

【全新介面快速上手】
	．【結合 Win 7 + Win 8 的「開始」功能表】－執行程式、開啟 APP 更有效率
	．【建立多個「虛擬桌面」】－工作、娛樂程式分開擺放，多工處理互不干擾
	．【隨處都能「搜尋」】－不但能找資料、找程式還能搜尋網頁

【便捷的網路應用】
	．「Microsoft Edge」瀏覽器－瀏覽網頁更快速，還能在網頁上塗鴉、畫重點！
	．與 OneDrive 高度整合，讓你隨處存取雲端服務

【完善的個人化界面及系統安全設定】
	．【創新設計的「系統設定」界面】－輕鬆打造符合個人習慣的操作界面
	．自訂【個人化】的開始功能表及桌面
	．建立多人共用環境－使用者帳戶設定
	．透過【檔案歷程記錄】救回重要文件
	．重新整理電腦－回復 Windows 10 初始設定
	‧認識網站的健康指標‧Google 流量統計分析工具‧瞭解網站訪客及流量來源

"
9789862769690,"

*詳細介紹Windows 8.1 UI及傳統桌面，透過「開始」鈕讓您在二種使用介面或其他開啟的應用程式中來去自如；還可設定登入後直接顯示桌面。*為您彙整快速鍵和觸控手勢綜整表，可快速查詢，立即找到要執行的操作，透過圖解讓您一看就懂。*除了設計個人化的開始畫面和桌面外，動態磚的尺寸有更多選擇，鎖住畫面有如數位相框，可以輪播來自PC或SkyDrive上的影像。應用程式可以依名稱、安裝日期、使用頻率或類別排序。可同時並列多個應用程式（子母畫面功能），讓您一邊收信還可一邊看財經新聞（多工處理）。*使用新的改良式輸入法鍵盤配置，可以更輕鬆的輸入中文字。*電腦設定中新增多種常用的設定，讓您不用透過控制台就可輕鬆完成各種電腦設定。*新增多種生活化的應用程式：鬧鐘、錄音機、小算盤、掃描、閱讀清單、美食、健康…等，是您工作和生活上的小幫手。新的相片應用程式，提供專業的編輯工具，讓您修飾影像外觀。Windows市集的新版面配置，讓應用程式使用更大的影像提供更多的資訊，從右上角的搜尋框就可找到想要的應用程式。*新的搜尋功能，可以從不同的來源搜尋，包括：網頁、應用程式、文件檔案、SkyDrive，有些搜尋可以直接點選結果以開啟地圖、播放樂曲或撥打電話。*新的郵件介面功能更齊全，可以在一個位置檢視不同帳號的信件內容。*IE11是專為觸控裝置設計的瀏覽器，無邊框的設計，提供更好的觸控表現、更快的網頁載入速度，不限制開啟的索引標籤數，還可讓索引標籤在不同的裝置同步。*與雲端結合：文件可以直接儲存到SkyDrive，讓檔案如「雲」隨行，再也不用擔心會忘了攜帶重要資料。*新的系統修復、還原與管理功能，只要一個動作，就可進行電腦重整或還原為全新的系統。*輕鬆設定虛擬光碟機和虛擬硬碟，讓您工作起來更方便、更安全；虛擬機器可以讓您在同一部電腦安裝不同的作業系統，只要依照精靈步驟就可輕易完成設定。*詳細介紹Windows 8.1的各項功能，不管是入門或進階者都適用。【超值加贈電子書】內容多達200頁，豐富的內容與詳細的操作步驟，絕對物超所值！ (電子書下載方式請見書中說明)
                    
"
9789865025267,"

最適合中小企業，以純Exchange Server訊息平台架構搞定所有需求 Exchange Server原本就具備直接整合於Active Directory、易於管理的架構、Outlook用戶介面的友善設計、無縫整合自家各項方案(如：SharePoint)、支援的3rd Party產品廣泛等優勢，在最新的Exchange Server 2019版本中，更是將資訊安全以及合規性管理的相關功能發展到了極致，讓許多中小型企業可以在不需要額外支付第三方費用的情況下，以純Exchange Server訊息平台的架構搞定所有需求。 彈性調整，可延伸至Office 365或Azure的完整整合 還在為了選擇合適的Mail Server方案而苦惱嗎？還是說正在為了抉擇Exchange Online與Exchange On-Premises而不知所措嗎？別再懷疑了！立即選擇Exchange Server 2019 On-Premises部署肯定是最佳的解決方案，讓組織網路中進出的每一封郵件，都能夠被IT部門輕鬆掌控。同時還可以隨著企業營運的成長，來彈性調整其架構設計，包括了延伸至與Office 365或Azure的完美整合。馬上跟著本書的指引，動手規劃出在您內心深處之中，最理想的訊息協同合作平台吧！
                    
"
9789864343294,"


MIS的利器──PowerShell

  

 PowerShell不僅是一門指令碼語言，也是一種管理Shell，讓你幾乎可以控制和自動化管理Windows的各層面。它可以互動式接受和執行命令，你也可編寫指令碼來管理如Exchange、IIS和SharePoint等Windows伺服器，以及如Azure和Office 365等線上服務。

 《Learn Windows PowerShell in a Month of Lunches, Third Edition 中文版》是一本創新的指導教材，原文版為亞馬遜該類別銷售第一的作品，是專為忙碌的IT專業人員所設計的書籍。只需要每天花一小時閱讀（午餐時間正是一段適合閱讀的時間），並且持續一個月，你就能比預期的更快來將Windows任務自動化。

 第三版內容所涵蓋的PowerShell功能，可以在Windows 7、Windows Server 2008 R2及更新版本、PowerShell v3及更新版本上執行，也包含如PowerShellGet等PowerShell v5版本的功能。

 如果你曾有Windows管理方面的經驗，對於學習本書內容將會更有幫助，但是即使沒有程式設計或編寫指令碼的經驗，也沒有關係。

 本書是由PowerShell領域權威、MVP的Don Jones及Jeffrey Hicks所撰寫，他們將多年以來的成功培訓經驗彙整成這本簡潔且快速入門的好書。

本書特色

 ◎從零開始學習PowerShell，沒有經驗也沒有問題。
 ◎內容涵蓋PowerShell v3及更新版本、Windows 7、Windows Server 2008 R2及更新版本。
 ◎每章只需不到一小時便可閱讀完。持續閱讀一個月後，便可輕鬆掌握PowerShell的技術。

"
