ISBN,書籍簡介
9789864344567,"


輕鬆學會最簡單又強大的人性化作業系統
	亮麗的macOS激發創作能，不拖後腿，絕對值得你信賴
	 

#iPad為你延伸桌面
	#提升安全與隱私權。
	#螢幕快照更輕鬆更方便。
	#iTunes改版進化三兄弟。
	#上網新體驗，保護隱私的Safari。
	#Mac也能開關燈，簡單控制支援HomeKit的配件。

『創新，決定了誰是領導者，誰是追隨者。』
	『設計不只是外觀與感覺，設計是產品如何運作。』～蘋果公司創辦人 賈伯斯

	Catalina是macOS最新的系統版本，今年在系統的架構上有了不少的調整，包括iTunes進化成音樂/TV/Podcast、iPad變成延伸螢幕、增強安全，強化隱私權、系統內建多款App升級、移植「螢幕使用時間」資訊、全新「尋找」功能導入…等，都將幫助使用者實現創作與探索。

	本書從最簡單的開箱開始，就算是毫無Mac經驗的你，也可以輕鬆的入門。一步步地熟練系統操作，體驗各個生活娛樂影音軟體，善用iWork文書軟體，最後可以自己處理許多電腦問題，這是本書帶給讀者的豐富冒險之旅。

	作者是蘋果官方認證國際講師，在20餘本的Mac相關著作中，知道哪些是最實用、必備的技巧。讀者可在這裡學到Mac最扎實的應用技巧，招招實用，絕不只是花俏。希望各位都不只是學會macOS的操作，更能熟練使用，讓Mac幫助大家省下更多作業的時間去體驗生活。

本書特色

	♫功能解說全方位，從新手入門到iLife、iWork一手包辦。
	♫整理檔案超簡單，完整介紹系統檔案架構。
	♫體驗更隱私的操作，防止不必要的追蹤。
	♫考張蘋果證照，信仰加持找工作更加分。

"
9789865028398,"

全新改版，更加符合潮流趨勢的新功能 macOS Big Sur不是已經存在許久的版本10.X，而是版本11.0的重大升級。Big Sur除了支援蘋果公司自行研發CPU的Mac機種外，在使用者介面、功能上也有重大的突破。整個畫面的外觀煥然一新，營造出簡潔清爽的印象。融合了iPhone、iPad中熟悉的控制中心，彙整了常用的功能，通知中心也更動設計，變得更加容易使用。Safari 也新增符合網頁潮流的功能，例如支援4K影片、可自訂的起始頁面、查看閱覽頁面Cookie 使用狀況的隱私報告等等。地圖App的畫面設計翻新，變得更加好用，並搭載街景環視的功能，可從地圖上查看周遭的風景。 簡單不簡單，活用技巧讓您效率加倍 Mac是從初學者到專業人士，都能夠憑藉直覺操作的優異電腦。由於操作簡單，許多用戶反而不曉得有便利的使用方法。重新審視基本操作後，肯定能夠發現過去不知道的功能、用法，可更加方便地活用。 涵蓋基礎功能到進階活用，查閱方便 本書包括MacOS Big Sur的新功能，將Finder、輸入法等Mac的必知使用知識與技巧、內建App的用法、網際網路的連線方法、與其他Mac的連接、時光機的備份等分成17個章節，透過簡潔豐富的圖解進行說明。
                    
"
9789864345649,"


蘋果認證國際講師 操刀撰寫
	輕鬆學會最簡單又強大的作業系統
	macOS激發你的創作能力，絕不拖你後腿


✧macOS Big Sur全新設計風格大改版
✧安全與隱私權提升
✧全新控制中心、通知中心
✧蘋果生態圈體驗大提升
✧Safari更好用，擁有更快速，更安全的上網體驗

	『設計不只是外觀與感覺，設計是產品如何運作。』
	『我深信支持我繼續前進的唯一理由，就是我深愛自己所做的事。』－蘋果公司創辦人 賈伯斯

	Big Sur是macOS最新的版本，並在系統上進行了大幅度的更新與調整，包括介面UI上大改變，加入iOS控制中心還能自訂小工具、Messages的新搜尋功能、Map使用「環遊四周」功能方便規劃旅遊、Safari內建七種語言自動翻譯、以及更安全的隱私性架構，逐一加強了蘋果生態圈的使用者體驗。

	本書從最簡單的開箱開始，就算是毫無Mac經驗的你，也可以輕鬆的入門。一步步地熟練系統操作，體驗各個生活娛樂影音軟體，善用iWork文書軟體，最後可以自己處理許多電腦問題，這是本書帶給讀者的豐富冒險之旅。

	作者是蘋果官方認證國際講師，在20餘本的Mac關著作中，知道哪些是最實用必備的技巧。讀者可學到Mac扎實的應用技巧，招招實用，絕不只是花俏。希望各位不只是學會macOS的操作，更能熟練使用，讓Mac幫助大家省下更多作業的時間去體驗生活。

本書特色

	☀全方位解析，從新手入門到 iLife、iWork 都一手包辦。
	☀整理檔案好輕鬆，介紹系統檔案架構。
	☀更隱私的操作，防止任何追蹤。

"
9789864342624,"


Mac功能一網打盡，科技結合網路全新進化
輕鬆學會最能幹可靠的作業系統


	+ 升級Apple檔案系統，電腦更有效率。
	+ 一體感的最佳示範，Mac與iOS結合的完美體驗。
	+ iCloud雲端共享，所有方便功能，只需要一個免費帳號。
	+ 直覺操作，超多好用功能不錯過。
	+ 上網新體驗，超貼心的Safari。
	+ 外接顯卡，效能加倍。

	從最簡單的開箱開始，即便是無任何接觸Mac經驗的你，也可以輕鬆入門。一步步熟練系統操作，享受各種生活娛樂影音軟體，善用iWork文書軟體，最後可以自己處理許多電腦問題，這是本書能帶給各位讀者的一趟豐富冒險。

	新一代的High Sierra除了延續上一代Sierra方便直覺的系統操作性，在與iPhone、iPad、Apple Watch的搭配上，又更推進了一大步。包括與iPhone互通的剪貼簿、Apple Watch自動解鎖Mac等等，都為Apple所有裝置搭配了完美的整體感受。除此之外，網頁瀏覽器Safari、照片App的體驗也大幅提昇。最重要的是使用了全新的Apple檔案系統，讓系統運作起來更靈敏。

	本書作者在蘋果教育領域打滾了許多年，出版了15本Mac相關著作，深知哪些是實用、必備的技巧，在本書中，讀者絕對能學到最紮實的功能，招招實用，絕不只是花俏。希望各位都不只學會Mac系統的操作，更能熟練的使用Mac，讓Mac幫助大家省下更多作業的時間去體驗生活。

本書特色

	★從新手入門到iLife、iWork全面解析一手包辦
	★照片App超驚艷，享受所有回憶。
	★雙系統不求人，一個人輕鬆解決。
	★整理系統好輕鬆，喝杯咖啡就能搞定

"
9789864766307,"

不做流水帳似的說明書，帶你從頭認識蘋果電腦大小事 本書作者長期撰寫蘋果產品評論、教學專欄，在網路上已累積數百篇教學文章。在多年的教學經驗中發現，從蘋果電腦的發展歷史出發，以介紹操作精神與設計理念為主的教學方式，會比單純以流水帳方式紀錄片操作步驟撰寫更具教學成效。因此本書以蘋果的發展故事與設計理念為主軸，針對蘋果初學者應該認識的操作重點，將教學內容的演進歷史用說故事的方式呈現，幫助使用者從根本融會貫通該功能的設計用意與操作理念。 從蘋果電腦發展的歷史脈絡出發，徹底學習蘋果的操作精神 蘋果電腦成立至今已三十餘年，有許多操作方式與設計理念都是經過長時間累積、沈澱所形成的習慣，因此對於資深玩家來說，要學會蘋果新功能是相對容易很多的事情。然而蘋果在台灣早年並不風行，對於台灣電腦用家來說，許多對於蘋果的誤解、排斥都是源自於微軟Windows的使用習慣。而從教育學的觀點來看，只教技術而不認識原理，是最沒有效率的教學方式。 有鑑於此，本書不以操作步驟教學為目標，而是自設計理念著手，帶領讀者從蘋果電腦三十多年的發展歷史出發，從根本探討蘋果系統的操作方式，以期使用者能轉換使用電腦的習慣與概念，無論未來蘋果如何變動自己的系統設計，增添再多的新功能，都能迅速而有效地學會蘋果電腦的操作模式，成為能真正活用macOS系統的「蘋果專家」。 本書特色 ．從蘋果macOS系統起源出發，帶領讀者挑選電腦、入門系統操作、活用蘋果電腦 ．不僅提供蘋果電腦相關教學，更要讓你從設計理念上徹底認識蘋果 ．針對最新蘋果發展現況編排內容，讓你快速掌握未來五年內的蘋果發展趨勢 ．作者為知名線上專欄作家，同時經營粉絲團、Line@ 帳號，有問題可隨時線上發問並獲得解答
                    
"
9789863792093,"


	■Apple Watch軟體開發實戰手冊
	■深入解析WatchKit的基礎知識和實踐技巧
	■用Swift語言開發智能穿戴App搶佔技術先機

	本書針對

	Apple Watch軟體開發的內容進行講解，先說明WatchKit核心概念，而後解決Watch App與iPhone App資料共用的問題，並透過一個食譜App為實際案例來說明，討論建立Glance、與Watch App對話、處理本機和遠端Notification等功能的實現方法。最後學習動畫處理、效能最佳化等進階開發技巧，同時了解Apple Watch App
	開發的注意事項。

	適用：具有iOS 和Swift 開發基礎知識、或有興趣讀者。

"
9789862019771,"

簡單學會最直覺的作業系統Mac功能一網打盡，科技結合網路全新進化+ 全新介面－扁平化風格介面，快速上手不卡關。+ 直覺操作－全新Mac系統，超多好用功能不錯過。+ iCloud大幅進化－所有方便功能，只需要一個免費帳號。+ 接續互通－Mac與iOS的最佳完美結合。本書從最簡單的開箱開始，就算是毫無Mac經驗的你，也可以輕鬆的入門。一步步地熟悉系統操作，熟練各種生活娛樂影音軟體，善用iWork文書軟體，最後可以自己處理許多電腦問題，這是本書能帶給各位讀者的一趟豐富冒險。本書作者在蘋果教育領域打滾了許多年，已經出版了四本Mac相關著作。知道哪些是實用、必備的技巧，哪些是一般人不會用到的功能。在本書中各位讀者可以學到最扎實的功能，招招實用，絕不只是花俏。希望各位都不只是學會Mac系統的操作，更是能熟練的使用Mac，讓Mac幫助大家省下更多作業的時間去體驗生活。本書特色‧全方位解析，從新手入門到iLife、iWork都一手包辦。‧雙系統不求人，一個人輕鬆搞定。‧網路互通時代來臨，與iPhone、iPad的完美結合。
                    
"
9789863473183,"


理解度No.1
	※引導入門到專家所有步驟詳細解說
	※涵蓋iPhone與iCloud的完美應用
	※享受照片、影片、音樂的生活樂趣

	更智能、更易用、更美妙
	輕鬆享受蘋果一流的多媒体娛樂與生活應用
	用最簡單的方式 讓您成為MAC達人

	由於現在的環境幾乎人人都有電腦、智慧型手機、數位相機等 3C 裝置，因此也增加了接觸照片、影片、音樂等數位檔案的機會。加上Facebook 與 Twitter 的社群服務網站，提升與親友分享影音的需求。本書透過各種應用程式相互應用，涵蓋時下最流行的軟體：iPhoto輕鬆整理和编辑照片、iMovie制作令人驚嘆的家庭影片、GarageBand演奏並錄製音樂，然后將全部創意作品發佈與朋友和家人分享。為了讓初學者能迅速理解，特地挑選幾項經常使用的功能，透過簡單明瞭的操作方式一一詳細解說。另簡單說明 iCloud 、 iPhone 與 iPad 的使用方式。希望藉由本書的介紹，將身邊的智慧型商品成為豐富生活最有利的幫手。一起來感受數位生活的樂趣吧！(適用OS X Mavericks & iOS 7)

"
9789862100707,"


	本書是一本隨筆文集，來自於一名老Mac使用者＆IT程式設計師的部落格 【MacTalk By 池建強】。

	“從網路時代開始，程式設計師就是一個很特別的職業，他們生在這麼一個技術改變世界的時代，想想Apple的各種劃時代產品、Google的眼鏡和無人汽車、Facebook的社群網路、Amazon的電子閱讀、阿里巴巴的電子商務和金融夢，難以想像10年以後這個世界會發生什麼樣的改變，更不用提那些還在車庫中醞釀的各種奇思妙想，而這些改變，程式設計師都將參與其中。

	別為自己設限了，誰說程式設計師都只能寫程式碼了，看看《賈伯斯傳》、《駭客與畫家》裡面的那些技術大師們，每個都具備著文藝氣息的技術功力，他們又是作畫、又是彈琴、又是寫作、又是運動，還具備著寫得一手的好程式碼。如果你能夠把程式碼寫得好，那麼為什麼不去把自己的思想和設計通過文字表達出來呢？如果你能夠把技術文章寫好，慢慢就能寫出人文類的文字，慢慢你就會發現自己已經站在科技和人文路標的十字路口。”

	這本書的內容，便是從作者長時間在部落格撰文的180多篇文章中重新整理與挑選，以科技、人文、程式設計師想法與Mac工具秘訣為主題。讀者可以看到作者那既有IT人的邏輯理性、又富有生命般的人文氣息的文章，每篇文章獨立成文，可利用零碎時間隨機閱讀、體會。

	如果你是一般的讀者，可以看看這個崛起的程式設計師們的想法與大師們的歷史事蹟，而且還有126個一般人不會知道，只有程式設計師才會懂得Mac使用技巧，讓你一下子Mac活用功力大增。

	如果你是程式設計師，更應該看看這本以IT人的角度，來看看Mac的真實發展與IT開發環境的許多工具推薦，提升你使用Mac的工作效率。

"
9789863121862,"


Mac 全方位學習的 No.1 選擇！
 輕鬆探索先進、完美的 Mac OS X Mavericks 作業系統。
  

 在 Mac 時尚、迷人的外表下， 其實蘊藏著獨有的操作方式與各種軟體。第一次接觸 Mac 的作業系統， 您一定會發現， 雖然是圖形化界面， 但操作卻不如預期順利， 尤其是之前習慣用 Windows 的人， 可能連 Mac 的關機、切換輸入法都找不到呢！

 本書的規劃就是要帶領 Mac 初學者， 能夠很順利的上手 Mac 作業系統， 針對 OS X Mavericks 的多點觸控操作手勢， 我們也搭配了大量的圖解、操作示範照片來做說明， 幫助你快速熟悉觸控板的操作技巧， 能輕鬆切換視窗、探索桌面、瀏覽網頁與照片。其它眾多 Mavericks 的應用程式：訊息、提醒事項、通知中心、地圖、iBooks、備忘錄、FaceTime、iPhoto、行事曆、系統環境設定…等等， 本書也都規劃進來， 內容詳盡而豐富。

 應該不少人除了有 Mac 電腦外， 同時自己或家人也擁有其它 Apple 裝置， 例如 iPhone、iPad、iPod 等， 而 Mavericks 與這些 Apple 裝置的整合與應用， 我們也有詳盡的說明。

簡單．易學．完美體驗
 ～用 Mac 開啟您精彩生活的首頁～

【Mac 快速上手】
 透過圖解、示範照片介紹多點觸控操作手勢， 帶你快速熟悉 Mac 系統， 以及 Launchpad、Dashboard、Mission Control 等應用。

【解說各種無線上網方式】
 無線上網、Wifly 無線網路、在 7-ELEVEN 上網、使用捷運站的免費無線網路、透過 HiNet 熱點上網…， 讓你的 Mac 隨時都能與世界接軌。

【一應俱全的應用程式】
 Mac OS X 內建了「聯絡資訊」、「行事曆」、「地圖」、「提醒事項」、「iBooks」、「備忘錄」、…等應用程式， 方便您隨時記下生活大小事， 而且這些程式還能與 iPhone、iPad 高度整合。

【iCloud 雲端同步 Apple 裝置】
 透過 iCloud 同步 iPad、iPhone 的聯絡資訊、行事曆， 不必費心做資料轉移， 還能立即找到下落不明的 Apple 裝置。

【豐富生活必備的影音工具】
 有效管理照片、音樂、影片， 輕鬆瀏覽、分享與播放。

【環境與系統調校設定】
 打造舒適的工作環境外， 還能與其它 Mac 用 AirDrop  分享檔案。

【製作系統安裝隨身碟】
 安裝程式都從網路下載、升級， 日後不能開機怎麼辦？做好 OS X Mavericks 安裝隨身碟才能有備無患！

"
