ISBN,書籍簡介
9789865002848,"


 《本書特色》

 本書對ASP.NET Core 進行了全面說明，包含ASP.NET Core 的Web 架構以及ASP.NET Core MVC 學習等，並從零開始說明一個完整的ASP.NET Core 專案開發及發佈部署，帶你走進ASP.NET Core 跨平台開發的世界。

  

 《本書內容》

 本書對ASP.NET Core 進行了全面說明，包含ASP.NET Core 的Web 架構以及ASP.NET Core MVC 學習等，並從零開始說明一個完整的ASP.NET Core 專案開發及發佈部署，帶你走進ASP.NET Core 跨平台開發的世界。

"
9789864764532,"

「設計下一世代連網裝置必讀的一本書。」 －David Rose,《Enchanted Objects》作者 「作者針對UX能如何從ID(工業設計)學習關於創造簡約、美麗、及最重要的「體貼」的產品與服務，提出了引人入勝且務實的遠見。這是讓人期盼已久的一本書。」 －Elizabeth Goodman, 《Designing Connected Products》與《Observing the User Experience》作者 值此連網裝置多元紛呈之刻，許多使用者經驗(UX)專家與互動設計師正在探索硬體設計的潛能，但對他們而言，實體產品是較不熟悉的一塊領域。若你是那些希望成功融合數位與實體設計的人士之一，這本實用的書能協助你理解工業設計專業中七個經得起時間考驗的原則。 兩位作者為國際設計與創新公司IDEO現任與前任設計總監。作者藉由實際案例來闡述工業設計中關於感知、簡約、耐久、好玩、體貼、永續與美的原則。你將從本書學到，當你的專業開始延伸到螢幕之外的實體世界時，該如何進行、界定與評估你的設計。 ‧感知：創造與人類感官全面接觸的覺知經驗 ‧簡約：設計整體上能明確表現目的的簡約產品 ‧耐久：打造能美好磨合與成為經典的長壽產品 ‧好玩：以好玩的設計超越功能並創造情感連結 ‧體貼：觀察人們的挫折並預先設想他們的需要 ‧永續：設計能降低環境衝擊的產品 ‧美：透過美來提升日常用品的感受經驗
                    
"
9789864342204,"


	企業級虛擬化解決方案的終極指南

	由經過認證的 VMware 專業人士，基於各種真實狀況，親自分享實務性的操作步驟以及詳細的概念解釋。使你可以透過本書瞭解 vSphere 6 的完整功能，並能夠藉此應付作業環境中的各項挑戰。

	內容涵蓋從安裝、設定、操作及安全性控制等方面的詳細步驟，協助你克服大型虛擬化環境的管理及自動化難題。藉由對 VMware vSphere 的全方位教學，本書可引領初學者成為虛擬化技術的專家，或是作為資深管理者的重要參考書目。

"
9789864342211,"


企業級虛擬化解決方案的終極指南


	由經過認證的 VMware 專業人士，基於各種真實狀況，親自分享實務性的操作步驟以及詳細的概念解釋。使你可以透過本書瞭解 vSphere 6 的完整功能，並能夠藉此應付作業環境中的各項挑戰。

	內容涵蓋從安裝、設定、操作及安全性控制等方面的詳細步驟，協助你克服大型虛擬化環境的管理及自動化難題。藉由對 VMware vSphere 的全方位教學，本書可引領初學者成為虛擬化技術的專家，或是作為資深管理者的重要參考書目。

"
9789863756903,"


	本書以淺顯易懂的講解方式，加上圖片步驟的教學，讓使用者能容易理解計算機的重要概念並靈活操作計算機作業系統與相關應用程式。

"
9789863792628,"


	．從原始程式層面深度解析Docker核心原理
	．Kubernetes原始程式完全解讀
	．涵蓋Docker 進階實作技巧
	．深入分析各種容器雲端平台技術架構

專家推薦

	本書宏觀上描繪容器和容器雲技術發展的浪潮和生態系統，微觀上以Docker 和Kubernetes 為典型進行深度分析。無論是Docker 技術同好，還是系統架構師、雲端開發者、系統管理和運行維護人員，都能在本書中找到適合自己閱讀的要點。－劉俊，百度運行維護部進階架構師，百度最高獎獲得者

	浙江大學SEL實驗室屬於較早接觸並研究開放原始碼PaaS技術的團隊之一，到新一代以Docker 為基礎的PaaS 平台如DEIS、Flynn 等，均有深入的研究和實作經驗。華為PaaS 團隊也在與之交流中汲取不少營養。他們將近年來對Docker容器和Kubernetes、DEIS、Flynn 等PaaS 開放原始碼平台的研究成果結整合冊，內容詳盡且深入淺出。我相信，無論是入門者還是老手，都能夠從中獲益。－劉赫偉，華為中央軟體院進階軟體架構師

	容器技術在大型網際網路企業中已廣泛應用，而Docker 是容器技術中的傑出代表。本書不僅介紹Docker 基礎知識，而且進行程式級的深入分析，並透過對Kubernetes 等技術的說明延伸至叢集作業系統以及對Docker 生態領域的思考，同時結合了大量實作，內容豐富，值得擁有。－王煒煜，百度運行維護部進階架構師，JPaaS 專案負責人

"
9789862768495,"

Introduction to Operating Systems <> *加入平板電腦與智慧型手機的介紹，因應目前行動通訊的發展。 *加入雲端系統的介紹，包括雲端運算的發展與分散式運算，以及雲端作業系統的說明，實作上可以搭配Google的平台。 *新增擴充作業系統的核心(kernel)單元，讓學習者進行系統層次的實作，體驗較為深入的技術細節。 *補充說明PCB (Process Control Block)，讓處理元的概念更清楚與完整。 *加入哲學家用餐問題的更詳細說明，這是同步問題中相當典型的例子。 *資訊與系統安全的部分補充說明Malware，幫助學習者建立一個比電腦病毒更通化的概念。 *附錄的實作改成VirtualBox，因為此軟體可以免費自由下載，又很穩定，很值得讓學習者嘗試。 <> *作業系統的定義 :了解作業系統是什麼，跟其他系統有何不同。 *作業系統的功能 :涵蓋作業系統的管理功能，例如處理元的管理、記憶體的管理、輸出入管理、網路的功能與周邊裝置的管理。 *作業系統的工作原理與理論 :涵蓋處理元的排程管理、周邊裝置的排程管理、同時性控制的理論、分散式系統、系統保護機制與資訊安全等主題。 *作業系統的實務：包括特定作業系統的架構與設計、系統的開發介面、虛擬化系統等主題。 *作業系統的新應用與新發展 :例如嵌入式系統、虛擬化技術，以及雲端運算等。 <> *本書內容完整涵蓋作業系統領域，此次改版特別針對處理元管理與同時性控制提供更多實例，也加入雲端技術的內容。撰寫時盡量加註參考文獻與資料來源，讀者可以從這些參考資料再延伸學習。 *書中多處提出該領域中的一些有趣的發展，希望能激起學習者思考的潛力，進而主動充實教材範圍以外的知識。
                    
"
9789862017340,"

這是一本講解開發iOS Apps時，各種常用技巧的實用書籍，作者精心設計了10支Apps，並將一共98個技巧分別融入到各　　支App內進行示範。例如顯示圖像、傳送電子郵件、存取電話簿、顯示地圖並標記使用者的地理位置、設定捆包、音訊播放、裝置的運動偵測設計、資料庫儲存程式的資料、推播通知、軟體內購買、Game Center社群互動、iTunes搜尋、iAd播放廣告、群集視圖、Social軟體開發框架、提醒事項、UI狀態回復、iOS開發者計畫、App的上架與發布等等。例如，作者設計了一支名為WhereAmIParked的App，當中就包含了使用地圖與紀錄使用者地理位置的技巧。不但如此，內容納入上述98個技巧的十支Apps也都已經上架到App Store。您可以先到App Store中，利用App名稱來搜尋，並搭配開發者名稱Brainwash Inc.來過濾，找到這些App，先行試用，看看它們所提供的功能是否正是您所想要學習的功能。
                    
"
9789862015858,"

作業系統(Operating System)是一組系統程式(System Program)，介於使用者(User) 與電腦硬體(Hardware)之間，幫助使用者方便使用，監督電腦有效執行。一套完整之電腦系統，可概分為四組區塊：電腦硬體(Computer Hardware)、作業系統(Operating System)、應用程式(Application Program)、與使用者(Users)。其中作業系統用於組合其他三組區塊，只要是開機狀態，作業系統就一直在執行中，通常視為核心運作(Kernel)；而其他三組區塊，唯有在被需要時才呼應啟動執行。本書針對大專院校作業系統課程教學需求，精緻設計五篇共15章：(1)系統架構(System Structure)，電腦系統結構、作業系統架構；(2)行程管理(Process Management)，行程、執行緒、CPU排程、同步並行、死結；(3)儲存管理(Storage Management)，記憶體管理、虛擬記憶體、檔案系統；(4)輸入輸出(Input and Output)，輸入輸出系統、大量儲存結構；(5)分散式系統(Distributed System)，分散式系統結構、分散式系統之整合、雲端概念。
                    
"
9789862763445,"

領略頂尖專家改善軟體的測試法則 「來自測試專家們的真知灼見讓本書物超所值，每個想法及可能面臨的挑戰，都清楚有趣地呈現出來。這本包羅萬像，動人心魄又饒富趣味的文集，每位測試人員都應該要擁有一本。」 -- Ken Doran，QA Lead, Stanford univertisy; Chair, Silicon Valley Software Quality Association 成功的軟體不止依靠堅實的架構或優雅的程式碼，同時也依靠著嚴謹的測試。但測試並不只是例行工作，而是持續探索測試方法與發展出更優秀想法。 《測試之美》包含23篇短文，來自27位頂尖的測試人員與開發人員，介紹讓測試成為藝術的品質與技巧。藉由這些個人經驗，你能瞭解這些專案人員在各式各樣產品上發展出美麗測試的方法與過程，進而將這些寶貴經驗應用在你自身的專案上。 以下是本書中能找到的例子： ‧微軟公司的Alan Page熟知大規模測試，並分享如何將其美化的秘密 ‧Scott Barber解釋了為何效能測試需要是個合作的程序，而非單單只是測量速度 ‧Karen N. Johson介紹了測試醫療軟體如何將其專業經驗與個人生活合而為一 ‧Rex Black 揭示了在25年的時間裡讓相關人員滿意是件美麗的事 ‧數學家 John D. Cook將傳統基於複雜性與一致性的美麗定義，應用在測試亂數產生器之上 本書撰稿人包括 Adam goucher Emily Chen與Brian Nitz John D. Cook Andreas Zeller與David Schuler Linda Wilkinson Murali Nandigama Rex Black Remko Troncon Karen N. Johnson Tomasz Kojm Martin Schroder Alan Page Chris McMahon Adam Christian Clint Talbert Neal Norwitz, Michelle Levesque, 與Jeffery Yasskin Jennitta Andrea Tim Riley Scott Barber Lisa Crispin Isaac Clerencia Kamran Khan Matthew Heusser 所有撰稿人同意將本書所有收入捐給Nothing But Nets募款活動
                    
"
