ISBN,書籍簡介
9789864344161,"


☛ Oracle資料庫優化的里程碑著作
☛ 幫你系統性的發現並解決Oracle資料庫效能問題
☛ 源自一線Oracle效能優化實踐，涵蓋目前所有可用版本
☛ 被讀者譽為「透徹，但又易懂的效能優化好書」
	 

"
9789864344154,"


☛ Oracle資料庫優化的里程碑著作
☛ 幫你系統性的發現並解決Oracle資料庫效能問題
☛ 源自一線Oracle效能優化實踐，涵蓋目前所有可用版本
☛ 被讀者譽為「透徹，但又易懂的效能優化好書」
	 

	 

"
9789861819631,"

Oracle ACE Director蓋國強親自策劃彙集五位一線Oracle DBA工作現場的經驗分享從不同角度探討資料庫診斷與最佳化本書由五位擁有豐富實務經驗的Oracle DBA主筆，內容著重於案例的實用性和可操作性，同時對於解決問題的過程與思考流程，也多所著墨。無論您是有心朝DBA之路邁進的新手，或是已經具備相當經驗的老手，本書所提供的方法與經驗，都可以帶給您相當的啟發，提昇您的功力。本書內容包含以下精采內容：‧Oracle典型錯誤的分析和診斷‧各種SQL最佳化方法，如：* 調整索引* 處理表格碎片* 分頁查詢最佳化* 改善執行計畫‧系統效能最佳化的經驗分享‧在工作現場解決疑難雜症的過程解析本書共可分為四個主要篇章，分別為：DBA工作手記：這一篇概要記錄了日常工作中一些經驗和技巧，也包含一些對於DBA工作的探討。診斷案例篇：這一篇詳解地記錄了DBA工作中遇到的一些案例及思考、處理過程。SQL最佳化篇：這一部分包含大量關於使用索引進行SQL優化的實際案例。效能最佳化篇：包含了一些CBO模式下的最佳化案例，以及儲存與分頁查詢的最佳化過程。Oracle的CBO是資料庫中最為複雜的部分，通過一些實際的案例分析，我們希望能夠讓讀者了解如何解決問題的方法。
                    
"
9789864341559,"


專業資料庫人才的最佳實務培訓手冊
全面進擊！職場DB實務技能


	◎精通PL/SQL的結構以及基本指令
	◎範例式導引資料庫的觀念語法
	◎完封業界所需的資料庫技能
	◎徹底掌握Oracle資料庫PL/SQL的程式開發
	◎適用Oracle 12c、11g、10g和9i

	獨創的圖解方式表達PL/SQL語言的精髓
	幫助PL/SQL的資料庫開發者和管理員建立堅實的基礎

	資料庫程式的設計與開發是軟體發展人員不可缺少的工作技能。本書將充分介紹Oracle PL/SQL語言的應用技術，帶領您解決資料庫開發中所遇到的各種問題。循序漸進地介紹Oracle PL/SQL程式設計，讓您了解PL/SQL的結構以及基本語法，包括如何宣告變數、使用迴圈與條件判斷、使用明確定義的游標，處理例外事件，建立函數與 程序、套裝程式及觸發程式等。不僅適合SQL和PL/SQL初學者，同樣也適用於有經驗的Oracle應用開發人員。

"
9789863475088,"

免費、企業級的虛擬化作業系統平台 Oracle VM是建立在Xen技術上的一個產品，是目前少數可以同時支援X86與SPARC系統的企業級虛擬化作業系統平台。擁有高靈活性、易用性與友善的管理介面、支援OpenStack。透過Oracle VM的協助，企業可以快速地將常用的企業應用透過虛擬化技術進行佈署。 友善的管理介面 Oracle VM提供了針對虛擬機器管理上所需要的一切優點的環境管理平台，它從底層區隔一般用戶與系統管理員的身分，讓虛擬機器的管理可以採用目標導向的圖形化介面來進行相關日常操作。管理者只要透過支援JAVA的瀏覽器，就能直接進行以下管理工作： ．管理虛擬機器的生命週期，包含建立、啟用、暫停、停止與刪除等。 ．管理伺服器池。 ．管理網路與儲存裝置設備。 ．匯入虛擬機器、ISO檔案或者是已經建立好的虛擬機器樣本檔案。 ．建立高可用性Oracle VM Server、伺服器池（Server Pools）與虛擬機器。 ．針對虛擬機器進行線上移轉作業。 本書將針對Oracle VM Server的詳盡使用方式來進行介紹，讓各位讀者可以一睹這個企業級虛擬化技術軟體的奧妙。
                    
"
9789862761878,"

美商甲骨文股份有限公司台灣分公司教育訓練部資深經理 陳盈珍 專文推薦! *適用Oracle 11g與Oracle 12c *融入ORACLE OCE國際證照(考科1Z047)之考照重點，參加認證考試者必備。 *以做中學精神貫徹各章節，配合必要之關聯式資料庫理論，用Oracle資料庫管理系統為對象，以實務性操作當為學習主軸。 *各章學習目標明確，並提供大量實務性例題，對於學習者有極大之幫助。 *內容涵蓋：建置Oracle Database SQL、單列函數、資料表合併、集合運算、資料庫交易控制、使用DDL建立資料表與基本管理...等資料庫管理與應用。
                    
"
9789862019382,"


專業資料庫人才的最佳實務培訓手冊
	全面進擊！職場DB實務技能


	◎精通PL/SQL的結構以及基本指令
	◎範例式導引資料庫的觀念語法
	◎完封業界所需的資料庫技能
	◎徹底掌握Oracle資料庫PL/SQL的程式開發
	◎適用Oracle 12c、11g、10g和9i

	獨創的圖解方式表達PL/SQL語言的精髓
	幫助PL/SQL的資料庫開發者和管理員建立堅實的基礎

	資料庫程式的設計與開發是軟體發展人員不可缺少的工作技能。本書將充分介紹Oracle PL/SQL語言的應用技術，帶領您解決資料庫開發中所遇到的各種問題。循序漸進地介紹Oracle PL/SQL程式設計，讓您了解PL/SQL的結構以及基本語法，包括如何宣告變數、使用迴圈與條件判斷、使用明確定義的游標，處理例外事件，建立函數與 程序、套裝程式及觸發程式等。不僅適合SQL和PL/SQL初學者，同樣也適用於有經驗的Oracle應用開發人員。

"
9789862016336,"

本書內容理論與實務並重，利用豐富的說明文字及清楚的流程圖來說明資料庫理論，並以Oracle作為開發工具引導讀者利用所學理論來建置完整資料庫系統。本書內容芬為資料庫理論與Oracle實務兩部份，主要重點如下：＊從資料型態與模型開始介紹，到資料庫的正規化來建立正確的資料庫觀念。＊以圖例式的例子說明，並提供SQL語言查詢、基本語法的應用及進階查詢技巧。＊以Oracle系統管理的觀念，教導成功資料庫管理者的速成捷徑。＊介紹PL/SQL 來對於資料庫進行程序化的存取及提高效能的方式。＊搭配Visual Basic、Delphi、PowerBuilder等開發工具，建置功能全面的資料庫系統。＊針對資料庫的保護及維護提供詳盡的資料回復說明。
                    
"
9789862015278,"

How to make your Oracle database fly資料庫效能最佳化是這幾年來DBA們越來越關注的技術領域，因為近幾年資訊飛速發展，導致了許多系統的使用者數量猛增，資料庫中儲存的資料量成幾何級數的成長，也讓系統變得緩慢，此時要如何讓資料庫處理的效能最佳化，已成為近日最該注意的課題。在本書中，您將會學到在效能最佳化方面的一些思路和思考，以及一些故障處理的方法和原則，這些東西是作者不斷的在實踐中累積出來的心得體會，能迅速的掌握處理問題的方法和有效解決問題。本書最大特點在於，凡是作者提到的觀點，都盡可能的使用一些例子來證明，以實際的驗證方式來說明自己的理論，讓本書更有說服力。
                    
"
9789862762677,"

＊從最基本的Oracle 11g 資料庫軟體客戶端和伺服器的下載、安裝、資料庫的管理、Oracle 11g網路組態的設定、Oracle 11g DBA的記憶體架構介紹、Table space的管理、Table的管理到專案實作，做一系統化的介紹，最適合大專院校學生與資料庫初學者閱讀。 ＊系統化的介紹生產管理系統，包括：基本需求說明、公司組織圖、資料庫表格建置及關聯說明、Relation Table關聯結構圖、使用者權限需求說明、開發程式碼、建立生產管理系統。 ＊ASP和JSP程式存取Oracle 11g資料庫 ＊Oracle 11g OCA相關指令及應用 ＊一本適合學生製作專題以及讓初學者學習建置管理資訊系統的書籍
                    
"
