ISBN,書籍簡介
9789865021351,"

2018 PMP Exam更新版 涵蓋《PMBOK Guide》第六版 把通過認證考試所需的概念深植到你的腦海 運用風險管理避免令人困窘的專案問題 利用數百個實務問題焠鍊你的PMP知識 通過PMP認證考試的學習良伴 『我在專案管理公司教導專案管理，並且選用《深入淺出PMP》作為我的專用教材，我的學生當中有84%的人一次就成功通過PMP與CAPM認證考試，可謂成績斐然。對於任何想要改善專案管理技巧並且通過PMP認證的人來說，這本書堪稱目前為止寫得最好、內容最完整的一本書。』 — Rocket Williams， PMP，MCITP，MCT 『我從事專案管理工作超過30年的時間，並且被推崇為《PMBOK Guide》的主題專家，我可以懇切地告訴你，《深入淺出PMP》是目前為止我所審閱過的最佳PMP考試用書，是我所讀過有關專案管理基礎的最佳教育訓練書籍。』 — Dennis Bolles，PMP， 《The Power of Enterprise-Wide Project Management》的共同作者 你將從本書學到什麼？ 《深入淺出PMP》以活潑生動的手法完整涵蓋《PMBOK Guide》（專案管理知識體系指南）的內容，修訂後的第四版具有獨特的視覺化題目與答案幫助你掌握專案管理，超越一般制式的問題與解答，引導你深入思考專案管理的完整脈絡，透過將專案管理的觀念引進真實的情境，你將能夠充分理解、記憶、與應用—不只在考試中，更在實務工作上，所以才會有那麼多人將《深入淺出PMP》當作是通過PMP認證考試的唯一參考。 這本書為何如此與眾不同？ 根據神經生物學、認知科學與學習理論，《深入淺出PMP》採取專為大腦運作而設計的豐富視覺化風格，而不是讓你昏昏欲睡的文字敘述。
                    
"
9789866363573,"

　　第一本漫畫版的資料庫入門學習書!!　　從漫畫故事中，自然學會電腦資料庫這一門專業技術！　　邊看漫畫邊輕鬆學習完整的資料庫基礎知識！　　基礎理解概念清楚，文字敘述易懂，條理分明圖解詳析。　　以「漫畫→解說→練習題→具體實例」的形式，逐步講解與實例操作演練！　　補強「進階必備知識」＆「複習用練習題」；　　幫助參加技能檢定、考證照，增強實力、通過檢定！　　◎完整學習資料庫的相關技術　　從學習資料庫的必要性開始了解，為什麼資料庫是必要的？如果沒有資料庫的話，會產生哪些困擾？開始，從開始到相關基本知識、基本用語、資料庫的設計方法、關連式資料庫，以及學習控制關聯式資料庫的SQL、系統的構造。　　◎可以實際導入＆運用　　經由系統性的學習，將可以在平常業務中導入資料庫，並利用資料庫來開發進銷存系統，學習Web等目前實際使用的資料庫系統。　　◎輕鬆理解系統內部技術的實體　　資料模型的種類、E-R模型、正規化、 SQL、SELECT句子查詢文件、用比較運算子＆邏輯運算子建立條件、統計和群組化、子查詢等等。　　◎資料庫進階必備知識　　近來以資料的收納方式受到注目的XML、物件導向資料庫（OODB）、管理複合式的物件、繼承等等。　　◎針對證照考試的出題練習　　在每一個章節結束後，會有針對證照考試的出題所設計的練習題，協助進行課後複習與自我測試，增進學習成效。　　只要掌握資料庫基礎，　　你就可以從複雜的現實世界找出資料，　　設計出資料庫、運用資料庫!!　　讓你的工作變輕鬆!!
                    
"
9789864342662,"


	不管您的職業是不是工程師，只要你是電腦工作者每天或多或少都需要編輯、修改許多的檔案。

	您怎麼樣備份您的檔案？您怎麼樣一眼就可以知道每次備份的差別？如果您跟其它同事一起共同檔案，不論是有心無意，萬一檔案被其它同事覆蓋掉了該怎麼救回來？

	如果你在乎這些問題的答案，那使用「版本控制系統」就是一個很不錯的選擇。透過這樣的系統，可以清楚的記錄每個檔案是誰在什麼時候加進來、什麼時候被修改或刪除。Git 就是一種版本控制系統，也是目前業界最流行的版本控制系統，沒有之一。

	人生不能重來，但 Git 可以隨時幫你救回來不小心修改或刪除的檔案。

	簡單的說，Git 就像玩遊戲的時候可以儲存進度一樣。為了避免遊戲打輸了而損失裝備，又或是打倒頭目卻沒有掉落期望的裝備，你也許在每次要去執行任務之前之前記錄一下，在發生狀況的時候可以載入舊進度，再來挑戰一次。

	若您平日的工作已有在使用 Git，本書大部份的內容應該相對的輕鬆；即使已經平日有在使用 Git，也可從本書學到一些「本來以為 Git 是這樣，但其實是那樣」的觀念。

本書內容：
	- 常用 Git 指令介紹。
	- 各種 Git 的常見問題及使用情境。
	- 如何修改 Git 的歷史紀錄。
	- 如何使用 GitHub 與其它人一起工作。
	- 一般平常工作用不到但對觀念建立有幫助的冷知識。

"
9789865230500,"


	1.適用於大專院校與各高中之加深加廣多元選修課程、運算思維、設計思考、科技應用專題、工程設計專題以及物聯網應用實作課程等。

	 

	2.以Blockly圖形化介面撰寫程式，在雲端上進行控制，讓初學者在發展IoT應用的同時，建立以運算思維解決問題的實作能力。

	 

	3.內容採「主題式教學」，循序漸進、由淺入深，使用「做中學」的概念，鼓勵學生進行自主性、探索式的素養學習。

	 

	4.掌握最新趨勢，學習製作「AI人臉辨識解鎖」與「LINE智慧管家」的知識。

	 

	5.讀者可由書中範例發展成對外參加Beinglife宏碁數位創作大賽、科學展覽、專題製作或發展學校特色課程。

	 

"
9789864344826,"


	♛ 如欲瞭解與探索機器學習，那麼TensorFlow是個相當不錯的選擇。
	♛ 若想學習TensorFlow，本書能以最低難度帶你領略機器學習的奧秘。

編輯推薦

	本書是TensorFlow 2.0程式設計實踐的入門類書籍，目的在於TensorFlow 2.0正式版發布之際，能夠幫助大家快速瞭解其核心特性及基本程式設計技巧。本書精選5個常用的人工智慧程式設計案例，幫助大家掌握如何在工作中使用TensorFlow 2.0進行應用開發。內容涵蓋Python和TensorFlow基礎入門、自然語言處理和CV領域的實踐案例、模型的服務化部署，希望在基於TensorFlow 2.0的人工智慧程式設計上能夠助你一臂之力。

專家好評

	這一波人工智慧浪潮與以往我們所討論的人工智慧最大的不同，就是其已經迅速在工業領域進行應用。網際網路+人工智慧+大數據的時代正在到來，新一代人工智慧正加速推進經濟向智慧化躍升。因此，投資界非常看好目前人工智慧在IOT、5G等方向的應用前景。本書作者以深厚的專業知識和多年的實踐經驗，由淺入深，用生動語言講述了人工智慧的基本原理、知識結構、工業應用。相信此書能夠為人工智慧愛好者，以及在此領域開展技術研究的讀者，提供一個淺顯易懂的入門導引，幫助讀者更快速地進入人工智慧應用領域。
	詹家芳
	原德國林德工程有限公司總經理，留美碩士

"
9789864344673,"


■考試得高分：提供考試偷撇步，教你如何快速寫出前序、中序、後序走訪。考試不必陷入遞迴的追蹤。

■學習超簡單：提供學習資料結構的利器——動態影片，透過動畫幫助你理解演算過程的變化。

■漸進式學習：慢慢地逐步加入C語言進階技術講解，從頭學起。

■焦點最集中：挑選資訊領域必備的，基礎資料結構做為主要內容。

■觀念最新穎：以新的抽象化概念，來看待資料結構與程式的關係。從多面向來說明什麼是資料結構，為何要學習資料結構。

	 

動畫展示——學習資料結構與演算法的不二法門
	 

一、動態的表達

	資料結構最適合的學習方式應該是動態的，由於平面書籍的限制，因此，常常造成讀者的學習困難，本書提供動態影片來解說各種資料結構的運算與排序搜尋演算法，使讀者能夠先理解，然後自然地產生興趣。

	 

	作者特將動態影片轉為長達至少38分鐘的影片檔，並將部分預覽放置於youtube

	請上youtube搜尋「資料結構 初學指引 陳錦輝」關鍵字；

	相對於網路上本書的免費影片，由本書官網下載的動態影片，還可自由暫停與調整播放速度，學習更方便。

	 

二、循序漸進的學習

	初學者在學習資料結構的初期，最大的困難在於看不懂C程式，本書提供虛擬碼及C函式雙格式的演算法，幫助讀者理解，並且搭配「老師的叮嚀」、「小試身手」等階段式的步驟，循序漸進地讓讀者複習C語言，並在程式碼旁增加大量說明框，讀者能夠快速理解程式碼與圖形的對應，不但能學會資料結構，更能在程式中活用。

	 

三、基本觀念的建立

	許多人常常認為堆疊是堆疊、樹是樹、陣列是陣列、鏈結是鏈結，之間並無關係，問他什麼是二元樹時，只會畫出二元樹的抽象圖，但不能理解其底層的實作。或許能用筆寫出二元樹走訪結果，但無法以程式來實作。本書在第一章就先闡明資料結構的層次，讓讀者在學習整套課程之前，先有心理準備，避免片段式學習。

	 

四、多元學習

	本書包含抽象化觀念的建立、考試偷撇步、Coding偷撇步、學生與老師的QA、延伸學習、大量習題等，滿足各方面的學習需求。

"
9789576154133,"

◎ 由淺入深，適合 PowerBuilder 初學者◎ PowerBuilder、.NET 不需要選邊站◎ 台灣 Sybase 公司、倍力資訊強力推薦◎ 本書作者擁有 PowerBuilder 的專業認證◎ 附贈 PowerBuilder 12評估測試版光碟隨著 Java與 .NET兩大技術的崛起，PowerBuilder的市場有逐漸式微的現象，但卻依然在應用程式的開發工具市場上占有一席之地。直到 PowerBuilder 12 .NET的問世，徹底擺脫傳統PowerBuilder 使用者在技術上面必須要在 PowerBuilder 與 .NET兩者之間選邊站的困境。對於 PowerBuilder 忠實的使用者來說，在不需要改寫程式碼的情況之下，彈指之間就可以將 PowerBuilder 程式碼輕鬆轉換成 .NET 的程式，大幅度提升企業的系統開發效率。對於 .NET 的使用者來說也等於是多了一項非常方便的圖形化介面工具來開發 .NET的應用程式。過去PowerBuilder 的使用者可能對開發Web架構的系統比較不熟悉，尤其現在PowerBuilder 12與.Net環境的完美整合，透過這一本書的敘述，相信對使用者開發Web Solution的功力會有顯著的提昇，尤其本書作者從學習與應用PowerBuilder的開發，已有16年的經驗，過去亦有多年從事PowerBuilder教學的訓練工作，更是會讓本書非常值得閱讀。期盼透過這一本書可以讓 PowerBuilder的使用者，秉持 PowerBuilder 與.NET的共好理念與精神，讓 PowerBuilder 可以展現其應有的驕傲與價值。
                    
"
9789865501136,"


TensorFlow 是目前使用最廣泛的機器學習架構，滿足了廣大使用者的需求。如今TensorFlow 已經更新到2.x 版本，具有更強的便利性。
	本書透過大量的實例說明在TensorFlow 架構上實現人工智慧的技術，相容TensorFlow 1.x 與TensorFlow 2.x 版本，覆蓋多種開發場景。


	◎ 詳盡闡述tensorflow 1.x/2.x完整內容
	◎ 75個實作專案，包含最接近工業 / 商業用的典範   
	◎ 由淺入深的完整解說，徹底體會TensorFlow之美

	史上強大的AI框架Tensorflow 2.X版終於出來了。

	在綜合PyTorch的動態圖架構和併入高階API Keras之後，Tensorflow又重回AI框架最炙手可熱的明星之一。

	本書是針對已經有Tensorflow基礎的讀者，幫助讀者具備基礎的深度學習知識之後，更強化自身的功力。不再拘泥於簡單的CNN、MNIST、RNN等太基礎的內容。

全書重點包括：
	► 75個工業及商用專案的完整實作
	►在Windows/Linux下安裝Anaconda及GPU、CUDNN的完整介紹
	►大量Transfer Learning的預載入模型說明
	►Tensorflow的專屬資料集格式
	►TF-Hub retrain或是fine-tune完整的預載入模型
	►利用tf.estimator及tf.keras訓練模型的完整過程
	►用Tensorflow做離散及連續資料的特徵工程
	►不再只是單純的CNN，用膠囊網路做更準確的圖形辨識
	►不只RNN，還有GRU及Attention機制、SRU、QRNN及Transformer機制
	►自己動手做YOLOV3 Darknet
	►最完整的Normalization說明，包括Batch Norm、Switchable Norm
	►GAN大全，包括DeblurGAN及AttGAN
	►CS612照片加工的AI基礎
	►製作Tensorflow的模型完整說明
	►在樹莓派、iPhone、Android上佈署Tensorflow的模型

本書特色

	1. 相容TensorFlow 1.x 與2.x 版本，提供了大量的程式設計經驗
	兼顧TensorFlow 1.x 與2.x 兩個版本，列出了如何將TensorFlow 1.x 程式升級為TensorFlow 2.x 可用的程式。

2. 覆蓋TensorFlow 的大量介面
	由於TensorFlow 的程式反覆運算速度太快，有些介面的搭配文件並不是很全。作者花了大量的時間與精力，對一些實用介面的使用方法進行摸索與整理，並將這些方法寫到書中。

3. 提供高度可重用程式，公開了大量的商用程式片段
	本書實例中的程式大多都來自程式醫生工作室的商業專案，這些程式的便利性、穩定性、再使用性都很強。讀者可以將這些程式分析出來直接用在自己的專案中，加快開發進度。

4. 書中的實戰案例可應用於真實場景
	書中大部分實例都是目前應用非常廣泛的通用工作，包含圖片分類、目標識別、像素分割、文字分類、語音合成等多個方向。讀者可以在書中介紹的模型的基礎上，利用自己的業務資料集快速實現AI 功能。

5. 從專案角度出發，覆蓋專案開發全場景
	本書以專案實作為目標，全面覆蓋開發實際AI 專案中所有關的知識，並全部配有實例，包含開發資料集、訓練模型、特徵工程、開發模型、保護模型檔案、模型防禦、服務端和終端的模型部署。其中，特徵工程部分全面說明了TensorFlow 中的特徵列介面。該介面可以使資料在特徵處理階段就以圖的方式進行加工，進一步確保在訓練場景下和使用場景下模型的輸入統一。

6. 提供大量前端論文連結位址，便於讀者進一步深入學習
	本書使用的AI 模型，大多來自前端的技術論文，並在原有論文基礎上做了一些結構改進。這些實例具有很高的科學研究價值。讀者可以根據書中提供的論文連結位址，進一步深入學習更多的前端知識，再配合本書的實例進行充分了解，達到融會貫通。本書也可以幫助AI 研究者進行學術研究。

7. 注重方法與經驗的傳授
	本書在說明知識時，更注重傳授方法與經驗。全書共有幾十個「提示」標籤，其中的內容都是功力很高的成功經驗分享與易錯事項歸納，有關於經驗技巧的，也有關於風險避開的，可以幫助讀者在學習的路途上披荊斬棘，快速進步。

"
9789865021924,"


	「由三位深度學習領域專家撰寫的《Deep Learning》，是涵蓋內容最為全面的著作。對於要進入此領域的軟體工程師與學生，提供了兼具深度及廣度的觀點與淺顯數學概念，以及足供專家參考的內容。」
	──Elon Musk，OpenAI共同主席；Tesla與SpaceX共同創辦人兼CEO。

	「這是最完整的深度學習教科書。本書是由此領域的主要貢獻者所撰寫，清晰、全面與完整的呈現相關主題。想知道深度學習的起源、優勢與發展，請閱讀本書。」
	──Geoffrey Hinton，英國皇家學會院士(FRS)，Toronto大學榮譽教授；Google傑出研究人員。

	「近十年來，深度學習著實讓技術界為之傾倒。有必要為學習者、實作者與教學者撰寫一本教科書，內容包括基本概念、實務項目與進階研究主題。本書是第一本全面涵蓋的書籍，由專精於該領域富有創新性與創造力的研究人員撰寫。本書會是今後幾年的重要參考書。」
	──Yann LeCun，Facebook AI研究主管；New York大學電腦科學(資訊科學)、資料科學與神經科學的教授。

	深度學習是一種機器學習，透過概念階層方式，讓電腦從經驗中學習，進而理解世界。由於可利用經驗累積知識，因此無須人為操控來指定電腦所需的全部知識。概念階層容許電腦經由簡單概念建置與學習更複雜的概念，其中組成的階層圖會呈現出多層深度框架。本書內容涵蓋廣泛的深度學習主題。

	本書是以數學與概念為基底，涵蓋線性代數、機率論與資訊理論、數值計算以及機器學習等相關概念。書中將論述業界實作者與行家們使用的深度學習技術，包括深度前饋網路、正則化、優化演算法、卷積網路、序列建模與實務方法；同時討論概括論述相關應用，如自然語言處理、語音辨識、電腦視覺、線上推薦系統、生物資訊與電玩遊戲等。本書提供諸多研究觀點，包含線性因子模型、自動編碼器、表徵學習、結構化機率模型、蒙地卡羅法、配分函數、近似推論與深度生成模型等理論項目。

	本書適合打算投入深度學習業界或研究領域的大學生與研究生，以及想要在資訊產品或平台中納入深度學習技術的軟體工程師閱讀。


	封面圖片：Daniel Ambrosi的Central Park Azalea Walk Dreamscape(danielambrosi.com)。Daniel Ambrosi的Dreamscapes(夢景)是使用Google DeepDream開源軟體(由Google的Joseph Smarr與NVIDIA的Chris Lamb修改的版本)所建構的作品，以此軟體成功處理Ambrosi數億像素的全景圖片而成。

"
9789863797807,"

．分散式搜尋分析系統．Java資訊檢索函式庫．高擴充性與可用性．強效資料處理．大資料時代的資訊檢索技術：騰訊、阿里巴巴、百度、東京等一線互聯網公司正大力推進Elasticsearch的使用場景，本書以豐富的實例介紹Elasticsearch，可幫助讀者快速應用Lucene庫處理全文檢索業務，掌握使用Elasticsearch搭建分散式搜尋引擎的方法與技巧。本書為入門Lucene、Elasticsearch：首先介紹資訊檢索領域中一些基本理論，也就是Lucene的數學模型，之後介紹如何使用Lucene 函數庫建置全文檢索系統，最後介紹Elasticsearch。按照從數學模型到入門基礎再到專案實戰的想法來撰寫，數學模型讓讀者知其然也知其所以然，入門基礎是理論到實際應用的必經之路，專案實戰則是為了學以致用。書中的每一部分都力圖簡明扼要，使用大量實例和程式，為讀者能夠快速掌握全文檢索技術掃除障礙。適用：學生、Java 程式開發者、搜尋引擎研發人員
                    
"
9789865022617,"


 基因組學、顯微鏡學、藥物開發等生命科學上的應用

 “對科學社群的重要貢獻”
 -Prabhat
 Lawrence Berkeley國家實驗室NERSC數據與分析服務團隊負責人

 “優質的高層次精要說明，討論特定技術基礎與底層科學”
 -C. Titus Brown
 加大戴維斯分校教授

 深度學習在許多領域已經達成顯著的成果，在所有科學領域掀起波瀾，尤其是生命科學。本書教導開發者和科學家將深度學習應用於基因組學、化學、生物物理學、顯微鏡學、醫學分析及其他領域。

 本書所介紹的深層網路原理適合開發者和科學家將技能應用於生物學、遺傳學、藥物開發等科學應用。你會看到結合物理學、化學、生物學、醫學的新療法案例研究。這是最大的科學挑戰之一。

 ‧認識對分子資料進行機器學習的基礎知識
 ‧了解為什麼深度學習是遺傳學和基因組學的有力工具
 ‧應用深度學習來理解生物物理系統
 ‧DeepChem機器學習簡介
 ‧以深度學習分析顯微圖像
 ‧使用深度學習技術分析醫學掃描
 ‧學習變分自動編碼器和生成對抗網絡
 ‧解釋模型活動與其運作方式
  

"
9789865021917,"


	AI人工智慧已經踏進我們的生活，藉由機器人的幫助，我們可以節省大量處理瑣事所需花費的時間，將精力集中在更有生產力的事務上。本書將告訴您如何在LINE這套全民都有的通訊軟體上開發一個聊天機器人，它可以自動爬取您所關注的股市訊息，在第一時間將重要的訊息推送到您的手機上，讓您可以做最即時的投資決策。

	本書可以幫助您：
	．從零開始建置一個Python開發環境
	．學會基本的Python語法與程式設計概念
	．了解如何進行網路爬蟲
	．了解Github的基礎操作
	．架設與管理MongoDB資料庫，藉此熟悉NoSQL資料庫的操作
	．程式選股概念
	．實作籌碼面、技術面、基本面爬蟲
	．打造一支完全客製化的聊天機器人，依據您的選股策略，主動推播資訊

"
9789865022471,"

本書提供穩固而札實的實務基礎，讓你有能力解決各種NLP任務。本書涵蓋NLP的各個面向，除了理論基礎之外，更強調實務方面的實作。在解決各種NLP任務時，如果能在實務方面擁有良好的基礎，一定有助於你順利過渡到更高級的理論架構。此外，若能在實務方面有更扎實的理解，也就可以讓你更充分利用特定領域的知識，進而對演算法做出更好的調整。 透過本書，您將可以： ．了解NLP的概念與各種自然語言處理方法 ．如何應用TensorFlow來進行NLP ．將大量數據處理成可供深度學習應用程序使用的單詞表示的策略 ．如何使用CNN和RNN進行句子分類和語言生成 ．如何使用RNN來解決複雜的文本生成任務 ．如何應用類神經技術開發自動翻譯系統 ．自然語言處理的未來趨勢與發展
                    
"
9789865020620,"

本書是解說以TensorFlow打造深度學習模型的入門書籍，從建構環境開始，並且介紹深度學習、TensorFlow、Keras的基礎。接著，則挑戰以Keras建構實用的影像處理深度學習模型。一邊帶著大家了解TensorFlow與Keras的功能，一邊帶著大家學習可於職場應用的深度學習模型。 藉由本書，您將可以了解： ．如何建構開發環境 ．TensorFlow的深度學習概念 ．函式庫的使用方法 ．簡單的分類問題 ．Keras的使用方法 ．如何使用CAE消除雜訊 ．如何建立讓黑白照片轉換成彩色照片的模型 ．如何建立超高解析度成像 ．如何透過機器學習轉換畫風 ．如何建置BEGAN自動生成影像
                    
"
9789865002428,"


	TensorFlow是谷歌2015年開源的主流深度學習框架，目前已得到廣泛應用。《TensorFlow：實戰Google深度學習框架（第2版）》為TensorFlow入門參考書，旨在幫助讀者以快速、有效的方式上手TensorFlow和深度學習。

"
9789863125051,"


彙整最常用的指令，詳列參數用途,
以職場實例演練用法，
隨查隨用，快速解決問題！


	Git 是目前最通用的版本控管工具，專案開發時必少不了它，但許多新手卻也被各種指令及參數文件弄得暈頭轉向…本書是一本 Git 指令參考手冊，帶你紮實學會各種文字指令的用法，這絕對是學好Git的關鍵！

	書中提供【3 大索引方式】讓您快速找到想學的指令，每個指令會以多個【情境範例】示範用法，為了避免卡關，更獨家整理了【常見的執行錯誤訊息及解法】，讓您遇到錯誤時可以馬上排除障礙。

	本書除了具備查閱用途外，也會帶您建立紮實的Git使用觀念，從建立儲存庫、分支、送出提交、設定忽略清單、變更提交歷程…, 到多人合作時常會遇到的提交衝突問題、與專案成員互動的 Pull Request 功能…希望透過大量的範例及示意圖帶您掌握正確的Git工作流程，讓Git成為您專案開發時的得力助手！

本書特色

	‧【語法齊備】：指令及參數寫法、情境範例活用、執行錯誤時的解決方法
	‧【方便查閱】：提供功能別、目的別、字母順序 3 大索引方式
	‧【實務應用】：提交衝突時的解決方法、團隊開發應用、最佳化 Git 儲存庫…

"
