ISBN,書籍簡介
9789865021726,"


 最暢銷的程式設計教程和參考手冊
 全新改寫符合C++11標準

 為新發布的C++11標準完全更新並重塑，這本權威及詳盡的C++入門指南將幫助你快速學會這個語言，並以現代、高效率的方式使用它。重點提示現今最佳實務做法，作者們展示如何使用核心語言及其標準程式庫寫出有效率、容易閱讀並且強大的程式碼。

 《C++ Primer, 5th Edition 中文版》從一開始就融入了C++標準程式庫的介紹，取用其常見的函式與機能來幫助你在尚未精通每個語言細節之前就能寫出實用的程式。本書的眾多範例都經過更新，使用新的語言功能，並示範如何以最佳的方式運用它們。

 快速起步&完成更多：
 ‧學習如何使用新C++11語言功能和標準程式庫，以快速建置穩健的程式，並熟悉高階程式設計
 ‧透過範例學習，這些範例示範現今最佳的編程風格，以及程式設計技巧
 ‧了解「規則背後的道理」：探討為何C++11如此運作
 ‧使用廣泛的交互參考，幫助你連結相關的概念和觀察
 ‧受益於最新的輔助說明和練習，強調關鍵重點，協助你避開常見陷阱，鼓勵良好實務做法，並強化你所習得的知識

 本書是通過時間驗證的C++入門教程，含有核心C++概念和技巧的權威性討論，也是經驗豐富的程式設計師珍貴的參考資源，特別適合急於尋求C++增強功能介紹的讀者。

"
9789865028664,"


	運用C#和.NET Core編寫真正的程式

	「太感謝你了！你的書讓我的職涯平步青雲。」
	—Ryan White
	遊戲開發者

	「Andrew與Jennifer寫出一本簡明、權威的C#開發入門書籍，最重要的是，讀來非常有趣。」
	—Jon Galloway
	微軟.NET 社群團隊資深程式經理

	「如果你想要深入學習C#，而且希望在過程中充滿樂趣，看這本書就對了。」
	—Andy Parker
	剛起步的C#程式員

	你將從本書學到什麼？
	本書用有趣、高度視覺化的方式來介紹C#、.NET Core與Visual Studio，帶你深入研究C#，並教你製作app、使用者介面、遊戲等等。這本全新改寫的指南涵蓋C# 8.0與Visual Studio 2019，可讓初學者從第1章就開始建構功能齊全的遊戲，教你設計物件導向程式、類別的用法、用Unity設計3D遊戲，以LINQ查詢資料。你將透過各種謎題、動手練習，以及建構真正的應用程式來學習這些內容，完成本書閱讀之際，你將成為貨真價實的C#程式員，並在過程中渡過美好的時光！

	這本書為何如此與眾不同？
	我們認為你的時間寶貴，不應該將它浪費在與新概念周旋不下的窘境中。運用認知科學與學習理論的最新研究成果，《深入淺出 C#》採取專為大腦運作而設計的豐富視覺化風格，而不是令你昏昏欲睡的冗贅敘述。

"
9789865028022,"


本書第一版榮獲國家圖書館狀元推薦閱讀書單科學類第15名，也是唯二進榜的程式設計書籍！ 

	 

	*作者累積二十年教學與著作經驗完成，書的章節架構採循序漸進、難易適中，內容說明簡單扼要。 

	 

	*針對大專院校教學進度編寫，適合作學習C++程式語言的教材，內容由淺入深、由簡而繁的帶領讀者學習C++的基本程式設計、結構化程式設計、物件導向程式設計、與應用程式設計。 

	 

	*本書所有的語法、範例與程式都是使用ANSI/ISO C++的標準，同時也兼顧到Visual C++的相容性，因此本書所有範例程式皆使用「Orwell Dev-C++ 5.11 with GCC 4.9.2編譯器」與「Visual C++ 2019編譯器」編譯、連結與執行過。 

	 

	*第四版適用Windows 10系統，且更新至Orwell Dev-C++ 5.11 with GCC 4.9.2與Visual C++ 2019編譯器。 

	 

"
9789864768110,"

由微軟MVP、大學教師共同編著，並由大學教授程式設計教師提供寶貴意見與審校。範例淺顯易懂且具代表性與實用性，非常適合教學與自修，是一本C&C++程式設計的最佳入門進階書。書中介紹如何在Dev C++與Visual Studio 2017的環境下開發C&C++程式，並詳實告知在不同的開發環境下撰寫C&C++應注意的地方，以最輕鬆的方式學習C&C++程式設計。 本書共分C語言與C++兩個部分：第1~15章詳實介紹C語言程式設計技巧；第16~22章介紹C++物件導向程式設計、樣板、例外處理與STL等進階議題。 *適用Dev C++與Visual C++ 2017 *介紹C語言程式設計技巧與C++物件導向程式設計 *介紹C++函式指標、樣板、例外處理、STL等進階議題 *列舉易懂且具代表性與實用性的程式範例 *在Dev C++與Visual Studio 2017環境下開發C&C++程式
                    
"
9789862766361,"

涵蓋最新的C++11 C++ Primer Plus 一書是為程式設計師與開發人員精心設計，且對於每個主題核心皆有完整說明的教學書籍。主要教導的內容包含了程式碼結構化與由上到下的設計原則、以及類別、繼承、樣板、例外、拉姆達（lambda）運算式、智能指標和移動語意等。 身為作家與教育家的Stephen Prata，撰寫出這本富有教育性、明確且具有獨到見解的C++指導手冊，以C++語言解釋許多基本撰寫程式的概念與細節。許多簡短的範例一次只說明一至二個概念，藉以鼓勵讀者學習新主題時，能立刻掌握活用技巧。 在每個章節最後都有問題回顧和程式設計練習，幫助初學者理解最艱深的內容和概念。 本書是一本容易自學的指南，適合認真鑽研程式設計的學生，與已精通其他程式語言，想要了解此語言核心基礎知識的專業程式開發者。 本書已為第六版，更新並涵蓋了C++的最新發展，以及新的C++11標準細節。 在C++ Primer Plus書中，您將會發現深入、廣泛的各種教學方法和工具，藉以提昇您的學習效益： ‧完整及整合討論基礎C語言並附帶說明C++的特色 ‧對於使用時機和理由提供明確的指引 ‧透過實作和延伸範例，幫助您一次理解一至兩個概念 ‧提供上百個可執行的範例程式 ‧每個章節末附有問題回顧和程式設計練習，測試您的理解程度 ‧涵蓋了通用的C++，為您提供更靈活的通用性 ‧依據ISO標準，涵蓋討論樣版、標準樣版函式庫、字串類別、例外、RTTI以及命名空間
                    
"
9789865029319,"

由淺入深的教學分配。豐富實用的程式範例。融入APCS概念與實作題*章節安排由淺入深，從C語言核心知識開始，進而介紹重要的資料結構與演算法。 *本書以實用範例為導向，再搭配專題實作，可適用於進階程式設計課程! *範例分為『程式設計目標』、『參考程式碼』和『程式碼解說』等三個部分，讓讀者先了解程式設計目標，進而思考並撰寫程式碼，如遇到困難，再藉由程式碼解說來幫助解題。 *藉由資訊專題『成績排行系統』與『書籍借還系統』，來培養資訊專題製作與設計能力。 *第三版新增APCS大學程式設計先修檢測的概念題與實作題，幫助讀者認識與思考APCS題目，以提升問題解決與運算思維能力。
                    
"
9789576154744,"

「敘述詳盡易懂，佐以圖表輔助學習」「延伸觀念解說，結合理論與實務經驗分享」C++程式語言是從C語言發展而?的，與C語言相容，所以用C語言編寫的程式基本上可以?加修改即可運用於C++程式語言，是一種功能強大的混合型程式設計語言。基於其?多的優勢，?但電腦專業人員需要掌握它，非電腦專業人員也應該學習並掌握它。作者結合多年C++語言教學經驗與教學實踐，編寫了這本書，力求突出以下特色：第一、深入淺出，簡潔明快。學習電腦語言是為?解決問題，而通過程式深入學習電腦語言又是一種最有效的學習方法。為此，在透徹講解基本概?的前提下，本書?選??百個經過驗證的典型程式，並對每個程式的結構、難點、變?設定及執?結果詳細的分析?明。對那些概?容?模糊、程式容?出錯的地方加以強調、?明。相信?者在認真思考的基礎上，定能舉一反三，觸?旁通。第二、原?和應用相結合，這是一本語言書籍在深?和廣?的表現。在原?的應用下，才能有效的運用，從而結合應用講解原?，才?深入、???解。原?和應用的完美結合，展現?C++的語言潛能和它的強大生命?。第三、每章習題附有基本題和程式設計題以及上機?習。這些習題很有特點，它?止是簡單的複述前面的概?，也?單是前面範?的翻版，而是比範??具創造性思考的案?。?者如能認真完成這些?習與實驗，必將大大加深和鞏固所學知?，提高自己的程式編輯能?。
                    
"
9789864347872,"


微軟認證專家和大專院校教師聯合執筆
	觀念和語法循序漸進由淺入深
	範例貼近生活化適合教學和自學
	C#最佳學習策略：觀念圖例→範例導引→上機操作→習題驗證


本書是一本訓練初學者由入門到專業的C#程式設計專用書。全書主要分成下列三大部分：

	✪ C#與主控台應用程式 ✪
	以主控台模式介紹程式設計基本素養。使初學者具有程式邏輯思考能力，熟悉程式設計流程。

	✪ 基礎視窗應用程式 ✪
	以視窗模式介紹表單程式設計。使初學者具有透過工具設計視窗應用程式的能力。

	✪ 進階視窗應用程式 ✪
	如何在以視窗模式活用多表單操控鍵盤和滑鼠，以及介紹檔案和多媒體程式設計，使初學者具有檔案程式設計和多媒體程式設計的能力。

	本書另一本延伸著作「Visual C# 2019程式設計完全解析(II)：加強專業開發技術能力」。主要介紹C#物件導向程式設計、集合與泛型、ADO.NET與LINQ資料庫存取、非同步呼叫、電腦視覺分析、人臉辨識、自訂視覺與ASP.NET MVC應用程式。訓練初學者加強專業開發技術整合能力，使其具有物件導向程式設計、開發資料庫程式、網站資料庫、非同步呼叫以及整合雲端服務，同時整合Azure認知服務，建置具影像辨識與智慧型應用程式等，有興趣的讀者可參閱進修加強。

"
9789864347599,"


	這是一本結合運算思維與演算法的入門書籍，一開始會簡介AI世代與運算思維關鍵心法，接著介紹什麼是運算思維及安排了許多生動有趣、又富挑戰的各種運算思維的擬真模擬試題。這些豐富的擬真模擬試題包括：

	線上軟體通關密碼
	以加密提高資訊安全
	三分球比賽燈號記錄器數字
	動物園巡邏最佳化路線
	餐飲轉盤
	繪圖機器人
	將影像以字串編碼
	電腦繪圖指令實作
	炸彈超人遊戲
	高雄愛河雷射字母秀
	定格動畫
	校園防疫看護義工組成
	自動轉彎玩具汽車
	紅包抽抽樂機器人
	藏寶圖
	背包問題
	等差級數娃娃擺放櫃

	本書以豐富圖例來提高各位對演算法的理解程度，同時配合功能強大C++程式語言加以實作。書中介紹的演算法包括：分治法、遞迴法、貪心法、疊代法、枚舉法、回溯法…等，並延伸出重要資料結構，例如：陣列、鏈結串列、堆疊、佇列、樹狀結構、圖形、排序、搜尋、雜湊、遊戲AI演算法…等。附錄並整理了運算思維的訓練資源，包括運算思維計劃與教學資源、國際運算思維挑戰賽介紹及測驗題庫取得的說明。

本書特色

	◎是一本結合運算思維與演算法的入門書籍
	◎安排生動有趣的運算思維的擬真模擬試題
	◎提供運算思維的訓練資源及測驗題庫取得
	◎以豐富圖例來闡述運算思維與演算邏輯
	◎實作C++程式來訓練運算思維與演算邏輯

"
9789865027438,"

從除錯題目了解撰寫程式常犯錯的地方，提升撰寫程式的能力，成為C程式語言高手！．本書內容淺顯易懂，並搭配豐富的範例程式以及圖表加以說明，以利讀者收事半功倍的效果。 ．從第四章到第十三章皆附有應用範例，讓讀者了解如何運用該章的主題。 ．動手除錯是學習程式設計的最佳不二法門，因此，每一小節皆附有除錯題，不但可以訓練您的除錯能力，並可了解撰寫程式時常犯錯的地方。 ．書中除了除錯題，還有練習題、問題演練題、應用範例，以及程式實作，這些都是提供讀者做中學最有效的方法。
                    
"
