ISBN,書籍簡介
9789865025977,"


“您需要使用Python自動完成無聊的工作嗎？是的，如果您想使用自動化來增強工作流程效率，這是一個很好的起點。強烈推薦！”
	—Network World

	“學習Python最好的書之一。”
	—Giles McMullen-Klein, FlickThrough Reviews 

	如果您曾經花費數小時處理檔案的重新命名，或更新數百個試算表內的儲存格資料，就能體會這類日常的工作有多麼單調無趣了。但假如能利用電腦自動幫您完成呢？

	您不需要有什麼程式設計的經驗，在這本經過完整修訂的經典暢銷書第二版中，能學到運用Python寫出程式，幫您在幾分鐘內搞定人工手動處理需要花費數小時的工作。您將學到Python的基礎知識，並探索Python豐富的模組程式庫來完成某些特定工作，例如從網站上抓取資料、讀取PDF和Word文件，以及自動化執行滑鼠點按和鍵盤輸入的工作。

	本書受到全世界許多讀者的支持，第二版增訂了關於輸入驗證的全新章節，以及有關自動化處理Gmail和Google試算表的內容，另外還有關於自動更新CSV檔的技巧提示。讀者將學到如何能輕鬆地使用Python編寫程式，把自動化的好用和效率應用在下列這些工作上：

	‧在一個或多個檔案中搜尋文字
	‧建立、更新、搬移和重新命名檔案和資料夾
	‧搜尋網頁和下載網路上的圖文內容
	‧處理PDF檔的分割與合併，加入浮水印和加上密碼等作業
	‧傳送Email和簡訊
	‧填寫線上表單

	本書會一步一步地教您完成每支程式，並在每章後面新增的實作專題中啟發及引導您改進這些程式的應用，讓您發揮學到的技巧讓類似的工作能自動化完成。如此就不用再浪費時間去做人工手動的作業，您寫出的Python自動化程式能搞定這些繁瑣的工作。本書是為初學者所設計的，就算您從沒寫過一行程式，跟著書中的講解就能學到這些應用和操作，學會如何享受Python自動化的樂趣，搞定重複瑣碎與單調無聊的工作。

"
9789865028190,"


	Python正宗入門NO.1
	一本引領數以萬計讀者一探Python世界、
	也讓老師用了再用的暢銷經典！

	人工智慧與大數據時代、新課綱世代
	跨入程式語言、鍛鍊邏輯思維，
	就從Python開始學！

	Python是目前最熱門的程式語言，執行功能強大，但語法卻簡潔優雅、易於學習，更方便應用在許多專案實作上。它也沒有複雜的結構，程式易讀，且易於維護。

	Python的應用範圍相當廣泛，無論是資訊蒐集、大數據分析、機器學習、網站建置，甚至是遊戲開發等，都能看到它的身影。本書以零基礎學習者的視角進行規劃，從最基本的認識程式語言與環境架設切入，再進到程式設計流程的完整學習，輔以觀念圖解、表格歸納，以及流程圖，深入淺出一窺Python程式語言與設計的奧妙！

	要懂Python
	就要這樣真正的入門
	徹底掌握程式語言與設計的核心！

	■適合無程式設計經驗或想打好Python基礎者，從中了解運算思維精神，扎根程式設計學習，培養邏輯運算能力。循序漸進的內容涵蓋：認識運算思維、程式語言與設計、環境建置、變數、運算式、判斷式、迴圈、串列與元組、字典、函式與模組、演算法，以及檔案與例外處理…等，讓初學者無痛學習，輕鬆打好基本功。

	■精心設計100題實作範例，輔以130題綜合演練，從做中學，快速學會每個學習重點，並能應用於實際專題中。範例大小適合讀者平時的學習，或每週固定時數的教學課程。

	■融入精采的情境實例，貼近生活應用，也讓練習更有趣，如：數學運算、密碼判斷、成績評等、電影分級、百貨公司折扣戰、數字比大小、薪資計算表、成績單與業績報表列印、日期時間格式與溫度轉換、擲骰子遊戲、大樂透抽獎、搜尋中獎者、彩券對獎，以及血型個性、四季天氣、成績輸入、產品銷售、電費、世大運獎牌數與家庭支出查詢…等運用。

	■提供更完整的演算法運作實例搭配流程圖，有利理解運作思路與規則，讓程式開發更加得心應手。

	■收錄160分鐘的Python開發環境建置與語法入門影音教學，搭配書籍內容快速吸收，讓學習更有效率。


	書附超值學習資源：160分鐘快速入門影音教學/範例程式檔/綜合演練參考解答


	★「Python入門與特訓班」暢銷經典系列：

	■「Python零基礎入門班」
	本書適用無程式設計經驗，想打好程式語言基礎者，內容為程式觀念的建立與重要語法的學習+實用小範例，可一步一步紮實打好基本功。

	■「Python初學特訓班」
	本書適用初學Python，想一次就從基礎跨入專案開發者，內容為基礎語法+專案實例，以快速具備Python開發力。

	■「Python大數據特訓班：資料自動化收集、整理、清洗、儲存、分析與應用實戰」
	本書適用想完整學習Python資料處理4大觀念與技術：爬取清理、讀取儲存、統計分析、呈現與應用者，內容全面深入不同應用面向，如：網路爬蟲、資料正規化/視覺化/儲存與讀取…等，並以國內熱門實例進行大數據專案實作。

	■「Python機器學習與深度學習特訓班：看得懂也會做的AI人工智慧實戰」
	本書適用想切入人工智慧技術，掌握機器學習與深度學習應用者，內容涵蓋國內外最具代表性範例，包含人臉辨識、自然語言、文字識別、語音轉換、分析預測、物件自動標示、影像辦識的真正實練，從資料收集整理、模型訓練調整，檢測修正到產出全面解秘。

	■「Python架站特訓班：Django最強實戰」
	本書適用想直接打造超強互動網站者，內容涵蓋正規化網站開發流程，結合資料庫，並透由主題範例實戰，架構出專業實用的網站。

	■「Python與LINE Bot機器人全面實戰特訓班--Flask最強應用」
	本書適用想開發聊天機器人者，使用Python與Flask應用程式框架，從認識LINE Bot運作原理開始，經由帳號申請、熟悉開發工具，最後再導入五個不同面向的重要專案「智慧客服、即時查詢、發票對獎、多國語音翻譯、線上旅館訂房」，全面學會LINE Bot的AI智慧機器人開發。

	只學一本，就具備Python開發力，完整學習，功力加倍更無敵!

"
9789865028060,"

【Python系列書在台累計銷量近10萬冊】 國內眾多程式人選書第一指名、學業界指定Python講師、 榮登暢銷榜最多Python圖書作者團隊代表作 集Python程式技術大成，強大內容增值再進化～ 8大領域、39個主題、上百種模組套件、近1,200個範例， 涵蓋語法入門，橫跨各大熱門技術與軟硬整合實戰應用！ 一本帶你入行！系統化分章、大量圖表解說， 全面跨入Python程式開發殿堂！ 給需要本書的人： ★不知道如何開始才能自學好Python的人 ★有接觸過但又不想打掉重練的人 ★老是寫不好Python程式的人 ★想運用Python開發專案的人 掌握系統化的學習途徑 才能真正駕馭Python Python廣泛應用於大數據、網路爬蟲、人工智慧、機器學習、物聯網等熱門領域，是一套直譯式、物件導向，功能強大的程式語言。具備簡潔的語法，擁有許多模組套件，跨平台且容易擴充，所以非常適合初學者學習，但沒有系統性與結構化的學習，只能一知半解，而胡亂網路爬文，也只會迷失在資訊叢林。 本書從Python自學角度出發，系統化的分章學習，全面涵蓋語法、模組套件、主題應用、軟硬整合，規劃出最好的學習曲線，縮短自學途徑，排除學習障礙，真正從初學入門到業界活用！ ■完整詳實的程式入門： 從開發環境建置開始，由淺入深、循序漸進、完整且詳細的解說變數、運算、判斷式、迴圈、串列、元組、字典、集合、函式與模組等語法觀念與實作。 ■晉級專業的進階心法： 包括物件導向開發、例外處理、正規表達式、檔案管理、圖形使用者介面設計等內容。 ■應用廣泛的資料科學： 涵蓋網路爬蟲、數據資料儲存與讀取、資訊視覺圖表化、Numpy、Pandas資料與分析的完整學習。 ■無所不在的網路應用： 囊括Flask網站開發、建立Web API與Heroku部署、Django資料庫網站架設，還有LINE Bot機器人整合應用。 ■邁向未來的AI人工智慧： 具備機器學習入門、機器學習特徵處理、分類與迴歸演算法、深度學習MLP、CNN與RNN的應用，以及機器學習雲端平台Azure、NLP自然語言處理等能力。 ■玩轉創意的多媒體互動： 包含讀取圖片、編輯圖片、合成、濾鏡效果、大量圖片處理，還有PyGame遊戲開發、PyTube影音下載等運用。 ■提升效率的開發加值： 介紹目前業界最熱門的Google Colab雲端開發平台與VS Code編輯神器，也深入介紹如何將程式打包成執行檔。 【超值附加內容】 萬物可通的IoT物聯網： 從MicroPython程式實作、硬體實作、感測器應用、加入顯示裝置、使用Wi-Fi無線網路，到物聯網整合應用，提供PDF電子書，可視需求運用。 【超值學習資源】 獨家收錄「Python物件導向程式開發影音教學」、 「Google Colab雲端開發平台入門影音教學」、 全書範例程式檔 感謝各界眾多程式讀者的肯定與真好評， 新版中，我們依據市場回饋的寶貴訊息調整章節與順序， 並且再加值內容與影音教學，讓本書更全面， 也更有利於學習。 在基礎入門篇中加入集合與時間模組的使用； 在資料科學篇中加入json及xml格式的檔案操作，以及Pandas資料分析； 在網路應用篇中增加應用Flask進行Line Bot的改版開發，還升級Django的版本； 在人工智慧篇更針對機器學習補強了演算法的應用與實作， 除了觀念的導引，也強調資料在分類、迴歸分析上的學習，深入機器學習的核心； 全新的開發加值篇介紹目前業界最火熱的Google Colab雲端開發平台， 以及VS Code編輯神器，也深入介紹PyInstaller執行檔編譯； 全新的多媒體互動則著重在Pillow圖片處理、PyGame遊戲開發、PyTube線上影音下載； 附錄的IoT物聯網篇則因應軟體更新了操作介面，提供全彩呈現， 讓Python實戰更加得心應手。
                    
"
9789865027698,"


	．進階封包分析技巧，掌握數據來源熟悉度。
	．逐步說明的實戰範例，輕鬆學會網站爬蟲技巧。
	．清楚分類網站類型，系統性了解網站全貌。
	．多語言開發技巧，快速提升程式開發能力。
	．多元開發技巧，節省自行搜尋與研究時間。

	本書著重多語言操作應用（Excel VBA、Python、JavaScript）與多解法開發爬蟲程式、網路封包側錄分析、網站資料尋找分析，有別於坊間爬蟲書籍僅以Python作為爬蟲操作語言與單一方式解決問題的作法。

著重原理與觀念，多角度學習，效果更佳
	承襲《Excel VBA 實戰技巧｜金融數據x網路爬蟲》中提過的觀念，「爬蟲原理與觀念通了，任何程式語言都可以做爬蟲程式」與多元開發的精神。本書在加入Python後，並以Python常見的爬蟲模組來解決同一個爬蟲問題，讓讀者可從多角度去學習Python與爬蟲程式的開發技巧。

JavsScript加密混淆破解技法大公開
	JavaScript對於網頁是非常重要的腳本語言，而讀者遇到以JavaScript做加密、混淆、美化等技巧的網頁，往往就望之興嘆無法再進行分析與開發爬蟲，藉由Excel VBA、Python對JavaScript操作範例練習，讓讀者面對相關網頁不再裹足不前。

針對封包側錄與發送過程進行詳細的探討與解說
	封包分析是開發爬蟲程式最重要的一環，若封包側錄、分析、發送等環節出錯，將會導致開發爬蟲程式出現嚴重錯誤，陷入「一步錯步步錯」的窘境，要解決此問題就必須對封包發送內容能清楚掌握，本書針對封包側錄與發送過程進行詳細的探討與解說，透過工具設定與操作，明確封包內容資訊，進一步提升爬蟲分析能力。

	分析網站資料產生的流程，分成網頁操作、封包側錄與分析、連線測試等階段，將每個階段的特徵記錄、整理、歸納而成「網頁操作分析表」，讓讀者在分析網站能一目了然網頁全貌，可避免分析了後面忘了前面的分析，導致開發爬蟲程式遺漏了關鍵步驟而造成無法抓取網頁資料。

"
9789865501020,"


	這是一本使用Python從零開始指導讀者的網路爬蟲入門書籍，全書以約350個程式實例，完整解說大數據擷取、清洗、儲存與分析相關知識，下列是本書有關網路爬蟲知識的主要內容。

	# 認識搜尋引擎與網路爬蟲
	# 認識約定成俗的協議robots.txt
	# 從零開始解析HTML網頁
	# 認識與使用Chrome開發人員環境解析網頁
	# 認識Python內建urllib、urllib2模組，同時介紹好用的requests模組
	# 說明lxml模組
	# Selenium模組
	# XPath方法解說
	# css定位網頁元素
	# Cookie觀念
	# 自動填寫表單
	# 使用IP代理服務與實作
	# 偵測IP
	# 更進一步解說更新的模組Requests-HTML
	# 認識適用大型爬蟲框架的Scrapy模組

	在書籍內容，本書設計爬蟲程式探索下列相關網站，讀者可以由不同的網站主題，深入測試自己設計網路爬蟲的能力，以適應未來職場的需求。

	# 金融資訊
	# 股市數據
	# 人力銀行
	# 交友網站
	# 維基網站
	# 主流媒體網站
	# 政府開放數據網站
	# 社群服務網站
	# PTT網站
	# 電影網站
	# 星座網站
	# 小說網站
	# 台灣高鐵
	# 露天拍賣網站
	# httpbin網站
	# python.org網站
	# github.com網站
	# ipstack.com網站API實作
	# Google API實作
	# Facebook API實作

	探索網站成功後，本書也說明下列如何下載或儲存不同資料格式的數據。

	# CSV檔案格式
	# JSON檔案格式
	# XML、Pickle
	# Excel
	# SQLite資料庫

	本書沿襲作者著作的特色，程式實例豐富，相信讀者只要遵循本書內容必定可以在最短時間精通Python網路爬蟲設計。

"
9789865029067,"


★使用免寫程式的Web Scraper爬蟲工具和Python輕鬆學習網路爬蟲!

	*本書使用Web Scraper瀏覽器擴充功能的爬蟲工具，讓你不用撰寫程式碼，就可以建立CSS選擇器的網站爬取地圖從網站擷取資料，不只能夠輕鬆爬取約7~8成網站，更透過Web Scraper工具讓你輕鬆一邊爬一邊學習HTML標籤+CSS選擇器，輕鬆了解Web網頁內容和各種網站巡覽結構。
	*Python網路爬蟲程式不只能夠爬取Web Scraper工具爬取的網站內容，對於進階JavaScript動態和使用者互動網站，我們可以配合Python+Selenium爬取各種使用者互動網站，讓你在瀏覽器看得到的資料，就可以爬到資料；最後說明Python的Pandas資料清理和Plotly資料視覺化。

"
9789570851526,"


西方國家對於程式語言教育比亞洲國家來得更早，目的是訓練邏輯力。
 STEAM 課程規畫更是席捲全球的教育理念，包括了科學（Science）、技術（Technology）、工程（Engineering）、藝術（Arts），及數學（Mathematics）五大領域。

  

《專門為中學生寫的程式語言設計：強化邏輯思考力》是專門為中學生寫的程式設計學習書，提供中學生想要認識程式語言設計的一部入門書。
 用清楚的解說、適當的題目，引導學生培養邏輯思考能力。

  

 《專門為中學生寫的程式語言設計：強化邏輯思考力》採用的是 Python 語言，容易上手學習。目的是教會大家程式語言，可是更重要的任務是要使學生有邏輯思考的能力。只要能把程式語言設計的基礎打好，建立程式運作的邏輯觀念，對於日後要學習資料結構或演算法都相當有幫助，或是之後需要學習其它程式語言，也相當容易。

  

本書特色
  

 透過淺顯易懂的解說，輕鬆理解程式語言！
 細分各大主題來介紹觀念，一步一步建構思考能力！
 解說及練習題詳盡，以實戰練習確實理解！
 清楚的流程圖，幫助學習及吸收！
 在這個新世代，電腦科學、程式語言設計是必備的基礎能力，跟其他學科同等重要。蘋果創辦人史提夫‧賈伯斯（Steve Jobs）更說：「每個人都該學電腦程式，因為它可以教你如何思考。」因此孩子們一定要學習了解程式語言。

"
9789865024864,"


 「本書是Bill Lubanovic的傑作，先為你紮下深厚的程式設計基礎，再教你用大型的Python工具箱來解決實際的問題，你絕對可以在這本書學會如何運用Python解決問題。」
 —Loïc Pefferkorn
 開放原始碼系統工程師

 「本書以風趣、對話式、寓教於樂的風格介紹海量的Python程式語言與第三方程式包。」
 —Nathan Stocks
 Agile Perception

 《精通 Python》是一本容易理解也很有趣的書，非常適合程式設計初學者以及剛要開始學習這個語言的讀者。本書的第二版將引領從基礎開始，循序進階到較複雜且多樣的主題，在教學過程中使用食譜風格的程式配方來說明Python 3的概念。最後透過每章結束的練習題來驗證所學到的技巧。

 讀完本書，你將紮下深厚的Python基礎，包括測試、除錯、重複使用程式碼的最佳做法以及其他開發技巧。這個版本除了加入新的範例程式和習題之外，也會教你如何使用Python撰寫商業、藝術、科學應用程式，以及運用Python工具和開放原始碼套件。

 ‧學習簡單的資料類型、基本數學運算與文字操作
 ‧以Python的內建資料結構處理資料
 ‧探索Python程式碼結構，包括函式的使用
 ‧使用模組與套件編寫大型Python程式
 ‧深入討論物件、類別與其他物件導向功能
 ‧檢視一般檔案、關聯式資料庫與NoSQL的儲存機制
 ‧使用Python建構web用戶端、伺服器、API與服務
 ‧管理系統工作，例如程式、程序與執行緒
 ‧瞭解並行處理與網路程式設計的基礎

"
4712946750876,"


ESP32 帶你體驗 AIoT 智慧聯網

	 

	本產品專注於 ESP32 控制板的物聯網應用。控制電子零件是大多數控制板都能完成的任務, 而 ESP32 的網路及藍牙功能更是讓它從眾多控制板中脫穎而出。我們會使用網路功能抓取線上服務, 例如火車誤點提醒器, 又或是使用藍牙功能製作自己的藍牙鍵盤。

	 

	除了物聯網以外, 我們更是加入近幾年非常火熱的AI(人工智慧), 它能幫我們做到很多以前難以完成的技術, 例如聲音辨識或影像辨識。我們在此套件中運用了 AI 的人臉偵測及人臉辨識, 判斷年紀、性別以及是否為登記過的人臉, 並將結果通過網路和藍牙傳輸, 以此達到所謂的『AIoT』, 例如智慧門鎖及遊戲室年齡監控站。

	 

	我們會使用現有網路服務, 例如現成的雲端平台、手機 App 和 既有的 AI 服務, 讓大家不用先花大量的時間學網路技術或機器學習, 就可以將溫度資料上傳到雲端平台, 或是使用人臉辨識來啟動馬達。

	 

	本產品除實驗手冊外，實驗過程中有任何問題或是建議都可以在 Facebook 粉絲專頁《旗標創客‧自造者工作坊》中留言，即有專人為您服務。

	 

	本產品 Windows / Mac 皆適用　 

	 

本書特色

	 

	● 自製藍牙鍵盤

	● 人臉辨識智慧門鎖

	● 雲端溫度紀錄儀

	● 遊戲室年齡監控站

	● 火車誤點提醒器

	● 無線網路門鎖遙控器

	 

	組裝產品料件:

	ESP32相容控制板 × 1 片

	MicroUSB線 × 1 條

	伺服馬達 × 1 個

	無源蜂鳴器 × 1 個

	溫度感測器 × 1 個

	四位數七段顯示器 × 1 個

	按鈕 × 4 個

	磁鐵 × 2 顆

	公母杜邦線 × 1 排

	麵包板 × 1 個

	系統需求：Windows / Mac 電腦

"
9789860776171,"


結合Python與Azure服務的AI程式實作
	快速開發實用AI服務


	【本書內容】
	隨著 AI 應用崛起，許多科學計算、數據分析的函式庫與套件紛紛出籠，大都支援或直接使用 Python 語言來開發，因此本書結合AI 與Python、Azure的應用，協助讀者建置智慧型應用程式。

	為了讓讀者了解簡單的機器學習功能，本書學習單元分成兩大類：
	Python 基礎語法教學及Python 結合Azure API 的應用教學範例。
	各範例內有詳細文字解說並結合圖片，讓使用者可以透過圖文吸收更快更容易上手。

	Azure 認知服務分成決策、語言、語音、辨識，針對以上四大主軸分別有不同的功能及運用，Azure 針對學生帳戶還有免費點數可以使用，因此使用者進入的門檻很低，而且Python 的用途廣泛，可以內建數據分析函式庫作大數據分析、網頁爬蟲資料等。運用Azure 只要簡單建立資源，便能開始使用，而且附有災難備份支援，可以在發生重大問題時，保有原本資料。

	全書範例的解說使用較簡單而精簡的詞彙和語句，讓使用者能較好理解。
	有些功能需要結合Python 程式碼，本書也有標上程式碼註解，讓對於初嘗程式碼的學習者可以較無負擔也較無壓力的開始建立現代流行的AI 服務應用。
	適合讀者群  本書結合AI 與Python，適合初階至中階接觸Python者。

本書特色

	1.基礎Python重點語法教學，新手也可以快速上手
	2.經典基礎範例教學，快速掌握語法邏輯
	3.Azure認知服務實用範例詳細解說，一次了解Azure認知服務應用
	4.結合Python與Azure服務的AI程式實作，快速開發實用AI服務

"
