ISBN,書籍簡介
9789864765256,"

附DVD一片【原廠指定推薦用書/國際證照指定教材】 【聯名推薦】 ‧優思睿智科技/周昱志 總經理 ‧西湖渡假村/吳國呈副 總經理 ‧健行科技大學/數位多媒體設計系/洪瑞文 主任 ‧中國科技大學/數位多媒體設計系/李瑞翔 副主任 ‧勤益科技大學/智慧新媒體中心/陳湘湘 主任 ‧文藻外語大學/數位內容應用與管理系/ 陳泰良 副教授 ‧中華大學/運輸科技與物流管理學系/羅仕京 主任 ‧啟英高中/商管群科/許家銪 主任 零負擔學習法！ 這樣開發App超簡單，有創意就可以！ 不用懂App開發語言，只需簡單的簡報思維， 立即啟動App創意因子，任何人都可以快速打造精采App！ Smart Apps Creator 3擁有類似Office的簡單編輯介面，具有繁體中文版，只需運用簡報排版概念，即可開發App，可廣泛應用於互動、測驗、相簿、導覽，以及動畫遊戲等面向。同時，其支援手機、平板電腦、PC與智慧電視相關裝置，一次編輯開發，即可跨iOS、Android、Windows與HTML5多平台發布。 再也不需因不會程式就埋沒創意！就說不會設計App！ 書中從認識工具切入，隨即進入App開發模式，實戰8大App，涵蓋「數位繪本、數位學習、景點導覽、音樂類型、猜謎遊戲、益智互動、科展教案、資料應用」等豐富主題。從專案發想與規劃到實作，先以流程圖了解設計環節，再以詳細圖解徹底解說開發細節。零負擔學習法，讓初學者運用超簡單的製作工具，快速進入App的活用殿堂，進而發揮創意，開發令人驚艷的App！ 新增特色： ‧免程式語法，操作更直覺，全圖形介面操作更簡單。 ‧將App生成HTML5互動式微網頁，跨平台瀏覽無障礙。 ‧支援公開資料JSON資料列表應用，邁入大數據時代。 ‧嵌入YouTube與Google地圖資源，應用功能更強大。 ‧內建推播功能，一鍵撥打電話號碼，創意運用多樣化。 8款App專題： 數位繪本App - [尋找幸福的種子] 數位學習App - [中文筆順練習] 景點導覽App - [蘭嶼微旅行] 音樂實用App - [鋼琴練習曲] 猜謎遊戲App - [一字千金] 益智互動App - [大家來找碴] 科展教案App - [霧社血斑天牛] 資料應用App - [來去農村住一晚] 書附超值DVD： 範例素材/範例完成檔/隨堂練習素材、解答與完成檔 Smart Apps Creator 3試用版(30天)與相關資源
                    
"
9789865028688,"


	眾多讀者與教師第一指名，App Inventor跨平台體驗正式啟動！

	掌握App開發的捷徑，輕鬆打好基本功！
	立即啟動App Inventor 2！縮短50%的App學習與開發時間！

	Google實驗室設計，由麻省理工學院(MIT)行動學習中心維護的App Inventor，風靡無數App開發者、一般App玩家，以及學校師生。以直覺、圖像化的拼塊方式開發App，成為任何人都適用的快速開發工具。App Inventor 2改善開發環境與流程，簡化了拼塊的使用與設定，無論是否具備程式設計背景，都可以更輕鬆的入門。現在，除了原本的Android平台開發之外，也新增iPad、iPhone等iOS設備跨平台開發的實機模擬。


	好學、易用，又強大！
	快速邁向App開發之路
	超簡單App Inventor實戰體驗

	■ 適用無程式設計經驗，或想打好App Inventor基礎者。
	■ 適合學校每週固定時數的課程，或是讀者自我固定時數的學習。
	■ 結合運算思維，將拼塊式的快速開發方式融入主流學習中，符合程式設計的學習流程，由淺入深掌握每個程式開發的重要環節，並按部就班引領學習者進入App開發的殿堂。
	■ 設計簡易而實用的小範例，以養成邏輯概念，扎下良好基礎，並快速感受App Inventor在行動裝置的應用性。每個章節都能單獨學習或與其他單元結合，可根據開發需求了解不同元件的功能與使用方式。
	■ 範例多元，內容涵蓋多媒體及動畫、網際網路、資料庫、清單、感測器…，甚至還有地圖與語音辨識等，讓許多強大的功能都可以快速展現。
	■ 新增iPad、iPhone等iOS設備跨平台開發實機模擬解說，而且針對每一個章節的學習重點加入綜合演練，進行App專題實戰開發，並標示跨Android、iOS平台的適用性。

	★超值全彩印刷，易看易學易開發★

	【超值學習資源】
	「App開發實戰」影音教學/全書範例/延伸練習
	「單機版與伺服器架設」說明PDF/附錄PDF
	「Google Play上架全攻略」PDF

"
9789864347971,"


學習UI設計的第一本書
	靈活運用UI設計邏輯
	做出優異的使用者介面


	| 了解UI設計的邏輯 | 認識各種裝置的特性、差異和功能極限 | 介紹網站和應用程式的優缺點 | 了解人的認知特性 | 介紹導覽列與互動性 | 說明UI的階層與結構 | 介紹UI設計的知名實例及注意事項 | 提升效能 |

	多元裝置時代下
	掌握「易懂」及「易用」的UI設計重點
	打造出好用的使用者介面（UI）及絕佳的使用者經驗（UX）

	不同以往的網站服務主軸為PC，進入多元裝置時代後，現今有各式各樣的裝置會透過網路連線，因此UI設計也必須同時支援PC、智慧型手機、平板電腦、智慧型電視等各類裝置。當設計的對象越來越廣時，UI設計就必須面對最根本的問題，否則會設計出難以操作、不好逛的網站。

	本書內容從UI設計的定義開始，並介紹UI設計會受哪些硬體及軟體的限制，以及人類心理層面的影響、打造易懂易用UI的具體方法等。每章還針對UI設計的各個面向提供技巧及重點整理，並有豐富的圖片輔佐說明，讓讀者可清楚了解「易懂」及「易用」的UI設計重點，以製作出不讓使用者迷惘的優異UI。本書除了適合UI設計師閱讀，其他如工程師、設計總監、發案案主等相關工作者及一般使用者也很適合閱讀本書。

	【目標讀者】
	◎想學習UI設計基本思維的人。
	◎想了解UI易懂易用設計重點的人。
	◎想了解UI在各種裝置的差異及設計規範的人。
	◎想了解UI設計注意事項的人。
	◎想了解UI設計邏輯的人。

"
9789863126577,"


從思考問題開始，用 App Inventor 積木程式來解決難題！


	運算思維很重要，但一講到程式就要先學密密麻麻的語法，根本看不懂..
	別擔心！我們教你從思考問題開始，找出解決問題的方法後畫出流程圖，
	再以圖形化的積木取代繁雜不好記的語法，帶你快速在手機上實作出 App 來解決問題。

	本書採用由 Google 團隊原創、MIT 麻省理工學院維護的 App Inventor 2 中文版為工具，透過積木式的雲端開發環境，就算沒有任何程式設計的基礎，也可以輕鬆開發出各式各樣、有趣實用的 Android App。

	圖形化的 App Inventor 2 用積木來編寫程式，把建立 App 手機應用程式變得超簡單有趣，不用再面對一堆英文程式碼，大大降低了學習的門檻！此外，還有超親民的中文介面，我們從每一個元件開始了解，一步一步完成每一章的專案，由淺入深的進行每一章節的 App 實作練習，每一個程式都可以成為你日常生活問題的解決之道，只要跟著我們的腳步，你將有能力進一步打造出個人專屬的創意 App！

	近年來，「人工智慧」崛起，App Inventor 2 也擴充功能加入了 Personal Image Classifier (PIC) 元件，我們將利用電腦或手機的鏡頭來拍攝「剪刀、石頭、布」的照片，訓練模型後匯入 App Inventor 2 中，即可完成一個猜拳辨識器，讓讀者可以親自體驗、並動手玩 AI。

【主題範例式教學，初學者的實例引導術】
	● 音效 + 按鈕 + 圖片 — 動態小鋼琴
	● 事件驅動 + 條件判斷 — 溫度轉換術
	● 滑桿 + 畫布調整圖形 — 進階小畫家
	● 迴圈 + 副程式 + 加速度感測器 — 體感抽籤範例
	● Web 網站資料擷取 + 語音元件 — 紫外線即時監測
	● 多介面 + 畫布觸控操作 — 有聲電子書範例
	● 社交應用 + 微型資料庫 — 通訊錄範例
	● 定位 + 地圖 — 垃圾車開到哪
	● 條碼掃描器 — LBS 行動導覽範例
	● 多重畫面 + 方向感測器 — 氣球遊戲範例
	● 雲端資料庫存取 — 課堂表決器範例
	● AI with App Inventor — Personal Image Classifier 實例教學操作
	● Thunkable — iOS、Android App 跨平台應用程式開發
	... more

本書特色

學習歷程、專題競賽、科展作品必備技能！

	「運算思維」是一種解決問題的過程，是一種思考的模式：
	問題拆解 ► 模式識別 ► 抽象化 ► 演算法設計
	運用邏輯思維的思考流程，將解題過程寫成程式，讓你遇到問題、即可解決問題！

	● 零程式基礎也 OK！由淺入深帶你學 App
	● 中文化的積木介面，一定看得懂、學得會！
	● 完成後即可安裝在手機中、或是以模擬器測試，成果立刻展現！
	● 每個章節都附有課後評量，自我考驗、上課測驗都適用！

"
9789865026615,"

「無論是剛當上、或是已有多年經驗的架構師，本書能幫你在工作上表現得更好。我只期望在我的工作生涯過程中，這些書能早些出現就好了。」 —Nathaniel Schutta ntschutta.io架構師即服務 「本書能在許多人往軟體架構精進的路上前進時作為引導。」 —Rebecca J. Parsons ThoughtWorks技術長 全球性的薪資調查常把軟體架構師列入最棒的前十個工作，但卻尚未有真正有用的引導書籍協助程式發展人員成為架構師。本書是第一本全面討論軟體架構師諸多面向的綜合概述。無論是想成為或已經是架構師的人，都能從中探討檢視架構特性、架構模型、決定元件、架構的圖解及簡報、演進式架構以及許許多多其它的主題。 本書二位作者在教授專業軟體架構課程有多年的實務經驗，將專注於探討各種技術領域都得以適用的架構原則。在把過去十年的創新觀念納入後，讀者將能夠以現代眼光來探索軟體架構。 本書將檢視： ‧架構模型：許多架構決策的技術基礎 ‧元件：識別、耦合、內聚性、分割及顆粒度 ‧軟技能：有效的團隊管理、會議、交涉、簡報等等 ‧現代性：工程實務與運作方法在過去幾年已大幅改變 ‧讓架構成為一門工程學門：使架構更嚴謹，可重複的結果、指標，以及具體的評價
                    
"
9789864348039,"


	本書內容改編自第 12 屆 iT 邦幫忙鐵人賽 Modern Web 組冠軍網路系列文章──《打通 RxJS 任督二脈 》。

	 

	RxJS 是一套讓我們能更容易管理複雜狀態的類別庫，透過組合跟處理非同步與事件相關的程式，以及一系列的設計技巧，打造出更加容易閱讀與維護的程式。

	 

	RxJS 正緩緩而踏實地成為前端世界的顯學，可惜的是，多數人都著重在「使用」而非「觀念」，導致基礎沒有站穩就踏入抽象的世界，進而投降棄坑。本書將從 RxJS 的核心知識開始介紹，搭配實務範例，幫助讀者能在適當的情境寫出正確的程式，到最後信手捻來，用更簡短的程式碼解決更複雜的問題！

	 

本書特色

	 

	☛ 第一本介紹 RxJS 的繁體中文書籍

	☛ 從核心理念到實戰練習，一步步帶你打通 RxJS 任督二脈！

	 

	❑ 寫出更加穩固、流暢、好讀易維護的程式碼

	❑ 超過 70 個 oper ators 圖文介紹與實戰範例

	❑ 由淺入深，讓你紮穩馬步，一定學得會

"
9789861304793,"


自學APP設計不求人！

零基礎也學得會！本書一步一步教你怎麼做！

	 

大AI時代，賈伯斯、比爾‧蓋茲、馬克‧祖克伯都主張：

「每個人都該具備程式設計的能力！」

	 

從認識App Inventor 2介面到學會透過App匯入與匯出雲端資料，

搭配17個基礎到進階專案練習，

讓你神速開發出你的第一個手機App！

	 

	App Inventor是由Google實驗室設計、麻省理工學院(MIT)行動學習中心維護的APP開發軟體。

	它的特色是免費、而且完全針對程式設計零基礎者設計，你不必學習一連串複雜的程式語法，

	只要利用「拼拼圖」的方式組合各種程式方塊，全世界都在等待你的精彩作品！

	 

◎透過本書「基礎介紹」與「雲端資料處理」兩大單元，完全建立開發手機APP基本功！

	PART1「基礎介紹」──透過3個APP專案練習「電話簿、多媒體撥放器、網頁瀏覽器」，逐步熟悉App Inventor的基礎開發介面及方塊、元件。

	 

	PART2「雲端資料處理」──當你出現更複雜的需求，需要將APP內容結合外部資料時，就必須懂得如何進行「資料處理」。透過豐富的14個APP專案練習「電子書」、「股票代碼查詢」、「吉他簡譜目錄」、「日語單字測驗」……等，搭配Google Drive、Dropbox等常見雲端儲存空間，了解如何將你需要的雲端資料匯入與匯出APP，並利用App Inventor將資料視覺化、優化使用者體驗！

	 

◎本書適合：

	‧想投入手機APP開發領域，但零基礎的你

	‧想了解程式設計原理，工作上需要和資訊專業人員溝通的你

	‧想自行開發出符合個人需求的手機APP的你

	‧在利用手機進行雲端資料處理時遭遇障礙的你

	‧想透過程式設計過程，培養孩子的邏輯推理力的你

	 

◎透過本書你會學習到：

	‧熟悉App Inventor開發環境。

	‧基礎到進階的各章實務演練，快速了解App Inventor的方塊拼湊邏輯。

	‧了解如何設計視覺化元件，讓APP介面更美觀。

	‧從構思→設計→測試，學習多種簡單、具實務應用功能的APP專案。

	‧學習讓APP處理雲端資料（包含Excel報表、Word檔、純文字檔），讓專案成果更貼近實際需求！

	 

◎沒有冗長難懂的名詞解釋，最口語化、最好懂的App Inventor2入門書！ 

	本書採取「做中學」的方式，你不必刻意去記畫面中的所有「元件、工具名稱」，

	只要「認識基本操作介面」和「幾個關鍵元件」，

	就能直接開始設計APP，一邊搭配實機測試，一本上手！

	 

本書特色

	 

【1】APP設計入門必學基本功、實戰力強！

	本書不僅帶你了解程式設計方塊與各種組合邏輯，更將APP的實務應用結合純文字TXT檔、Word檔、Excel檔的雲端資料整理，往後龐雜的資訊都能透過APP系統化呈現，建立APP程式設計者必備功夫！

	 

【2】收錄17個多元專案練習、範例豐富！

	從音樂播放器、簡易電子書、匯率查詢、日語單字測驗、體重管理日記……共17個APP專案練習，從滿足日常娛樂到個人學習進修，一次學會最多面向的App應用！

	 

【3】全彩圖解說明、步驟淺顯易懂！

	本書分為8個章節，內容以程式方塊組合的複雜程度編排，每個專案皆搭配全彩圖解、最口語化的說明文字，加上老師個人的學習經驗分享＆問題解決方式，就像一對一教學般，即使是完全沒有接觸過程式設計的你，也能無痛開發出屬於你的第一個手機APP！

	 

"
9789865005368,"


	iClone 是業界最快的即時 3D 動畫製作軟體，可幫助您輕鬆地為電影、視效預覽、動畫、影片遊戲、內容開發、教育和藝術製作專業動畫。iClone 7 集成了最新的即時影像技術，在對用戶友善的製作環境中簡化了 3D 動畫的世界， 該環境融合了角色動畫、場景設計和電影敘事；快速將您的構想實現。

"
9789576154713,"

密集式範例學習最有效，關鍵語法與物件導向觀念解說！這是一本不一樣的程式設計用書！這是一本不一樣的Android程式設計教學用書！資訊軟體科技 日新月益軟體開發技術不僅是日益進步！更是日益進化!App Inventor 2是一套不用安裝、直接用來開發Android行動裝置App的設計開發工具。App Inventor 2的出現、讓即使不懂Java程式語言以及Android SDK的開發者都可以來開發Android行動裝置App。只要瞭解作業執行流程、以及程式邏輯觀念，就可以使用App Inventor 2來開發App。App Inventor 2不需要一行一行的撰寫程式碼，只要將一個一個功能的程式區塊像堆積木般，堆出一個一個App功能，將這些堆出的App功能集合起來、就成為一個功能完整的App軟體，本書就將Step By Step的教導所有讀者與同學，將App Inventor 2提供的程式區塊，按部就班的堆積成實用的App，希望本書能帶給所有希望設計App的讀者與設計人員些許助益。※本書將使用「與眾不同」的專業教學圖書撰寫手法：將所有章節重點為出題的依據，在最後獨立章節建立讀者與同學自我測驗的專屬題目，讓所有讀者與同學可以進行自我測試。※本書使用Step By Step方式詳細講解App Inventor 2不同用途的元件群組工具箱，讀者可輕鬆學會使用App Inventor 2開發實用的App程式。※附贈全書所有章節的App Inventor 2範例程式檔案，可直接上線使用。
                    
"
9789865027940,"

本書如同Arduino一樣的容易上手，完全以從未學習過電子、資訊相關知識的初學者角度切入，設計出多元的實作內容，成為入門與專題應用的最佳指引。專題實作單元皆包含【相關原理知識】、【函式說明】、【實作練習】三大部份，在【相關原理知識】中先說明完成專題實作所需的基本知識，【函式說明】則詳細解說使用到的Arduino函式功能及用法，最後的【實作練習】則融入互動設計作品常用的周邊元件、通訊模組，以及各類型的感測器等超過200個實用範例及練習，學習者只需結合本書部份範例，再加上自己的創意巧思，就能設計出有趣又好玩的互動作品。 從入門、應用到專題實作，現在，就開始輕鬆的玩好Arduino! ˙學習最容易：使用Arduino公司所提供的免費Arduino IDE軟體，操作簡單、輕鬆上手。本書強調在玩創意，而不是在設計Arduino 程式，全彩實圖說明，實作練習皆有詳細說明，生動有趣、輕鬆易學，絕對是一本最佳的入門書。 ˙學習花費少：本書所使用的Arduino Uno R3原廠開發板價格不到500元，軟體可在官網https://www.arduino.cc/免費下載，全書所須周邊元件及模組價格便宜無負擔。 ˙學習資源多：Arduino 採開放源碼（open-source）理念，不但在官網上可以找到技術支援資料，而且網路上也提供相當豐富的共享資源。 ˙學習模組化：全書程式模組化且前後連貫一致，讀者發揮巧思創意結合部分範例程式，即能輕鬆設計完成互動作品。 ˙內容多樣化：使用常用元件及模組，包含發光二極體、矩陣型LED模組、七段顯示器模組、液晶顯示器模組、蜂鳴器、指撥開關、按鍵開關、矩陣鍵盤、直流馬達、伺服馬達、步進馬達、RFID模組、紅外線模組、藍牙模組、RF 無線模組等，以及各類型感測器如光敏電阻、超音波感測器、溫度感測器、溼度感測器、三軸加速度計、三軸數位陀螺儀感測器等，精心設計超過260個豐富多樣化的實用範例。 ˙應用生活化：生活化的單元教學設計，除了提高學生學習興趣之外、也能培養學生創意設計的素養能力。內容包含調光燈、霹靂燈、雨滴燈、呼吸燈、計數器、數位時鐘、數位電壓表、光線偵測應用、移動偵測應用、距離測量應用、倒車警示器、數位溫度計、數位溼度計、傾斜角度測量、旋轉角度測量、字幕機、電子琴、音樂盒、自走車、無線遙控車、自動追光系統、大樓門禁管理、紅外線家電控制、手機藍牙家電控制、藍牙家電控制、RF 無線家電控制等。 ˙教材多元化：如果初學者有興趣深入學習，可參考作者進階教材「Arduino自走車最佳入門與應用」及「Arduino物聯網最佳入門與應用」兩本書。相信可以更加充實。
                    
"
