ISBN,書籍簡介
9789860776232,"


前端三雄最好學的Vue.js，強大直逼Angular，彈性不輸React，程式碼只有一半！


	前端三雄誰強誰弱不重要，最重要的是上手快，工作量少，誰最適合快速簡單但強大的前端開發就用誰。

	Vue.js是由前Google工程師設計的架構，比Angular易學易懂，彈性調配上也完全不輸React，但在執行效率，程式碼數量上，都遠遠勝過其它兩者。

	本書可說是市面上最完整的Vue.js書籍，從基本的介紹，安裝、開發環境設定等開始講解，更有完整的元件說明。使用實例清楚講解每個元件及指令。本書最後，更有非常完整且可用的三個大型專案，模擬了市面上最有名的三個食品、圖書及音樂網站的前端製作，讓你在讀完本書之後，即具備開發大型服務前端的能力。

	＊本書適合哪些讀者閱讀
	本書非常適合以下人員閱讀。
	■ 沒有任何前端 Vue 框架基礎的初學者。
	■ 有一定的前端 Vue 框架開發基礎，想精通程式設計的人員。
	■ 有一定的前端 Vue 框架開發基礎，缺乏專案實踐經驗的人員。
	■ 正在進行軟體專業相關畢業設計的學生。
	■ 大專院校及教育訓練學校的老師和學生。

本書特色

1. 結構科學，自學更易
	本書在內容組織和範例設計中充分考慮到初中級入門者的需求，由淺入深，循序漸進，無論讀者是否接觸過框架，都能從本書中找到最佳的起點。

2. 超多、實用、專業的範例和實踐專案
	本書結合實際工作中的應用範例逐一講解Vue 前端框架的各種知識和技術，在專案實踐篇中更以3 個專案實踐來複習前15 章介紹的知識和技能，讓讀者在實踐中掌握知識、輕鬆擁有專案開發經驗。

3. 隨時檢測自己的學習成果
	每章首頁中均提供了「本章概述」和「本章要點」，以指導讀者重點學習及學後檢查；章後的「就業面試技巧與解析」均根據當前最新求職面試（筆試）題精選而成，讀者可以隨時檢測自己的學習成果，做到融會貫通。

"
9789865028909,"

全彩圖解最易懂、觀念解說最清楚、範例導向最實用 適合想徹底學會JavaScript程式設計的您！JavaScript最初的用途是在用戶端控制瀏覽器和網頁內容，製作一些HTML和CSS所無法達成的效果，增加互動性。近幾年隨著Node.js的出現，JavaScript也可以在伺服器端執行，用途就更廣泛了。 有了本書，無論您有無程式設計的經驗，只要約略具有HTML與CSS的基礎知識，都能看得懂、學得會JavaScript，重點內容： ‧JavaScript的基本語法與內建物件 ‧DOM (Document Object Model，文件物件模型) ‧事件處理 ‧BOM (Browser Object Model，瀏覽器物件模型) ‧jQuery與jQueryUI ‧網頁儲存 (Web Storage) ‧Ajax與JSON
                    
"
9789864345687,"


從零開始！快速上手！網羅完整Vue.js功能的實戰指南
	 

	|Vue.js基礎入門|Vue.js元件系統|Vue單一元件檔與Vue CLI|Vue開發生態圈|Vue Router與前端路由管理|Vuex與共用狀態管理|Vue Composition API|

	 

	Vue.js不斷地成長，從早期只被定位在JavaScript的UI工具庫，到如今已經是個成熟且功能強大的漸進式框架。Vue.js 3底層核心由TypeScript所改寫，不僅效能更快、檔案更小，更重要是仍然可以使用我們所熟悉的JavaScript來進行開發。它的特性是短時間內可以快速上手，並且擁有豐富的開發生態環境系統以及蓬勃發展的社群。

	 

	作者將多年來在Vue.js的開發與教學心得記錄下來，除了比較Vue.js 2與新推出Vue.js 3版本的差異之外，也希望有助於讀者在學習、體驗Vue.js這套前端框架的時候，能夠少走許多岔路，領略現代前端開發的世界。

	 

【本書精彩內容】

	◎從零開始介紹Vue.js的起源、基礎知識、指令、事件與生命週期等核心內容，帶領讀者快速入門。

	◎元件系統是Vue.js的另一大核心特性，說明為什麼要使用元件、有什麼好處，以及說明元件系統開發時會遇到的問題。

	◎介紹Vue的開發生態圈，並結合CLI/Webpack等相關工具，來為Vue.js從無到有進行專案建置、最佳化、打包部署等功能。

	◎作為Vue.js開發生態圈的一環，Vue Router提供開發者透過前端路由來建立單頁式應用程式(SPA)的可能性。

	◎Vue.js元件的狀態各自為政，當專案規模日漸擴大的時候，共用狀態與資料管理就顯得十分重要。

	◎Composition API是Vue.js 3起新增的重要特性之一，說明最新的Composition API是什麼、如何使用、它解決了什麼問題？為什麼要使用它？以及在實際開發時，使用Composition API需要注意的各種細節。

	 

"
9789865501372,"


本書特色

	當前端的開發也進入系統化的同時，你的選擇只剩下Angular, React及Vue了。然而Angular則是最標準的TypeScript的純正血統，是由Google正式維護的最新前端介面開發套件。

	完整說明了ng-zorro、Protractor、LESS、ng-alain、Jasmine、Postman及CNpm。

	完整的範例，包括了結構型指令、路由架構、常用api、城市元件、使用者資訊頁，以及json-server。

	完整的待辦事項及網路商城的可立即應用範例。

✤讀懂本書

．未來前端開發有發展前途嗎？
	前端開發目前非常熱門，隨著前端開發市場持續擴大，不僅是網頁，甚至行動端、PC端應用都可以使用前端技術進行開發。現在一線大公司都已經使用前端技術來開發自己的手機App了，例如微信小程式、淘寶天貓、京東、餓了麼等，其火爆程度一目了然。
	——現在入門還來得及嗎？種一棵樹最好的時間是十年前，其次是現在！

．你還在用jQuery嗎？已經過時啦！
	雖然有很多舊網站還在使用jQuery，但是大多數公司的應徵標準早已改變。前端開發在這些年高速發展，技術更新速度很快，如果想保持自己的競爭力，必須持續保持學習狀態。現在想在前端開發領域找到一份好工作，則必須學好Angular、React、Vue三大架構！
	——各大應徵網站都可以搜一搜看一看，要不要學，你看著辦！

．Angular在前端開發中有哪些優勢？
	Angular作為一個比較大而全的前端架構，它使用TypeScript進行開發，包含服務、範本、雙向綁定、路由、依賴植入等各種便捷的功能，可以讓你的開發效率事半功倍。Angular由Google公司開發並維護，具有許多的開發者和活躍的社區支援，而且中文文件翻譯十分全面。
	——三大架構選擇困難怎麼辦？小孩才做選擇，成年人全部都要！

"
9789860776188,"


React開發應具備的軟體設計思維
	React hook使用方式
	從0開始打造React hook + Redux專案
	React的進階知識


	React是一個上下限都很大的框架，如果能善用React提供的API，專案架構會很明確，資料邏輯和UI元件更能以易理解的方式重複利用。

	本書分為四個部分，包含開始前應具備的基礎思維、React hook使用方式、範例與進階知識(含class compo-nent)。

	本書是已有原生Javascript前端開發經驗、初次想要接觸前端框架讀者的最佳React入門指引。

	全書共9章，內容如下
	■ 第0章  先備知識 – 使用React 需要知道的Javascript
	■ 第1章  什麼是「前端框架」？
	■ 第2章  認識React 和環境建置
	■ 第3章  Hello, React !
	■ 第4章  基礎Function Component
	■ 第5章  React-Developer-Tools
	■ 第6章  Flux 結構 與 React 的狀態管理方案
	■ 第7章  前端專案的架構設計
	■ 第8章  React 進階 - 效能處理
	■ 第9章  React 進階 – 其他的React

	本書的目標除了讓初次接觸前端框架的讀者能夠更容易理解React，也介紹了在以React開發專案時，應該具備哪些基礎的「軟體設計」思維。第2~第7章節是講解React API使用方式，第7章後的範例會帶領讀者從0打造React專案，第8章~第9章是講述較進階的React知識。讀者可以根據自己的需求查閱對應的章節。

"
9789865027322,"


	精通全世界最多人使用的程式語言

	「本書所談論的一切，都是你從未意識到自己會想要知道的JavaScript。它將引領你將JavaScript程式碼品質和生產力帶到更高層次。David對此語言的知識豐富得驚人，非常清楚其錯綜複雜之處以及陷阱所在，這些完全展現在這本JavaScript真正的終極指南之中。」
	—Schalk Neethling，MDN Web Docs資深前端工程師

	「David Flanagan會在這段JavaScript旅程中引導讀者，提供這個語言及其生態系統範疇完整的宏觀畫面。」
	—Sarah Wachs，前端開發人員暨Women Who Code柏林區領導者

	JavaScript是Web的主要語言，現今使用它的軟體開發人員比任何其他程式語言都還要多。近25年來，這本暢銷書一直都是JavaScript程式設計師不可或缺的參考指南。最新第七版已完全更新，涵蓋2020版本的JavaScript。你會發現本書到處都是有趣且富有啟發性的範例程式碼，新章節涵蓋了類別、模組、迭代器、產生器、Promise及async/await。

	本書適合想要學習JavaScript的程式設計師，以及想要對JavaScript理解和精通程度提升到更高境界的Web開發人員。

	本書主題包括：
	‧型別、變數、運算子、述句、物件和陣列
	‧函式、類別、模組、迭代器、產生器、Promise和async/await
	‧JavaScript標準程式庫：資料結構、正規表達式、JSON、國際化和URL
	‧Web平台：文件、元件、圖形、網路、儲存區和執行緒
	‧Node.js：緩衝區、檔案、串流、執行緒、子行程、Web客戶端和Web伺服器
	‧專業JavaScript開發人員所仰賴的工具和語言擴充功能

"
9789863797647,"

在後端，函數式語言層出不窮；在前端，函數作為最後邊界的刻板形象也漸漸消弭不再；Scala的Scala.js、Clojure的ClojureScript都試圖同構移向前端，而原生JavaScript也可透過豐富的函數庫，讓前端的函數式程式設計一樣的舒適和優雅。本書涵蓋大部分函數式程式設計思想，包括JavaScript的函數式支援，Clojure風格的集合、遞迴、函數組合、Macro、模式比對、實用Monads，以及前端的併發程式設計。商品特色：這不是一本JavaScript 的教科書！這也不是一本Clojure 的教科書！這是一本緩解從函數式語言移轉到JavaScript 程式設計之不適最有效的技術心法。從前端啟始就讓函數式程式設計發揮到極致！適用：想要瞭解函數式程式設計的JavaScript程式設計師，或想學習JavaScript的函數式程式設計師。
                    
"
9789863478164,"

""你可以用更快更好的方式了解JavaScript和JQuery"" ""我們用完全不同的排版及說明方式完全顛覆你對電腦書的刻版印象"" 學習重點 ● 理解和撰寫JavaScript程式碼 ● 為你的網站增添互動性 ● 使用jQuery技術簡化程式碼 ● 自製目前熱門的動態網頁效果 你將會學到 ● 跑馬燈與燈箱效果 ● 進階表單設計與資料驗證 ● Ajax、API程式介面和JSON資料格式 ● 文字篩選、搜尋與排序功能 線上支援 ● 範例程式碼和練習題均可於javascriptbook.com取得 ● 額外提供多樣具參考性的文件與素材 你是新進入JavaScript程式設計的新手嗎？或想更深入了解你的網頁上複雜的程式碼背後的運作原理？那麼這本書正適合你閱讀。只要具備基本的HTML和CSS的網頁設計語法觀念，透過本書便可讓你學習如何閱讀和撰寫JavaScript程式碼，以簡單、視覺化的方式領會JavaScript程式設計應具備的重點概念。 本書教導你如何為你的網站增添更多趣味性、吸引力、互動性、與操作便利性。透過書本所探討的程式設計理論，結合實際案例的說明，你將理解各熱門網站是如何運用JavaScript和jQuery技術增添網站的魅力。閱讀完本書，你便可在短時間內，以程式設計師的思維，撰寫出專業、優質的JavaScript程式碼。
                    
"
9789864763078,"

「很難找到比本書更詳盡、更深思熟慮的 ES6 參考指南了。」 —ANGUS CROLL，Twitter 工程師、《If Hemingway Wrote JavaScript》(No Starch)作者 《你所不知道的 JS》系列包括： ■ 導讀，型別與文法 ■ 範疇與 Closures，this 與物件原型 ■ 非同步處理與效能 ■ ES6 與未來發展 不管你有多少的 JavaScript 使用經驗，很有可能你還是沒有完整地了解這個語言。作為《你所不知道的 JS》系列的一部分，這本簡明的指南專注於 ECMAScript 6(ES6)中的新功能，也是 JavaScript 作為基礎的最新版標準。 如同《你所不知道的 JS》系列其他書籍，《你所不知道的 JS｜ES6 與未來發展》會深入探討這個語言較為棘手的部分，也就是許多 JavaScript 程式設計師會乾脆避開的那些部分。具備了這些知識後，你就能真正精通 JavaScript。 在這本書中，你會： ■ 學習新的 ES6 語法，幫助你舒緩常見編程慣用手法的痛點 ■ 以迭代器(iterators)、產生器(generators)、模組(modules)及類別來組織程式碼 ■ 探索結合了 Promises 與產生器的非同步流程控制 ■ 使用群集(collections)以結構化的方式更有效率地處理資料 ■ 善用新的 API 輔助工具(helpers)，包括了、Array、Object、Math、Number 與 String ■ 透過 meta programming(程式化編程)擴充你程式的能力 ■ 預覽很有可能會出現在 ES6 之後版本中的新功能 本系列之補充資料(程式碼範例、練習等)可在此處下載：https://github.com/getify/You-Dont-Know-JS
                    
"
9789865027568,"

建構現代的React應用 「這是前端社群期盼已久的React專書。Alex與Eve不只深入討論了React的運作原理，還涵蓋了諸如JavaScript中的函式導向程式設計、測試除錯、狀態管理等等重要主題。此外，本書的解說不只平易近人，亦夾雜了作者的幽默筆法。我願意毫無保留地推薦這本書。」 -Emma Bostian Spotify軟體工程師 本書將傳授您如何建構高效能的React應用。我們預設的讀者是那些已經掌握了JavaScript、CSS與HTML基礎知識，但卻未必了解React與函式導向JavaScript的網頁工程師。換言之，即使您尚未使用過React，也能從本書中得到充分指引，熟悉當代最佳化的React實作模式。 在作者Alex Banks與Eve Procello的知識地圖中，讀者將學習到如何使用React建構起一個無需時時刷新頁面、資料驅動導向且兼具動態與高效能的使用者介面。此外，讀者也將理解到函式導向程式設計原理，以及最新ECMAScript語法功能。 一旦掌握了本書所傳授的實務技巧，您將會讚嘆React能為專案帶來的巨大貢獻。 本書的學習目標包含： ‧了解函式導向程式設計的理念，並透過JavaScript實作 ‧了解React在瀏覽器中的運作原理 ‧透過React元件建構起應用的表現層 ‧妥善管理應用中的數據流動，並有效除錯 ‧使用React的Hook機制管理狀態與存取資料 ‧使用React的Router機制優化一頁式網頁應用 ‧結合伺服器端的功能強化React應用
                    
"
