ISBN,書籍簡介
9789863125167,"


	想要打造好用、有效率、令使用者滿意的網站，就需要完善的 UX 設計！
	網站企劃、網站開發者、設計總監、製作人、設計師、工程師……
	網頁設計相關人士必讀的 UX Design 指南

	「UX」是什麼？「UX」是「User eXperience」的縮寫，翻譯為「使用者體驗」。有種說法是，「UX」並非一般所指的產品或服務等「事物」，而是包含事物在內，所謂的環境「狀態」的設計。

	舉例來說，我們以為咖啡店賣的商品（事物）是咖啡，實際上，咖啡的定價中包含了咖啡店內店員的應對、座椅的舒適性、內部裝潢、場所、顧客種類、時間……等全部（狀態）的價值。使用者絕對不是光憑咖啡本身就掏錢，而是購買坐在咖啡店裡喝咖啡的完整體驗。

	同理可知，做為網站設計者，一個網站的好壞也不是光看表面上的操作介面 (UI) 和視覺設計，還有使用者的操作感覺、使用體驗。然而，在網站做出來之前，我們要如何了解使用者的體驗、進而改善網站呢？那就是這本書要教你的事。

	本書由實際在日本大型數位行銷公司 IMJ Corporation 執行 UX 設計的作者群負責執筆，為網站製作者設計了循序漸進的 UX 設計課程。從 UX 設計基礎開始，到「易用性評估」、「製作原型」、「結構化腳本」、「使用者調查」、「顧客旅程地圖」、「塑造使用者形象」、「導入組織」等，共分成 8 章來說明。有鑑於許多企業對 UX 設計不熟悉，或是因預算問題、時程問題而導入困難，作者群皆從經手過的案例來解析，並在書中收錄了實際導入組織時可用的技巧及大小兩個專案模型案例，把現實狀況與實作方法整合在本書中，而不只是紙上談兵。另外，還提供範本下載，讓你不只是理解，也能立刻動手嘗試，是一本可以讓你體驗 UX 設計現場的絕佳參考書。

本書特色

	只會設計 UI 是不夠的！學好 UX 設計，讓你打造出真正令使用者滿意的網站

	◎書中透過虛擬人物 - 想要在公司裡導入 UX 設計的網頁設計師「白石由香」小姐，讀者將從她的角度出發，了解從網頁設計跨足 UX 設計時所面臨的困境，並跟她一起學習必要的知識。全書深入淺出，避免艱澀難懂，幫助讀者無痛建立「易用性評估」、「製作原型」、「結構化腳本」、「使用者調查」、「顧客旅程地圖」、「塑造使用者形象」...等重要觀念。

	◎網站企劃、網站開發者、設計總監、製作人、設計師、工程師……皆適用！網頁設計相關人士必讀的 UX Design 指南。

	◎作者群為日本大型數位行銷公司 IMJ Corporation的專業團隊，實務經驗豐富，從經驗出發，融入書中情境，還提供實做範例，讓你融會貫通，不再紙上談兵。

"
9789864341832,"


全方位解說建置支援跨裝置網站所需的資訊、設定與重點！
利用豐富的圖解與範例清楚說明今後建置跨裝置網站的「標準」！


	★行動裝置相容性測試 ★響應式網頁設計
	★Viewport ★網路字型 ★響應式圖片
	★媒體查詢 ★網頁加速 ★裝置的識別
	★SVG

	現今智慧型手機與平板電腦大行其道，使用個人電腦以外的裝置來瀏覽網頁的情形已經大量增加，而且Google搜尋引擎也依照行動裝置瀏覽的可用性與無障礙性來決定排名，這使得建置跨裝置網站的重要性日益增加，必須儘早因應變化，來學習今後跨裝置網站建置的「標準」。

	那麼製作跨裝置網頁時應該注意到哪些重點呢？想要同時支援智慧型手機、平板電腦、個人電腦的瀏覽，就必須考慮到網頁元件的設計以及網頁的顯示速度，因此所要思考的重點可說是五花八門。

	而本書匯集了建置跨裝置網站的必要訣竅與技術。內容以Google發布的「行動版網站搜尋引擎最佳化指南」指標以及可簡單測試網頁問題的兩個檢測工具－「行動裝置相容性測試」、「PageSpeed Insights」為主軸，來全面解說製作支援跨裝置網頁所需的知識、經驗與技巧。

"
9789864762293,"

「Joel Marsh大幅縮短UX學習曲線，提供寶貴的實務經驗，為你奠定UX設計的扎實基本功。」 — Aarron Walter, MailChimp研發副總，《Designing for Emotion》作者 「UX相關書籍多如過江之鯽，但鮮少有作者膽敢挑戰整個UX範疇，並且處理得這麼乾淨俐落。這本書提供UX初學者寬闊的視野，並且鼓勵他們深入挖掘這個富含無比熱情的領域。」 — Jeff Gothelf, 《Lean UX》(O’Reilly)作者 所以，你想開始學習UX(使用者體驗)設計了是嗎？很好，你來對地方了。 無論你想要設計app，網站，或者好像懂一點設計，這些容易上手的精選課程正是為你量身打造的。這本書從頭到尾徹底遵循UX設計流程實務，在整個學習過程中，你可以實際應用這些新技能，或在下次會議之前重新翻轉既有的舊觀念。 奠基於廣受歡迎的UX Crash Course(瀏覽數破百萬，源自Joel Marsh的知名部落格The Hipper Element)，這本書是想要更加瞭解UX的經理人、程式設計師、業務及行銷人員的必讀寶典。 本書內容： ‧UX設計基礎，無需相關經驗 ‧研究怪異和奇妙的使用者行為 ‧打造對使用者友善之產品的流程與科學 ‧運用尺寸、顏色和佈局協助及影響使用者 ‧規劃及製作線框圖 ‧讓你的設計具有吸引力與說服力 ‧估量你的設計在現實世界中如何運作 ‧UX設計師整天在忙些什麼？
                    
"
9789863122968,"


 「我又不是設計師， UI 關我什麼事？」
 NO NO NO！懂 UI 很重要！
 難用的爛 UI，會讓你的人生處處碰壁！
 想一想，你是否也曾這樣？

  

 出國坐地鐵不會買票、唱 KTV 不會用點歌系統、吃飯看不懂複雜菜單、上完廁所不會用水龍頭...
 到底是你笨，還是設計有問題？

  

 請不要怪自己笨！因為這些或許都是爛 UI 的錯！

  

 本書將介紹人們容易弄錯或感到困擾的各種「爛 UI」（難用的操作介面），希望讀者思考「為何會做出爛 UI？」、「如何才能改善爛 UI？」、「我該怎麼做才不會製造出爛 UI？」深入了解人與物、人類與 UI 的關係，並進一步探究「不好用、難懂的定義是什麼？」、「難用的原因究竟出在哪裡？」對於從事 UI 設計、產品設計的人而言，本書是一本實用的生活範例集。

  

 即使你不是設計師，UI 設計也和你的生活處處相關，讀完本書，你也會發現你生活周遭的各種爛 UI，並判斷究竟出了什麼問題。不僅如此，你也一定會知道：如果設計中疏忽掉哪些事情，很容易做出爛 UI。

  

 無論如何，請先打開本書，走進「有趣的爛 UI 世界」吧！

  

本書特色
  

 原來你不會用，都是爛 UI 惹的禍！
 馬上打開本書試試看，這些 UI 你都能一次成功嗎？

  

 [門把]：想要打開門，要推還是要拉？
 [水龍頭]：往哪邊轉才能出熱水？
 [蓮蓬頭]：怎麼切換蓮蓬頭和水龍頭？
 [電梯按鈕]：想上樓，到底要按哪個鈕？
 [咖啡機]：該把杯子放哪裡，才能接到咖啡？
 [書櫃]：如何快速找出一本書？
 [旅館]：忘記房號時該怎麼辦？
 [iPhone 計算機] 2500÷50=1...!? 真的假的...

"
9789865029395,"


	本書將告訴您網頁設計的基本原則，快速上手的方法以及如何解決新手常見的問題，您可以藉由本書學到設計的基礎知識，快速上手。

	藉由本書，您可以學到：
	．改善設計的快速技巧
	．基礎配色理論與實用技巧
	．如何利用工具來確保網頁文字的可讀性
	．排版的基礎觀念與重要原則
	．如何有效率的挑選字體
	．使用「留白」的技巧
	．如何改善內容的呈現方式提高轉換率
	．提升用戶體驗的快速技巧
	．網頁的設計流程與如何訓練設計眼

"
9789865004613,"

跳脫固定僵化的模版，打造出獨特的網頁與APP介面！PC、平板、手機，現代人透過不同的媒介，瀏覽網頁、APP，設計良好、人性化的介面，才能留住使用者，透過配色方案、網格系統、圖標應用、字體選擇，打造出吸睛又獨特的介面。
                    
"
9789577357557,"


	本書從UI設計的歷史發展脈絡切入，娓娓道來UI如何演變成今天的模樣與多種類型，並一一講解圖標、色彩、風格，面對不同的需求該如何著手設計等，輔以實例圖片說明優缺，讓讀者完整了解UI是怎麼一回事。

	說明人體工學、心理學、圖標常識、色彩知覺、格式塔原理及應用，並舉例如何搭配電腦實作綜合運用。

	介紹IoT技術、立體投影、透明螢幕、連網汽車等尖端技術，預測未來UI的發展方向與形式，加上對各時期科幻影片中UI的說明，指出已有許多想像中的科技成真了，許多技術也將在不遠的將來實現。

"
9789864767786,"

「Jesse James Garrett的書精煉探討了形塑使用者經驗的概念，因此成為不墜的經典。它不僅能幫助設計初學者實作時更有信心，也能給予資深設計師邁向卓越的探討架構。」 Giles Colborne Simple and Usable Web, Mobile and Interaction Design作者 「仍然貨真價實、拳拳到位，這是現在對於使用者經驗最有用的書籍。」 Louis Rosenfeld Rosenfeld Media出版人及Information Architecture for the World Wide Web合著者 「Jesse James Garrett清楚解析了使用者經驗設計這淌混水。因為他絕佳的聰明才智，僅用短短篇幅就達成，因此頁頁珠璣。」 Steve Krug Don’t Make Me Think以及Rocket Surgery Made Easy作者 「Garrett從組織和概念角度解構和建模，揭露了通常被厚重技術障礙掩蓋的問題本質。」 Alan Cooper About Face以及The Inmates Are Running the Asylum作者 始自十年前本書出版，《使用者經驗的要素》已成為世界各地網頁和互動設計師的重要參考文獻，並定義了業界的核心原則。在現今這個更新擴編的全彩版本中，Jesse James Garrett已精煉了他對網際網路的想法，超脫桌面軟體(desktop)層面，涵括能應用至當今大幅增加的移動設備(mobile devices)應用程式的資訊。 成功的互動設計所需的遠遠不只是乾淨的程式碼和鮮明的圖像。你必須在滿足使用者需求的同時，亦達成策略目標。若無一致契合的使用者經驗來支撐，那麼即使有最好的內容(content)和最尖端的科技也無法幫助平衡這些目標。 因為牽連了這麼多的議題：使用性(usability)、品牌識別(brand identity)、資訊架構(information architecture)、互動設計(interaction design)，創造使用者經驗因此可說是錯綜複雜。新版本的《使用者經驗的要素》以清晰的解釋和生動的插圖專注分析概念本身的內涵、而非工具或技術。Garrett提供了讀者關於使用者經驗發展歷程的整體脈絡，從策略和需求層面出發，一路探討到資訊架構和視覺設計。
                    
"
9789863794790,"


	以實戰為主，理論為輔，大量使用圖形化操作，簡單容易上手，可迅速提高讀者動手能力以及故障排除能力。

	透過大量實例介紹，迅速提高讀者的技術水準。

	本書以oVirt虛擬化架構為基礎，分為11章，介紹如何使用開放程式碼KVM系統構建企業虛擬化應用平臺。

	以實戰為主，理論為輔助。透過搭建真實物理環境，講解如何在企業環境中快速部署oVirt虛擬化架構，透過大量實例的介紹，迅速提高讀者的動手能力和技術水準。

	本書內容通俗易懂，可操作性強，適用於Linux KVM虛擬化架構管理人員。

"
9789864341344,"


如何抽絲剝繭出客戶要求的本質？
如何做出合乎設計法則的設計？
如何站在使用者立場思考、解決問題？
所有的答案都在本書中！


劃時代的設計書誕生！網頁設計的內在本質就是溝通

	完整收錄在設計現場的菜鳥設計師所必須了解的事情，以及連老手設計師也可能馬失前蹄的陷阱。

	網站與紙本媒體不同，擁有雙向溝通的特性，網站與網站使用者之間的溝通品質將會影響到網頁設計的好壞，因此必須重視「與使用者的溝通」這一部分。同時，網頁設計師也必須和客戶、網站程式設計師緊密溝通，才能一步步完成絕佳的網頁。

	近年來，由於網頁瀏覽器有了長足的進步，如今已可以充分掌握到使用者是透過何種終端裝置瀏覽以及於何處瀏覽等使用者資訊，所以網頁設計師並不是只要掌握大部 分HTML、CSS或JavaScript的技術就夠了，與其外在的華麗演出，更該因應各種情況與裝置，重視網頁上「呈現容易閱讀的資訊」以及「具備方便 好用的操作性」。

	本書以人性為出發點去思考網頁設計，介紹設計的本質以及如何透過網頁設計與使用者溝通的方法，還有許多設計師所需的「不 單憑技術決勝負的技巧」，這些溝通的訣竅將可幫助解決全部的設計師與製作者的共同問題：「如何觸動網站使用者的心」、「如何做出打動客戶的心且符合期待的 設計」。除此之外，內容亦介紹了獨自學習網頁設計時絕對無法得到的許多來自設計現場的知識與體驗。

	剛開始從事網頁設計的人以及希望讓自己的網頁設計工作更上一層樓的人，都很適合閱讀本書。

"
