書名,書籍網站,作者,出版社,ISBN,圖片網址
容器進化革命－－Kubernetes重新定義資訊世紀：Kubernetes權威指南,https://www.kingstone.com.tw//basic/2013120487420?zone=book&lid=book_class3_lab&actid=book_class3_lab,龔正、吳治輝、王偉等,佳魁數位  ,9789863797210,https://cdn.kingstone.com.tw/book/images/product/20131/2013120487420/2013120487420b.jpg
用Paxos及Zookeeper打造分散叢集,https://www.kingstone.com.tw//basic/2013120404298?zone=book&lid=book_class3_lab&actid=book_class3_lab,倪超,佳魁      ,9789863794059,https://cdn.kingstone.com.tw/book/images/product/20131/2013120404298/2013120404298b.jpg
Kubernetes使用指南,https://www.kingstone.com.tw//basic/2014713498984?zone=book&lid=book_class3_lab&actid=book_class3_lab,龔正、吳治輝、葉伙榮、張龍春,碁峰資訊  ,9789864760978,https://cdn.kingstone.com.tw/book/images/product/20147/2014713498984/2014713498984b.jpg
UML物件導向系統分析與設計（第二版）,https://www.kingstone.com.tw//basic/2013120182257?zone=book&lid=book_class3_lab&actid=book_class3_lab,游峰碩,博碩文化  ,9789862014851,https://cdn.kingstone.com.tw/book/images/product/20131/2013120182257/2013120182257b.jpg
CPLD數位邏輯設計實務－－使用MAX+PLUS II工具及VHDL語言設計（附範例系統光碟）,https://www.kingstone.com.tw//basic/2014713246523?zone=book&lid=book_class3_lab&actid=book_class3_lab,楊明豐,碁峰資訊  ,9789861819464,https://cdn.kingstone.com.tw/book/images/product/20147/2014713246523/2014713246523b.jpg
RFID資訊應用系統之設計實務,https://www.kingstone.com.tw//basic/2014713154125?zone=book&lid=book_class3_lab&actid=book_class3_lab,高志中,博碩文化  ,9789862012352,https://cdn.kingstone.com.tw/book/images/product/20147/2014713154125/2014713154125b.jpg
系統分析與設計（第三版）,https://www.kingstone.com.tw//basic/2014713109620?zone=book&lid=book_class3_lab&actid=book_class3_lab,藍中賢,碁峰資訊  ,9789861814940,https://cdn.kingstone.com.tw/book/images/product/20147/2014713109620/2014713109620b.jpg
系統分析與設計,https://www.kingstone.com.tw//basic/2014712367472?zone=book&lid=book_class3_lab&actid=book_class3_lab,張百棧,五南      ,9789571127910,https://cdn.kingstone.com.tw/book/images/product/20147/2014712367472/2014712367472b.jpg
最新Java 2程式語言,https://www.kingstone.com.tw//basic/2014712741920?zone=book&lid=book_class3_lab&actid=book_class3_lab,施威銘研究室,旗標      ,9789574422371,https://cdn.kingstone.com.tw/book/images/product/20147/2014712741920/2014712741920b.jpg
UML物件導向系統分析與設計（第四版）,https://www.kingstone.com.tw//basic/2013120526587?zone=book&lid=book_class3_lab&actid=book_class3_lab,游峰碩,博碩文化  ,9789864344482,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526587/2013120526587b.jpg
從Paxos到Zookeeper：分散式一致性原理與實例,https://www.kingstone.com.tw//basic/2013120458291?zone=book&lid=book_class3_lab&actid=book_class3_lab,倪超,佳魁數位  ,9789863796114,https://cdn.kingstone.com.tw/book/images/product/20131/2013120458291/2013120458291b.jpg
高階容錯伺服器設計實例,https://www.kingstone.com.tw//basic/2013120455245?zone=book&lid=book_class3_lab&actid=book_class3_lab,王恩東、胡雷鈞、張東、陳繼,佳魁數位  ,9789863796015,https://cdn.kingstone.com.tw/book/images/product/20131/2013120455245/2013120455245b.jpg
Java分散式處理實務精要：奠定雲端基礎的63個思考術,https://www.kingstone.com.tw//basic/2013120198586?zone=book&lid=book_class3_lab&actid=book_class3_lab,林昊,博碩文化  ,9789862015476,https://cdn.kingstone.com.tw/book/images/product/20131/2013120198586/2013120198586b.jpg
Visual C#2010程式設計實例演練與系統開發,https://www.kingstone.com.tw//basic/2013130023014?zone=book&lid=book_class3_lab&actid=book_class3_lab,許清榮,博碩文化  ,9789862014615,https://cdn.kingstone.com.tw/book/images/product/20131/2013130023014/2013130023014b.jpg
Linux 0.01核心剖析與系統設計,https://www.kingstone.com.tw//basic/2014713244079?zone=book&lid=book_class3_lab&actid=book_class3_lab,盧軍,碁峰資訊  ,9789862760550,https://cdn.kingstone.com.tw/book/images/product/20147/2014713244079/2014713244079b.jpg
嵌入式系統開發之道－菜鳥成長日誌與專案經理的私房菜,https://www.kingstone.com.tw//basic/2013120129689?zone=book&lid=book_class3_lab&actid=book_class3_lab,邱毅凌,悅知文化  ,9789866348518,https://cdn.kingstone.com.tw/book/images/product/20131/2013120129689/2013120129689b.jpg
建築物室內設計技術士乙級學科最新題庫解析-附線上測驗系統點數,https://www.kingstone.com.tw//basic/2014713234322?zone=book&lid=book_class3_lab&actid=book_class3_lab,胡維哲,碁峰資訊  ,9789861819846,https://cdn.kingstone.com.tw/book/images/product/20147/2014713234322/2014713234322b.jpg
資料庫系統設計理論(附光碟),https://www.kingstone.com.tw//basic/2013120121553?zone=book&lid=book_class3_lab&actid=book_class3_lab,李紹綸,上奇科技  ,9789862570616,https://cdn.kingstone.com.tw/book/images/product/20131/2013120121553/2013120121553b.jpg
UML物件導向系統分析與設計,https://www.kingstone.com.tw//basic/2013120121133?zone=book&lid=book_class3_lab&actid=book_class3_lab,游峰碩,博碩文化  ,9789862013380,https://cdn.kingstone.com.tw/book/images/product/20131/2013120121133/2013120121133b.jpg
一線架構師實踐指南,https://www.kingstone.com.tw//basic/2014713225757?zone=book&lid=book_class3_lab&actid=book_class3_lab,溫昱,碁峰資訊  ,9789861819501,https://cdn.kingstone.com.tw/book/images/product/20147/2014713225757/2014713225757b.jpg
編譯系統設計,https://www.kingstone.com.tw//basic/2014713215130?zone=book&lid=book_class3_lab&actid=book_class3_lab,Alfred V.Ah,碁峰資訊  ,9789861549361,https://cdn.kingstone.com.tw/book/images/product/20147/2014713215130/2014713215130b.jpg
Linux系統程式設計-使用C(附CD),https://www.kingstone.com.tw//basic/2014713206435?zone=book&lid=book_class3_lab&actid=book_class3_lab,劉冰,上奇科技  ,9789862570289,https://cdn.kingstone.com.tw/book/images/product/20147/2014713206435/2014713206435b.jpg
RFID資訊系統設計與應用開發(附CD),https://www.kingstone.com.tw//basic/2014713206275?zone=book&lid=book_class3_lab&actid=book_class3_lab,饒瑞佶,上奇科技  ,9789862570265,https://cdn.kingstone.com.tw/book/images/product/20147/2014713206275/2014713206275b.jpg
人機介面：互動式系統設計(最新修訂版)(附光碟),https://www.kingstone.com.tw//basic/2014713177025?zone=book&lid=book_class3_lab&actid=book_class3_lab,David Benyon,碁峰資訊  ,9789861818115,https://cdn.kingstone.com.tw/book/images/product/20147/2014713177025/2014713177025b.jpg
ARM嵌入式常用模組與綜合系統設計實例精選(,https://www.kingstone.com.tw//basic/2014713169532?zone=book&lid=book_class3_lab&actid=book_class3_lab,張綺文,上奇科技  ,9789866587917,https://cdn.kingstone.com.tw/book/images/product/20147/2014713169532/2014713169532b.jpg
系統分析與設計,https://www.kingstone.com.tw//basic/2014713150547?zone=book&lid=book_class3_lab&actid=book_class3_lab,廖仁國,文魁      ,9789866482748,https://cdn.kingstone.com.tw/book/images/product/20147/2014713150547/2014713150547b.jpg
ARM Cortex-M3官方教材-嵌入式系統設計入門,https://www.kingstone.com.tw//basic/2013120156524?zone=book&lid=book_class3_lab&actid=book_class3_lab,Joseph Yiu .,旗標      ,9789574427246,https://cdn.kingstone.com.tw/book/images/product/20131/2013120156524/2013120156524b.jpg
SQL Sever2008資料庫系統設計與開發實務,https://www.kingstone.com.tw//basic/2014713130563?zone=book&lid=book_class3_lab&actid=book_class3_lab,陳會安,學貫      ,9789866800825,https://cdn.kingstone.com.tw/book/images/product/20147/2014713130563/2014713130563b.jpg
基於Verilog HDL的通信系統設計,https://www.kingstone.com.tw//basic/2014713125156?zone=book&lid=book_class3_lab&actid=book_class3_lab,陳曦,松崗      ,9789866482144,https://cdn.kingstone.com.tw/book/images/product/20147/2014713125156/2014713125156b.jpg
數位影像分析之智慧型監視系統-適用VC++,https://www.kingstone.com.tw//basic/2014713091116?zone=book&lid=book_class3_lab&actid=book_class3_lab,賴岱佑,文魁      ,9789862043257,https://cdn.kingstone.com.tw/book/images/product/20147/2014713091116/2014713091116b.jpg
Visual C#2008 程式設計實例演練與系統開發,https://www.kingstone.com.tw//basic/2014713082961?zone=book&lid=book_class3_lab&actid=book_class3_lab,許清榮,博碩文化  ,9789862011560,https://cdn.kingstone.com.tw/book/images/product/20147/2014713082961/2014713082961b.jpg
系統分析與設計,https://www.kingstone.com.tw//basic/2014713057600?zone=book&lid=book_class3_lab&actid=book_class3_lab,蔡明宏,文魁      ,9789862041970,https://cdn.kingstone.com.tw/book/images/product/20147/2014713057600/2014713057600b.jpg
SoC嵌入式系統晶片設計-從理論邁向實務,https://www.kingstone.com.tw//basic/2014713053282?zone=book&lid=book_class3_lab&actid=book_class3_lab,郭煒,博碩文化  ,9789862011300,https://cdn.kingstone.com.tw/book/images/product/20147/2014713053282/2014713053282b.jpg
系統分析與設計-使用軟體架構模型,https://www.kingstone.com.tw//basic/2014713041951?zone=book&lid=book_class3_lab&actid=book_class3_lab,趙善中,博碩文化  ,9789862011157,https://cdn.kingstone.com.tw/book/images/product/20147/2014713041951/2014713041951b.jpg
UML系統分析與設計:An object-oriented app,https://www.kingstone.com.tw//basic/2014712999123?zone=book&lid=book_class3_lab&actid=book_class3_lab,游峰碩,學貫      ,9789868115880,https://cdn.kingstone.com.tw/book/images/product/20147/2014712999123/2014712999123b.jpg
系統分析與設計第四版,https://www.kingstone.com.tw//basic/2014712999253?zone=book&lid=book_class3_lab&actid=book_class3_lab,Satzkinger,學貫      ,9789866885754,https://cdn.kingstone.com.tw/book/images/product/20147/2014712999253/2014712999253b.jpg
UML物件導向系統分析與設計2e,https://www.kingstone.com.tw//basic/2014712999383?zone=book&lid=book_class3_lab&actid=book_class3_lab,Jim Arlow,學貫      ,9789867198532,https://cdn.kingstone.com.tw/book/images/product/20147/2014712999383/2014712999383b.jpg
UML系統分析與設計 第二版,https://www.kingstone.com.tw//basic/2014712999833?zone=book&lid=book_class3_lab&actid=book_class3_lab,游峰碩,學貫      ,9789867198983,https://cdn.kingstone.com.tw/book/images/product/20147/2014712999833/2014712999833b.jpg
